,company_industry,company_ipo_code,company_country,company_revenue,company_name,company_rank
0,"['Tech', 'Software', 'Dowjones', 'TechHardware', 'Electronics']",AAPL,USA,$2.242 T,Apple,1
1,"['Restaurantchains', 'Dowjones', 'Food']",MCD,USA,$198.00 B,McDonald,46
2,['Telecommunication'],TMUS,USA,$185.11 B,T-Mobile US,51
3,"['Automakers', 'Manufacturing']",TM,Japan,$195.66 B,Toyota,49
4,"['Tech', 'Electronics', 'Networkinghardware', 'Dowjones', 'Telecommunicationsequipment', 'TechHardware']",CSCO,USA,$197.92 B,Cisco,47
5,['Conglomerate'],DHR,USA,$195.26 B,Danaher,50
6,"['Pharmaceuticals', 'Biotech']",NVS,Switzerland,$197.31 B,Novartis,48
7,['Medicaldevices'],ABT,USA,$182.74 B,Abbott Laboratories,52
8,"['Consumergoods', 'CAC40', 'CosmeticsandBeauty']",OR.PA,France,$199.76 B,L'Or̩al,45
9,"['Banks', 'Financialservices']",1398.HK,China,$211.55 B,ICBC,42
10,"['Semiconductors', 'Tech']",AVGO,USA,$209.99 B,Broadcom,43
11,"['Retail', 'SupermarketChains']",COST,USA,$213.32 B,Costco,40
12,"['Tech', 'Software']",ORCL,USA,$212.40 B,Oracle,41
13,"['Pharmaceuticals', 'Biotech']",AZN,UK,$213.37 B,Astrazeneca,39
14,"['OilGas', 'Energy']",SHEL,UK,$204.68 B,Shell,44
15,['Conglomerate'],RELIANCE.NS,India,$217.56 B,Reliance Industries,38
16,['Retail'],LOW,USA,$125.10 B,Lowe's Companies,100
17,"['Banks', 'Financialservices']",HDB,India,$125.58 B,HDFC Bank,99
18,"['Aerospace', 'Defensecontractors', 'Aircraftmanufacturers', 'Manufacturing']",LMT,USA,$126.11 B,Lockheed Martin,98
19,['Insurance'],1299.HK,Hong Kong,$126.63 B,AIA,97
20,"['OilGas', 'Energy']",601857.SS,China,$129.07 B,PetroChina,95
21,"['Healthcare', 'Insurance']",ELV,USA,$127.17 B,Elevance Health,96
22,"['Food', 'Consumergoods']",UL,UK,$129.33 B,Unilever,94
23,"['Tech', 'Software', 'DAX']",SAP,Germany,$129.89 B,SAP,93
24,"['Railways', 'Transportation', 'Infrastructure']",UNP,USA,$130.47 B,Union Pacific Corporation,92
25,"['Software', 'Dowjones', 'Tech']",CRM,USA,$130.47 B,Salesforce,91
26,"['Banks', 'Financialservices']",3968.HK,China,$130.68 B,CM Bank,90
27,"['Tech', 'Software', 'Dowjones']",IBM,USA,$132.00 B,IBM,89
28,"['Tech', 'Semiconductors', 'TechHardware']",QCOM,USA,$132.51 B,QUALCOMM,88
29,"['Machinerymanufacturing', 'Manufacturing']",DE,USA,$132.99 B,Deere & Company,87
30,"['Banks', 'Financialservices']",RY,Canada,$134.26 B,Royal Bank Of Canada,86
31,['Investment'],PRX.AS,Netherlands,$134.29 B,Prosus,85
