,company_country,company_employees,company_founded,company_industry,company_name
1129,New Zealand,42,2008,Fintech,OrbitRemit
1130,Singapore,82,2000,Health,Yeap Medical Supplies
1131,Japan,104,2011,Technology,TableCheck
1132,New Zealand,3055,2006,Technology,Xero
1133,Australia,151,2014,Energy,Compare & Connect
1134,India,250,2004,Construction,Global Stones
1135,Germany,49,2015,Health,Living Quarter
1136,Poland,42,2012,Technology,Semantive
1137,Italy,5,2014,Industrial Goods,Metalfer Di Pio Mario*
1138,Spain,23,2012,Fintech,Facephi Biometria
1139,Italy,33,2012,Technology,Mia
1140,Japan,51,2010,Sales & Marketing,WACUL
1141,India,750,2005,Technology,PureSoftware
1142,South Korea,46,2014,Cyber Security,STEALIEN Inc.
1143,Singapore,Not found,1997,Support Services,Atlantic Navigation Holdings
1144,Philippines,109,2007,Property,Sta. Lucia Land Inc.
1145,Taiwan,Not found,2004,Food & Beverage,La Kaffa International
1146,Sweden,287,2013,Energy,Svea Solar
1147,Ireland,16,2016,Food & Beverage,Bevcraft Group
1148,Italy,18,2004,Technology,Ubiquicom
1149,UK,83,2013,Fintech,Elliptic Enterprises
1150,United Kingdom,90,2012,Construction,VIVALDA
1151,Germany,12,2013,Travel & Leisure,eila Consulting
1152,Singapore,158,2011,Technology,FirstCom Solutions
1153,Japan,135,2015,Transport,ERIMO Logistics
1154,Taiwan,895,1979,Construction,Kindom
1155,Taiwan,173,2001,Technology,Brogent Technologies
1156,Japan,27,2014,Food & Beverage,Kuradashi
1157,Taiwan,1193,2016,Pharmaceuticals,Great Tree Pharmacy
1158,UK,932,2013,Technology,Learning Technologies Group
1159,Italy,26,2016,Advertising,Booster Box
1160,Italy,13,2014,Food & Beverage,Italfrutta Distribuzioni*
1161,Germany,60,2013,Food & Beverage,Ankerkraut
1162,Japan,30,2014,Technology,LINK-US
1163,Japan,95,2005,Property,Good Com Asset
1164,Japan,30,2015,Transport,Espoirer
1165,Taiwan,Not found,1993,Technology,WT Microelectronics
1166,Philippines,344,2005,Health,CHSI
1167,Italy,9,2014,Health,Cura Farma
1168,Italy,9,2016,Construction,Assitech
1169,Romania,500,2004,Technology,Accesa IT Systems
1170,Hungary,4,2015,Agricultural Commodities,Cornexim
1171,Spain,81,2014,Advertising,Adsmurai
1172,South Korea,59,2016,Education,"D LAB Co.,Ltd"
1173,South Korea,11,2012,Technology,ARCHISOUND Corp.
1174,Japan,57,2013,Fashion,FIREWORKS
1175,Singapore,13,2011,Industrial Goods,Mlion Corporation
1176,India,340,2013,Cyber Security,Sequretek
1177,India,346,1985,Construction,KVS Premier
1178,Lithuania,7,2013,Personal & Household Goods,Kamado Bono
1179,Spain,121,2013,Technology,Signaturit Solutions
1180,United Kingdom,127,2008,Fintech,LendInvest
1181,Germany,13,2014,Retail,2E Vertriebs-GmbH
1182,Japan,38,2008,Technology,Brains Technology
1183,Japan,211,2012,Energy,Renewable Japan
1184,Japan,145,1997,Construction,KINLISER
1185,Taiwan,186,1999,Technology,Chime Ball Technology
1186,Taiwan,Not found,1977,Interiors,Rich Honour International Designs
1187,Malaysia,1416,1980,Pharmaceuticals,hovid
1188,Spain,47,2007,Management Consulting,SIPADAN
1189,Italy,141,2015,Technology,Ayes
1190,France,75,2007,Fintech,Lemon Way
1191,United Kingdom,24,2013,Ecommerce,Beer52
1192,Japan,145,2005,Management Consulting,INTLOOP
1193,Singapore,79,2013,Support Services,Venturer Group Corporate Solutions
1194,Japan,5,2000,Industrial Goods,Access Engineering
1195,Taiwan,Not found,2002,Industrial Goods,Up Young
1196,India,25,2013,Industrial Goods,Dbind Wire Products
1197,India,1517,2004,Technology,Qburst
1198,Czech Republic,45,2013,Fintech,Dateio
1199,Italy,5,2016,Health,Sistemi Sanitari
1200,Spain,22,2013,Travel & Leisure,Traventia (Youbid)
1201,Netherlands,15,2012,Media,Circle Imperium 
1202,Japan,55,2003,Retail,Yukon Sky
1203,India,200,2012,Technology,Neebal
1204,Japan,35,2006,Property,Iwamoto Shoji
1205,Singapore,228,2016,Energy,Union Gas Holdings
1206,Philippines,93,2011,Support Services,People360 Consulting Corporation
1207,Taiwan,84,2004,Media,KHAM
1208,Germany,16,2016,Property,CREST Investment
1209,France,9,2015,Games industry,Playdigious
1210,Germany,61,2011,Energy,MEP Werke
1211,Netherlands,24,2015,Technology,Widget Brain Holding
1212,South Korea,29,2014,Technology,wizionesysetms
1213,Australia,535,2002,Technology,ELMO SOFTWARE
1214,Australia,68,2006,Ecommerce,Easy Signs
1215,Japan,2642,1997,Property,Open House Group
1216,Italy,19,2017,Retail,Componenti Digitali
1217,Spain,118,2009,Retail,Sabor a EspaÃ±a
1218,France,8,2012,Retail,GpasPlus
1219,Italy,43,2014,Transport,Velotransport
1220,Japan,11,2008,Personal & Household Goods,Sirius
1221,Japan,34,2010,Retail,TOSYO
1222,Japan,202,2008,Advertising,Onestar
1223,Taiwan,Not found,1972,Industrial Goods,Rexon
1224,Germany,6,2006,Property,IMMO-KONZEPTE
1225,UK,27,2014,Fintech,Crowd Property
1226,Germany,140,2013,Support Services,ECS
1227,France,15,2013,Property,FIDUCIM
1228,India,265,2012,Technology,Polestar Solutions
1229,Malaysia,623,2007,Technology,Sophic
1230,Taiwan,Not found,2013,Games industry,9Splay
1231,South Korea,162,1997,Technology,Park Systems
1232,Denmark,41,2014,Technology,SwipBox
1233,Italy,46,2001,Interiors,Mec.Line
1234,Germany,13,2014,Construction,Wertbau Nord
1235,Sweden,105,2014,Ecommerce,Matsmart in Scandinavia
1236,Australia,60,2010,Technology,Xref Limited
1237,Australia,23,2007,Telecoms,Trikon
1238,South Korea,69,2012,Ecommerce,Sellerhub
1239,Australia,112,2011,Energy,Solar Naturally
1240,South Korea,219,1996,Media,JYP Entertainment
1241,Japan,94,2012,Support Services,Mirai Works
1242,Sweden,85,2015,Media,Nextory
1243,Italy,8,2014,Food & Beverage,Top Fish
1244,Germany,5,2011,Ecommerce,Gute Marken Online
1245,Germany,7,2014,Ecommerce,Moluna
1246,South Korea,133,2015,Media,Treasure Hunter
1247,New Zealand,22,2012,Technology,Dynamo6
1248,Japan,7,2015,Industrial Goods,NFA ENGINEERING SERVICE
1249,Hong Kong,884,2009,Technology,iClick Interactive
1250,Poland,176,2016,Technology,ITDS Polska
1251,Italy,7,2016,Food & Beverage,Blife
1252,United Kingdom,12,2010,Financial Services,Bambridge Accountants
1253,Germany,12,2014,Construction,Metis
1254,Japan,85,2005,Technology,Ricksoft
1255,Japan,27,2009,Technology,ALLSMART
1256,Australia,120,2014,Law,LegalVision
1257,India,76,1996,Chemicals,Chemcrux
1258,Italy,5,2015,Ecommerce,Savait
1259,Italy,37,2011,Transport,Transporent
1260,Italy,4,2013,Transport,Logimi
1261,Germany,231,1998,Retail,CP Group
1262,India,190,2012,Technology,Xoxoday
1263,Japan,8,2017,Retail,BRIGHTUS
1264,India,250,2012,Technology,Monocept
1265,Taiwan,Not found,2005,Health,Fitness Factory
1266,Taiwan,7800,1981,Energy,Sino-American Silicon Products
1267,Spain,18,2015,Advertising,Adpone
1268,Italy,3,2016,Food & Beverage,Reinagreen Italia
1269,United Kingdom,150,2013,Property,Uniplaces
1270,United Kingdom,295,2014,Advertising,Ogury*
1271,Vietnam,200,2011,Advertising,ConeXagency
1272,Japan,31,2013,Architecture,TOOLBOX
1273,Japan,10,2015,Management Consulting,"CB, Ltd"
1274,Australia,38,2010,Technology,Transpire
1275,India,843,1995,Technology,Dynacons
1276,Lithuania,1000,2012,Cyber Security,Nord Security
1277,The Netherlands,226,2012,Technology,Mews
1278,Italy,26,2015,Advertising,Instilla
1279,France,4,2012,Food & Beverage,Mediterranean Food Solutions
1280,United Kingdom,111,2009,Technology,Elements Talent Consultancy
1281,Italy,28,2013,Advertising,Miyagi
1282,Japan,50,2015,Support Services,Kids Power
1283,Australia,623,2013,Support Services,Satellite Office
1284,Japan,43,2008,Advertising,A3
1285,Australia,216,2014,Games industry,Animoca Brands
1286,India,90,2007,Technology,Sarathy Geotech & Engineering Services
1287,Australia,21,2003,Energy,Regen Power
1288,Spain,35,2015,Education,Titulae
1289,Ireland,40,2016,Ecommerce,systeme.io
1290,Italy,5,2016,Ecommerce,Atecnica*
1291,Italy,33,2016,Interiors,Design & Realization
1292,France,49,2013,Education,Superprof
1293,France,45,2010,Support Services,ARES
1294,Croatia,17,2013,Technology,Q Agency
1295,Japan,11,2009,Property,Garnet Kyoto
1296,Japan,"1,156",2005,Support Services,Suprieve Holdings
1297,Japan,36,2008,Sales & Marketing,SoleBrain
1298,Taiwan,1328,2009,Personal & Household Goods,Pegavision
1299,Australia,65,2004,Construction,Maben Group
1300,Greece,30,2003,Aerospace & Defence,EODH SA
1301,Italy,5,2015,Health,Multix solutions
1302,Spain,19,2015,Advertising,Adpone
1303,France,10,2014,Retail,Oxwork
1304,Portugal,169,2013,Ecommerce,Binary Subject
1305,Japan,163,2006,Fintech,Minkabu
1306,Japan,29,2014,Management Consulting,Innovative Solutions
1307,Taiwan,"1,780",1996,Technology,SOE
1308,Malaysia,106,2007,Technology,Xilnex
1309,India,114,2006,Chemicals,Arabian Petroleum
1310,Japan,306,2009,Restaurants,Gift Inc.
1311,France,12,2016,Technology,B2DIGIT
1312,UK,47,2015,Advertising,A Million Ads
1313,Finland,90,2013,Technology,Liikennevirta
1314,Italy,102,2002,Support Services,Nova Facility
1315,Germany,44,2014,Property,KÃ¶nigskinder Immobilien
1316,Singapore,52,2003,Technology,Data Connect Technologies
1317,Singapore,103,2004,Construction,QXY Resources
1318,Taiwan,Not found,2011,Technology,Major Power Technology
1319,Japan,160,1999,Support Services,OkWave
1320,Singapore,18,2013,Telecoms,Resonant Networks
1321,The Netherlands,25,2013,Retail,WoodWatch
1322,Germany,9,2016,Automobiles,3zehn Auto Discount
1323,France,45,2009,Technology,GoodBarber
1324,Italy,14,2013,Technology,Macropix
1325,Japan,54,2013,Management Consulting,Legaseed
1326,South Korea,15,2016,Technology,IO-STUDIO & VISION
1327,India,265,2013,Advertising,Fork Media Group
1328,Japan,125,2000,Technology,Data Section
1329,Taiwan,Not found,1992,Technology,Wistron Information Technology and
1330,France,12,2010,Construction,FenÃªtres du Doubs
1331,Italy,5,2015,Technology,Sixth Sense
1332,Italy,70,2012,Support Services,Fb.M. S.r.l.
1333,Austria,4,2009,Personal & Household Goods,New Systems HandelsgmbH
1334,Singapore,66,2007,Technology,Info-Tech Systems Integrators
1335,Japan,123,2010,Technology,Wantedly
1336,Japan,30,2008,Technology,Karadanote
1337,Japan,372,2004,Technology,BrainPad
1338,Singapore,12,2012,Media,Rewind Networks
1339,India,1647,2000,Technology,Maveric Systems
1340,Germany,65,2016,Construction,Koesea
1341,Poland,42,2015,Technology,Obido
1342,Spain,3,2014,Transport,CCL Fruit y Vegetales*
1343,Romania,37,2015,Retail,Rojen Commerce*
1344,United Kingdom,21,2013,Technology,YourParkingSpace
1345,Japan,10,2012,Property,Hokkyokusei Corporation
1346,India,714,2006,Media,GTPL
1347,Japan,49,2011,Sales & Marketing,Cygnus Trust
1348,India,619,2007,Telecoms,Ishan Group
1349,Japan,42,2008,Education,SuRaLa
1350,India,1805,1994,Technology,KG Group
1351,Italy,38,2011,Automobiles,Podium Advanced Technologies
1352,Croatia,166,2010,Construction,SPEGRA
1353,France,120,2014,Waste management & recycling,Phenix
1354,Italy,3,2014,Advertising,Upgrade
1355,Germany,45,2007,Construction,Infratech Bau
1356,United Kingdom,64,2002,Games industry,nDreams
1357,India,429,2012,Technology,Brainvire
1358,India,974,2011,Technology,InfoBeans
1359,Australia,21,2015,Advertising,Local Digital
1360,India,438,2013,Agricultural Commodities,Supple Tek
1361,Hong Kong,16,2012,Technology,Rush Hour Media
1362,Taiwan,Not found,2011,Beauty,DÃ©esse Vivante Biomed
1363,Spain,117,2013,Industrial Goods,GPAINNOVA
1364,Italy,23,2016,Management Consulting,Soluzione Tasse
1365,France,286,2012,Technology,Sta Portage
1366,Italy,15,2001,Construction,Tecnoprogetti
1367,Italy,33,2012,Industrial Goods,Nova Cartotecnica Roberto.s
1368,Germany,7,2014,Construction,Neuhoff Massivbau
1369,Malaysia,118,2007,Technology,Xilnex
1370,South Korea,39,2014,Media,"Toothlife Co., Ltd."
1371,India,416,2012,Technology,Capital Numbers
1372,Japan,470,2002,Education,Insource
1373,Australia,6,2010,Health,Snowdome Foundation
1374,India,48,1991,Chemicals,Morex Industries
1375,Germany,15,2016,Retail,Velocultour
1376,Poland,65,2002,Personal & Household Goods,Domator24.com
1377,Spain,36,2008,Construction,IMASD EnergÃ­as
1378,Germany,860,2015,Support Services,HR XPERIENCE
1379,Poland,15,2012,Ecommerce,Ogrodosfera
1380,Australia,60,1997,Technology,The Missing Link
1381,Singapore,645,1992,Technology,AEM Holdings
1382,India,55,2016,Retail,hyperXchange
1383,India,180,2010,Agricultural Commodities,Mukka
1384,Australia,52,2001,Pharmaceuticals,The Clinuvel Group
1385,Japan,2,2016,Travel & Leisure,Ablaze
1386,Hungary,7,2011,Ecommerce,butorpiac.hu
1387,Czech Republic,44,2016,Technology,Success Solutions
1388,Spain,87,2012,Insurance,Herrero Brigantina
1389,Germany,11,2016,Advertising,peoplegrapher
1390,Italy,3,2013,Retail,Machines Broker
1391,Italy,77,2013,Advertising,Velvet Media Italia
1392,Netherlands,72,2012,Ecommerce,Sendcloud
1393,Australia,233,2015,Food & Beverage,Beston Global Food Company
1394,Japan,401,2014,Management Consulting,Vision Consulting
1395,Japan,38,2006,Transport,Kanazawa Jitsugyou
1396,Singapore,939,2000,Transport,GKE Corporation
1397,Philippines,245,1995,Construction,Aidea
1398,Singapore,45,2003,Technology,Data Connect Technologies
1399,Denmark,1,1989,Health,Bug Bite Thing Europe
1400,Italy,4,1984,Industrial Goods,Zara
1401,United Kingdom,104,2008,Fintech,Smarkets
1402,Italy,5,2013,Retail,Ds Glass
1403,Finland,50,2013,Technology,Liikennevirta
1404,India,"1,872",2004,Technology,QBurst
1405,South Korea,120,2012,Advertising,AD Efficiency
1406,Taiwan,42,2011,Industrial Goods,Major-Power Technology
1407,Taiwan,Not found,1988,Technology,Accton
1408,Japan,410,1997,Retail,Elan
1409,Singapore,78,2014,Health,Nuffield Dental Holdings
1410,Estonia,24,2015,Technology,Dexatel
1411,Italy,6,2015,Construction,Gemco
1412,Germany,62,2011,Technology,truu Wasserweik
1413,Italy,38,2012,Technology,Contrader
1414,Denmark,16,2010,Technology,ClickLearn
1415,Romania,28,2015,Cyber Security,MetaMinds
1416,Finland,2,2014,Automobiles,Prestige Car Center
1417,India,131,2010,Agricultural Commodities,Mukka
1418,Australia,114,2008,Advertising,Apparent
1419,India,300,2012,Technology,ERGOS The GrainBank
1420,India,28,2004,Chemicals,Kenergie
1421,Taiwan,207,2012,Health,EirGenix
1422,Japan,271,2007,Property,AMBITION
1423,France,Not found,2015,Construction,Lyonnaise de Construction et Renovation
1424,France,50,2012,Management Consulting,Skills RH
1425,Italy,25,2015,Industrial Goods,Idrowatt Italia
1426,Italy,50,2014,Retail,Progetto Olimpo
1427,United Kingdom,131,2009,Energy,Eland Oil & Gas**
1428,India,47,2010,Management Consulting,Athena Infonomics
1429,Taiwan,26,1986,Games industry,Antec
1430,India,791,2011,Technology,InfoBeans
1431,India,305,1995,Sales & Marketing,izmo
1432,UK,702,2012,Food & Beverage,Gousto
1433,UK,6,2010,Beauty,Winter in Venice
1434,Italy,3,2016,Energy,Green Team
1435,Italy,20,2013,Advertising,Web Stars Channel
1436,Hungary,3,2006,Agricultural Commodities,InTradeLog
1437,Taiwan,725,1981,Industrial Goods,DFI
1438,India,185,2011,Technology,Nividous
1439,Japan,12,2007,Technology,HIGHRESO
1440,Philippines,5649,1988,Fashion,"GOLDEN ABC,Â Inc."
1441,Taiwan,Not found,2004,Technology,Aspeed Technology
1442,Germany,72,2007,Construction,Infratech Bau
1443,Italy,46,2016,Construction,4Streets Building Innovation Tunnels Bridges Roads
1444,France,55,2016,Construction,Groupe N.A.T
1445,Portugal,31,2012,Beauty,Fancystage Unipessoal
1446,United Kingdom,29,2012,Technology,Gecko Labs
1447,Singapore,12,2016,Property,SRI
1448,Japan,142,2001,Technology,Doctor Qube
1449,Japan,543,2007,Technology,DONUTS
1450,Taiwan,Not found,2004,Ecommerce,Momo
1451,India,87,1985,Aerospace & Defence,Sika
1452,Singapore,Not found,1997,Travel & Leisure,UnUsUal
1453,UK,95,2013,Fintech,Landbay
1454,Spain,57,2013,Industrial Goods,Steros GPA Innovative
1455,Slovakia,6,2012,Interiors,Laudaco
1456,United Kingdom,10,2014,Technology,Silxo
1457,Japan,70,2015,Travel & Leisure,tripla
1458,Singapore,256,2016,Energy,Union Gas
1459,Singapore,5,2016,Support Services,iideas
1460,Japan,134,2013,Media,GameWith
1461,Singapore,45,2009,Technology,Rolling Arrays Consulting
1462,Sweden,18,2012,Technology,Degoo
1463,France,57,2015,Waste management & recycling,Sas Remove
1464,Italy,60,2008,Automobiles,Vetrocar & Bus
1465,Czech Republic,5,2012,Energy,SOLSOL
1466,Taiwan,102,2013,Media,The News Lens
1467,India,329,2012,Ecommerce,Furlenco
1468,India,"5,300",2014,Property,Square Yards
1469,India,311,2007,Transport,Sevenseas
1470,Taiwan,1293,2008,Restaurants,Tofu Restaurant Group
1471,Australia,8,2013,Ecommerce,Yellow Octopus
1472,Germany,320,2016,Food & Beverage,Franco Fresco
1473,Switzerland,107,2013,Technology,Frontify
1474,Spain,90,2011,Fintech,Movetia Digital
1475,Italy,6,2014,Advertising,Synapsy*
1476,Bosnia and Herzegovina,71,2015,Technology,Ministry of Programming
1477,Australia,20,2015,Fintech,Peppermint Innovation
1478,Japan,42,2015,Sales & Marketing,Blue Mark Confidence
1479,India,436,2015,Industrial Goods,Brightflexi
1480,Singapore,18,2005,Food & Beverage,Actspand
1481,Japan,144,2006,Fintech,MINKABU THE INFONOID
1482,UK,84,2014,Fintech,Lendable
1483,Germany,6,2014,Education,Ulrich MÃ¼ller Wealth Academy
1484,Spain,290,2014,Technology,AnyTech365
1485,Germany,32,2014,Industrial Goods,GPS GmbH
1486,Germany,18,2004,Technology,Ramge Software Distribution
1487,United Kingdom,901,2015,Technology,Genius Sports Group*
1488,India,120,2015,Waste management & recycling,Hasiru Dala Innovations
1489,India,36,2009,Technology,Transerve Technologies
1490,India,200,1998,Personal & Household Goods,Ankur
1491,Taiwan,306,1998,Technology,Machvision
1492,Taiwan,70,2007,Technology,inergy Technology
1493,Germany,84,2012,Health,cerascreen
1494,Hungary,52,2013,Retail,FirstPhone
1495,Italy,17,2004,Education,Canadian School Of Milan
1496,France,8,2013,Retail,ITP TECHNOLOGIE
1497,Japan,35,2011,Advertising,Docodoor
1498,Japan,30,2014,Financial Services,Crowd Bank
1499,Japan,221,2000,Telecoms,Fibergate
1500,Singapore,61,1989,Technology,ESCO
1501,Australia,55,2012,Advertising,Supple Solutions
1502,France,43,2011,Energy,Eqinov
1503,Italy,55,2016,Restaurants,Arte E Passione
1504,Italy,9,2010,Energy,Treesystem
1505,Italy,7,2014,Ecommerce,Letisan (RocketBaby)
1506,South Korea,16,2013,Health,Delight Room
1507,Singapore,9,2017,Fintech,Triple A Technologies
1508,Malaysia,13,2005,Energy,Saluran Pasifik
1509,Japan,5048,1954,Industrial Goods,Advantest
1510,Italy,12,1996,Food & Beverage,Serre Famiglia Pederiva Viticoltori dal 1958
1511,Germany,24,2014,Advertising,dWD Werbeagentur
1512,France,2,2013,Technology,GT Company
1513,Portugal,3,2015,Agricultural Commodities,Santigado
1514,Australia,27,2010,Advertising,Hotglue
1515,India,617,2005,Construction,Tuaman
1516,Singapore,"3,188",1999,Technology,Nanofilm Technologies International
1517,Philippines,3500,1975,Food & Beverage,Mega Fishing Corporation
1518,Singapore,35,2009,Management Consulting,clickTRUE
1519,UK,170,2013,Ecommerce,Bloom & Wild
1520,Germany,56,2015,Technology,MessengerPeople
1521,France,3,2014,Technology,Osiway
1522,Germany,17,2014,Retail,Kombitex
1523,India,"3,792",1982,Technology,Mastek
1524,Singapore,31,2014,Interiors,AJ2
1525,Singapore,26,2011,Industrial Goods,Mlion Corporation
1526,India,187,2012,Technology,Polestar Solutions
1527,Taiwan,Not found,2009,Batteries,Long Time Technology
1528,Japan,1433,1975,Support Services,JAC Recruitment
1529,Germany,29,2016,Automobiles,BrÃ¤utigam
1530,Finland,7,2006,Construction,Newil & Bau
1531,Germany,18,2004,Support Services,Soorce
1532,Netherlands,25,2010,Financial Services,Mint Tower Capital Management
1533,United Kingdom,381,2014,Health,Tower Hamlets GP Care Group
1534,Australia,20,2003,Energy,Regen Power
1535,Singapore,11,2012,Media,Rewind Networks
1536,Taiwan,Not found,2009,Technology,MA tek
1537,India,2214,1986,Personal & Household Goods,Jindal Worldwide
1538,Taiwan,Not found,2011,Technology,M31 Technology
1539,Spain,411,2015,Fintech,ID Finance
1540,Germany,24,2014,Retail,wasserneutral
1541,Italy,4,2012,Precious metals,Kiara Bijoux
1542,Germany,15,2014,Property,DEFAMA Deutsche Fachmarkt
1543,Japan,149,2005,Technology,Flect
1544,South Korea,20,2006,Advertising,V Wonderland Extension
1545,India,"1,026",1995,Technology,Dynacons
1546,South Korea,12,2011,Beauty,Swagger
1547,Taiwan,Not found,1977,Technology,Kingstate
1548,Japan,471,2011,Retail,Valuence
1549,Sweden,600,2014,Health,Kry
1550,Italy,25,2015,Technology,Sixth Sense
1551,Denmark,15,2007,Energy,Dall Energy
1552,Spain,8,2014,Telecoms,Syntelix Avances TecnolÃ³gicos
1553,Poland,248,2012,Food & Beverage,Etno Cafe
1554,United Kingdom,90,2007,Games industry,Lockwood Publishing
1555,South Korea,12,2013,Advertising,TPMN
1556,Philippines,352,2012,Support Services,D&V Philippines
1557,India,28,2015,Transport,Trukky
1558,Taiwan,60,1990,Technology,Yield Microelectronic
1559,Japan,64,2000,Technology,Property Data Bank
1560,Taiwan,118,2011,Health,Icares Medicus
1561,Italy,19,2014,Cyber Security,Nethive
1562,UK,8,2016,Financial Services,Latitude Investment Management
1563,UK,31,2015,Media,Performance54
1564,Germany,14,2013,Support Services,ISO Recruiting Consultants
1565,United Kingdom,94,2015,Telecoms,Plan Communications Holding
1566,India,121,2009,Technology,Maruti Techlabs
1567,Japan,55,2013,Support Services,TransACT
1568,Australia,32,2005,Technology,Source Central
1569,Taiwan,9300,1986,Technology,Lotes
1570,Taiwan,Not found,2009,Beauty,Shiny Brands
1571,Sweden,68,2015,Fintech,Qred
1572,Germany,55,2016,Technology,oculavis
1573,Estonia,347,2008,Fintech,IuteCredit Europe
1574,Italy,2,2012,Construction,Mpfinance
1575,Italy,28,2014,Retail,Roberto Demeglio
1576,Germany,15,2011,Industrial Goods,AM-Lagertechnik
1577,Italy,37,2011,Telecoms,Globalwork
1578,India,318,2009,Health,Oasis Fertility
1579,India,200,2014,Food & Beverage,Jayshree Grain
1580,South Korea,40,2013,Cyber Security,Logpresso
1581,India,13500,2011,Support Services,World Class Services
1582,Vietnam,19237,1991,Financial Services,Sacombank
1583,India,23,2010,Pharmaceuticals,Del Trade International
1584,Italy,30,2015,Technology,The Information Lab
1585,Germany,10,2015,Construction,MD Sonnenschutztechnik
1586,Italy,115,2014,Ecommerce,Everli
1587,Germany,27,2013,Advertising,"DMS GmbH, Druckerei, Werbung und Marketing"
1588,Italy,45,2014,Telecoms,Elettro TLC
1589,Spain,21,2012,Telecoms,Parlem Telecom 
1590,Spain,295,2014,Technology,Anteco Systems (AnyTech365)
1591,India,"3,238",1998,Support Services,Indegene
1592,Philippines,232,1962,Telecoms,PT&T
1593,Philippines,554,2005,Health,CHSI
1594,Taiwan,322,1994,Retail,Gseven
1595,Malaysia,37,2003,Health,LAC Medical Supplies
1596,Australia,45,2004,Financial Services,Mackay Goodwin
1597,Croatia,43,2017,Technology,Syntio
1598,Germany,125,2005,Technology,Hexonia
1599,United Kingdom,224,2011,Fintech,iwoca
1600,Bulgaria,Not found,2015,Technology,Xtream Codes
1601,Bulgaria,58,2014,Technology,Mobile Wave Solutions
1602,Taiwan,471,2005,Technology,TPIsoftware Corporation
1603,Japan,18,2011,Retail,Re Blast
1604,Singapore,7,1990,Retail,Sin Chwee Mini Mart
1605,Philippines,38510,1967,Financial Services,BDO Unibank
1606,Japan,582,1991,Management Consulting,Nihon M&A Center
1607,Australia,429,2013,Fintech,Lendi
1608,Denmark,13,2016,Financial Services,Bomae
1609,Germany,12,2016,Property,CREST Investment
1610,Croatia,24,2013,Technology,AGRIVI d.o.o.
1611,Germany,42,2013,Support Services,Motius
1612,Greece,234,2011,Energy,Watt And Volt
1613,Sweden,8,2012,Technology,84codes
1614,India,104,2009,Industrial Goods,Arabian Petroleum Limited
1615,Singapore,15,1996,Support Services,Business Edge Personnel Services
1616,India,150,2005,Pharmaceuticals,SPC Lifesciences
1617,India,605,2013,Food & Beverage,Sheetal
1618,Hong Kong,1042,1994,Property,The Executive Centre
1619,Singapore,1135,1828,Industrial Goods,Boustead Singapore
1620,UK,18,2014,Technology,Gophr
1621,Germany,110,2012,Retail,Memory PC
1622,Italy,5,2012,Construction,Ab Costruzioni
1623,Italy,38,2012,Construction,Geodem-Ambiente
1624,Germany,54,2011,Support Services,VH24
1625,United Kingdom,45,2015,Financial Services,JBR Capital
1626,India,164,2015,Health,Onco-Life Hospitals
1627,Australia,300,2005,Fintech,Money3
1628,India,108,1988,Financial Services,Bansal Credits
1629,India,3309,1995,Construction,Sobha
1630,Australia,341,2008,Architecture,Architectus
1631,Germany,6,2017,Retail,Sollis SolargroÃhandel
1632,UK,44,2015,Technology,Phrasee
1633,Netherlands,9,2012,Support Services,JAM
1634,Estonia,8,2015,Industrial Goods,PlasmaPro
1635,France,155,2014,Management Consulting,DataValue Consulting
1636,Singapore,90,2014,Health,Nuffield Dental
1637,Philippines,46,2005,Technology,Clixlogic
1638,Japan,58,2012,Property,Loadstar Capital
1639,Singapore,31,2006,Sales & Marketing,DTC World Corporation
1640,Japan,116,1995,Ecommerce,Papyless
1641,Taiwan,Not found,2014,Media,Bossdom Digiinnovation
1642,Greece,123,2015,Automobiles,Spotawheel
1643,UK,83,2012,Personal & Household Goods,Ooni Pizza Ovens
1644,France,44,2007,Telecoms,Fibtel
1645,Italy,27,2015,Construction,TES Group
1646,Italy,5,2010,Travel & Leisure,Over The Lux
1647,Poland,51,2014,Technology,Seargin
1648,Germany,4,2012,Retail,A.N.NE
1649,Japan,400,2005,Technology,"EXTREME Co.,Ltd."
1650,India,"14,230",2011,Support Services,Access Healthcare Services
1651,India,33,2014,Telecoms,Firefly Networks Limited
1652,Philippines,136,1969,Support Services,St. Martin COOP
1653,India,341,2007,Media,FutureWorks
1654,Singapore,159,2012,Travel & Leisure,Connect Group
1655,Germany,35,2015,Retail,Robovox Distributions
1656,Poland,575,2013,Technology,RTB House
1657,Sweden,309,2005,Media,Storytel
1658,Sweden,100,2014,Technology,Fram Skandinavien
1659,Italy,292,2009,Support Services,Versoprobo
1660,Singapore,200,1990,Support Services,E-Tech Building Services
1661,Japan,131,2011,Energy,Shizen Energy
1662,Thailand,30,2016,Technology,OKKAMI
1663,Taiwan,47,2004,Technology,Silicon Optronics
1664,Singapore,496,2009,Technology,Procurri Corporation
1665,Taiwan,Not found,2012,Ecommerce,KuoBrothers
1666,UK,650,2000,Technology,CentralNic Group
1667,UK,17,2012,Fintech,Savvy Investor
1668,Italy,10,2013,Food & Beverage,LG Surgelati
1669,Italy,13,2012,Pharmaceuticals,Easypharm
1670,Czech Republic,18,2013,Advertising,Proficio Marketing
1671,United Kingdom,15,2014,Media,Reverse Media Group
1672,Philippines,160,2007,Property,STA. LUCIA
1673,India,175,2008,Personal & Household Goods,Nexon Paints
1674,South Korea,30,2013,Support Services,GSIL
