,company_location,company_industry,company_name
109,"VIA DEL BOTTEGHINO 24/26, SCANDICCI, 50018, FIRENZE, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Trasporti Internazionali Agenzia Marittima Savino Del Bene Spa
110,"VIA PIERO MARONCELLI 10, FORLI', 47121, FORLI'-CESENA, ITALY",Retail Trade,Unieuro Spa
111,"VIA XII OTTOBRE 1, GENOVA, 16121, GENOVA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Axpo Italia Spa
112,"VIA BIGLI 21, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Sind International Srl
113,"VIA NAZIONALE 41, BUTTRIO, 33042, UDINE, ITALY",Manufacturing,Danieli & C. Officine Meccaniche Spa
114,"ZONA A.S.I.CAPANNONE 18, GRICIGNANO DI AVERSA, 81030, CASERTA, ITALY",Retail Trade,Md Spa
115,"EX S.S. 114 KM 146 SNC, PRIOLO GARGALLO, 96010, SIRACUSA, ITALY",Manufacturing,Isab Srl
116,"CORSO REGINA MARGHERITA 165, TORINO, 10144, TORINO, ITALY","Finance, Insurance, and Real Estate",Astm Spa
117,"VIA AMASENO 24, LATINA, 04100, LATINA, ITALY",Services,Alessandro Patane' Srl
118,"VIA PUGLIA 15, TORINO, 10156, TORINO, ITALY",Manufacturing,Fpt Industrial Spa
119,"PIAZZALE LUIGI CADORNA 3, MILANO, 20123, MILANO, ITALY",Wholesale Trade,Luxottica Group Spa
120,"VIA LODOVICO SEITZ 47, TREVISO, 31100, TREVISO, ITALY","Finance, Insurance, and Real Estate",De' Longhi Spa
121,"VIA ENERGY PARK 14, VIMERCATE, 20871, MONZA E BRIANZA, ITALY",Manufacturing,Bridgestone Europe Nv Sa
122,"PIAZZA IV NOVEMBRE 5, MILANO, 20124, MILANO, ITALY",Services,Gi Group Spa
123,"VIA EMILIO CORNALIA 30, MILANO, 20124, MILANO, ITALY","Finance, Insurance, and Real Estate",Cnp Unicredit Vita Spa
124,"VIALE EDOARDO JENNER 4, MILANO, 20159, MILANO, ITALY",Manufacturing,Mapei Spa
125,"VIA SASSOFERRATO 1, MILANO, 20135, MILANO, ITALY","Finance, Insurance, and Real Estate",Emme Esse Vi Srl
126,"VIA TORRI BIANCHE 6, VIMERCATE, 20871, MONZA E BRIANZA, ITALY",Services,Nintendo Of Europe Gmbh
127,"PIAZZA SANTA BARBARA 7, SAN DONATO MILANESE, 20097, MILANO, ITALY","Finance, Insurance, and Real Estate",Snam Spa
128,"CORSO DI PORTA VITTORIA 4, MILANO, 20122, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",A2a Energia Spa
129,"VIA MARCHESE CAMPODISOLA 13, NAPOLI, 80133, NAPOLI, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Grimaldi Group Spa
130,"VIA VALPANTENA 18/G, VERONA, 37142, VERONA, ITALY",Services,Veronesi Holding Spa
131,"VIA FELICE MATTEUCCI 2, FIRENZE, 50127, FIRENZE, ITALY",Manufacturing,Nuovo Pignone International Srl
132,"VIA ENRICO MATTEI 50, DUEVILLE, 36031, VICENZA, ITALY","Finance, Insurance, and Real Estate",Gruppo Unicomm Spa
133,"VIA PALERMO 26/A, PARMA, 43122, PARMA, ITALY",Manufacturing,Chiesi Farmaceutici Spa
134,"STRADELLO MARCHE 6, PARMA, 43121, PARMA, ITALY","Finance, Insurance, and Real Estate",Valline Srl
135,"VIALE GIORGIO RIBOTTA 51, ROMA, 00144, ROMA, ITALY",Retail Trade,Eni Fuel Spa
136,"VIA FRATELLI DI DIO 2, NOVATE MILANESE, 20026, MILANO, ITALY","Finance, Insurance, and Real Estate",Comifar Spa
137,"STRADA PROVINCIALE ARCEVIESE 139/A, FABRIANO, 60044, ANCONA, ITALY",Manufacturing,Whirlpool Emea Spa
138,"VIA DELL'UNIONE EUROPEA 1, SAN DONATO MILANESE, 20097, MILANO, ITALY",Retail Trade,Bmw Italia Spa
139,"VIA BURE VECCHIA NORD 10, PISTOIA, 51100, PISTOIA, ITALY",Wholesale Trade,Conad Nord Ovest Societa' Cooperativa A R.l.
140,"VIA SANTA REPARATA 43, FIRENZE, 50129, FIRENZE, ITALY","Finance, Insurance, and Real Estate",Unicoop Firenze Soc Coop
141,"VIA CAMPALTO 3/D, SAN MARTINO BUON ALBERGO, 37036, VERONA, ITALY",Wholesale Trade,Spesa Intelligente Spa
142,"PIAZZA SALIMBENI 3, SIENA, 53100, SIENA, ITALY","Finance, Insurance, and Real Estate",Banca Monte Dei Paschi Di Siena Spa
143,"VIALE GIUSEPPE MAZZINI 14, ROMA, 00195, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Rai Radiotelevisione Italiana Spa
144,"VIA PORTICI UMBERTO I 5/3, MALCESINE, 37018, VERONA, ITALY","Finance, Insurance, and Real Estate",De La Costa Srl
145,"VIA MONTE BALDO 20, VILLAFRANCA DI VERONA, 37062, VERONA, ITALY","Finance, Insurance, and Real Estate",Calzedonia Holding Spa
146,"PIAZZETTA GIORDANO DELL'AMORE 3, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Eurizon Capital Sgr Spa
147,"VIA AMILCARE PONCHIELLI 7, MILANO, 20129, MILANO, ITALY","Finance, Insurance, and Real Estate",Finiper Canova Group Spa
148,"VIA SAN CARLO 8/20, MODENA, 41121, MODENA, ITALY","Finance, Insurance, and Real Estate",Bper Banca Spa
149,"VIA DELLE INDUSTRIE 8, SPINEA, 30038, VENEZIA, ITALY","Finance, Insurance, and Real Estate",Gecos - Generale Di Commercio E Servizi Spa
150,"VIA DELLE INDUSTRIE 8, SPINEA, 30038, VENEZIA, ITALY",Wholesale Trade,Gruppo Pam Spa
151,"CIRCONVALLAZIONE IDROSCALO SNC, SEGRATE, 20054, MILANO, ITALY",Services,Ibm Italia Spa
152,"VIALE EUROPA 2, STEZZANO, 24040, BERGAMO, ITALY",Manufacturing,Brembo Spa
153,"VIA MONTE ORTIGARA 5, BERGAMO, 24121, BERGAMO, ITALY","Finance, Insurance, and Real Estate",Nuova Fourb Srl
154,"VIA MONTE PENICE 7, MILANO, 20138, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Sky Italia Srl
155,"VIA MANTOVA 166, PARMA, 43122, PARMA, ITALY",Manufacturing,Barilla G. E R. Fratelli Spa
