,company_founded,company_location,company_industry,company_name,company_employees,company_website
368,['1999 by William J McCaffery as  McCaffery Energy Group Inc'],['Calgary'],['Oil and gas industry'],MEG Energy Corp.,['485 (June 2013)'],"['www', '.megenergy', '.com']"
369,['1924'],"['Saint John, New Brunswick']",['Oil and petroleum'],Irving Oil Ltd.,[],"['www', '.irvingoil', '.com']"
370,[],"['Calgary', 'Alberta']","['Petroleum and Natural Gas Exploration, Development and Production']",Ridgeback Resources Inc.,[],"['www', '.ridgeback', '.com']"
371,"['Calgary', 'Alberta', 'Canada']",['Headquarters in Calgary; oil and gas wells throughout western Canada'],['Oil and natural gas'],Obsidian Energy Ltd.,"['300 (2017)', '[1]']","['www', '.obsidianenergy', '.com']"
372,[],"['Calgary, Alberta', 'Canada']",['Oil & Gas Drilling & Exploration'],First Calgary Petroleums Ltd.,"['64 (2008)', '[1]']","['www', '.fcpl', '.ca']"
373,['2005'],"['Chennai', 'Tamil Nadu']","['Film, Producer']",Studio Green,[],['http://studiogreen.in']
374,['2009'],"['Toronto', 'Ontario']",['Oil and Gas'],Frontera Energy,"['2,506']",['www.fronteraenergy.ca']
375,[],"['Calgary, Alberta', 'Canada']",['Oil & Gas Drilling & Exploration'],Enerplus Corporation,"['~400', '[2]']","['www', '.enerplus', '.com']"
376,"['April\xa030,\xa01949', '(as Interprovincial Pipe Line Company)']","['Calgary', 'Alberta']",['Oil and gas'],Enbridge Inc.,"['11,000+']",[' ']
377,['2001 as Crescent Point Energy Ltd.'],['Calgary'],['Oil and gas industry'],Crescent Point Energy Corp.,[],"['www', '.crescentpointenergy', '.com']"
378,['2009'],"['Calgary', 'Alberta']","['Oil', 'Natural gas']",Cenovus Energy Inc.,"['~2,300 (2019)']","['www', '.cenovus', '.com']"
379,['1956'],['Chennai'],"['Entertainment', 'Software']",Sivaji Productions,[],[]
380,['1995'],['Kolkata'],[],Shree Venkatesh Films,[],['SVF']
381,['2001'],"['Mumbai', 'Maharashtra', 'India']",['Motion picture'],Shree Ashtavinayak Cine Vision Ltd,[],[]
382,[],"['Mumbai, Maharastra']",[],Sahara One,[],[]
383,['7\xa0November 1973'],"['Calgary, Alberta']",['Petroleum industry'],Canadian Natural Resources Limited,"['9,709 (2021)']","['www', '.cnrl', '.com']"
384,['1993'],['Calgary'],['Petroleum industry'],Baytex Energy Corp.,[],"['www', '.baytexenergy', '.com']"
385,['1996'],"['Calgary', 'Alberta']",['Oil and gas'],ARC Resources Ltd.,['500 (2021)'],"['www', '.arcresources', '.com']"
386,"['Tullow', 'Ireland']","['London, United Kingdom']",['Oil and gas exploration'],Tullow Oil plc,[],"['www', '.tullowoil', '.com']"
387,[],['London'],['Oil and gas industry'],Regal Petroleum plc,[],"['www', '.regalpetroleum', '.com']"
388,['1947'],['Mumbai'],['Entertainment'],Rajshri Productions,[],"['www', '.rajshri', '.com']"
389,['1997'],"['Gurgaon', 'India']",[],PVR Pictures Limited,[],"['www', '.pvrpictures', '.com']"
390,['1970'],"['Jubilee Hills', 'Hyderabad']",['Entertainment'],Padmalaya Studios,[],[]
391,"['Mumbai, Maharashtra']","['Mumbai, Maharashtra', 'India']",['Entertainment'],Nadiadwala Grandson Entertainment Pvt. Ltd,[],"['www', '.nadiadwalagrandson', '.com']"
392,['Subhash Ghai'],"['Mumbai', 'India']",['Entertainment'],Mukta Arts Ltd.,[],['Mukta Arts']
393,"['Chennai', 'Tamil Nadu']","['Chennai', 'India']",['Entertainment'],Madras Talkies,[],"['www', '.madrastalkies', '.com']"
394,"['Chennai', 'Tamil Nadu', 'India']","['Chennai', 'India']",['Entertainment'],Lyca Productions,[],"['www', '.lycaproductions', '.in']"
395,['1981'],['Chennai'],['Entertainment'],Kavithalayaa Productions Private Limited,[],[]
396,['1934'],"['London', 'UK']",['Oil'],Premier Oil plc,[],['www.premier-oil.com']
397,[],['Aberdeen'],['Oil and gas industry'],Dana Petroleum,['580'],"['dana-petroleum', '.com']"
398,['17\xa0February 1997'],['Windsor'],['Utilities'],Centrica plc,"['20,000 (2021)', '[2]']","['www', '.centrica', '.com']"
399,['1981'],"['Edinburgh', 'Scotland', 'UK']",['Oil and gas'],Capricorn Energy PLC,[],"['www', '.capricornenergy', '.com']"
400,"['1991', ' ', '1998', ' ']","['Kyiv', 'Ukraine']",['Oil and gas'],Naftogaz of Ukraine,"['68,386 ', '(2018)', '[2]']","[', ']"
401,['2001'],"['Stockholm, Sweden']",['Petroleum'],Lundin Energy AB,"['448 (end 2020', '[1]', ')']",['www.lundin-energy.com']
402,['1987'],"['Madrid', 'Spain']",['Petroleum'],Repsol S.A.,"['24,134 ', '(2021)', '[1]']",['www.repsol.com']
403,"['Madrid', 'Spain']","['Madrid', 'Spain']",['Petroleum'],"CompaÃ±Ã­a EspaÃ±ola de PetrÃ³leos, S.A.U.","[' 10,119 ', '(2018)', '[2]', ':\u200a69\u200a']","['www', '.cepsa', '.com']"
404,"['1\xa0October 2005', ' ', '1949', ' ']","['Novi Sad', 'Serbia']",['Petroleum'],Naftna Industrija Srbije,"['6,182 ', '(2018)']","['nis', '.rs']"
405,['1950'],"['Almetyevsk', 'Russia']",['Oil and gas'],PJSC Tatneft,"['60,000 (2019)\xa0']","['www', '.tatneft', '.ru']"
406,['1977'],['Surgut'],['Oil and gas'],Surgutneftgas,"['92,935']","['www', '.surgutneftegas', '.ru', '/en', '/']"
407,['1994'],['Yuzhno-Sakhalinsk'],['Petroleum'],Sakhalin Energy,"['2,230', '[2]', '\xa0(2190 (2020))']",['sakhalinenergy.com']
408,['2005'],"['Moscow', 'Russia']",['Oil and gas'],Rusneftegaz,[],"['rusneftegaz', '.com']"
409,['2002'],"['Moscow', 'Russia']",['refining'],Russneft,"['10,000 (2020)']",['http://www.russneft.ru/eng/']
410,['1940'],"['Madras', 'Hollywood']",['Motion pictures'],Gemini Studios,[],['http://geminiindia.in']
411,['March\xa02008'],"['Mumbai', 'Maharashtra', 'India']",['Motion pictures'],Star Studios,[],"['www', '.disneystar', '.com', '/about-us', '/movies', '/']"
412,['1999'],"['Mumbai', 'Maharashtra', 'India']",['Motion pictures'],Excel Entertainment,[],['Excel Entertainment']
413,"['Mumbai', 'Maharashtra', 'India']","['Mumbai', 'India']",['Media & Entertainment'],Eros International Media Ltd,[],['Eros International']
414,['Bangalore'],"['Bangalore', 'India']",['Film Production'],Felis Creations Pvt Ltd,[],"['felis', '.in']"
415,['February 1988 (as Eskay Video Private Limited)'],"['Kolkata', 'West Bengal', 'India']",[],Eskay Movies,[],"['eskaymovies', '.com']"
416,"['Mumbai', 'Maharashtra']","['Mumbai', 'Maharashtra']",['Entertainment'],Dharma Productions Pvt. Ltd.,[],['dharma-production.com']
417,['2008'],"['Chennai', 'Tamil Nadu', 'India']",['Films'],Cloud Nine Movies Pvt. Ltd,[],[]
418,['2009'],"['Mumbai', 'India']","['Film production', 'Film distribution']",DAR Motion Pictures,[],"['www', '.darproductionhouse', '.com']"
419,['October 2013'],"['Mumbai', 'Maharashtra', 'India']",['Entertainment'],Clean Slate Filmz,[],['https://cleanslatefilmz.com']
420,['February 2010'],"['Ahmedabad', 'Gujarat']",['Entertainment'],CineMan Productions,[],['CineMan Productions']
421,['August\xa01994'],['Tarko-Sale'],['Oil and gas'],Novatek PJSC,"['5,997 ', '[2]']","['www', '.novatek', '.ru', '/en', '/']"
422,['1992'],"['Geneva', 'Switzerland']",['Oil and gas'],ARETI International Group,[],"['www', '.aretigroup', '.com']"
423,['1993'],['Moscow'],['Petroleum'],PJSC Rosneft,"['334,600 (2019)\xa0']","['rosneft', '.com']"
424,['1946'],"['Ufa', 'Russia']",['Oil and gas industry'],Bashneft OAO,"['8,150']","['www', '.bashneft', '.com']"
425,['25\xa0November 1991'],['Moscow'],['Oil and gas'],PJSC Lukoil,"['101,000 (2019)\xa0']",['lukoil.com']
426,['1976'],"['Warsaw', 'Poland']",['Oil and gas'],Polskie GÃ³rnictwo Naftowe i Gazownictwo SA,"['24,763 (2018)\xa0']",['www.pgnig.pl']
427,[],[],[],Rompetrol,[],['Rompetrol.kmginternational.com']
428,['1991'],"['PetromCity', 'Bucharest', 'Romania']",['Oil and gas industry'],OMV Petrom S.A.,"[' 17,799 (2014)']","['www', '.omvpetrom', '.com']"
429,"['April\xa022,\xa01999']",['Lisbon'],['Petroleum industry'],"Galp Energia, SGPS, S.A.","['6,389 ', '(2021)', '[1]']","['www', '.galp', '.com']"
430,['PÅock'],"['PÅock', 'Poland']",['Petroleum'],PKN Orlen S.A.,"['20,262 (2017)', '[2]']","['orlen', '.pl']"
431,[],"['Bergen', 'Norway']",['Oil and gas'],Rocksource ASA,['40 (Dec 2007)'],[]
432,['2003'],['GdaÅsk'],['Oil and gas'],Grupa Lotos S.A.,"['7,547']","['www', '.lotos', '.pl']"
433,['1945'],"['Vadapalani, Chennai']","['Film', 'television']",AVM Productions,[],"['www', '.avm', '.in']"
434,['2005'],"['Mumbai', 'India']",['Motion picture'],Anurag Kashyap Films,[],[]
435,"['1976', '1951']","['Hyderabad', 'Madras']","['Entertainment', 'Entertainment']",Annapurna Studios Pvt Ltd,[],"['Annapurna Studios', 'AISFM']"
436,['2000'],"['Mumbai', 'Maharashtra', 'India']",['Entertainment'],Ajay Devgn FFilms,[],"['ajaydevgnffilms', '.com']"
437,['2005'],"['Oslo', 'Norway']",['Oil and gas'],Norwegian Energy Company ASA,[],['Homepage']
438,['2005'],"['Oslo', 'Norway']",['Petroleum'],InterOil Exploration and Production ASA,['178 (2007)'],['www.interoil.no']
439,['14\xa0June 1972'],"['Stavanger', 'Norway']",['Petroleum industry'],Equinor ASA,"['21,126 (2021)', '[2]']","['www', '.equinor', '.com']"
440,['2001'],"['Mumbai', 'India']",['Entertainment'],Balaji Motion Pictures,[],"['balajitelefilms', '.com']"
441,['1971'],"['Oslo', 'Norway']",['Petroleum'],DNO ASA,"['911 ', '(end 2017)', '[1]']",['www.dno.no']
442,['2005'],"['Oslo', 'Norway']",['Petroleum'],Bayerngas Norge,[],[]
443,['2001\xa0'],['Fornebu'],['Oil and gas'],Aker BP ASA,"['2,400']","['www', '.akerbp', '.com', '/en', '/']"
444,[],"['ReykjavÃ­k', 'Iceland']",['Film'],RVK Studios,[],[]
445,['1943'],"['Athens, Greece']",['Film'],Finos Film,[],['www.finosfilm.gr']
446,"[' ', ' 2002 ']","['Berlin, Germany', 'Paris, France']","['Motion Pictures', 'Television']",Wild Bunch AG,[],"['wildbunch', '.eu']"
447,['Berlin'],"['Babelsberg', 'Potsdam', 'Brandenburg']",['Motion picture'],UFA,[],['ufa.de']
448,"['1912', 'Germany']",['Germany'],[],Babelsberg Film Studio,['92 (2017)\xa0'],[]
449,['1994'],['ChiÅinÄu'],"['Oil', 'natural gas']",Ascom Group,['500'],['Official site']
450,['1962'],"['Milan ', 'Italy']",['Energy'],Saras S.p.A.,"['1,946', '[2]']","['www', '.saras', '.it']"
451,"['June\xa02,\xa01938']","['Genoa', 'Italy']",['Renewable energy'],ERG S.p.A.,"['754', '[2]', '\xa0(2019)']","['www', '.erg', '.eu']"
452,['1884'],"['Milan', 'Italy']",['Energy industry'],Edison S.p.A.,"['5,372 (2018)']","['www', '.edison', '.it']"
453,['1933'],"['Rome', 'Italy']","['Energy', 'Oil']",api Anonima Petroli Italiana SpA,"['1500 ', '(2018)']",['http://www.apioil.com']
454,['1920'],"['Dublin', 'Republic of Ireland', 'Mallusk', 'County Antrim', 'Northern Ireland']",['Oil'],The Maxol Group,[],"['maxol', '.ie']"
455,['1957'],['Budapest'],"['Oil and gas', 'Retail', 'Mobility']",MOL Plc.,"['25,000 (2021)']","[' ', ' ']"
456,['1958 as '],"['Athens', 'Greece']",['Energy industry'],Hellenic Petroleum S.A.,"['3,500\xa0(', '2020', '[8]', ')']",['Official website']
457,[],['East Berlin'],[],Deutsche Film-Aktiengesellschaft,[],[]
458,"['Frankfurt', 'West Germany']",['Munich'],['Film production'],Constantin Film,['829 (December 2017)'],"['constantin-film', '.de']"
459,"['As MÃ¼nchener Lichtspielkunst AG (1919', ')', 'as Bavaria Film AG (21\xa0September\xa01932', ')']","['GrÃ¼nwald', 'Munich']",['Film industry'],Bavaria Film,['242 (2011)'],['www.bavaria-film.de']
460,['1988'],"['Paris', 'France']","['Filmmaking', 'Film distribution']",StudioCanal S.A.S.,[],"['www', '.studiocanal', '.com']"
461,['28\xa0September 1896'],['France\xa0'],['Entertainment'],PathÃ©,"['4,210 ', '(2017)', '[1]']",['Pathe.com']
462,['23\xa0June 1895'],['Neuilly-sur-Seine'],['Motion pictures'],Gaumont SA,"['173 ', '(2011)', '[1]']","['gaumont.fr', 'gaumont.net']"
463,['1995'],"['Paris', 'France']",['Film'],Les Films du Poisson,[],['filmsdupoisson.com']
464,"['April\xa021, 2008']","['Paris', 'France']",['Film'],Disneynature,[],['nature.disney.com']
465,"['1894 (Wintershall), 1899 (DEA, as Deutsche Tiefbohr-Actiengesellschaft, DTA)']","['Kassel', 'Hamburg']",['Gas and oil (exploration and production)'],Wintershall Dea,"['2,847', '[2]', '\xa0(2019)']",['wintershalldea.com']
466,['2008'],['Cannes'],['Film'],Adastra Films,[],"['www', '.adastra-films', '.com']"
467,['1975'],"['London', 'Paris']",['Petroleum industry'],Perenco,"['6,000']",['perenco.com']
468,['22\xa0July 2008'],"['La DÃ©fense', 'France']",['Electric utility'],Engie SA,"['171,100 (2019)']","['engie', '.com', '/en']"
469,['1948'],"['Espoo', 'Finland']",['Oil and gas industry'],Neste Oyj,"['4,872 ', '(2021)']",['www.neste.com']
470,['1998'],"['TÃ³rshavn', 'Faroe Islands']",['Petroleum'],Atlantic Petroleum P/F,"['around 30 ', '(end 2013)', '[1]']",['www.petroleum.fo']
471,"['14\xa0March 2006', ' (as DONG Energy)']","['Fredericia', 'Denmark']",['Electricity generation'],Ãrsted A/S,"[' 6,836 (end 2021)', '[2]']","['orsted', '.com']"
472,"['(1913), modern company 2002']","['HodonÃ­n', 'Czech Republic']",['petroleum'],MoravskÃ© naftovÃ© doly MND,['746 (2020)'],"['www', '.mnd', '.cz']"
473,['1 January 1964'],"['Zagreb', 'Croatia']",['Oil and gas'],"INA-Industrija nafte, d.d.","['INA Group: 9,751 (31 Dec 2021)', 'INA d.d.: 3,222 (31 Dec 2021)', '[2]']","['www', '.ina', '.hr']"
474,"['December\xa02, 1957']","['Springfield, Missouri']",['Retail'],"OâReilly Automotive, Inc.","['83,633 (2021)']","['www', '.oreillyauto', '.com']"
475,['1960'],"['Eau Claire', 'Wisconsin']","['Retail', 'home improvement']",Menards,"['45,000\xa0(2020)']",[' ']
476,['1963'],"['Columbus', 'Ohio']",['Retailing'],"Bath & Body Works, Inc.","['59,950 (2019)', '[3]']","['www', '.bbwinc', '.com']"
477,['1980'],"['Laval', 'Quebec']",['Retail'],Alimentation Couche-Tard Inc.,"['around 105,000 (2018)', '[1]']","['www.couche-tard.com', 'corpo.couche-tard.com']"
478,['1904'],"['Helsinki', 'Finland']","['Retail', 'Horeca']",S Group,"['37,283 ', '(2018)', '[1]']",['www.s-kanava.fi']
479,['1960'],"['Santiago', 'Chile']",['Retail'],Centros Comerciales Sudamericanos S.A.,"['126,530']",['www.cencosud.com']
480,"['Pacifica, California']","['Dublin, California']",['Retail'],"Ross Stores, Inc.","['88,100 (2019)']","['www', '.rossstores', '.com']"
481,"['Leeds', 'United Kingdom']",['London'],['Retail'],Marks & Spencer Group plc,"['78,000 (2022)', '[2]']",[' ']
482,['1956'],"['Vienna, Austria']","['Oil, gas, petrochemistry and recycling']",OMV Aktiengesellschaft,"['22,434 (2021)']",['OMV.com']
483,['6\xa0November 1906'],"['Valby', 'Copenhagen', 'Denmark']",['Entertainment'],Nordisk Film A/S,[],"['nordiskfilm', '.com']"
484,['Copenhagen'],"['Copenhagen', 'Denmark']",['Film production'],HF Productions,[],"['www', '.hf-productions', '.net']"
485,['1931'],"['Prague', 'Czech Republic']",['Motion pictures'],Barrandov Studios,['147 (2019)\xa0'],"['barrandov', '.cz']"
486,['1932'],"['Sofia', 'Bulgaria']",['Oil'],Petrol AD,[],[]
487,"['October\xa015, 1935']","['Vienna', 'Austria']",['Energy storage'],RAG Austria AG,"['196 (2020)', '[1]']",['www.rag-austria.at']
488,['1992'],"['Hvidovre', 'Denmark']",['Motion Picture'],Zentropa,[],"['zentropa', '.dk']"
489,['1942'],['Denmark'],['Film production'],Saga Film A/S,[],[]
490,['7\xa0August 2014'],['London'],['Consumer electronics'],Currys plc,"['35,000 ', '(2022)', '[1]']","['www', '.currysplc', '.com']"
491,['1981'],"['Vung Tau', 'Vietnam']",['Petroleum industry'],Vietsovpetro,[],"['www', '.vietsov', '.com', '.vn']"
492,['3\xa0May\xa01992'],"['Tashkent', 'Uzbekistan']","['oil and gas exploration', 'extraction']",Uzbekneftegaz,"['121,000 (2014)']",['http://www.ung.uz']
493,['1993'],"['Dubai', 'UAE']",[],Emirates National Oil Company (ENOC),"['9000+', '[1]']","['www', '.enoc', '.com']"
494,['1971 (restructured in 1988)'],['Abu Dhabi'],['Oil and gas'],Abu Dhabi National Oil Company,"['65,000 (2015)', '[1]']","['www', '.adnoc', '.ae']"
495,"['Verdun, Quebec']","['Montreal', 'Quebec']",['Supermarket'],Metro Inc.,"['90,000 (2020)', '[2]']","['metro.ca', 'corpo.metro.ca']"
496,['1967'],"['Casalecchio di Reno', 'Italy']",['Wholesale distribution'],Coop Italia,"['56,682 ', '(2010)']",['e-coop.it']
497,['1977'],['Hanoi'],['Oil and Gas'],PetroVietnam,[],"['www', '.pvn', '.vn', '/sites', '/en', '/Pages', '/default', '.aspx']"
498,"['Montreal', 'Quebec', 'Canada']","['Montreal', 'Quebec', 'Canada']","['Restaurants', 'Coffee', 'Retail Beverages', 'Entertainment']",Van Houtte,[],['Company website']
499,['1979'],['Seoul'],['Retail'],"Lotte Shopping Co., Ltd.",[],['www.lotteshoppingir.com']
500,"['Tenom District', 'Sabah', 'Malaysia']",['Tenom'],['Coffee'],Yit Foh Coffee Factory Sdn Bhd,[],"['www', '.yitfohcoffee', '.com']"
501,['2003'],"['Beijing', 'Hong Kong', 'China']","['Chinese cinema', 'Hong Kong Cinema']",Xstream Pictures,[],[]
502,['2011'],"['Beijing', 'China']",['Film'],Wanda Media,[],['http://www.wandamedia.cn']
503,['1925'],"['Shanghai', 'China']",['Film'],Tianyi Film Company,[],[]
504,"['March 23, 2005']","['Tsuen Wan', 'Hong Kong']",['film'],Sundream Motion Pictures Ltd.,[],['http://www.sundream-pictures.com']
505,['1953'],['Zagreb'],"['Animation', 'Film production']",Zagreb Film,[],"['zagrebfilm', '.hr']"
506,['27\xa0December 1958'],"['Hong Kong', 'Macau']",['Film production'],Shaw Brothers (HK) Ltd.,[],[]
507,['Hong Kong'],"['Hong Kong', 'Hong Kong']",['Cinema of Hong Kong'],"Win's Entertainment (Hong Kong) Co., Ltd.",[],[]
508,['1946'],"['Shanghai', 'China']",['Film'],Wenhua Film Company,[],[]
509,"['Shanghai', 'China']","['Shanghai', 'China']",['Entertainment'],Shanghai Animation Film Studio,[],"['www', '.ani-sh', '.com']"
510,"['29\xa0December 1978', ' (as Petroleum Authority of Thailand)']","['Chatuchak', 'Bangkok']",['Oil and gas industry'],PTT Public Company Limited,"['4,616 (PTT)', '24,680 (subsidiaries)']",[' ']
511,['1998'],"['Istanbul', 'Turkey']",['Energy'],ÃalÄ±k Enerji,[],"['www', '.calikenerji', '.com', '.tr', '/eng', '/']"
512,['1954'],"['Ankara', 'Turkey']",['Oil and gas industry'],TÃ¼rkiye Petrolleri Anonim OrtaklÄ±ÄÄ± (TPAO),"['4,800 (2013)']","['www', '.tpao', '.gov', '.tr']"
513,['2001'],"['Shanghai', 'China']","['film production', 'animations', 'dubbing']",Shanghai Film Group Corporation,[],['http://www.sfs-cn.com/']
514,['1983'],"['Daegu', 'South Korea']",['Gas utility'],Korea Gas Corporation,"['4,164']","['www', '.kogas', '.or', '.kr']"
515,['3 August 1961'],['Bangkok'],['Oil and Gas'],Thaioil,[],['Official website']
516,['1979'],"['Ulsan, South Korea']",['Petroleum'],Korea National Oil Corporation ,"['1,272 (2012)', '[2]']","['www', '.knoc', '.co', '.kr', '/ENG', '/main', '.jsp']"
517,['1962'],"['Colombo 9', 'Sri Lanka']",['Oil and gas'],Ceylon Petroleum Corporation,"[' 2,616 ', '(2019)', '[3]']","['ceypetco', '.gov', '.lk']"
518,['Singapore'],['Singapore'],"['Oil', 'Petroleum Refining', 'Aviation']",Singapore Petroleum Company,[],[]
519,['1974'],"['Doha', 'Qatar']",['Oil and gas'],QatarEnergy,[],"['www', '.qatarenergy', '.qa']"
520,"['November 9, 1973']",['Taguig'],['Oil'],Philippine National Oil Company,[],['[1]']
521,"['September\xa07, 1933', ' ']","[', ', ', ', ', ', ' ', 'SMC Head Office Complex, 40 San Miguel Avenue, ', ' 1550, ', ' ']","['Oil', 'Gas']",Petron Corporation,"['9,236 nationwide (2019)']","['www', '.petron', '.com']"
522,['1\xa0June\xa01946'],"['Kaohsiung City', 'Taiwan']",['Oil and gas'],CPC Corporation,"['14,787']","['en', '.cpc', '.com', '.tw']"
523,['Oxford Street'],"['Westminster', 'London']",['Retail'],John Lewis Partnership plc,"['80,000 (2022)', '[5]']","['johnlewispartnership', '.co', '.uk']"
524,['1932'],['Amsterdam'],['Retail'],SPAR,"['410,000 (2021)', '[1]']","['www', '.spar-international', '.com']"
525,['August\xa02002'],"['Copley Place', 'Boston', 'Massachusetts']",['E-commerce'],Wayfair Inc.,"['16,681 (2021)']","['wayfair', '.com']"
526,"['June 1, 1978 (Nihon Densen KÅgyÅ)', 'Former Yamada Denki founded on September 1, 1983', '(established in April 1973)']","['Takasaki', 'Gunma']",['Retail'],"Yamada-Denki Co., Ltd.","['21,261 (2013)']",['yamada-denki.jp']
527,['1984'],['Islamabad'],['Oil and Gas'],Mari Petroleum Company Limited,['1219'],"['mpcl', '.com', '.pk']"
528,['December 2008'],[],['E-commerce'],Vipshop,[],[]
529,['1991'],"['West Chester, Pennsylvania', ', U.S.', '[1]']","['Media', 'holding company']","Qurate Retail, Inc.","['28,255', '[3]', '\xa0(2017)']","['qurateretailgroup', '.com']"
530,"['Phoenix', 'Arizona', 'United States']","['Phoenix, Arizona']",['Retail'],PetSmart Inc.,"['56,000 (2020)', '[3]']","['www', '.petsmart', '.com']"
531,"['February\xa06, 1984']","['Marlborough, MA']","['Retailing', 'Warehouse club']","BJ's Wholesale Club Holdings, Inc.","['34,000 (Jan. 2022)']",['BJs.com']
532,['16\xa0September 1982'],['London'],['Retail'],Kingfisher plc,"['80,000 (2022)', '[3]']","['www', '.kingfisher', '.com']"
533,"['Brookfield, Wisconsin']","['Menomonee Falls', 'Wisconsin']",['Retail'],Kohl's Corporation,"[' ~99,000 (2021)', '[1]']",['kohls.com']
534,"['Scranton, Pennsylvania', 'United States']","['Philadelphia, Pennsylvania', 'United States']",['Retail'],Rite Aid Corporation,"['50,000 ', '(2021)', '[5]']","['www', '.riteaid', '.com']"
535,"['September\xa028, 1954']","['Quezon City', 'Metro Manila', 'Philippines']",['Manufacturing'],Universal Robina Corporation,"['12,320']","['urc', '.com', '.ph']"
536,"['Buon Ma Thuot', 'Vietnam']",['Ho Chi Minh City'],['Coffee'],Trung Nguyen Group,[],['trungnguyenlegend.com']
537,['Los Angeles'],"['Los Angeles', 'California']","['Restaurants ', 'Retail coffee and tea']",The Coffee Bean & Tea Leaf,"['12,000 ', '(May 2013)', '[2]']","['www', '.coffeebean', '.com']"
538,['1994'],"['Warren, Ohio']",['Coffee'],Top Shelf Coffee,[],['www.topshelfcoffee.com']
539,['1949'],['Hamburg'],[],Tchibo GmbH,"['12,500']","['www', '.tchibo', '.com']"
540,['1939'],"['Petah Tikva', 'Israel']","['Food processing', 'beverages']",Strauss Group Ltd.,"['15,000']","['strauss-group', '.com']"
541,"['Hamilton, Ontario']","['Toronto, Ontario']",['Restaurants'],Tim Hortons Inc.,[],['TimHortons.com']
542,"['Toronto', 'Ontario', 'Canada']",['Pierrefonds'],['Coffee'],Second Cup CafÃ©,[],[' ']
543,"['New Orleans', 'Louisiana']","['Birmingham', 'Alabama']",['Coffee industry'],Revelator Coffee Company LLC,['165\xa0(2017)'],"['revelatorcoffee', '.com']"
544,['2003'],['San Francisco'],['Coffee shop'],Philz Coffee,[],"['www', '.philzcoffee', '.com']"
545,['1999'],"['Beijing', 'China', 'Hong Kong']",['Chinese cinema'],Polybona Films,[],['http://www.bonafilm.cn']
546,"['Pike Place Market', 'Elliott Bay']","['Seattle, Washington', 'United States']",['Coffee shop'],Starbucks Corporation,"['c.', '\u2009402,000', ' (2022)']","['starbucks', '.com']"
547,['1970; 51 years ago'],"['Middle Road', 'Tsim Sha Tsui', 'Kowloon']",['Film production'],Orange Sky Golden Harvest Entertainment (Holdings) Limited,[],"['osgh', '.com', '.hk']"
548,['Hong Kong'],['Hong Kong'],['Cinema of Hong Kong'],One Hundred Years of Film Co. Ltd.,[],[]
549,"['August\xa06, 2012']","['Xuhui District', 'Shanghai']",['Film industry'],"Shanghai Pearl Studio Film and Television Technology Co., Ltd","['250 (2014)', '[3]']","['www', '.pearlstudio', '.com']"
550,['1922'],"['Shanghai', 'China']",['Film'],Mingxing Film Company,[],[]
551,['1991'],"['Causeway Bay', 'Hong Kong', 'China']",['Hong Kong cinema'],Mandarin Films Distribution Co. Ltd.,[],['http://www.mandarinfilms.com']
552,['October\xa01993'],"['Cheung Sha Wan Road', 'Kwai Chung', 'Kowloon']",['Film & TV Entertainment'],Media Asia Entertainment Group,[],"['www', '.mediaasia', '.com']"
553,['2000'],['Beijing'],['Chinese cinema'],Laurel Films,[],[]
554,['4\xa0April\xa01961'],['Islamabad'],['Oil and gas'],Oil and Gas Development Corporation,"['11,000', '[3]']",['OGDCL.com']
555,['2008'],['Beijing'],['Movie'],L'Est Films Group,[],"['English site', 'Chinese site']"
556,"['Attock', 'Pakistan']",['Rawalpindi'],['Petroleum'],Pakistan Oilfields Limited,['749'],"['pakoil', '.com', '.pk']"
557,['5\xa0June 1950'],"['Karachi', 'Pakistan']",['Energy'],Pakistan Petroleum,"['2,700+', 'Corporate staff only']",['Official website']
558,['1952'],"['Athens', 'Greece']","['Oil and gas; heavy civil engineering; air, water, and effluent systems']",Consolidated Contractors Company,"['1,20,000 (2019)']",['http://www.ccc.gr']
559,"['1937 (as ', ' ) ', '1967 (as ', ' )']","['Muscat', 'Oman']",['Oil and gas'],Petroleum Development Oman,"['8,500']",['Official website']
560,['2002'],"['Astana', 'Kazakhstan']",[],KazMunayGas,"['over 30,000']",['www.kmg.kz']
561,['17\xa0August 1974'],"['Petronas Towers', 'Kuala Lumpur City Centre']",['Oil and gas'],Petroliam Nasional Berhad,"['47,669 (2020)', '[7]']","['www', '.petronas', '.com']"
562,['Pertamina'],"['Akasaka Biz Tower', 'Akasaka', 'Minato-ku', 'Tokyo']",['Petroleum'],INPEX Corporation,"['2,146 (784 temporary workers) (2011)']",['www.inpex.co.jp']
563,['1888'],"['Tokyo, Japan']",['Oil and gasoline'],ENEOS Corporation,"['13,290 (2007)']",['Corporate website']
564,[],"['Tel Aviv', 'Israel']",['Oil and gas exploration'],Modiin Energy Limited Partnership,[],[]
565,['VÃ¤sterÃ¥s'],['Stockholm'],['Retail'],H&M Hennes & Mauritz AB,"['107,375', '[a]', ' ', '(2021)']","['hm.com', 'hmgroup.com']"
566,['1989'],"['Petah Tikva', 'Israel', 'Houston', 'United States']",['Oil and gas industry'],Isramco Negev 2 LP,['25'],[]
567,['1993'],['Seoul'],['Retailing'],Emart Inc.,[],"['www', '.emartcompany', '.com', '/en', '/main', '.do']"
