,company_ceo,company_name,company_employees
2470,,Starwood Property Trust,277
2471,,S.a.c.i. Falabella,"103,926"
2472,,Nielsen Holdings,"15,000"
2473,,Pershing Square Holdings,
2474,,Byd Electronic (international) Company,"224,280"
2475,,Au Optronics,"38,000"
2476,,Jason Furniture (hangzhou),
2477,,Valeo Sa,"110,300"
2478,,Tj Morris,"22,000"
2479,,Silicon Laboratories,"1,667"
2480,,Shenzhen Goodix Technology,"1,196"
2481,,Australian Foundation Investment Company,
2482,,Mitsubishi Ufj Lease & Finance Company,"3,217"
2483,,Lixil Group Corporation,"71,044"
2484,,Acuity Brands,"13,000"
2485,,"Digitalocean Holdings, Inc.",581
2486,,First Financial Bankshares,"1,500"
2487,,Nissin Foodsholdings,"12,983"
2488,,Innovent Biologics,
2489,,Trelleborg Ab (publ),"22,209"
2490,,M&g Plc,"5,961"
2491,,Faw Car,"21,077"
2492,,Samsung Fire & Marine Insurance,"5,818"
2493,,Universal Display Corporation,409
2494,,Belimo Holding Ag,
2495,,Far Eastone Telecommunications,
2496,,Omega Healthcare Investors,70
2497,,Ds Smith,"29,300"
2498,,Gem Co. Ltd,
2499,,Oge Energy,"2,185"
2500,,Eregli Demir Ve Celik Fabrikalari T.a.s,
2501,,Saia,"11,600"
2502,,Magnit,"300,000"
2503,,Gpt Group,500
2504,,Pilbara Minerals Limited,
2505,,Littelfuse,"17,000"
2506,,Interpump Group,"7,418"
2507,,Kobenhavns Lufthavne A/s,
2508,,Guangxi Guiguan Electric Powerco,
2509,,Pvh,"20,000"
2510,,Sarepta Therapeutics,840
2511,,Banca Mediolanum,"2,321"
2512,,Crocs,"4,000"
2513,,Axalta Coating Systems,"13,000"
2514,,Evotec Se,"3,030"
2515,,Axtel,
2516,,Dali Foods Group Company,"37,975"
2517,,Glp J-reit,
2518,,Braskem,
2519,,Sixt Se,"8,500"
2520,,Cts Eventim Ag & Co. Kgaa,"3,202"
2521,,Howden Joinery Group,"10,000"
2522,,Kobe Bussan,"2,147"
2523,,"Thoughtworks Holding, Inc.",
2524,,Digi.com Berhad,
2525,,Stockland,"1,600"
2526,,Donaldson Company,"13,100"
2527,,Bancolombia,"31,900"
2528,,Feng Tay Enterprises,
2529,,Autonation,"22,200"
2530,,Datwyler Holding,"7,000"
2531,,Intouch Holdings Public Company,
2532,,Popular,"8,560"
2533,,Toromont Industries,"6,500"
2534,,Altice Usa,"9,000"
2535,,Marriott Vacations Worldwide Corporation,"20,300"
2536,,Aalberts Nv,"16,094"
2537,,"Frontier Communications Parent, Inc.","15,803"
2538,,Mirati Therapeutics,418
2539,,Global-e Online Ltd.,
2540,,Klepierre Sa,"1,100"
2541,,Swiss Prime Site Ag,
2542,,Gsw Immobilien Ag,
2543,,Janus Henderson Group,"2,000"
2544,,Casey's General Stores,"37,205"
2545,,Pirelli & C,"31,600"
2546,,Grupo Aeroportuario Del Pacifico,"1,402"
2547,,United Internet Ag,"9,638"
2548,,Pirelli & C. S.p.a.,"31,575"
2549,,Healthcare Trust Of America,357
2550,,Taiyo Yuden,"21,723"
2551,,Shanghai Raas Blood Products,
2552,,Globus Medical,"2,000"
2553,,Avic Heavy Machinery,
2554,,Lg Display,"63,360"
2555,,Mercari,"2,194"
2556,,Abrdn Plc,"6,029"
2557,,Nihon M&a Center,767
2558,,Zhuzhou Kibing Group,
2559,,Magazine Luiza,"41,518"
2560,,Berkeley Group Holdings,"2,709"
2561,,Toho,"129,000"
2562,,Performance Food Group Company,"23,000"
2563,,Acs Actividades De Construccion Y Servicios,"65,000"
2564,,Shanghai Junshi Biosciences,"1,357"
2565,,Post Holdings,"10,735"
2566,,Thyssenkrupp Ag,"103,598"
2567,,By-health,
2568,,Bank Of Chengdu,"309,084"
2569,,Pt Indofood Cbp Sukses Makmur Tbk,
2570,,Trend Micro,"6,919"
2571,,Ming Yang Smart Energy Group,"10,163"
2572,,Envista Holdings Corporation,"11,200"
2573,,Angel Yeast Co. Ltd,
2574,,Skechers,"11,700"
2575,,Fluidra,"5,500"
2576,,Kghm Polska Miedz,"18,444"
2577,,Domino's Pizza Enterprises,"14,400"
2578,,Nanjing King-friend Biochemical Pharmaceutical Co. Ltd,
2579,,Shandong Linglong Tyre,"17,475"
2580,,Airtac International Group,
2581,,Boyd Gaming Corporation,"15,114"
2582,,China Cinda Asset Management,"13,067"
2583,,New York Times Company,"5,000"
2584,,X5 Retail Group,"339,716"
2585,,Hulic,
2586,,Neurocrine Biosciences,900
2587,,Plains All American Pipeline,"4,100"
2588,,Kuang-chi Technologies,
2589,,Lynas Rare Earths Limited,765
2590,,Itochu Techno-solutions Corporation,"9,085"
2591,,Natera,"2,670"
2592,,China Merchants Port Holdings Company,"7,848"
2593,,Bid Corporation,"23,365"
2594,,Medibank Private,"3,982"
2595,,Innolux Corporation,"58,000"
2596,,Omnicell,"3,800"
2597,,Torrent Pharmaceuticals,"12,881"
2598,,Aib Group,"9,520"
2599,,Sharp Corporation,"51,121"
2600,,Prosperity Bancshares,"3,704"
2601,,Shopping Centres Australasia Property Group,"108,316"
2602,,Global Power Synergy Public Company,
2603,,Sinopharm Group,
2604,,Aroundtown Sa,500
2605,,Airtel Africa,"3,300"
2606,,British Land Company,783
2607,,Growthpoint Properties Australia,
2608,,Great Eastern Holdings,"4,227"
2609,,Opendoor Technologies Inc.,"2,816"
2610,,Woodward,"7,200"
2611,,Osaka Gas,"5,271"
2612,,Vsmpo-avisma Corporation,
2613,,Aker Asa,"28,000"
2614,,Gmexico Transportes,
2615,,Royal Mail,"177,047"
2616,,Xiamen Faratronic,
2617,,Bangkok Bank Public Company,
2618,,Pt Charoen Pokphand Indonesia Tbk,
2619,,Ausnet Services Ltd,"1,700"
2620,,Bb Seguridade Participacoes,
2621,,Hdfc Asset Management Company Limited,
2622,,Phonepe,
2623,,Mastec,"25,000"
2624,,Idbi Bank,"17,736"
2625,,Alaska Air Group,"22,833"
2626,,Central Pattana Public Company,
2627,,Autek China,
2628,,Ironsource,930
2629,,Vitrolife Ab (publ),
2630,,Polaris,"16,000"
2631,,Colfax Corporation,"15,000"
2632,,Japan Post Insurance,"245,472"
2633,,Suzhou Ta&a Ultra Clean Technology,
2634,,Shenzhen Capchem Technology,
2635,,Pilgrim's Pride Corporation,"59,400"
2636,,Oz Minerals,"3,128"
2637,,Wex Inc,"5,600"
2638,,Clariant Ag,
2639,,Klarna,"3,500"
2640,,Hikari Tsushin,"6,305"
2641,,Corelogic,"5,100"
2642,,"Inner Mongolia Junzheng Energy & Chemical Group Co.,ltd.",
2643,,Playtika Holding Corp.,"3,800"
2644,,Levima Advanced Materials Corporation,
2645,,Avic Aviation High-technology,
2646,,Tata Teleservices (maharashtra),
2647,,Suzhou Dongshan Precision Manufacturing,
2648,,Daiwa House Reit Investment Corporation,
2649,,Mobile Telesystems,"58,415"
2650,,Soochow Securities,
2651,,Keppel Corporation,"18,297"
2652,,United States Steel Corporation,"24,540"
2653,,Voestalpine Ag,"49,000"
2654,,Sunac China Holdings,"50,834"
2655,,Onemain Holdings,"8,800"
2656,,Novocure,"1,023"
2657,,Kangmei Pharmaceutical,
2658,,Origin Energy,"5,360"
2659,,Saudi Kayan Petrochemical Company,
2660,,Genting Singapore,"6,253"
2661,,Zhejiang Weiming Environment Protection,
2662,,Guangdong Weihua Corporation,
2663,,Ab Electrolux (publ),"48,000"
2664,,Marks And Spencer Group,
2665,,Legend Biotech Corp,"1,071"
2666,,Tis,"19,744"
2667,,Kinross Gold Corporation,"8,951"
2668,,Datang International Power Generation,"33,340"
2669,,China Energy Engineering Corporation Limited,"117,830"
2670,,Arc Resources,784
2671,,Procter & Gamble Hygiene And Health Care,
2672,,Brp,"13,500"
2673,,Bharat Electronics,"9,612"
2674,,Iida Group Holdings,"9,693"
2675,,Samsara Networks,"1,616"
2676,,Jafron Biomedical,"1,895"
2677,,Qantas Airways,"30,179"
2678,,Reply,"9,059"
2679,,Hapvida Participacoes E Investimentos,"30,000"
2680,,Guanghui Energy,
2681,,National Storage Reit,924
2682,,Medpace Holdings,"4,500"
2683,,Hankyu Hanshin Holdings,"22,654"
2684,,Grupo Carso,
2685,,Gap,"129,000"
2686,,Commercial International Bank -egypt,
2687,,Onex Corporation,"147,000"
2688,,Hunter Douglas,"22,000"
2689,,Jsw Energy,"4,742"
2690,,Bosch,"31,530"
2691,,Kohl's Corporation,"122,000"
2692,,Avicopter,
2693,,Zynga,"2,245"
2694,,Reynolds Consumer Products Inc.,"5,600"
2695,,Fox Factory Holding,"3,730"
2696,,Wiwynn Corporation,
2697,,Chang Hwa Commercial Bank,
2698,,Sinopac Financial Holdings Company,
2699,,Faurecia S.e,"104,739"
2700,,Hikma Pharmaceuticals,"8,578"
2701,,Cpi Property Group,"4,353"
2702,,Guangzhou Kingmed Diagnostics Group,"10,714"
2703,,Hero Motocorp,"8,599"
2704,,Banque Cantonale Vaudoise,"1,896"
2705,,Bkw Ag,"10,500"
2706,,Emcor Group,"34,000"
2707,,Zim Integrated Shipping Services Ltd.,"3,782"
2708,,Onex Corporation,497
2709,,Somfy Sa,
2710,,China Greatwall Technology Group,
2711,,Jubilant Foodworks,"31,514"
2712,,Eurazeo Se,270
2713,,Ascendis Pharma A/s,482
2714,,Shanghai Zhixin Electric,
2715,,New Relic,"1,284"
2716,,Dai Nippon Printing,"38,181"
2717,,Affiliated Managers Group,"4,400"
2718,,Iaa,53
2719,,Pegatron Corporation,"7,644"
2720,,Lg Innotek,"15,622"
2721,,Ritchie Bros. Auctioneers,"2,600"
2722,,Ingredion,"12,000"
2723,,Nutanix,"6,080"
2724,,El Puerto De Liverpool,"75,000"
2725,,Nextera Energy Partners Lp,"14,900"
2726,,Lotte Chemical Corporation,"4,541"
2727,,Pepco Group N.v.,
2728,,Odakyu Electric Railway,"14,193"
2729,,Wuxi Shangji Automation,
2730,,Idp Education,
2731,,Glacier Bancorp,"3,559"
2732,,Eidos Therapeutics,70
2733,,Tecan Group,"2,050"
2734,,Dechra Pharmaceuticals,"1,753"
2735,,Page Industries,"18,637"
2736,,Changjiang Securities Company,
2737,,Shenzhen Dynanonic Co. Ltd,
2738,,Stamps.com,"1,179"
2739,,Localiza Rent A Car,
2740,,Sunrun,"11,383"
2741,,Coherent,"5,085"
2742,,China Shipbuilding Industry Group Power,
2743,,Adt,"25,000"
2744,,Ald Sa,
2745,,Jiangsu Expressway Company,
2746,,Open House,"5,860"
2747,,Zhejiang Longsheng Group,
2748,,Change Healthcare,"15,000"
2749,,Centre Testing International Group,
2750,,Helvetia Holding Ag,"11,687"
2751,,Cobham,
2752,,Mapfre,"33,730"
2753,,Huadian Power International Corporation,
2754,,Kbr,"28,000"
2755,,Eagle Materials,"2,300"
2756,,"Fushun Special Steel Co.,ltd.",
2757,,"Shanxi Taigang Stainless Steel Co., Ltd.",
2758,,Astral Limited,
2759,,Ia Financial Corporation,"7,600"
2760,,F&c Investment Trust,
2761,,Hindustan Petroleum Corporation,"10,352"
2762,,Sbi Holdings,"5,391"
2763,,Nomura Real Estate Master Fund,
2764,,Anaplan,"1,900"
2765,,Bank Ozk,"2,315"
2766,,Yantai Jereh Oilfield Services Group,"4,990"
2767,,Flir Systems,"4,265"
2768,,Fraport Ag,"22,514"
2769,,Rexel,"24,000"
2770,,Shanghai Bairun Investment Holding Group,"1,452"
2771,,Ford Otomotiv Sanayi,
2772,,Hua Hong Semiconductor,"5,500"
2773,,Tech Data Corporation,
2774,,Hilton Grand Vacations,"333,000"
2775,,Asr Nederland,"3,934"
2776,,Yeti Holdings,701
2777,,Air Canada,"21,100"
2778,,Euronet Worldwide,"8,800"
2779,,Royal Gold,28
2780,,Ackermans & Van Haaren Nv,
2781,,Louisiana-pacific Corporation,"4,800"
2782,,Lepu Medical Technology (beijing),
2783,,Northland Power,"1,154"
2784,,Dawning Information Industry,
2785,,Aspen Pharmacare Holdings,"9,800"
2786,,R1 Rcm,"22,000"
2787,,China Suntien Green Energy Corporation,
2788,,Wesco International,"18,000"
2789,,Changsha Jingjia Microelectronics,
2790,,"Beijing Shougang Co., Ltd.","17,765"
2791,,Signify,"37,926"
2792,,Encompass Health Corporation,"43,000"
2793,,Beijing Dabeinong Technology Group,
2794,,Treasury Wine Estates,"3,500"
2795,,Industrial Bank Of Korea,"10,000"
2796,,Cadence Bancorporation,"3,500"
2797,,Tcf Financial Corporation,"8,209"
2798,,Kornit Digital,547
2799,,Baic Bluepark New Energy Technology,
2800,,Easyjet,"14,000"
2801,,Konami Holdings Corporation,"9,499"
2802,,Medallia,"2,037"
2803,,Zhejiang Dingli Machinery,
2804,,Douglas Emmett,700
2805,,Mdu Resources Group,"14,700"
2806,,Etihad Etisalat Company,
2807,,Charoen Pokphand Foods Public Company,
2808,,Mainfreight,"8,631"
2809,,Beijing Easpring Material Technology,
2810,,Orpea Sa,
2811,,Switch,829
2812,,Valmet Oyj,
2813,,Landstar System,"1,399"
2814,,"Tianneng Battery Group Co., Ltd.",
2815,,Jabal Omar Development Company,
2816,,Godrej Properties,"1,779"
2817,,Igo Limited,
2818,,Sunrise Communications Group Ag,"1,739"
2819,,Hitachi Construction Machinery,
2820,,Descartes Systems Group,"1,550"
2821,,Machine Zone,"1,000"
2822,,Lazada Group,"8,000"
2823,,Hashicorp,"1,650"
2824,,Cloudkitchens,40
2825,,Anhui Kouzi Distillery,
2826,,Grupo Aeroportuario Del Sureste S. A. B. De C. V,
2827,,Caci International,"22,000"
2828,,Valve Corporation,"1,076"
2829,,Chongqing Rural Commercial Bank,"15,088"
2830,,Tempus,"1,576"
2831,,Zhejiang Yongtai Technology,
2832,,Kawasaki Kisen Kaisha,"6,080"
2833,,Valvoline,"9,800"
2834,,Yifeng Pharmacy Chain,
2835,,Nexstar Media Group,"12,473"
2836,,Boston Beer Company,"2,543"
2837,,Notre Dame Intermedica Participacoes,
2838,,Xiaohongshu,
2839,,The Hut Group,"7,000"
2840,,China Literature,"2,000"
2841,,"Iweb, Inc.",
2842,,Tianshui Huatian Technology,"22,415"
2843,,Zhejiang Jiuzhou Pharmaceutical Co. Ltd,"2,998"
2844,,Eclat Textile,"16,622"
2845,,Gujarat Gas,"1,089"
2846,,China State Construction International Holdings,"335,038"
2847,,Abb India,"3,299"
2848,,Cholamandalam Investment And Finance Company,"7,873"
2849,,Cosan,"30,300"
2850,,Welcia Holdings,"9,882"
2851,,Raia Drogasil,
2852,,Beijing Shiji Information Technology,"5,574"
2853,,South State Corporation,"4,929"
2854,,Watts Water Technologies,"4,597"
2855,,Nvent Electric,"8,800"
2856,,Cyberark Software,"2,140"
2857,,Zhongjin Gold,
2858,,Financiere De L'odet Sa,
2859,,Sweco Ab (publ),
2860,,Texas Roadhouse,"73,300"
2861,,Hakuhodo Dy Holdings,"23,939"
2862,,Inspire Medical Systems,485
2863,,Colliers International Group,"15,000"
2864,,Proximus,"11,423"
2865,,Cousins Properties,316
2866,,Wintime Energy,
2867,,Mapletree Logistics Trust,253
2868,,Gan & Lee Pharmaceuticals,260
2869,,Ooredoo,
2870,,Koei Tecmo Holdings,"1,835"
2871,,Weihai Guangwei Composites,"1,657"
2872,,Asgn,"3,900"
2873,,Weir Group,"13,500"
2874,,Glaxosmithkline Consumer Healthcare,
2875,,Kose Corporation,"14,060"
2876,,Be Semiconductor Industries,"1,618"
2877,,Emmi Ag,
2878,,Itv,"6,273"
2879,,Jarir Marketing Company,
2880,,Jiangsu Yangnong Chemical,
2881,,Songcheng Performance Development,
2882,,Anker Innovations Limited,
2883,,Steel Authority Of India,"68,742"
2884,,Shinko Electric Industries,"4,234"
2885,,Humanwell Healthcare (group),"15,711"
2886,,Beijing Tiantan Biological Products,"3,415"
2887,,Fs Kkr Capital,
2888,,Ccc Intelligent Solutions Holdings Inc.,"2,250"
2889,,Suning.com,"44,230"
2890,,Toppan Printing,"52,599"
2891,,Zhejiang Weixing New Building Materials,
2892,,Westone Information Industry,
2893,,Seiko Epson Corporation,"79,010"
2894,,Square Enix Holdings,"5,077"
2895,,"Hunan Valin Steel Co., Ltd.","22,628"
2896,,Zydus Lifesciences Limited,"13,405"
2897,,G4s,"570,000"
2898,,E Ink Holdings,
2899,,Yunnan Aluminium,
2900,,Sk Biopharmaceuticals,
2901,,Goodyear Tire & Rubber Company,"62,000"
2902,,Crane,"11,000"
2903,,Porton Pharma Solutions,
2904,,Bankia,
2905,,Arrowhead Pharmaceuticals,232
2906,,Pearson Plc,"32,000"
2907,,Ambu A/s,"3,500"
2908,,Balkrishna Industries,"2,834"
2909,,Hengyi Petrochemical,"16,557"
2910,,Columbia Sportswear Company,"7,275"
2911,,Stantec,"22,000"
2912,,Shimge Pump Industry Group,
2913,,Vgp Nv,
2914,,Sailun Group,
2915,,Shanghai Yuyuan Tourist Mart (group),
2916,,Imi,"10,776"
2917,,Scientific Games Corporation,"9,700"
2918,,"Oak Street Health, Inc.","4,800"
2919,,Taisei Corporation,"8,507"
2920,,Topsports International Holdings,"35,773"
2921,,Thule Group Ab (publ),
2922,,Caitong Securities,
2923,,Primerica,"2,891"
2924,,Shanghai Aiko Solar Energy,
2925,,"Allegro Microsystems, Inc.","3,720"
2926,,Tokyo Century Corporation,"7,365"
2927,,New York Community Bancorp,"2,815"
2928,,Harley-davidson,"5,800"
2929,,Sotera Health Co,"3,000"
2930,,Fujian Anjoy Foods,
2931,,Azbil Corporation,"9,897"
2932,,Graphic Packaging Holding Company,"25,000"
2933,,Enka Insaat Ve Sanayi,"20,962"
2934,,Fangda Carbon New Material Technology,
2935,,Keda Clean Energy,
2936,,Persol Holdings,"45,180"
2937,,Shanghai Lujiazui Finance & Trade Zone Development,
2938,,Pt Bayan Resources Tbk,"2,748"
2939,,Discovery Limited,"12,980"
2940,,Dcp Midstream Lp,"1,788"
2941,,Hutchison China Meditech,853
2942,Shane Smith,Smithfield Foods,"54,000"
2943,,Pt Merdeka Copper Gold Tbk,"2,653"
2944,,Yonghui Superstores,"110,778"
2945,,Zhejiang Hangke Technology Company,"1,400"
2946,,Vipshop Holdings,"7,567"
2947,,Mgm Growth Properties Llc,"1,216"
2948,,Shandong Sinocera Functional Material,"2,681"
2949,,China Avionicssystem,
2950,,Huaxin Cement,
2951,,Freshworks Inc,"4,300"
2952,,E. I. Du Pont De Nemours And Company,"28,000"
2953,,L'occitane International,"9,000"
2954,,Tritax Big Box Reit,
2955,,Kobayashi Pharmaceutical,"3,435"
2956,,Pi Industries,"3,000"
2957,,Jardine Cycle & Carriage,"250,000"
2958,,Tsim Sha Tsui Properties Limited,
2959,,China Merchants Port Group,"7,848"
2960,,Koc Holding,"100,641"
2961,,Slm Corporation,"1,450"
2962,,Pacwest Bancorp,"2,200"
2963,,Juewei Food,
2964,,Nordic Semiconductor Asa,767
2965,,Hengan International Group Company,"25,000"
2966,,Shockwave Medical,449
2967,,Valley National Bancorp,"3,370"
2968,,Taiwan High Speed Rail Corporation,"4,641"
2969,,Brookfield Renewable Corporation,"2,875"
2970,,Proya Cosmetics,
2971,,Rbc Bearings,"4,892"
2972,,Enagas,361
2973,,Trinet Group,"3,300"
2974,,Kt Corporation,"22,720"
2975,,International Game Technology,"11,048"
2976,,Spirit Realty Capital,84
2977,,Hera,
2978,,Scsk Corporation,"13,979"
2979,,Ricoh Company,"90,141"
2980,,Apeloa Pharmaceutical,"5,719"
2981,,Bosideng International Holdings,
2982,,Api Group Corporation,
2983,,Flowers Foods,"8,900"
2984,,Exelixis,954
2985,,Korea Shipbuilding & Offshore Engineering,"14,400"
2986,,Curaleaf Holdings,"3,000"
2987,,China Power International Development,
2988,,Cosco Shipping Development,"29,379"
2989,,Shenzhen Energy Group,"7,384"
2990,,Tusimple Holdings Inc.,980
2991,,China Great Wall Securities,
2992,,Ashland Global Holdings,"4,100"
2993,,Element Solutions,"5,300"
2994,,"Pangang Group Vanadium & Titanium Resources Co., Ltd.",
2995,,Japan Retail Fund Investment Corporation,
2996,,Lundin Mining Corporation,"4,170"
2997,,Thor Industries,"31,000"
2998,,Star Health And Allied Insurance Company Limited,
2999,,Alkem Laboratories,"14,000"
3000,,Kongsberg Gruppen Asa,
3001,,Centrica,"26,932"
3002,,National Oilwell Varco,"27,043"
3003,,Alten Sa,
3004,,Sumco Corporation,"8,199"
3005,,Hanesbrands,"59,000"
3006,,"Braze, Inc.",870
3007,,Bgi Genomics,"3,585"
3008,,Hanon Systems,"22,000"
3009,,National Fuel Gas Company,"2,188"
3010,,Ozon Holdings Plc,"12,000"
3011,,"Tongling Nonferrous Metals Group Co.,ltd.",
3012,,Kajima Corporation,"7,887"
3013,,Scout24 Ag,"1,530"
3014,,Microport Scientific Corporation,
3015,,Chemours Company,"6,400"
3016,,Kojamo Oyj,296
3017,,China Lesso Group Holdings,
3018,,Unite Group,"1,400"
3019,,Mercury Nz,786
3020,,Mcdonald's Holdings Company (japan),"2,161"
3021,,"Boc International (china) Co., Ltd",
3022,,Bandhan Bank,"45,549"
3023,,Hanwha Chemical Corporation,"4,972"
3024,,Angang Steel Company Limited,
3025,,Js Global Lifestyle Company,"4,657"
3026,,Tianjin Guangyu Development,
3027,,Guolian Securities,
3028,,Terreno Realty Corporation,24
3029,,Axfood Ab (publ),
3030,,Kingsoft Corporation,"7,000"
3031,,Ambarella,899
3032,,Perfect World,
3033,,Sinopec Shanghai Petrochemical Company,"8,230"
3034,,Altagas,"2,801"
3035,,Workiva,"2,106"
3036,,China Resources Cement Holdings,"19,467"
3037,,Shandong Shida Shenghua Chemical Group Company,
3038,,Telekom Austria Ag,"18,153"
3039,,Future,
3040,,Centuria Capital Group,
3041,,Ioi Corp.bhd,
3042,,Amkor Technology,"30,400"
3043,,Companhia Siderurgica Nacional,
3044,,Vodafone Idea Limited,"13,520"
3045,,Boc Aviation,176
3046,,Bumble Inc.,650
3047,,Unione Di Banche Italiane,"19,342"
3048,,China Resources Sanjiu Medical & Pharmaceutical,
3049,,Shanghai Lingang Holdings,
3050,,Nedbank Group,"28,324"
3051,,Rit Capital Partners,
3052,,Metallurgical Corporation Of China,"101,020"
3053,,Rlx Technology Inc.,
3054,,New Industries Biomedical Engineering,
3055,,S.c New Energy Technology Corporation,
3056,,Antero Resources Corporation,519
3057,,Pt United Tractors Tbk,"33,139"
3058,,Traveloka,"2,470"
3059,,Schaeffler Ag,"87,700"
3060,,Scor Se,"2,945"
3061,,Tui Ag,"48,330"
3062,,Addtech Ab (publ.),"3,000"
3063,,Biocon,"12,000"
3064,,Hyundai Glovis,"1,447"
3065,,A2a,"12,978"
3066,,Rapid7,"2,353"
3067,,Shijiazhuang Yiling Pharmaceutical,"9,618"
3068,,Beijing Yuanliu Hongyuan Electronic Technology,
3069,,Netwealth Group,271
3070,,Acc,"6,643"
3071,,Sonoco Products Company,"23,000"
3072,,Ubisoft Entertainment Sa,"18,045"
3073,,Curevac,500
3074,,Via Varejo,
3075,,Sona Blw Precision Forgings Limited,
3076,,Husky Energy,"4,800"
3077,,Zhefu Holding Group,
3078,,Hirose Electric,"4,737"
3079,,Hubei Xingfa Chemicals Group,
3080,,Msa Safety,"4,800"
3081,,Webster Financial Corporation,"3,245"
3082,,Lechwerke Ag,
3083,,Vicinity Centres,"1,200"
3084,,Dongxing Securities Company,
3085,,Dalian Port (pda) Company,
3086,,Oci,"3,147"
3087,,Arena Pharmaceuticals,363
3088,,Idacorp,"1,999"
3089,,Lanxess,"14,866"
3090,,Riocan Real Estate Investment Trust,586
3091,,Unum Group,"10,300"
3092,,Wallenstam Ab (publ),
3093,,Nanjing Securities,
3094,,Shandong Weigao Group Medical Polymer Company,"10,433"
3095,,Crown Resorts,"12,105"
3096,,Simpson Manufacturing,"3,562"
3097,,Flughafen Zurich Ag,
3098,,Cambricon Technologies Corporation Limited,
3099,,"Verisilicon Microelectronics (shanghai) Co., Ltd.",
3100,,Acron,
3101,,Seven Group Holdings,"5,800"
3102,,Etn. Fr. Colruyt Nv,
3103,,Novanta,"2,700"
3104,,Orion Oyj,"3,337"
3105,,Owl Rock Capital Corporation,18
3106,,Jcdecaux Sa,"10,234"
3107,,Central Retail Corporation,
3108,,Nmdc,"5,887"
3109,,Grupo Aval Acciones Y Valores,"104,862"
3110,,Winner Medical Co. Limited,
3111,,Voltas,"8,800"
3112,,Hindustan Aeronautics Limited,"28,345"
3113,,Blackline,"1,557"
3114,,Hangzhou Robam Appliances,
3115,,Far Eastern New Century Corporation,
3116,,Longshine Technology,
3117,,Hengtong Optic-electric,
3118,,Spark New Zealand,"5,224"
3119,,Wintrust Financial Corporation,"5,239"
3120,,China Baoan Group,
3121,,Grupo Televisa,"43,287"
3122,,Coca-cola Consolidated,"79,000"
3123,,Sterling Bancorp,"1,907"
3124,,Shurgard Self Storage,751
3125,,Western Superconducting Technologies,
3126,,Timken Company,"17,000"
3127,,Cifi Holdings (group),"7,300"
3128,,United Breweries,"3,207"
3129,,Cosmos Pharmaceutical Corporation,234
3130,,Bausch & Lomb Corp,
3131,,Western Securities,
3132,,Jiangsu Yoke Technology,
3133,,Chargepoint Holdings,"1,436"
3134,,Shanghai Friendess Electronic Technology Corporation,
3135,,Krung Thai Bank Public Company,
3136,,Helen Of Troy,"1,650"
3137,,Royal Unibrew A/s,"2,631"
3138,,Leggett & Platt,"20,300"
3139,,China Airlines,"89,373"
3140,,Tata Communications,"12,000"
3141,,Ardagh Metal Packaging S.a.,"16,400"
3142,,Icade,
3143,,Hebei Yangyuan Zhihui Beverage,
3144,,Aurobindo Pharma,"23,000"
3145,,Obayashi Corporation,"8,829"
3146,,Integra Lifesciences Holdings Corporation,"3,800"
3147,,Ternium Argentina,"20,173"
3148,,Medicover Ab (publ),
3149,,Howard Hughes Corporation,600
3150,,Tmx Group,"1,383"
3151,,Fuchs Petrolub Se,"5,600"
3152,,Kansai Paint,"16,459"
3153,,"Theralink Technologies, Inc.",
3154,,Navinfo,
3155,,Jindal Steel & Power,"6,153"
3156,,Kuala Lumpur Kepong Berhad,
3157,,Lupin,"18,302"
3158,,Rayonier,406
3159,,Psp Swiss Property Ag,
3160,,"Luminar Technologies, Inc.",400
3161,,Amn Healthcare Services,"3,800"
3162,,Quebecor,"10,454"
3163,,Shin Kong Financial Holding,"17,255"
3164,,Bawag Group Ag,"4,353"
3165,,Qingdao Port International,"8,981"
3166,,Asia Cement Corporation,
3167,,Hochtief,"46,644"
3168,,"Advanced Energy Solution Holding Co., Ltd.","10,000"
3169,,Avic Capital,"4,885"
3170,,Visera Technologies Company Ltd.,
3171,,Red Star Macalline Group Corporation,"27,113"
3172,,Spectris,"8,450"
3173,,Kumho Petrochemical,"1,350"
3174,,Joinn Laboratories (china),
3175,,Zotye Automobile Co. Ltd,
3176,,Parade Technologies,
3177,,Home Product Center Public Company,
3178,,Benefit One,
3179,,Pt Barito Pacific Tbk,"3,400"
3180,,Synlab Ag,
3181,,China Minmetals Rare Earth,
3182,,Hollyfrontier Corporation,"3,522"
3183,,Tianfeng Securities,"3,208"
3184,,Gelsenwasser Ag,"1,595"
3185,,Jiangsu Yuyue Medical Equipment & Supply,"5,525"
3186,,Ncr Corporation,"34,000"
3187,,Haohua Chemical Science & Technology,
3188,,Aak Ab (publ.),"3,978"
3189,,Mitsui Chemicals,"17,979"
3190,,Zhuzhou Hongda Electronics,"1,579"
3191,,Diploma Plc,
3192,,China Meidong Auto Holdings,
3193,,Iberiabank Corporation,"3,441"
3194,,Manpowergroup,"28,000"
3195,,Universal Forest Products,"14,000"
3196,,Curtiss-wright Corporation,"7,800"
3197,,Win Semiconductors,
3198,,Perrigo Company,"11,500"
3199,,China Evergrande New Energy Vehicle Group,"123,276"
3200,,Nokian Renkaat Oyj,
3201,,Asahi Intecc,"8,761"
3202,,Bank Of Baroda,"84,283"
3203,,Bellway,"2,889"
3204,,Fielmann,"22,245"
3205,,Shanxi Lu'an Environmental Energy Development,
