,company_ceo,company_name,company_employees
122,John C. May,Deere & Company,"75,600"
123,Jakob Stausholm,Rio Tinto Group,"49,000"
124,Arvind Krishna,Ibm,"375,300"
125,Jim Umpleby,Caterpillar,"107,700"
126,Tom Bartlett,American Tower Corporation (reit),"5,618"
127,Ivan Menezes,Diageo,"28,025"
128,Lee Yuan Siong,Aia Group,"23,000"
129,Matt Comyn,Commonwealth Bank Of Australia,"49,245"
130,Douglas L. Peterson,S&p Global,"22,850"
131,Alexey Miller,Gazprom,"473,800"
132,Thomas M. Rutledge,Charter Communications,"93,700"
133,Michel Doukeris,Anheuser-busch Inbev,"164,000"
134,Dairen Lin,China Life Insurance Company,"104,160"
135,Dame Emma Walmsley,Glaxosmithkline,"99,000"
136,Brian Cornell,Target Corporation,"409,000"
137,H. Lawrence Culp Jr,General Electric Company,"168,000"
138,Bill McDermott,Servicenow,"16,881"
139,Hamid Moghadam,Prologis,"2,053"
140,,Koch Industries,"122,000"
141,Guillaume Faury,Airbus,"125,888"
142,Brian Chesky,Airbnb,"6,132"
143,Gail Koziara Boudreaux,Anthem,"63,900"
144,Sanjay Mehrotra,Micron Technology,"43,000"
145,Liu Qiangdong,Jd.com,"314,906"
146,Ryan Lance,Conocophillips Company,"10,100"
147,,Vanguard Group,"18,800"
148,,Ingram Micro,"26,037"
149,Jean-Pascal Tricoire,Schneider Electric,"166,025"
150,Carlos A. Rodriguez,Automatic Data Processing (adp),"56,000"
151,Francois-Henri Pinault,Kering,"38,553"
152,Motoyuki Ii,Ntt Docomo,"27,558"
153,Jun Sawada,Nippon Telegraph And Telephone Corporation,"303,350"
154,Belen Garijo,Merck Kgaa O.n.,"58,408"
155,Salil Parekh,Infosys,"346,845"
156,Oliver Bate,Allianz Se,"150,269"
157,Mike Roman,3m Company,"95,000"
158,Forrest Li,Sea Limited,"33,800"
159,,Bytedance,"60,000"
160,Glenn D. Fogel,Booking Holdings,"19,400"
161,,Robert Bosch,"400,000"
162,Waleed A. Al-Mogbel,Al Rajhi Banking And Investment Corporation,"13,716"
163,Paul Perreault,Csl,"25,000"
164,Bernard Looney,Bp P.l.c.,"60,000"
165,Jim Farley,Ford Motor Company,"183,000"
166,Pablo Isla,Inditex (industria De Diseno Textil),"144,116"
167,James D. Taiclet,Lockheed Martin Corporation,"114,000"
168,Kevin A. Lobo,Stryker Corporation,"43,000"
169,JUAN RAMN ALAIX,Zoetis,"12,100"
170,Anders Dons,Deloitte,"300,000"
171,Markus Duesmann,Audi Ag,"90,640"
172,Billy Gifford,Altria Group,"6,000"
173,Frank Slootman,Snowflake,"2,495"
174,Timotheus Hottges,Deutsche Telekom Ag,"226,291"
175,,Byd Company,"224,300"
176,Dirk Van de Put,Mondelez International,"79,000"
177,Timothy M. Archer,Lam Research Corporation,"14,100"
178,Yousef Al-Benyan,Saudi Basic Industries Corporation (sabic),"32,721"
179,William S. Demchak,The Pnc Financial Services Group,"59,426"
180,Daniel O'Day,Gilead Sciences,"14,400"
181,Ola Kallenius,Mercedec Benz Group Ag,"288,481"
182,Jack Bowles,British American Tobacco,"55,000"
183,Anders Opedal,Equinor Asa,"21,245"
184,Bruce Flatt,Brookfield Asset Management,"152,000"
185,Hisayuki Idekoba,Recruit Holdings,"49,370"
186,,Cargill,"155,000"
187,Mary Barra,General Motors Company,"157,000"
188,Andrew Cecere,U.s. Bancorp,"68,796"
189,Jean-Laurent Bonnafe,Bnp Paribas,"190,000"
190,Stephane Bancel,Moderna,"1,800"
191,William H. Bill Rogers Jr,Truist Financial Corporation,"52,641"
192,TRACY ROBINSON,Canadian National Railway Company,"22,604"
193,Toshiki Kawai,Tokyo Electron Limited,"14,479"
194,Brian J. Porter,Bank Of Nova Scotia,"89,488"
195,Vincent Roche,Analog Devices,"24,700"
196,Ernie Herrman,The Tjx Companies,"320,000"
197,Francesco Milleri,Essilor Luxottica,"151,017"
198,Nick Hayek Jr.,Swatch Group Ag,"32,424"
199,Evan G. Greenberg,Chubb,"31,000"
200,Brenton L. Saunders,Allergan,"17,400"
201,Stephen A. Schwarzman,Blackstone Group,"3,795"
202,James M. Foote,Csx Corporation,"20,919"
203,Herman Gref,Sberbank Of Russia,"285,555"
204,Jay A. Brown,Crown Castle International Corporation,"5,000"
205,Francois Jackow,Air Liquide,"67,000"
206,Jerome Lambert,Compagnie Financiere Richemont Sa,"34,760"
207,,Pricewaterhousecoopers,"295,371"
208,John G. Morikis,Sherwin-williams Company,"61,626"
209,Paul Fang,Midea Group,"149,239"
210,,Life Insurance Corporation Of India,"114,000"
211,Faisal Omar al-Sakkaf,National Commercial Bank,"13,334"
212,Lynn Good,Duke Energy Corporation,"27,605"
213,Dara Khosrowshahi,Uber Technologies,"29,300"
214,Terrence A. Duffy,Cme Group,"4,370"
215,Bernd Montag,Siemens Healthineers Ag,"52,000"
216,Masayoshi Son,Softbank Group,"58,786"
217,Al Monaco,Enbridge,"11,200"
218,,Publix,"232,000"
219,Daniel S. Glaser,Marsh & Mclennan Companies,"81,000"
220,Johan Forssell,Investor Ab (publ),"20,054"
221,,China Petroleum & Chemical Corporation (sinopec),"384,065"
222,Mats Rahmstrom,Atlas Copco Ab,"40,000"
223,Samuel N. Hazen,Hca Healthcare,"235,000"
224,,Reliance Jio,
225,Frank Appel,Deutsche Post Ag,"571,974"
226,Hironori Kamezawa,Mitsubishi Ufj Financial Group,"132,700"
227,Lei Mingshan,China Yangtze Power,"4,077"
228,Lv Jiajin,Psbc (postal Savings Bank Of China),"194,527"
