,company_ceo,company_name
2432,,RENAISSANCERE HOLDINGS
2433,,FUJI ELECTRIC
2434,,SYNOVUS FINANCIAL
2435,,BOK FINANCIAL CORPORATION
2436,,WESTERN UNION COMPANY
2437,,CHEMED CORPORATION
2438,,BRIGHT HORIZONS FAMILY SOLUTIONS
2439,,BRIXMOR PROPERTY GROUP
2440,,GN STORE NORD A/S
2441,,XCMG CONSTRUCTION MACHINERY
2442,,II-VI
2443,,OFFCN EDUCATION TECHNOLOGY
2444,,TOTO
2445,,BLUESCOPE STEEL
2446,,BEIJER REF AB (PUBL)
2447,,NORTHERN STAR RESOURCES
2448,,SEKISUI CHEMICAL
2449,,"HANGZHOU LION ELECTRONICS CO.,LTD"
2450,,PLANET FITNESS
2451,,LUMENTUM HOLDINGS
2452,,CANADIAN UTILITIES
2453,,ELECTROCOMPONENTS
2454,,HONGFA TECHNOLOGY
2455,,GRUPO FINANCIERO INBURSA
2456,,HOULIHAN LOKEY
2457,,SINGAPORE EXCHANGE
2458,,INDORAMA VENTURES PUBLIC COMPANY
2459,,SHOPRITE HOLDINGS
2460,,COMMERCIAL BANK (P.S.Q.C.)
2461,,CHIME
2462,,DATABRICKS
2463,,FULL TRUCK ALLIANCE
2464,,REVOLUT
2465,,UNITY TECHNOLOGIES
2466,,ZIROOM
2467,,DONGFENG MOTOR GROUP COMPANY
2468,,KOREA ZINC COMPANY
2469,,CHINA RAILWAY SIGNAL & COMMUNICATION CORPORATION
2470,,STARWOOD PROPERTY TRUST
2471,,SILICON LABORATORIES
2472,,TJ MORRIS
2473,,VALEO SA
2474,,JASON FURNITURE (HANGZHOU)
2475,,AU OPTRONICS
2476,,BYD ELECTRONIC (INTERNATIONAL) COMPANY
2477,,PERSHING SQUARE HOLDINGS
2478,,NIELSEN HOLDINGS
2479,,S.A.C.I. FALABELLA
2480,,SHENZHEN GOODIX TECHNOLOGY
2481,,TRELLEBORG AB (PUBL)
2482,,INNOVENT BIOLOGICS
2483,,NISSIN FOODSHOLDINGS
2484,,FIRST FINANCIAL BANKSHARES
2485,,"DIGITALOCEAN HOLDINGS, INC."
2486,,ACUITY BRANDS
2487,,LIXIL GROUP CORPORATION
2488,,MITSUBISHI UFJ LEASE & FINANCE COMPANY
2489,,AUSTRALIAN FOUNDATION INVESTMENT COMPANY
2490,,M&G PLC
2491,,OGE ENERGY
2492,,GEM CO. LTD
2493,,DS SMITH
2494,,OMEGA HEALTHCARE INVESTORS
2495,,FAR EASTONE TELECOMMUNICATIONS
2496,,BELIMO HOLDING AG
2497,,UNIVERSAL DISPLAY CORPORATION
2498,,SAMSUNG FIRE & MARINE INSURANCE
2499,,FAW CAR
2500,,EREGLI DEMIR VE CELIK FABRIKALARI T.A.S
2501,,PVH
2502,,GUANGXI GUIGUAN ELECTRIC POWERCO
2503,,KOBENHAVNS LUFTHAVNE A/S
2504,,INTERPUMP GROUP
2505,,LITTELFUSE
2506,,PILBARA MINERALS LIMITED
2507,,GPT GROUP
2508,,MAGNIT
2509,,SAIA
2510,,SAREPTA THERAPEUTICS
2511,,SIXT SE
2512,,BRASKEM
2513,,GLP J-REIT
2514,,DALI FOODS GROUP COMPANY
2515,,AXTEL
2516,,EVOTEC SE
2517,,AXALTA COATING SYSTEMS
2518,,CROCS
2519,,BANCA MEDIOLANUM
2520,,CTS EVENTIM AG & CO. KGAA
2521,,AUTONATION
2522,,FENG TAY ENTERPRISES
2523,,BANCOLOMBIA
2524,,DONALDSON COMPANY
2525,,STOCKLAND
2526,,DIGI.COM BERHAD
2527,,"THOUGHTWORKS HOLDING, INC."
2528,,KOBE BUSSAN
2529,,HOWDEN JOINERY GROUP
2530,,DATWYLER HOLDING
2531,,GLOBAL-E ONLINE LTD.
2532,,MIRATI THERAPEUTICS
2533,,"FRONTIER COMMUNICATIONS PARENT, INC."
2534,,AALBERTS NV
2535,,MARRIOTT VACATIONS WORLDWIDE CORPORATION
2536,,ALTICE USA
2537,,TOROMONT INDUSTRIES
2538,,POPULAR
2539,,INTOUCH HOLDINGS PUBLIC COMPANY
2540,,KLEPIERRE SA
2541,,HEALTHCARE TRUST OF AMERICA
2542,,PIRELLI & C. S.P.A.
2543,,UNITED INTERNET AG
2544,,GRUPO AEROPORTUARIO DEL PACIFICO
2545,,PIRELLI & C
2546,,CASEY'S GENERAL STORES
2547,,JANUS HENDERSON GROUP
2548,,GSW IMMOBILIEN AG
2549,,SWISS PRIME SITE AG
2550,,TAIYO YUDEN
2551,,MAGAZINE LUIZA
2552,,ZHUZHOU KIBING GROUP
2553,,NIHON M&A CENTER
2554,,ABRDN PLC
2555,,MERCARI
2556,,LG DISPLAY
2557,,AVIC HEAVY MACHINERY
2558,,GLOBUS MEDICAL
2559,,SHANGHAI RAAS BLOOD PRODUCTS
2560,,BERKELEY GROUP HOLDINGS
2561,,PT INDOFOOD CBP SUKSES MAKMUR TBK
2562,,BANK OF CHENGDU
2563,,BY-HEALTH
2564,,THYSSENKRUPP AG
2565,,POST HOLDINGS
2566,,SHANGHAI JUNSHI BIOSCIENCES
2567,,ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS
2568,,PERFORMANCE FOOD GROUP COMPANY
2569,,TOHO
2570,,TREND MICRO
2571,,SHANDONG LINGLONG TYRE
2572,,NANJING KING-FRIEND BIOCHEMICAL PHARMACEUTICAL CO. LTD
2573,,DOMINO'S PIZZA ENTERPRISES
2574,,KGHM POLSKA MIEDZ
2575,,FLUIDRA
2576,,SKECHERS
2577,,ANGEL YEAST CO. LTD
2578,,ENVISTA HOLDINGS CORPORATION
2579,,MING YANG SMART ENERGY GROUP
2580,,AIRTAC INTERNATIONAL GROUP
2581,,LYNAS RARE EARTHS LIMITED
2582,,KUANG-CHI TECHNOLOGIES
2583,,PLAINS ALL AMERICAN PIPELINE
2584,,NEUROCRINE BIOSCIENCES
2585,,HULIC
2586,,X5 RETAIL GROUP
2587,,NEW YORK TIMES COMPANY
2588,,CHINA CINDA ASSET MANAGEMENT
2589,,BOYD GAMING CORPORATION
2590,,SHARP CORPORATION
2591,,AIB GROUP
2592,,TORRENT PHARMACEUTICALS
2593,,OMNICELL
2594,,INNOLUX CORPORATION
2595,,MEDIBANK PRIVATE
2596,,BID CORPORATION
2597,,CHINA MERCHANTS PORT HOLDINGS COMPANY
2598,,NATERA
2599,,ITOCHU TECHNO-SOLUTIONS CORPORATION
2600,,PROSPERITY BANCSHARES
2601,,OPENDOOR TECHNOLOGIES INC.
2602,,GREAT EASTERN HOLDINGS
2603,,GROWTHPOINT PROPERTIES AUSTRALIA
2604,,BRITISH LAND COMPANY
2605,,AIRTEL AFRICA
2606,,AROUNDTOWN SA
2607,,SINOPHARM GROUP
2608,,GLOBAL POWER SYNERGY PUBLIC COMPANY
2609,,SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP
2610,,WOODWARD
2611,,AUSNET SERVICES LTD
2612,,PT CHAROEN POKPHAND INDONESIA TBK
2613,,BANGKOK BANK PUBLIC COMPANY
2614,,XIAMEN FARATRONIC
2615,,ROYAL MAIL
2616,,GMEXICO TRANSPORTES
2617,,AKER ASA
2618,,VSMPO-AVISMA CORPORATION
2619,,OSAKA GAS
2620,,BB SEGURIDADE PARTICIPACOES
2621,,VITROLIFE AB (PUBL)
2622,,IRONSOURCE
2623,,AUTEK CHINA
2624,,CENTRAL PATTANA PUBLIC COMPANY
2625,,ALASKA AIR GROUP
2626,,IDBI BANK
2627,,MASTEC
2628,,PhonePe
2629,,HDFC ASSET MANAGEMENT COMPANY LIMITED
2630,,POLARIS
2631,,KLARNA
2632,,CLARIANT AG
2633,,WEX Inc
2634,,OZ MINERALS
2635,,PILGRIM'S PRIDE CORPORATION
2636,,SHENZHEN CAPCHEM TECHNOLOGY
2637,,SUZHOU TA&A ULTRA CLEAN TECHNOLOGY
2638,,JAPAN POST INSURANCE
2639,,COLFAX CORPORATION
2640,,HIKARI TSUSHIN
2641,,MOBILE TELESYSTEMS
2642,,DAIWA HOUSE REIT INVESTMENT CORPORATION
2643,,SUZHOU DONGSHAN PRECISION MANUFACTURING
2644,,TATA TELESERVICES (MAHARASHTRA)
2645,,AVIC AVIATION HIGH-TECHNOLOGY
2646,,PLAYTIKA HOLDING CORP.
2647,,LEVIMA ADVANCED MATERIALS CORPORATION
2648,,CORELOGIC
2649,,"INNER MONGOLIA JUNZHENG ENERGY & CHEMICAL GROUP CO.,LTD."
2650,,SOOCHOW SECURITIES
2651,,SAUDI KAYAN PETROCHEMICAL COMPANY
2652,,ORIGIN ENERGY
2653,,KANGMEI PHARMACEUTICAL
2654,,NOVOCURE
2655,,ONEMAIN HOLDINGS
2656,,SUNAC CHINA HOLDINGS
2657,,VOESTALPINE AG
2658,,UNITED STATES STEEL CORPORATION
2659,,KEPPEL CORPORATION
2660,,GENTING SINGAPORE
2661,,CHINA ENERGY ENGINEERING CORPORATION LIMITED
2662,,DATANG INTERNATIONAL POWER GENERATION
2663,,KINROSS GOLD CORPORATION
2664,,TIS
2665,,LEGEND BIOTECH CORP
2666,,MARKS AND SPENCER GROUP
2667,,AB ELECTROLUX (PUBL)
2668,,GUANGDONG WEIHUA CORPORATION
2669,,ZHEJIANG WEIMING ENVIRONMENT PROTECTION
2670,,ARC RESOURCES
2671,,HAPVIDA PARTICIPACOES E INVESTIMENTOS
2672,,REPLY
2673,,QANTAS AIRWAYS
2674,,JAFRON BIOMEDICAL
2675,,SAMSARA NETWORKS
2676,,IIDA GROUP HOLDINGS
2677,,BHARAT ELECTRONICS
2678,,BRP
2679,,PROCTER & GAMBLE HYGIENE AND HEALTH CARE
2680,,GUANGHUI ENERGY
2681,,JSW ENERGY
2682,,HUNTER DOUGLAS
2683,,ONEX CORPORATION
2684,,COMMERCIAL INTERNATIONAL BANK -EGYPT
2685,,GAP
2686,,GRUPO CARSO
2687,,HANKYU HANSHIN HOLDINGS
2688,,MEDPACE HOLDINGS
2689,,NATIONAL STORAGE REIT
2690,,BOSCH
2691,,FAURECIA S.E
2692,,SINOPAC FINANCIAL HOLDINGS COMPANY
2693,,CHANG HWA COMMERCIAL BANK
2694,,WIWYNN CORPORATION
2695,,FOX FACTORY HOLDING
2696,,REYNOLDS CONSUMER PRODUCTS INC.
2697,,ZYNGA
2698,,AVICOPTER
2699,,KOHL'S CORPORATION
2700,,HIKMA PHARMACEUTICALS
2701,,SOMFY SA
2702,,ONEX CORPORATION
2703,,ZIM INTEGRATED SHIPPING SERVICES LTD.
2704,,EMCOR GROUP
2705,,BKW AG
2706,,BANQUE CANTONALE VAUDOISE
2707,,HERO MOTOCORP
2708,,GUANGZHOU KINGMED DIAGNOSTICS GROUP
2709,,CPI PROPERTY GROUP
2710,,CHINA GREATWALL TECHNOLOGY GROUP
2711,,PEGATRON CORPORATION
2712,,IAA
2713,,AFFILIATED MANAGERS GROUP
2714,,DAI NIPPON PRINTING
2715,,NEW RELIC
2716,,SHANGHAI ZHIXIN ELECTRIC
2717,,ASCENDIS PHARMA A/S
2718,,EURAZEO SE
2719,,JUBILANT FOODWORKS
2720,,LG INNOTEK
2721,,WUXI SHANGJI AUTOMATION
2722,,ODAKYU ELECTRIC RAILWAY
2723,,PEPCO GROUP N.V.
2724,,LOTTE CHEMICAL CORPORATION
2725,,NEXTERA ENERGY PARTNERS LP
2726,,EL PUERTO DE LIVERPOOL
2727,,NUTANIX
2728,,INGREDION
2729,,RITCHIE BROS. AUCTIONEERS
2730,,IDP EDUCATION
2731,,LOCALIZA RENT A CAR
2732,,STAMPS.COM
2733,,SHENZHEN DYNANONIC CO. LTD
2734,,CHANGJIANG SECURITIES COMPANY
2735,,PAGE INDUSTRIES
2736,,DECHRA PHARMACEUTICALS
2737,,TECAN GROUP
2738,,EIDOS THERAPEUTICS
2739,,GLACIER BANCORP
2740,,SUNRUN
2741,,CENTRE TESTING INTERNATIONAL GROUP
2742,,CHANGE HEALTHCARE
2743,,ZHEJIANG LONGSHENG GROUP
2744,,OPEN HOUSE
2745,,JIANGSU EXPRESSWAY COMPANY
2746,,ALD SA
2747,,ADT
2748,,CHINA SHIPBUILDING INDUSTRY GROUP POWER
2749,,COHERENT
2750,,HELVETIA HOLDING AG
2751,,IA FINANCIAL CORPORATION
2752,,ASTRAL LIMITED
2753,,"SHANXI TAIGANG STAINLESS STEEL CO., LTD."
2754,,"FUSHUN SPECIAL STEEL CO.,LTD."
2755,,EAGLE MATERIALS
2756,,KBR
2757,,HUADIAN POWER INTERNATIONAL CORPORATION
2758,,MAPFRE
2759,,COBHAM
2760,,F&C INVESTMENT TRUST
2761,,REXEL
2762,,FRAPORT AG
2763,,FLIR SYSTEMS
2764,,YANTAI JEREH OILFIELD SERVICES GROUP
2765,,BANK OZK
2766,,ANAPLAN
2767,,NOMURA REAL ESTATE MASTER FUND
2768,,SBI HOLDINGS
2769,,HINDUSTAN PETROLEUM CORPORATION
2770,,SHANGHAI BAIRUN INVESTMENT HOLDING GROUP
2771,,ROYAL GOLD
2772,,EURONET WORLDWIDE
2773,,AIR CANADA
2774,,YETI HOLDINGS
2775,,ASR NEDERLAND
2776,,HILTON GRAND VACATIONS
2777,,TECH DATA CORPORATION
2778,,HUA HONG SEMICONDUCTOR
2779,,FORD OTOMOTIV SANAYI
2780,,ACKERMANS & VAN HAAREN NV
2781,,CHANGSHA JINGJIA MICROELECTRONICS
2782,,WESCO INTERNATIONAL
2783,,CHINA SUNTIEN GREEN ENERGY CORPORATION
2784,,R1 RCM
2785,,ASPEN PHARMACARE HOLDINGS
2786,,DAWNING INFORMATION INDUSTRY
2787,,NORTHLAND POWER
2788,,LEPU MEDICAL TECHNOLOGY (BEIJING)
2789,,LOUISIANA-PACIFIC CORPORATION
2790,,"BEIJING SHOUGANG CO., LTD."
2791,,BAIC BLUEPARK NEW ENERGY TECHNOLOGY
2792,,KORNIT DIGITAL
2793,,TCF FINANCIAL CORPORATION
2794,,CADENCE BANCORPORATION
2795,,INDUSTRIAL BANK OF KOREA
2796,,TREASURY WINE ESTATES
2797,,BEIJING DABEINONG TECHNOLOGY GROUP
2798,,ENCOMPASS HEALTH CORPORATION
2799,,SIGNIFY
2800,,EASYJET
2801,,BEIJING EASPRING MATERIAL TECHNOLOGY
2802,,MAINFREIGHT
2803,,CHAROEN POKPHAND FOODS PUBLIC COMPANY
2804,,ETIHAD ETISALAT COMPANY
2805,,MDU RESOURCES GROUP
2806,,DOUGLAS EMMETT
2807,,ZHEJIANG DINGLI MACHINERY
2808,,MEDALLIA
2809,,KONAMI HOLDINGS CORPORATION
2810,,ORPEA SA
2811,,HITACHI CONSTRUCTION MACHINERY
2812,,SUNRISE COMMUNICATIONS GROUP AG
2813,,IGO LIMITED
2814,,GODREJ PROPERTIES
2815,,JABAL OMAR DEVELOPMENT COMPANY
2816,,"TIANNENG BATTERY GROUP CO., LTD."
2817,,LANDSTAR SYSTEM
2818,,VALMET OYJ
2819,,SWITCH
2820,,DESCARTES SYSTEMS GROUP
2821,,CHONGQING RURAL COMMERCIAL BANK
2822,,VALVE CORPORATION
2823,,CACI INTERNATIONAL
2824,,GRUPO AEROPORTUARIO DEL SURESTE S. A. B. DE C. V
2825,,ANHUI KOUZI DISTILLERY
2826,,CLOUDKITCHENS
2827,,HASHICORP
2828,,LAZADA GROUP
2829,,MACHINE ZONE
2830,,TEMPUS
2831,,THE HUT GROUP
2832,,XIAOHONGSHU
2833,,NOTRE DAME INTERMEDICA PARTICIPACOES
2834,,BOSTON BEER COMPANY
2835,,NEXSTAR MEDIA GROUP
2836,,VALVOLINE
2837,,KAWASAKI KISEN KAISHA
2838,,YIFENG PHARMACY CHAIN
2839,,ZHEJIANG YONGTAI TECHNOLOGY
2840,,CHINA LITERATURE
2841,,COSAN
2842,,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY
2843,,ABB INDIA
2844,,CHINA STATE CONSTRUCTION INTERNATIONAL HOLDINGS
2845,,GUJARAT GAS
2846,,ECLAT TEXTILE
2847,,ZHEJIANG JIUZHOU PHARMACEUTICAL CO. LTD
2848,,TIANSHUI HUATIAN TECHNOLOGY
2849,,"IWEB, INC."
2850,,WELCIA HOLDINGS
2851,,SWECO AB (PUBL)
2852,,FINANCIERE DE L'ODET SA
2853,,ZHONGJIN GOLD
2854,,CYBERARK SOFTWARE
2855,,NVENT ELECTRIC
2856,,WATTS WATER TECHNOLOGIES
2857,,SOUTH STATE CORPORATION
2858,,BEIJING SHIJI INFORMATION TECHNOLOGY
2859,,RAIA DROGASIL
2860,,TEXAS ROADHOUSE
2861,,OOREDOO
2862,,GAN & LEE PHARMACEUTICALS
2863,,MAPLETREE LOGISTICS TRUST
2864,,WINTIME ENERGY
2865,,COUSINS PROPERTIES
2866,,PROXIMUS
2867,,COLLIERS INTERNATIONAL GROUP
2868,,INSPIRE MEDICAL SYSTEMS
2869,,HAKUHODO DY HOLDINGS
2870,,KOEI TECMO HOLDINGS
2871,,JARIR MARKETING COMPANY
2872,,ITV
2873,,EMMI AG
2874,,BE SEMICONDUCTOR INDUSTRIES
2875,,KOSE CORPORATION
2876,,GLAXOSMITHKLINE CONSUMER HEALTHCARE
2877,,WEIR GROUP
2878,,ASGN
2879,,WEIHAI GUANGWEI COMPOSITES
2880,,JIANGSU YANGNONG CHEMICAL
2881,,SUNING.COM
2882,,CCC INTELLIGENT SOLUTIONS HOLDINGS INC.
2883,,FS KKR CAPITAL
2884,,BEIJING TIANTAN BIOLOGICAL PRODUCTS
2885,,HUMANWELL HEALTHCARE (GROUP)
2886,,SHINKO ELECTRIC INDUSTRIES
2887,,STEEL AUTHORITY OF INDIA
2888,,ANKER INNOVATIONS LIMITED
2889,,SONGCHENG PERFORMANCE DEVELOPMENT
2890,,TOPPAN PRINTING
2891,,YUNNAN ALUMINIUM
2892,,E INK HOLDINGS
2893,,G4S
2894,,ZYDUS LIFESCIENCES LIMITED
2895,,"HUNAN VALIN STEEL CO., LTD."
2896,,SQUARE ENIX HOLDINGS
2897,,SEIKO EPSON CORPORATION
2898,,WESTONE INFORMATION INDUSTRY
2899,,ZHEJIANG WEIXING NEW BUILDING MATERIALS
2900,,SK BIOPHARMACEUTICALS
2901,,HENGYI PETROCHEMICAL
2902,,BALKRISHNA INDUSTRIES
2903,,AMBU A/S
2904,,PEARSON PLC
2905,,ARROWHEAD PHARMACEUTICALS
2906,,BANKIA
2907,,PORTON PHARMA SOLUTIONS
2908,,CRANE
2909,,GOODYEAR TIRE & RUBBER COMPANY
2910,,COLUMBIA SPORTSWEAR COMPANY
2911,,TAISEI CORPORATION
2912,,"OAK STREET HEALTH, INC."
2913,,SCIENTIFIC GAMES CORPORATION
2914,,IMI
2915,,SHANGHAI YUYUAN TOURIST MART (GROUP)
2916,,SAILUN GROUP
2917,,VGP NV
2918,,SHIMGE PUMP INDUSTRY GROUP
2919,,STANTEC
2920,,TOPSPORTS INTERNATIONAL HOLDINGS
2921,,SOTERA HEALTH CO
2922,,HARLEY-DAVIDSON
2923,,NEW YORK COMMUNITY BANCORP
2924,,TOKYO CENTURY CORPORATION
2925,,"ALLEGRO MICROSYSTEMS, INC."
2926,,SHANGHAI AIKO SOLAR ENERGY
2927,,PRIMERICA
2928,,CAITONG SECURITIES
2929,,THULE GROUP AB (PUBL)
2930,,FUJIAN ANJOY FOODS
2931,,DISCOVERY LIMITED
2932,,PT BAYAN RESOURCES TBK
2933,,SHANGHAI LUJIAZUI FINANCE & TRADE ZONE DEVELOPMENT
2934,,PERSOL HOLDINGS
2935,,KEDA CLEAN ENERGY
2936,,FANGDA CARBON NEW MATERIAL TECHNOLOGY
2937,,ENKA INSAAT VE SANAYI
2938,,GRAPHIC PACKAGING HOLDING COMPANY
2939,,AZBIL CORPORATION
2940,,DCP MIDSTREAM LP
2941,,CHINA AVIONICSSYSTEM
2942,,SHANDONG SINOCERA FUNCTIONAL MATERIAL
2943,,MGM GROWTH PROPERTIES LLC
2944,,VIPSHOP HOLDINGS
2945,,ZHEJIANG HANGKE TECHNOLOGY COMPANY
2946,,YONGHUI SUPERSTORES
2947,,PT MERDEKA COPPER GOLD TBK
2948,Shane Smith,SMITHFIELD FOODS
2949,,HUTCHISON CHINA MEDITECH
2950,,HUAXIN CEMENT
2951,,CHINA MERCHANTS PORT GROUP
2952,,TSIM SHA TSUI PROPERTIES LIMITED
2953,,JARDINE CYCLE & CARRIAGE
2954,,PI INDUSTRIES
2955,,KOBAYASHI PHARMACEUTICAL
2956,,TRITAX BIG BOX REIT
2957,,L'OCCITANE INTERNATIONAL
2958,,E. I. DU PONT DE NEMOURS AND COMPANY
2959,,FRESHWORKS Inc
2960,,KOC HOLDING
2961,,BROOKFIELD RENEWABLE CORPORATION
2962,,TAIWAN HIGH SPEED RAIL CORPORATION
2963,,VALLEY NATIONAL BANCORP
2964,,SHOCKWAVE MEDICAL
2965,,HENGAN INTERNATIONAL GROUP COMPANY
2966,,NORDIC SEMICONDUCTOR ASA
2967,,JUEWEI FOOD
2968,,PACWEST BANCORP
2969,,SLM CORPORATION
2970,,PROYA COSMETICS
2971,,RICOH COMPANY
2972,,SCSK CORPORATION
2973,,HERA
2974,,SPIRIT REALTY CAPITAL
2975,,INTERNATIONAL GAME TECHNOLOGY
2976,,KT CORPORATION
2977,,TRINET GROUP
2978,,ENAGAS
2979,,RBC BEARINGS
2980,,APELOA PHARMACEUTICAL
2981,,SHENZHEN ENERGY GROUP
2982,,COSCO SHIPPING DEVELOPMENT
2983,,CHINA POWER INTERNATIONAL DEVELOPMENT
2984,,CURALEAF HOLDINGS
2985,,KOREA SHIPBUILDING & OFFSHORE ENGINEERING
2986,,EXELIXIS
2987,,FLOWERS FOODS
2988,,API GROUP CORPORATION
2989,,BOSIDENG INTERNATIONAL HOLDINGS
2990,,TUSIMPLE HOLDINGS INC.
2991,,ALKEM LABORATORIES
2992,,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED
2993,,THOR INDUSTRIES
2994,,LUNDIN MINING CORPORATION
2995,,JAPAN RETAIL FUND INVESTMENT CORPORATION
2996,,"PANGANG GROUP VANADIUM & TITANIUM RESOURCES CO., LTD."
2997,,ELEMENT SOLUTIONS
2998,,ASHLAND GLOBAL HOLDINGS
2999,,CHINA GREAT WALL SECURITIES
3000,,KONGSBERG GRUPPEN ASA
3001,,NATIONAL FUEL GAS COMPANY
3002,,HANON SYSTEMS
3003,,BGI GENOMICS
3004,,"BRAZE, INC."
3005,,HANESBRANDS
3006,,SUMCO CORPORATION
3007,,ALTEN SA
3008,,NATIONAL OILWELL VARCO
3009,,CENTRICA
3010,,OZON HOLDINGS PLC
3011,,UNITE GROUP
3012,,CHINA LESSO GROUP HOLDINGS
3013,,MERCURY NZ
3014,,KOJAMO OYJ
3015,,CHEMOURS COMPANY
3016,,MICROPORT SCIENTIFIC CORPORATION
3017,,SCOUT24 AG
3018,,KAJIMA CORPORATION
3019,,"TONGLING NONFERROUS METALS GROUP CO.,LTD."
3020,,MCDONALD'S HOLDINGS COMPANY (JAPAN)
3021,,AXFOOD AB (PUBL)
3022,,TERRENO REALTY CORPORATION
3023,,GUOLIAN SECURITIES
3024,,TIANJIN GUANGYU DEVELOPMENT
3025,,JS GLOBAL LIFESTYLE COMPANY
3026,,ANGANG STEEL COMPANY LIMITED
3027,,HANWHA CHEMICAL CORPORATION
3028,,BANDHAN BANK
3029,,"BOC INTERNATIONAL (CHINA) CO., LTD"
3030,,KINGSOFT CORPORATION
3031,,FUTURE
3032,,TELEKOM AUSTRIA AG
3033,,SHANDONG SHIDA SHENGHUA CHEMICAL GROUP COMPANY
3034,,CHINA RESOURCES CEMENT HOLDINGS
3035,,WORKIVA
3036,,ALTAGAS
3037,,SINOPEC SHANGHAI PETROCHEMICAL COMPANY
3038,,PERFECT WORLD
3039,,AMBARELLA
3040,,CENTURIA CAPITAL GROUP
3041,,SHANGHAI LINGANG HOLDINGS
3042,,CHINA RESOURCES SANJIU MEDICAL & PHARMACEUTICAL
3043,,UNIONE DI BANCHE ITALIANE
3044,,BUMBLE INC.
3045,,BOC AVIATION
3046,,VODAFONE IDEA LIMITED
3047,,COMPANHIA SIDERURGICA NACIONAL
3048,,AMKOR TECHNOLOGY
3049,,IOI CORP.BHD
3050,,NEDBANK GROUP
3051,,SCHAEFFLER AG
3052,,TRAVELOKA
3053,,PT UNITED TRACTORS TBK
3054,,ANTERO RESOURCES CORPORATION
3055,,S.C NEW ENERGY TECHNOLOGY CORPORATION
3056,,NEW INDUSTRIES BIOMEDICAL ENGINEERING
3057,,RLX TECHNOLOGY INC.
3058,,METALLURGICAL CORPORATION OF CHINA
3059,,RIT CAPITAL PARTNERS
3060,,SCOR SE
3061,,NETWEALTH GROUP
3062,,BEIJING YUANLIU HONGYUAN ELECTRONIC TECHNOLOGY
3063,,SHIJIAZHUANG YILING PHARMACEUTICAL
3064,,RAPID7
3065,,A2A
3066,,HYUNDAI GLOVIS
3067,,BIOCON
3068,,ADDTECH AB (PUBL.)
3069,,TUI AG
3070,,ACC
3071,,HUBEI XINGFA CHEMICALS GROUP
3072,,HIROSE ELECTRIC
3073,,ZHEFU HOLDING GROUP
3074,,HUSKY ENERGY
3075,,SONA BLW PRECISION FORGINGS LIMITED
3076,,VIA VAREJO
3077,,CUREVAC
3078,,UBISOFT ENTERTAINMENT SA
3079,,SONOCO PRODUCTS COMPANY
3080,,MSA SAFETY
3081,,LANXESS
3082,,IDACORP
3083,,ARENA PHARMACEUTICALS
3084,,OCI
3085,,DALIAN PORT (PDA) COMPANY
3086,,DONGXING SECURITIES COMPANY
3087,,VICINITY CENTRES
3088,,LECHWERKE AG
3089,,WEBSTER FINANCIAL CORPORATION
3090,,RIOCAN REAL ESTATE INVESTMENT TRUST
3091,,"VERISILICON MICROELECTRONICS (SHANGHAI) CO., LTD."
3092,,CAMBRICON TECHNOLOGIES CORPORATION LIMITED
3093,,FLUGHAFEN ZURICH AG
3094,,SIMPSON MANUFACTURING
3095,,CROWN RESORTS
3096,,SHANDONG WEIGAO GROUP MEDICAL POLYMER COMPANY
3097,,NANJING SECURITIES
3098,,WALLENSTAM AB (PUBL)
3099,,UNUM GROUP
3100,,ACRON
3101,,GRUPO AVAL ACCIONES Y VALORES
3102,,NMDC
3103,,CENTRAL RETAIL CORPORATION
3104,,JCDECAUX SA
3105,,OWL ROCK CAPITAL CORPORATION
3106,,ORION OYJ
3107,,NOVANTA
3108,,ETN. FR. COLRUYT NV
3109,,SEVEN GROUP HOLDINGS
3110,,WINNER MEDICAL CO. LIMITED
3111,,WINTRUST FINANCIAL CORPORATION
3112,,SPARK NEW ZEALAND
3113,,HENGTONG OPTIC-ELECTRIC
3114,,LONGSHINE TECHNOLOGY
3115,,FAR EASTERN NEW CENTURY CORPORATION
3116,,HANGZHOU ROBAM APPLIANCES
3117,,BLACKLINE
3118,,HINDUSTAN AERONAUTICS LIMITED
3119,,VOLTAS
3120,,CHINA BAOAN GROUP
3121,,COSMOS PHARMACEUTICAL CORPORATION
3122,,UNITED BREWERIES
3123,,CIFI HOLDINGS (GROUP)
3124,,TIMKEN COMPANY
3125,,WESTERN SUPERCONDUCTING TECHNOLOGIES
3126,,SHURGARD SELF STORAGE
3127,,STERLING BANCORP
3128,,COCA-COLA CONSOLIDATED
3129,,GRUPO TELEVISA
3130,,BAUSCH & LOMB CORP
3131,,CHINA AIRLINES
3132,,LEGGETT & PLATT
3133,,ROYAL UNIBREW A/S
3134,,HELEN OF TROY
3135,,KRUNG THAI BANK PUBLIC COMPANY
3136,,SHANGHAI FRIENDESS ELECTRONIC TECHNOLOGY CORPORATION
3137,,CHARGEPOINT HOLDINGS
3138,,JIANGSU YOKE TECHNOLOGY
3139,,WESTERN SECURITIES
3140,,TATA COMMUNICATIONS
3141,,HOWARD HUGHES CORPORATION
