,company_ceo,company_country,company_name,company_industry
297,Philipp Rickenbacher,switzerland,julius bar gruppe ag,financial services
298,,russia,pjsc tatneft,energy
299,Pedro Manuel de Castro Soares dos Santos,portugal,jeronimo martins sgps,consumer defensive
300,Anthony Smurfit,ireland,smurfit kappa group,consumer cyclical
301,Iwona Duda,poland,pko bank polski en,financial services
302,Warren East,uk,rolls-royce holdings,industries
303,Didier Michaud-Daniel,france,bureau veritas sa,industries
304,Bertrand Camus,france,suez sa,utilities
305,,monaco,hal trust,financial services
306,Arnaud de Puyfontaine,france,vivendi,communication services
307,Rob Smith,germany,kion group ag,industries
308,Simon Wolfson,uk,next plc,consumer cyclical
309,Dominik von Achten,germany,heidelberg cement ag,basic materials
310,Christian Kohlpaintner,germany,brenntag ag,basic materials
311,Martin Bouygues,france,bouygues sa,industries
312,Henri Poupart-Lafarge,france,alstom sa,industries
313,Bracken P. Darrell,switzerland,logitech international,technology
314,Michael Allison,switzerland,vat group ag,industries
315,Andy Ransom,uk,rentokil initial,industries
316,Helena Stjernholm,sweden,ab industrivarden (publ),financial services
317,Augustin de Romanet,france,aeroports de paris sa,industries
318,Fredrik Lundberg,sweden,l e lundbergforetagen ab (publ),financial services
319,Denis Machuel,france,sodexo,industries
320,Paolo Rocca,luxembourg,tenaris,energy
321,Jette Nygaard-Andersen,uk,entain plc,casinos
322,Axel Wachtmeister,sweden,lifco ab (publ),industries
323,,uk,wise plc,digital payment solution services
324,,norway,yara international asa,basic materials
325,,switzerland,barry callebaut ag,consumer defensive
326,,netherlands,kpn,communication services
327,,switzerland,coca-cola hbc ag,consumer defensive
328,,germany,traton se,industries
329,,sweden,svenska cellulosa aktiebolaget sca (publ),basic materials
330,,netherlands,randstad,industries
331,,sweden,swedish match ab (publ),consumer defensive
332,,sweden,fastighets ab balder (publ),real estate
333,,italy,recordati industria chimica e farmaceutica,healthcare
334,,uk,bunzl,consumer defensive
335,,germany,covestro ag,basic materials
336,,uk,schroders,financial services
337,,finland,kesko oyj,consumer defensive
338,,uk,intercontinental hotels group,consumer cyclical
339,,uk,aveva group,technology
340,,uk,admiral group,financial services
341,,uk,mondi,basic materials
342,,belgium,solvay sa,basic materials
343,,belgium,umicore sa,industries
344,,germany,talanx ag,financial services
345,,uk,intertek group,industries
346,,germany,nemetschek se,technology
347,,uk,st. james's place,financial services
348,,norway,mowi asa,consumer defensive
349,,uk,evraz,basic materials
350,,uk,persimmon,consumer cyclical
351,,france,edenred sa,financial services
352,,norway,gjensidige forsikring asa,financial services
353,,denmark,demant a/s,healthcare
354,,sweden,ica gruppen ab (publ),consumer defensive
355,,denmark,pandora a/s,consumer cyclical
356,,germany,hellofresh se,consumer cyclical
357,,norway,aker bp asa,energy
358,,sweden,ab skf (publ),industries
359,,germany,mtu aero engines ag,industries
360,,switzerland,vifor pharma ag,healthcare
361,,germany,qiagen,healthcare
362,,uk,sage group,technology
363,,uk,allfunds group plc,financial services
364,,russia,alrosa,basic materials
365,,ireland,allegion,industries
366,,netherlands,imcd,basic materials
367,,netherlands,eurocommercial properties,real estate
368,,france,renault sa,consumer cyclical
369,,france,remy cointreau sa,consumer defensive
370,,germany,commerzbank ag,financial services
371,,netherlands,aegon,financial services
372,,italy,amplifon spa,healthcare
373,,uk,informa plc,communication services
374,,germany,rational ag,industries
375,,spain,grifols,healthcare
376,,sweden,samhallsbyggnadsbolaget i norden ab (publ),real estate
377,,spain,red electrica corporacion,utilities
378,,sweden,indutrade ab (publ),industries
379,,italy,infrastrutture wireless italiane,communication services
380,,france,arkema,basic materials
381,,uk,farfetch,consumer cyclical
382,,uk,international consolidated airlines group,industries
383,,sweden,getinge ab,healthcare
384,,italy,telecom italia,communication services
385,,sweden,embracer group ab (publ),communication services
386,,italy,finecobank banca fineco,financial services
387,,netherlands,just eat takeaway.com,retail
388,,germany,kabel deutschland holding ag,communication services
389,,sweden,skanska ab (publ),industries
390,,belgium,ageas sa/nv,financial services
391,,sweden,lundin energy ab (publ),energy
392,,russia,magnitogorsk iron & steel works (mmk),basic materials
393,,denmark,chr. hansen holding a/s,basic materials
394,,sweden,ab sagax (publ),real estate
395,,france,unibail-rodamco-westfield,real estate
396,,netherlands,euronext,financial services
397,,uk,barratt developments,consumer cyclical
398,,spain,acciona,industries
399,,switzerland,on holding ag,
400,,france,gecina sa,real estate
401,,italy,mediobanca banca di credito finanziario,financial services
402,,belgium,d'ieteren sa,consumer cyclical
403,,germany,leg immobilien ag,real estate
404,,sweden,tele2 ab (publ),communication services
405,,austria,raiffeisen bank international ag,financial services
406,,uk,melrose industries,industries
407,,norway,tomra systems asa,industries
408,,uk,sensata technologies holding,technology
409,,uk,united utilities group,utilities
410,,uk,severn trent,utilities
411,,italy,prysmian,industries
412,,france,eiffage sa,industries
413,,russia,pjsc phosagro,basic materials
414,,uk,kingfisher,consumer cyclical
415,,sweden,ssab ab (publ),basic materials
416,,finland,elisa oyj,communication services
417,,russia,pik group,real estate
418,,france,dassault aviation sa,industries
419,,luxembourg,allegro.eu sa,consumer cyclical
420,,uk,burberry group,consumer cyclical
421,,norway,orkla asa,consumer defensive
422,,finland,metso outotec oyj,industries
423,,switzerland,temenos ag,technology
424,,italy,diasorin,healthcare
425,,germany,deutsche lufthansa ag,industries
426,,luxembourg,ternium,basic materials
427,,germany,gea group,industries
428,,sweden,kinnevik ab,financial services
429,,sweden,autoliv,consumer cyclical
430,,poland,santander bank polska,financial services
431,,uk,auto trader group,ecommerce
432,,france,accor sa,consumer cyclical
433,,uk,phoenix group holdings,financial services
434,,switzerland,bachem holding ag,basic materials
435,,poland,polskie gornictwo naftowe i gazownictwo,energy
436,,sweden,castellum ab (publ),real estate
437,,switzerland,sig combibloc group ag,consumer cyclical
438,,uk,hargreaves lansdown,financial services
439,,sweden,husqvarna ab (publ),industries
440,,poland,dino polska s.a.,consumer defensive
441,,portugal,galp energia sgps,energy
442,,uk,rightmove,communication services
443,,france,getlink se,industries
444,,sweden,sinch ab (publ),communication services
445,,uk,j sainsbury,consumer defensive
446,,belgium,elia system operator sa,utilities
447,,uk,whitbread,consumer cyclical
448,,france,seb sa,consumer cyclical
449,,greece,hellenic telecommunications organization,communication services
450,,luxembourg,rtl group sa,communication services
451,,finland,wartsila oyj abp,industries
452,,czech republic,avast,technology
453,,uk,taylor wimpey,consumer cyclical
454,,italy,edison s.p.a,utilities
455,,germany,bechtle ag,technology
456,,belgium,warehouses de pauw,real estate
457,,germany,dws group gmbh & co. kgaa,financial services
458,,switzerland,adecco group ag,industries
459,,france,la francaise des jeux societe anonyme,consumer cyclical
460,,russia,vtb bank,financial services
461,,germany,telefonica deutschland holding ag,communication services
462,,ireland,jazz pharmaceuticals,healthcare
463,,luxembourg,b&m european value retail,consumer defensive
464,,uk,intermediate capital group,financial services
465,,netherlands,ctp n.v.,real estate
466,,uk,fresnillo,basic materials
467,,ireland,dcc,energy
468,,poland,lpp sa,consumer cyclical
469,,czech republic,komercni banka,financial services
470,,netherlands,grandvision,consumer cyclical
471,,hong kong,swire pacific,industries
472,,denmark,rockwool international a/s,industries
473,,norway,schibsted asa,communication services
474,,ireland,bank of ireland group,financial services
475,,italy,unipolsai assicurazioni,financial services
476,,sweden,holmen aktiebolag (publ.),basic materials
477,,norway,salmar asa,consumer defensive
478,,uk,endava,technology
479,,uk,meggitt,industries
480,,france,covivio,real estate
481,,uk,oxford nanopore technologies plc,healthcare
482,,uk,land securities group,real estate
483,,germany,hella gmbh & co. kgaa,consumer cyclical
484,,switzerland,baloise holding ag,financial services
485,,germany,wacker chemie ag,basic materials
486,,france,ipsen,healthcare
487,,switzerland,wizz air holdings,industries
488,,denmark,gn store nord a/s,healthcare
489,,sweden,beijer ref ab (publ),industries
490,,uk,electrocomponents,industries
491,,france,valeo sa,consumer cyclical
492,,sweden,trelleborg ab (publ),industries
493,,uk,m&g plc,financial services
494,,uk,ds smith,consumer cyclical
495,,switzerland,belimo holding ag,industries
496,,italy,interpump group,industries
497,,denmark,kobenhavns lufthavne a/s,industries
498,,germany,sixt se,industries
499,,russia,magnit,consumer defensive
500,,germany,evotec se,healthcare
501,,italy,banca mediolanum,financial services
502,,germany,cts eventim ag & co. kgaa,communication services
503,,switzerland,datwyler holding,industries
504,,uk,howden joinery group,consumer cyclical
505,,netherlands,aalberts nv,industries
506,,france,klepierre sa,real estate
507,,italy,pirelli & c. s.p.a.,consumer cyclical
508,,italy,pirelli & c,consumer cyclical
509,,germany,united internet ag,communication services
510,,uk,janus henderson group,financial services
511,,switzerland,swiss prime site ag,real estate
512,,germany,gsw immobilien ag,real estate
513,,uk,abrdn plc,financial services
514,,uk,berkeley group holdings,consumer cyclical
515,,germany,thyssenkrupp ag,industries
516,,spain,acs actividades de construccion y servicios,industries
517,,poland,kghm polska miedz,basic materials
518,,spain,fluidra,industries
519,,russia,x5 retail group,consumer defensive
520,,ireland,aib group,financial services
521,,uk,airtel africa,telecom
522,,uk,british land company,real estate
523,,luxembourg,aroundtown sa,real estate
524,,russia,vsmpo-avisma corporation,basic materials
525,,uk,royal mail,industries
526,,norway,aker asa,energy
527,,sweden,vitrolife ab (publ),healthcare
528,,switzerland,clariant ag,basic materials
529,,russia,mobile telesystems,communication services
530,,uk,novocure,healthcare
531,,austria,voestalpine ag,basic materials
532,,uk,marks and spencer group,consumer cyclical
533,,sweden,ab electrolux (publ),technology
534,,italy,reply,technology
535,,netherlands,hunter douglas,consumer cyclical
536,,france,faurecia s.e,consumer cyclical
537,,uk,hikma pharmaceuticals,healthcare
538,,france,somfy sa,consumer cyclical
539,,switzerland,bkw ag,utilities
540,,switzerland,banque cantonale vaudoise,financial services
541,,luxembourg,cpi property group,real estate
542,,denmark,ascendis pharma a/s,healthcare
543,,france,eurazeo se,financial services
544,,uk,pepco group n.v.,consumer defensive
545,,uk,dechra pharmaceuticals,healthcare
546,,switzerland,tecan group,healthcare
547,,france,ald sa,industries
548,,switzerland,helvetia holding ag,financial services
549,,france,rexel,industries
550,,germany,fraport ag,industries
551,,uk,f&c investment trust,investments
552,,netherlands,asr nederland,financial services
553,,belgium,ackermans & van haaren nv,industries
554,,netherlands,signify,industries
555,,uk,easyjet,industries
556,,france,orpea sa,healthcare
557,,finland,valmet oyj,industries
558,,sweden,sweco ab (publ),industries
559,,france,financiere de l'odet sa,industries
560,,uk,nvent electric,industries
561,,belgium,proximus,communication services
562,,uk,itv,communication services
563,,switzerland,emmi ag,consumer defensive
564,,netherlands,be semiconductor industries,technology
565,,uk,weir group,industries
566,,uk,pearson plc,education
567,,switzerland,goodyear tire & rubber company,consumer cyclical
568,,denmark,ambu a/s,healthcare
569,,uk,imi,industries
570,,belgium,vgp nv,real estate
571,,sweden,thule group ab (publ),consumer cyclical
572,,uk,tritax big box reit,real estate
573,,luxembourg,l'occitane international,consumer defensive
574,,norway,nordic semiconductor asa,technology
575,,italy,hera,utilities
576,,spain,enagas,utilities
577,,norway,kongsberg gruppen asa,industries
578,,france,alten sa,technology
579,,uk,centrica,utilities
580,,uk,unite group,real estate
581,,finland,kojamo oyj,real estate
582,,sweden,axfood ab (publ),consumer defensive
583,,germany,scout24 ag,communication services
584,,austria,telekom austria ag,communication services
585,,uk,future,communication services
586,,germany,schaeffler ag,consumer cyclical
587,,france,scor se,financial services
588,,uk,rit capital partners,investments
589,,italy,a2a,utilities
590,,sweden,addtech ab (publ.),industries
591,,germany,tui ag,consumer cyclical
592,,germany,lanxess,basic materials
593,,germany,curevac,healthcare
594,,france,ubisoft entertainment sa,communication services
595,,netherlands,oci,basic materials
596,,germany,lechwerke ag,utilities
597,,switzerland,flughafen zurich ag,industries
598,,sweden,wallenstam ab (publ),real estate
599,,russia,acron,basic materials
600,,france,jcdecaux sa,communication services
601,,finland,orion oyj,healthcare
602,,belgium,etn. fr. colruyt nv,consumer defensive
603,,luxembourg,shurgard self storage,real estate
604,,denmark,royal unibrew a/s,consumer defensive
605,,sweden,medicover ab (publ),healthcare
606,,france,icade,real estate
607,,switzerland,psp swiss property ag,real estate
608,,luxembourg,ardagh metal packaging s.a.,consumer cyclical
