,company_location,company_industry,company_revenue,company_name,company_employees,company_website
3210,"Ul. Pastelowa 8, Poznan, 60-198",Power,$778.2M,Enea SA,"17,473",www.enea.pl
3211,"3000 Tannery Way, Santa Clara, California, 95054",Technology and Communications,$42.8B,Palo Alto Networks Inc,"12,561",www.paloaltonetworks.com
3212,"Gran Tokyo North Tower, 1-9-1, Marunouchi, Chiyoda-Ku, 100-6751",Financial Services,$7.4B,Daiwa Securities Group Inc,"14,889",www.daiwa-grp.jp
3213,"No. 15 Youyi Road, Hexi District, Tianjin, 300201",Financial Services,$1.5B,Bank of Tianjin Co Ltd,"6,598",www.bank-of-tianjin.com.cn
3214,"Lassallestrasse 9, Wien, 1020",Technology and Communications,$4.4B,Telekom Austria AG,"17,856",www.a1.group
3215,"63, Sogong-Ro, Jung-Gu, Seoul, 04530",Retailing,$1.9B,Shinsegae Inc,"3,439",www.shinsegae.com
3216,"Moskva, Ul. Malaya Dmitrovka, Dom 7, Moscow, 127006",Power,$5.0B,RusHydro,"69,547",www.rushydro.ru
3217,"7909 Parkwood Circle Dr, Houston, Texas, 77036",Energy and Utilities,$9.0B,NOV Inc,"27,043",www.nov.com
3218,"Piazza Vittorio Veneto, 8, Bergamo, 24122",Financial Services,,Unione di Banche Italiane SpA,"19,547",www.ubibanca.it/
3219,"Condesa De Venadito 7, Madrid, 28027",Construction,$1.9B,Sacyr SA,"40,774",www.sacyr.com/es_es
3220,"18th Floor, 8 Queen's Road Central, Central, Hong Kong",Metals and Mining,$208.4M,China Daye Non-Ferrous Metals Mining Limited,"5,269",www.hk661.com
3221,"2415 Cascade Pointe Boulevard, Charlotte, North Carolina, 28208",Paper and Packaging,$7.8B,Sealed Air Corp,"16,500",sealedair.com
3222,"6 Avenue Kleber, Paris, 75116",Technology and Communications,$3.4B,Sopra Steria Group,"48,707",www.soprasteria.com
3223,"1 Monster Way, Corona, California, 92879-7101",Consumer Packaged Goods,$52.6B,Monster Beverage Corp,"4,092",monsterbevcorp.com
3224,"1100 Cassatt Road, Berwyn, Pennsylvania, 19312",Industrial Goods and Machinery,$32.5B,AMETEK Inc,"18,500",www.ametek.com
3225,"Via Energy Park, 20, Vimercate, 20871",Technology and Communications,$407.4M,Esprinet SpA,"1,770",www.esprinet.com
3226,"Shiomi Sif Bldg., 2-8-10, Shiomi, Koto-Ku, Tokyo, 135-0052",Transport and Logistics,$1.2B,Senko Group Holdings Co Ltd,"20,135",www.senkogrouphd.co.jp
3227,"1200 Urban Center Dr, Birmingham, Alabama, 35242",Construction,$24.0B,Vulcan Materials Co,"11,437",www.vulcanmaterials.com
3228,"59 Maiden Ln Fl 38, New York City, 10038-4502",Financial Services,,National General Holdings Corp,"9,700",nationalgeneral.com
3229,"Grand Pavilion Hibiscus Way, 802 West Bay Road, P.O. Box 31119, Grand Cayman, KY1-1205",Technology and Communications,$3.3B,Zhen Ding Technology Holding Ltd,"14,919",www.zdtco.com
3230,"Jl. Raya Bekasi Km. 22, Cakung, Jakarta, 13910",Construction,$6.1B,PT United Tractors Tbk,"30,847",www.unitedtractors.com
3231,"9 Ratchadapisek Rd., Jatujak, Bangkok, Bangkok (Krung Thep Maha Nakhon), 10900",Financial Services,$11.2B,SCB X PCL,,www.scb.co.th/en/investor-relations.html
3232,"Angel Place, L 10 123 Pitt Street, Sydney, New South Wales, 2000",Transport and Logistics,$11.4B,Brambles Ltd,"12,000",www.brambles.com
3233,"Peter-Mueller-Str. 12, Duesseldorf, 40468",Industrial Goods and Machinery,$8.0B,GEA Group AG,"18,123",www.gea.com
3234,"3 Etchells Road, West Timperley, Altrincham, WA145XS",Automotive,$400.8M,Lookers Plc,"6,524",www.lookersplc.com
3235,"1200 Main St, Kansas City, Missouri, 64105-2122",Power,$13.9B,Evergy Inc,"4,930",investors.evergy.com
3236,"5020 Weston Pkwy Ste 400, Cary, North Carolina, 27513-2322",Construction,$3.1B,Cornerstone Building Brands Inc,"21,700",www.cornerstonebuildingbrands.com
3237,"333 Silom Road, Bang Rak, Bangkok, 10500",Financial Services,$8.9B,Bangkok Bank Public Co Ltd,"30,630",www.bangkokbank.com
3238,"12f, No.88, Yanchang Road, Xinyi District, Taipei, 110",Technology and Communications,$11.1B,Taiwan Mobile Co Ltd,"6,529",www.taiwanmobile.com
3239,"One North Second St, P O Box 160, Hartsville, South Carolina, 29551-0160",Paper and Packaging,$5.8B,Sonoco Products Co,"20,500",www.sonoco.com
3240,"Building 20, No. 56 Antuo Road, Jiading District, Shanghai, 201804",Automotive,$18.4B,Nio Inc,"15,204",ir.nio.com
3241,"2f, Tokiwabashi Tower, 1-1-3, Ote-Machi, Chiyoda-Ku, Tokyo, 100-0004",Chemicals,$2.9B,Kuraray Co Ltd,"11,330",www.kuraray.co.jp
3242,"1204, Changwon-Daero, Seongsan-Gu, 51542",Aerospace and Defense,$3.2B,Hanwha Aerospace Co Ltd,"4,407",www.hanwhaaerospace.co.kr
3243,"16 Palace Street, London, SW1E5JD",Financial Services,$17.2B,3i Group Plc,234,www.3i.com
3244,"25f, No.1, Songzhi Road, Xinyi District, Taipei, 110",Industrial Goods and Machinery,$5.9B,Walsin Lihwa Corp,"7,651",www.walsin.com
3245,"3101 Packerland Dr, Green Bay, Wisconsin, 54313-6187",Transport and Logistics,$4.4B,Schneider National Inc,"16,050",schneider.com
3246,"No. 18, Guangming Middle Street, Dongcheng District, Beijing, 100061",Pharmaceuticals and Healthcare,$3.3B,China Meheco Group Co Ltd,"8,715",www.meheco.com
3247,"No.16 Wangjing North Road, Chaoyang District, Beijing, 100102",Construction,$3.0B,Sinoma International Engineering Co Ltd,"12,895",www.sinoma.com.cn
3248,"100 King Street West, 1 First Canadian Place, B1 Floor, Toronto, Ontario, M5X1H3",Financial Services,,BMO Wealth Management,,www.bmo.com/main/wealth-management
3249,"Suraksha, 170, Jamshedji Tata Road, Churchgate, Mumbai, 400020",Financial Services,,General Insurance Corporation of India,494,www.gicofindia.com/en
3250,"3 Overlook Point, Lincolnshire, Illinois, 60069",Technology and Communications,$15.3B,Zebra Technologies Corp,"9,800",www.zebra.com
3251,"Suite 1900, 5140 Yonge Street, Toronto, Ontario, M2N6L7",Technology and Communications,$1.6B,Celestica Inc,"23,915",www.celestica.com
