,company_location,company_industry,company_revenue,company_name,company_employees,company_website
0,"101 S Capitol Blvd Ste 1000, Boise, Idaho, 83702",Environmental and Waste Management Services,,US Ecology Inc,"3,600",www.usecology.com
1,"50 Minuteman Drive, Andover, Massachusetts, 01810",Aerospace and Defense,$2.7B,Mercury Systems Inc,"2,386",www.mrcy.com
2,"Xiwang Industrial Park, Zouping County, Binzhou, Shandong , 256209",Consumer Packaged Goods,$787.4M,Xiwang Foodstuffs Co Ltd,"1,892",www.xwsp.cc
3,"No. 19, Hi-Tech Zhongyi Avenue, Middle Area, Hi-Tech Zone , Nanshan Dist, Shenzhen, Guangdong, 518057",Pharmaceuticals and Healthcare,$2.7B,Shenzhen Hepalink Pharmaceutical Group Co Ltd,"2,046",www.hepalink.com
4,"Kingsoft Tower, No. 33, Xiaoying West Road, Haidian District, Beijing, 100085",Technology and Communications,$5.0B,Kingsoft Corporation Ltd,"7,174",www.kingsoft.com
5,"11 Grosvenor Place, London, SW1X7HH",Metals and Mining,,Petropavlovsk PLC,"8,860",petropavlovskplc.com
6,"Seelistrasse 1, Haag, Rheintal, 9469",Industrial Goods and Machinery,$9.5B,VAT Group AG,"2,897",www.vatvalve.com
7,"Uhlandstrasse 12, Darmstadt, 64297",Technology and Communications,$2.1B,Software AG,"5,052",www.softwareag.com
8,"No. 3 A1, Road 10, Shenyang Economy & Technology, Development Zone, Liaoning , 110027",Pharmaceuticals and Healthcare,$2.7B,3SBio Inc,"5,160",www.3sbio.com
9,"2-3-4, Daiba, Minato-Ku, Tokyo, 135-8622",Construction,$821.6M,Nomura Co Ltd,"1,952",www.nomurakougei.co.jp
10,"No. 7, Jalan Tasik, Mines Resort City, Seri Kembangan, 43300",Energy and Utilities,$184.7M,Sapura Energy Bhd,"3,440",www.sapuraenergy.com
11,"Bruggesteenweg 360, Gits, Hooglede, 8830",Construction,$387.8M,DeceunInck NV,"3,709",www.deceuninck.com
12,"Hott, Tietotie 9, Vantaa, 01530",Transport and Logistics,$768.6M,Finnair Oyj,"5,358",company.finnair.com
13,"Peninsula Business Park, Tower-B, 2nd & 3rd Floor, G.K.Marg, Mumbai, 400013",Consumer Packaged Goods,$909.4M,Alok Industries Ltd,"26,231",www.alokind.com
14,"Linhai Economic Development Zone, Taizhou, Zhejiang, 317000",Construction,$5.4B,Zhejiang Weixing New Building Materials Co Ltd,"4,419",www.vasen.com
15,"Avenida Dos Estados Unidos Da America, 55, Lisboa, 1749-061",Power,$1.8B,Redes Energeticas Nacionais SA,697,www.ren.pt
16,"41280 Bridge Street, 1000 Reynolds Rd, Novi, Michigan, 48375",Automotive,$1.0B,The Shyft Group Inc,"3,800",theshyftgroup.com
17,"280 Park Ave Fl 16th, New York, 10017-1206",Financial Services,$3.1B,PJT Partners Inc,833,pjtpartners.com
18,"Al Shoumoukh Towers, C Ring Road, Al-Sadd, P.O. Box 22271, Doha",Energy and Utilities,$5.8B,Qatar Gas Transport Co Ltd,12,www.nakilat.com
19,"Gedung World Trade Center Ii, Jl. Jend. Sudirman Kav. 29-31, Jakarta Selatan, 12920",Financial Services,$2.4B,PT Bank Permata Tbk,"7,168",www.permatabank.com
20,"4978 Santa Anita Ave Ste 205, Temple City, California, 91780-3600",Medical Equipment,$975.6M,Fulgent Genetics Inc,645,www.fulgentgenetics.com
21,"Office 201, 4 Profiti Ilia Street, Germasogeia, Limassol, 4046",Transport and Logistics,$799.2M,Globaltrans Investment PLC,"1,750",www.globaltrans.com
22,"C2, 5th Floor,Hng Kng Spnrs Indstrl Bldg, 601-603 Tai Nan West Street, Cheung Sha Wan, Kowloon, Hong Kong",Construction,$121.9M,Asia Allied Infrastructure Holdings Ltd,"6,150",www.asiaalliedgroup.com
23,"125 Summer Street, Boston, Massachusetts, 02110",Medical Equipment,$4.4B,Haemonetics Corp,"2,821",www.haemonetics.com
24,"Unit A-F, 35/F, Legend Tower, 7 Shing Yip Street, Kwun Tong, Hong Kong",Technology and Communications,$1.7B,BOE Varitronix Limited,"4,063",www.boevx.com
25,"1 Ebix Way, Johns Creek, Georgia, 30097",Technology and Communications,$590.6M,Ebix Inc,"10,030",www.ebix.com
26,"7-9f, Aoba Daiichi Bldg., 2-3-1, Kudan-Minami, Chiyoda-Ku, Tokyo, 102-0074",Consumer Packaged Goods,$145.1M,GSI Creos Corp,624,www.gsi.co.jp
27,"2-17-1, Konan, Minato-Ku, Tokyo, 108-0075",Technology and Communications,$2.1B,Information Services International-Dentsu Ltd,"3,240",www.isid.co.jp
28,"One Penn Square, Lancaster, Pennsylvania, 17602",Financial Services,$2.6B,Fulton Financial Corp,"3,200",www.fultonbank.com/About-Fulton-Bank
29,"No.8, Li-Shing Road Vii, Hsinchu Science-Based Industrial Park, 300",Technology and Communications,$533.6M,Alpha Networks Inc,"6,392",www.alphanetworks.com
30,"C-4, District Centre, Saket, New Delhi, 110017",Construction,$709.7M,Ircon International Ltd,"1,278",www.ircon.org/index.php
31,"Via Angelo Rizzoli, 8, Milano, 20132",Media,$392.6M,RCS MediaGroup SpA,"2,953",www.rcsmediagroup.it
32,"Amarin Tower, 500 Ploenchit Road, Lumphini, Pathumwan, Bangkok, 10330",Financial Services,$1.9B,Kiatnakin Phatra Bank Public Co Ltd,"3,665",bank.kkpfg.com/th/home
33,"45, Dasansunhwan-Ro, Namyangju, 12253",Consumer Packaged Goods,$315.3M,Binggrae Co Ltd,"1,609",www.bing.co.kr
34,"100 Saulteaux Cres, Winnipeg, Manitoba, R3J3T3",Paper and Packaging,$2.0B,Winpak Ltd,"2,563",www.winpak.com
35,"Floor 37-38, Q. House Lumphini Building, 1 South Sathon Road, Thungmahamek, Sathon, Bangkok, 10120",Construction,$3.5B,Land and Houses Public Co Ltd,"1,623",www.lh.co.th
36,"24th Floor, Wisma Genting, Jalan Sultan Ismail, Kuala Lumpur, 50250",Leisure and Arts,$3.9B,Genting Malaysia Bhd,"14,048",www.gentingmalaysia.com
37,"4-7-3, Kudan Minami, Chiyoda-Ku, Tokyo, 102-8277",Industrial Goods and Machinery,$769.6M,Nohmi Bosai Ltd,"2,635",www.nohmi.co.jp
38,"Gpo, P.O. Box 30161, Nairobi, 00100",Consumer Packaged Goods,$1.1B,East African Breweries PLC,"1,576",www.eabl.com
39,"Building 5, No.58, Huasheng Road, Chenghua District, Chengdu, Sichuan, 610052",Chemicals,$2.2B,Lier Chemical Co Ltd,"5,360",www.lierchem.com
40,"14 Par-La-Ville Road, Park Place, Hamilton, HM11",Energy and Utilities,,Seadrill Ltd,"3,220",www.seadrill.com
41,"33rd Floor, Great Eagle Centre, Hong Kong",Construction,$1.7B,Great Eagle Holdings Ltd,"5,200",www.greateagle.com.hk
42,"35-14, Jeyakgongdan 4-Gil, Hyangnam-Eup, Hwaseong, 18623",Pharmaceuticals and Healthcare,$1.3B,Daewoong Pharmaceutical Co Ltd,"1,256",www.daewoong.com
43,"Jl. H.R. Rasuna Said, Kompleks Rasuna Ep, Lantai 12, Bakrie Tower, Jakarta, 12960",Metals and Mining,$3.6B,PT Bumi Resources Tbk,864,www.bumiresources.com
44,"3f,Admnstn Bldg,All Asia Broadcast Cntr, Lebuhraya Puchong-Sungai Besi, Technology Park Malaysia, Bukit Jalil, Kuala Lumpur, 57000",Media,$735.5M,Astro Malaysia Holdings Berhad,"4,191",corporate.astro.com.my
45,"Haibin Second Road, Rizhao, Shandong , 276826",Transport and Logistics,$1.3B,Rizhao Port Co Ltd,"5,709",www.rzpcl.com
46,"1, Shakespeare Sarani (2nd Floor), Kolkata, 700071",Construction,$912.9M,Birla Corp Ltd,"7,184",www.birlacorporation.com
47,"Crest House, Pyrcroft Road, Chertsey, KT169GN",Construction,$784.7M,Crest Nicholson Holdings plc,661,www.crestnicholson.com
48,"11311 Concept Boulevard, Largo, Florida, 33773",Medical Equipment,$2.9B,ConMed Corp,"3,800",www.conmed.com
49,"Suite 800, 780 Johnson Ferry Road, Atlanta, Georgia, 30342",Retailing,$548.8M,Haverty Furniture Companies Inc,"2,845",www.havertys.com
50,"Room 401, 4th Floor, Office Tower C, Vanton Center, No.6 Chaowai Street, Chaoyang District, Beijing, 100020",Consumer Packaged Goods,$74.1M,DaChan Food (Asia) Ltd,"8,071",www.dachanfoodasia.com/en/aboutus.php
51,"Adolf Fredriks Kyrkogata 9, Stockholm, 10355",Pharmaceuticals and Healthcare,,Praktikertjanst AB,"6,700",www.praktikertjanst.se
52,"China Nonferrous Building, No. 10, Anding Road, Chaoyang District, Beijing, 100029",Metals and Mining,$1.5B,China Non-ferrous Metal Industryâs Foreign Engineering and Construction Co Ltd,"4,797",www.nfc.com.cn
53,"Asa Norte, Brasilia, 70.040-912",Financial Services,$13.4B,BB Seguridade Participacoes SA,,www.bbseguridaderi.com.br/pt
54,"Suite 700, 2000 Mckinney Ave, Dallas, Texas, 75201",Financial Services,$3.0B,Texas Capital Bancshares Inc,"1,751",www.texascapitalbank.com
55,"No.1 Lutai Avenue, High-Tech Zone, Zibo, Shandong , 255086",Pharmaceuticals and Healthcare,$2.1B,Shandong Xinhua Pharmaceutical Co Ltd,"6,540",www.xhzy.com
56,"No.385, Tiyu South Street, Shijiazhuang, Hebei, 050023",Construction,$1.4B,HBIS Resources Co Ltd,"4,004",www.hbiszy.com
57,"7, Main Gulberg, Lahore, 54000",Consumer Packaged Goods,$76.6M,Nishat Mills Ltd,"27,760",www.nishatmillsltd.com
58,"2800 Post Oak Blvd Ste 3800, Houston, Texas, 77056-6170",Financial Services,,Cadence Bancorp,"1,818",www.cadencebancorporation.com
59,"Po Box 91976, Auckland, 1142",Consumer Packaged Goods,$3.5B,The a2 Milk Company Ltd,421,thea2milkcompany.com
60,"Parc Technologique Des Fontaines, Chemin Des Franques, Bernin, Villard-Bonnot, Rhone Alpes, 38190",Technology and Communications,$5.8B,Soitec SA,"1,847",www.soitec.com
61,"Jalan Jenderal Sudirman No.51, Bangka Belitung, Pangkal Pinang, 33121",Metals and Mining,$623.9M,PT Timah Tbk,"4,564",www.timah.com
62,"Osaka Center Bldg., 4-1-3, Kyutaro-Machi, Chuo-Ku, Osaka-Shi, 541-8566",Chemicals,$107.3M,Unitika Ltd,"3,037",www.unitika.co.jp
63,"399 Park Avenue, 38th Floor, New York, 10022",Financial Services,$5.1B,Owl Rock Capital Corp,,www.owlrockcapitalcorporation.com
64,"Suite 1802, Jl. Cilandak Kko No. 1, Lantai 18, Gedung Tmt 1, Jakarta Selatan, 12560",Metals and Mining,$573.9M,PT ABM Investama Tbk,"6,652",www.abm-investama.com
65,"3400 Gateway Blvd, Fremont, California, 94538-6583",Technology and Communications,$1.3B,BizLink Holding Inc,"5,003",www.bizlinktech.com
66,"8 Rue Mouatamid Ibnou Abbad, Bp 3098 Roches Noires, Casablanca",Consumer Packaged Goods,$1.6B,Cosumar SA,"1,380",www.cosumar.co.ma
67,"Insjon, Leksand, 79385",Retailing,$410.6M,Clas Ohlson AB,"3,186",www.clasohlson.com/se
68,"Carretera De Fuencarral A Alcobendas, N 4, Madrid, 28049",Media,$1.1B,Mediaset Espana Comunicacion SA,"1,587",www.mediaset.es
69,"Via Nazionale, 320, Angri, 84012",Consumer Packaged Goods,,La Doria SpA,810,www.gruppoladoria.it
70,"175 W Jackson Blvd Ste 1000, Chicago, Illinois, 60604-2863",Financial Services,$1.3B,Enova International Inc,"1,463",www.enova.com
71,"Sinar Mas Land Plaza, Menara 2, Lt.5 Jl. Mh. Thamrin No 51, Jakarta Pusat, 10350",Paper and Packaging,$1.4B,PT Pabrik Kertas Tjiwi Kimia Tbk,"5,300",tjiwikimia.co.id
72,"Av. Paseo De La Republica N 4675, Lima, 15047",Construction,$182.8M,AENZA SAA,"33,169",www.aenza.com.pe
73,"3460 Preston Ridge Rd, Alpharetta, Georgia, 30005-2058",Paper and Packaging,$561.9M,Neenah Inc,"2,493",www.neenah.com
74,"Giesshuebelstrasse 45, Zuerich, 8045",Industrial Goods and Machinery,$1.4B,Bystronic AG,"3,636",www.bystronic.com
75,"61 Front Street, 2 Church Street, Hamilton, HM11",Financial Services,$4.3B,Essent Group Ltd,350,essentgroup.com
76,"620 Eighth Avenue, 45th Floor, New York, 10018",Technology and Communications,$22.1B,Datadog Inc,"3,200",www.datadoghq.com
77,"Xunqiao, Linhai City, Taizhou, Zhejiang, 317024",Pharmaceuticals and Healthcare,$4.9B,Zhejiang Huahai Pharmaceutical Co Ltd,"7,019",www.huahaipharm.com
78,"8-9f, Kingdom Technology Mansion, Gaoxin South Fifth Ave,South Section, Hi-Tech Zone, Nanshan District, Shenzhen, Guangdong, 518057",Technology and Communications,$1.8B,Shenzhen Kingdom Sci-Tech Co Ltd,"8,888",www.szkingdom.com
79,"Chiltern Hill, Test City, New Postcode, Chalfont St Peter, SL99FG",Business and Consumer Services,$1.9B,RWS Holdings PLC,"7,796",www.rws.com
80,"28/F The World Centre, 330 Sen. Gil Puyat Avenue, Manila, 1634",Construction,$1.2B,Megaworld Corp,924,www.megaworldcorp.com
81,"22 St. Clair Avenue East, Suite 500, Toronto, Ontario, M4T2S5",Construction,$3.8B,Choice Properties Real Estate Investment Trust,298,www.choicereit.ca
82,"22 Cherry Hill Dr, Danvers, Massachusetts, 01923-2575",Medical Equipment,,Abiomed Inc,"2,003",www.abiomed.com
83,"10th Floor, 350 Mission Street, San Francisco, California, 94105",Technology and Communications,$2.0B,Yelp Inc,"4,400",www.yelp.com
84,"8 Temasek Boulevard, #36-02 Suntec Tower Three, Singapore, 038988",Agriculture and Forestry,$1.7B,First Resources Ltd,"8,066",www.first-resources.com
85,"Toa Nha Tpbank, So 57, Pho Ly Thuong Kie, Phuong Tran Hung Dao, Quan Hoan Kiem, Hanoi",Financial Services,$1.6B,Tien Phong Commercial Joint Stock Bank,"8,968",tpb.vn
86,"Citeureup Factory Complex, Jl. Mayor Oking Jayaatmaja, Bogor, 16810",Construction,$2.4B,PT Indocement Tunggal Prakarsa Tbk,"4,668",www.indocement.co.id
87,"3 rue de la Reine, Luxembourg, L2418",Technology and Communications,$245.8M,Solutions 30 SE,"7,487",www.solutions30.com
88,"16th Floor, Metroplaza, Tower Ii, 223 Hing Fong Road, Kwai Chung, New Territories, Hong Kong",Retailing,$242.2M,Texwinca Holdings Ltd,"10,903",www.texwinca.com
89,"20 Eastbourne Terrace, London, W26LG",Medical Equipment,$3.0B,LivaNova Plc,"3,000",www.livanova.com/home.action
90,"Seestrasse 103, Maennedorf, 8708",Medical Equipment,$5.6B,Tecan Group Ltd,"3,291",www.tecan.com
91,"6th Floor, No. 106-2, Section 2, Chung Shan North Road, Jhongshan Dist., Taipei, 110",Textiles,$1.9B,Makalot Industrial Co Ltd,"23,773",www.makalot.com.tw
92,"Nsic New Mdbp Building, 3rd Floor, Okhla Industrial Estate, New Delhi, 110020",Transport and Logistics,$5.3B,Container Corporation of India Ltd,"1,359",www.concorindia.com
93,"Gotthardstrasse 31, Altdorf, 6460",Industrial Goods and Machinery,$2.8B,Datwyler Holding Inc,"8,679",www.datwyler.com
94,"Oksenoyveien 10, Lysaker, 1366",Energy and Utilities,$5.6B,Aker ASA,"2,358",www.akerasa.com
95,"One Vision Drive, Natick, Massachusetts, 01760",Technology and Communications,$8.8B,Cognex Corp,"2,257",www.cognex.com
96,"Postterminalen, Conrad Mohrsv. 29, P.O. Box 6101, Bergen, 5892",Transport and Logistics,$744.2M,Odfjell SE,"2,299",www.odfjell.com
97,"2-10-3, Nagata-Cho, Chiyoda-Ku, Tokyo, 100-8141",Technology and Communications,$619.8M,Mitsubishi Research Institute Inc,"4,235",www.mri.co.jp
98,"23f-1, No.98, Shizheng North, 7th Road, Xitun District, Taichung, 407",Consumer Packaged Goods,$3.1B,Nien Made Enterprise Co Ltd,"7,664",www.nienmade.com.tw
99,"Avenida Vicente Suarez Y Calle Sexta, S/N Zona Industrial Nombre De Dios, Chihuahua, 31105",Construction,$2.7B,GCC SAB de CV,"3,028",www.gcc.com
100,"7272 Wisconsin Ave., Suite 1800, Bethesda, Maryland, 20814",Alternative Energy,$3.2B,Enviva Inc,"1,196",www.envivabiomass.com
101,"Parkgatan 49, Goeteborg, 41138",Construction,$6.0B,Fastighets AB Balder,"1,139",www.balder.se
102,"8 Amal Street,  Afeq Industrial Park, P.O. Box 435, Rosh Ha'Ayin, 4809229",Technology and Communications,$1.3B,Partner Communications Co Ltd,"2,588",www.partner.co.il
103,"1-1-7 Nishikaniya, Minami-Ku, Minami-ku, Hiroshima-Shi, 732-0804",Financial Services,,The Hiroshima Bank Ltd,"3,439",www.hirogin-hd.co.jp/
104,"8-15 Nihonbashi Honcho 4-Chome, 3rd Floor Neo Kawai Building, Chuo-Ku, Tokyo, 103-0027",Consumer Packaged Goods,$151.0M,"Lacto Japan Co., Ltd.",323,www.lactojapan.com
105,"400 Birmingham Hwy, Chattanooga, Tennessee, 37419-2346",Transport and Logistics,$486.9M,"Covenant Logistics Group, Inc.","4,500",www.covenantlogistics.com
106,"21680 Haggerty Rd, Northville, Michigan, 48167-8994",Automotive,$2.4B,Gentherm Inc,"10,474",www.gentherm.com
107,"Vilaadecans Business Park, Edif. Brasil, Carrer de Catalunya, 83, Barcelona , 08840",Transport and Logistics,,Vueling Airlines SA,"3,969",www.vueling.com
108,"10th Floor, 6175 South Willow Drive, Greenwood Village, Colorado, 80111",Technology and Communications,$1.8B,CSG Systems International Inc,"5,200",www.csgi.com
109,"1-15-1, Nihombashi, Chuo-Ku, Tokyo, 103-0027",Chemicals,$969.7M,Nihon Parkerizing Co Ltd,"4,353",www.parker.co.jp
110,"Unionbank Plaza, Ortigas Center, Meralco Avenue Cor.Onyx & Sapphire Roads, Pasig, 1605",Financial Services,$3.9B,UnionBank of the Philippines,"3,676",www.unionbankph.com
111,"Ole Maaloees Vej 3, Copenhagen N, Shenzhen, Guangdong, 518083",Medical Equipment,$3.3B,BGI Genomics Co Ltd,"4,333",www.bgi.com
112,"Carrera 13 No. 27-47, Bogota",Financial Services,$952.9M,Banco de Occidente,"3,353",www.bancodeoccidente.com.co
113,"925 West Maude Avenue, Sunnyvale, California, 94085",Technology and Communications,,Proofpoint Inc,"3,658",www.proofpoint.com
114,"1661 Worthington Rd Ste 100, West Palm Beach, Florida, 33409-6493",Financial Services,$262.3M,Ocwen Financial Corp,"5,700",www.ocwen.com
115,"18-6, Nihombashi Kabuto-Cho, Chuo-Ku, Tokyo, 103-0026",Consumer Packaged Goods,$371.0M,S&B Foods Inc,"2,122",www.sbfoods.co.jp
116,"36f, Scramble Square, 2-24-12, Shibuya, Shibuya-Ku, Tokyo, 150-6136",Technology and Communications,$1.5B,mixi Inc,"1,452",mixi.co.jp
117,"214, Muha-Ro, Paltan-Myeon, Hwaseong, 18536",Pharmaceuticals and Healthcare,$2.6B,Hanmi Pharmaceuticals Co Ltd,"2,095",www.hanmi.co.kr
118,"3-3-20, Chuo, Aoba-Ku, Sendai-Shi, Miyagi, 980-8777",Financial Services,$1.3B,The 77 Bank Ltd,"2,754",www.77bank.co.jp
119,"142-48, S. V. Road, Jogeshwari (West), Mumbai, 400093",Construction,$3.7B,The Supreme Industries Ltd,"5,228",www.supreme.co.in
120,"No.116, Megan Road, Megan Village, Dacun, 515",Leisure and Arts,$1.8B,Merida Industry Co Ltd,"3,768",www.merida-bikes.com
121,"3-28-1, Jingumae, Shibuya-Ku, Tokyo, 150-0001",Retailing,$399.0M,United Arrows Ltd.,"4,213",www.united-arrows.co.jp
122,"275, Mamedo-Cho, Kohoku-Ku, Yokohama-Shi, Kanagawa, 222-8558",Technology and Communications,$1.4B,Amano Corp,"4,786",www.amano.co.jp
123,"7501 W Memorial Rd, Oklahoma City, 73142-1404",Technology and Communications,$18.0B,Paycom Software Inc,"5,385",www.paycom.com
124,"Riedenmatt 4, Stans, 6370",Technology and Communications,$2.5B,SoftwareONE Holding AG,"8,890",www.softwareone.com
125,"No. 1 Jiangdong Avenue, Jintan District, Changzhou, Jiangsu, 213200",Clean Technology,$4.5B,China Aviation Lithium Battery Co Ltd,,www.calb-tech.com
126,"Chatham Maritime, Osb House Quayside, Kent, ME44QZ",Financial Services,$2.7B,OSB Group Plc,"1,826",www.osb.co.uk
127,"No.318, Rueiguang Road, Neihu District, Taipei, 114",Technology and Communications,$654.7M,Systex Corp,"4,363",tw.systex.com
128,"Level 3, Crown Towers, 8 Whiteman Street, Southbank, Melbourne, Victoria, 3006",Leisure and Arts,,Crown Resorts Ltd,"11,500",www.crownresorts.com.au
129,"Carfrsa Plza Cvzli Mh.Tgy Yl  Cad, No:67a Blok B Maltepe, Istanbul, 34846",Retailing,$441.9M,CarrefourSA Carrefour Sabanci Ticaret Merkezi AS,"11,154",www.carrefoursa.com
130,"Fazenda Sao Martinho, S/Nr., Zona Rural, Pradopolis, 14.850-000",Chemicals,$1.6B,Sao Martinho SA,"7,869",www.saomartinho.com.br
131,"4-78, 1-chome, Wakinohama-cho, Chuo-ku, Kobe-Shi, Hyogo, 651-0072",Clean Technology,,Kobelco Eco-Solutions Co Ltd,"1,330",www.kobelco-eco.co.jp
132,"No.22, Section 3, Chungshan North Road, Taipei, 104",Technology and Communications,$2.6B,Tatung Co Ltd,"32,222",www.tatung.com.tw
133,"Plaza Tol Taman Mini Indah, Jakarta, 13550",Construction,$1.5B,PT Jasa Marga (Persero) Tbk,"8,049",www.jasamarga.com
134,"90, Sudo-Ro, Bucheon, 14519",Technology and Communications,$1.5B,DB HiTek Co Ltd,"2,004",www.dbhitek.co.kr
135,"36/F, Everbright Centre, 108 Gloucester Road, Hong Kong",Financial Services,$830.0M,Dah Sing Financial Holdings Ltd,"3,014",www.dahsing.com/html/tc/about_us/aboutus.html
136,"27 Avenue Carnot, Paris, 91300",Energy and Utilities,$605.0M,CGG SA,"3,312",www.cgg.com
137,"Suite 3500, 200 International Circle, Hunt Valley, Maryland, 21030",Construction,$6.6B,Omega Healthcare Investors Inc,70,www.omegahealthcare.com
138,"Aleksanterinkatu 52 B, Pl 220, Helsinki, 00100",Retailing,$355.0M,Stockmann plc,"6,449",www.stockmanngroup.com
139,"11 Harbor Park Dr, Port Washington, New York, 11050",Retailing,$952.4M,Global Industrial Co,"1,480",www.globalindustrial.com
140,"No. 118 Wenquan Road, Zhaoyuan City, Yantai, Shandong , 265400",Metals and Mining,$3.8B,Zhaojin Mining Industry Co Ltd,"6,755",en.zhaojin.com.cn
141,"John M. Keynesplein 33, Amsterdam, 1066EP",Business and Consumer Services,$550.2M,Brunel International NV,"12,219",www.brunelinternational.net
142,"Islami Bk Tower, 40 Dilkusha C/A, Dhaka, 1000",Financial Services,$561.4M,Islami Bank Bangladesh Ltd,"19,193",www.islamibankbd.com
143,"Wisma Ijm, Jalan Yong Shook Lin, Selangor Darul Ehsan, 46050",Construction,$1.3B,IJM Corporation Berhad,"2,878",www.ijm.com
144,"2/F Dmci Bldg. Pasong Tamo Extension, Makati, 2281",Metals and Mining,$2.7B,Semirara Mining and Power Corp,"3,943",www.semiraramining.com
145,"U 2 170-180 Bourke Rd, Alexandria, New South Wales, 2015",Consumer Packaged Goods,$2.1B,Breville Group Ltd,610,www.brevillegroup.com.au
146,"Akasaka Intercity Air, 1-8-1, Akasaka, Minato-Ku, Tokyo, 107-0052",Technology and Communications,$1.1B,SKY Perfect JSAT Holdings Inc,841,www.skyperfectjsat.space/company/resume/sjh
147,"118 2nd Ave Se, Cedar Rapids, Iowa, 52401-1212",Financial Services,$756.2M,United Fire Group Inc,"1,086",www.ufginsurance.com
148,"P.O.Box 14, Building 1095, Block 1014, Road 1425, Hamala, Manama, 1014",Technology and Communications,$2.0B,Bahrain Telecommunications Co BSC,"2,486",www.batelco.com
149,"Varta-Platz 1, Ellwangen, 73479",Alternative Energy,$1.2B,Varta AG,"4,712",www.varta-ag.com
150,"Suite 1550, 3490 Piedmont Road N.E., Atlanta, Georgia, 30305",Financial Services,$3.3B,Ameris Bancorp,"2,865",www.amerisbank.com
151,"No. 1 Baisheng Road, Development Zone, Danyang City, Zhenjiang, Jiangsu, 212300",Medical Equipment,$4.6B,Jiangsu Yuyue Medical Equipment & Supply Co Ltd,"6,440",www.yuyue.com.cn
152,"Asiainfo Plaza, Dong Qu, 10 Xibeiwang Dong Lu, Haidian District, Beijing, 100193",Technology and Communications,$1.7B,AsiaInfo Technologies Ltd,"13,309",www.asiainfo.com
153,"Suite 400, 1 Choice Hotels Circle, Rockville, Maryland, 20850",Leisure and Arts,$6.4B,Choice Hotels International Inc,"1,500",www.choicehotels.com/en-in
154,"Bei Jiao Ma Bao Dao 28 Hao, Hua Hui Zhong Xin 27 Lou, Kowloon Bay, Hong Kong",Retailing,$289.7M,Esprit Holdings Ltd,"2,200",www.esprit.com
155,"30f, Marunouchi Bldg., 2-4-1, Marunouchi, Chiyoda-Ku, Tokyo, 100-6221",Pharmaceuticals and Healthcare,$2.6B,Hisamitsu Pharmaceutical Co Inc,"2,784",www.hisamitsu.co.jp
156,"Manfred-Fuchs-Platz 2-4, Bremen, 28359",Aerospace and Defense,$642.8M,OHB SE,"3,077",www.ohb.de
157,"300 United Center, , 500 Virginia Street E, Charleston, West Virginia, 25301",Financial Services,$5.2B,United Bankshares Inc,"2,966",www.ubsi-inc.com
158,"511 Church Street, Richmond, Victoria, 3121",Media,$11.4B,REA Group Ltd,"3,103",www.rea-group.com
159,"100 Clarence Beach Road, Henderson, Perth, 6166",Transport and Logistics,$452.0M,Austal Ltd,"5,000",www.austal.com
160,"Po Box 842, Port Moresby, 121",Energy and Utilities,,Oil Search Ltd,"1,243",www.oilsearch.com
161,"7900, Boul. Henri-Bourassa Ouest, Montreal, Quebec, H4S1V4",Consumer Packaged Goods,$1.5B,Richelieu Hardware Ltd,"2,800",www.richelieu.com
162,"100 E. Vine St, Murfreesboro, Tennessee, 37130",Pharmaceuticals and Healthcare,$892.7M,National HealthCare Corp,"12,965",nhccare.com
163,"Voltas House, A' Block, Dr. Babasaheb Ambedkar Road, Mumbai, 400033",Industrial Goods and Machinery,$3.3B,Voltas Ltd,"8,343",www.voltas.com
164,"1600 West Merit Park Way, South Jordan, Utah, 84095",Medical Equipment,$4.0B,Merit Medical Systems Inc,"6,446",www.merit.com
165,"100 Brookwood Pl, Birmingham, Alabama, 35209-6811",Financial Services,$1.0B,ProAssurance Corp,"1,021",www.proassurance.com
166,"26th July St., Touristic Zone, 6th Of October, Giza, 12568",Technology and Communications,$199.7M,Raya Holding for Financial Investment SAE,"10,127",rayacorp.com
167,"1177 Avenue Of The Americas, New York, 10036-2714",Financial Services,$17.1B,Tradeweb Markets Inc,"1,046",www.tradeweb.com
168,"Middle Section, Tianhe Road, Zhengzhou, Henan, 450044",Consumer Packaged Goods,$2.3B,Sanquan Food Co Ltd,"7,652",www.sanquan.com
169,"4th Floor, No. 1, R&D 2nd Road, Science Based Industrial Park, Baoshan, 300",Technology and Communications,$897.7M,Getac Holdings Corp,"11,500",www.getac.com.tw
170,"Antonio Dovali Jaime 70, Samara Torre B, Piso 11, Colonia Centro Ciudad Santa Fe, 01219",Construction,$5.0B,Fibra Uno Administracion SA de CV,317,funo.mx
171,"Heiwa Honsha Bldg., 1-16-1, Higashi Ueno, Taito-Ku, Tokyo, 110-0015",Technology and Communications,$1.8B,Heiwa Corp,"5,484",www.heiwanet.co.jp
172,"F&N Point, No. 3 Jalan Metro Pudu 1, Off Jalan Yew, Fraser Business Park, Kuala Lumpur, 55100",Consumer Packaged Goods,$2.0B,Fraser & Neave Holdings Bhd,"2,454",www.fn.com.my
173,"Suite 1501, 700 West Pender St., Vancouver, British Columbia, V6C1G8",Metals and Mining,$1.2B,Equinox Gold Corp,683,www.equinoxgold.com
174,"Kamla Tower, Kanpur, 208001",Construction,$2.8B,J.K. Cement Ltd,"3,941",www.jkcement.com
