,company_country,company_name
0,USA,Apple
1,S. Arabia,Saudi Aramco
2,USA,Microsoft
3,USA,Alphabet (Google)
4,USA,Amazon
5,USA,Berkshire Hathaway
6,USA,Visa
7,USA,Exxon Mobil
8,China,Tencent
9,USA,UnitedHealth
10,USA,Johnson & Johnson
11,Taiwan,TSMC
12,France,LVMH
13,USA,NVIDIA
14,USA,JPMorgan Chase
15,USA,Walmart
16,USA,Tesla
17,USA,Mastercard
18,USA,Meta Platforms (Facebook)
19,China,Kweichow Moutai
20,USA,Procter & Gamble
21,USA,Eli Lilly
22,USA,Chevron
23,Switzerland,Nestl̩
24,USA,Home Depot
25,S. Korea,Samsung
26,China,Alibaba
27,Denmark,Novo Nordisk
28,USA,Merck
29,USA,Bank of America
30,USA,AbbVie
31,USA,Pfizer
32,Netherlands,ASML
33,USA,Coca-Cola
34,Switzerland,Roche
35,UAE,International Holding Company
36,USA,Broadcom
37,USA,Pepsico
38,USA,Oracle
39,USA,Thermo Fisher Scientific
40,UK,AstraZeneca
41,China,ICBC
42,France,L'Or̩al
43,USA,Costco
44,UK,Shell
45,India,Reliance Industries
46,USA,Cisco
47,USA,Nike
48,USA,Danaher
49,USA,Abbott Laboratories
50,USA,McDonald
51,Switzerland,Novartis
52,Japan,Toyota
53,USA,T-Mobile US
54,France,Herm̬s
55,USA,Walt Disney
56,Ireland,Accenture
57,USA,Verizon
58,Australia,BHP Group
59,USA,Wells Fargo
60,USA,Comcast
61,USA,Nextera Energy
62,UK,Linde
63,China,China Construction Bank
64,Netherlands,Prosus
65,China,CATL
66,USA,Texas Instruments
67,USA,Adobe
68,France,TotalEnergies
69,USA,Philip Morris
70,USA,United Parcel Service
71,USA,Morgan Stanley
72,USA,Charles Schwab
73,China,China Mobile
74,USA,Bristol-Myers Squibb
75,China,CM Bank
76,USA,ConocoPhillips
77,France,Dior
78,India,Tata Consultancy Services
79,China,Agricultural Bank of China
80,USA,Salesforce
81,USA,Netflix
82,USA,Honeywell
83,USA,Raytheon Technologies
84,USA,Amgen
85,UK,HSBC
86,China,Ping An Insurance
87,USA,AT&T
88,Canada,Royal Bank Of Canada
89,Germany,SAP
90,USA,QUALCOMM
91,USA,Caterpillar
92,China,PetroChina
93,China,Bank of China
94,Hong Kong,AIA
95,China,Meituan
96,USA,Union Pacific Corporation
97,China,China Life Insurance
98,USA,IBM
99,USA,Deere & Company
100,UK,Unilever
101,USA,Lowe's Companies
102,USA,Boeing
103,USA,Goldman Sachs
104,Australia,Commonwealth Bank
105,UK,Rio Tinto
106,India,HDFC Bank
107,Belgium,Anheuser-Busch Inbev
108,USA,Intel
109,France,Sanofi
110,USA,Starbucks
111,Germany,Siemens
112,China,Pinduoduo
113,Canada,Toronto Dominion Bank
114,USA,S&P Global
115,China,Wuliangye Yibin
116,USA,CVS Health
117,USA,Lockheed Martin
118,USA,American Express
119,USA,Elevance Health
120,USA,AMD
121,China,Jingdong Mall
122,USA,BlackRock
123,USA,Prologis
124,Germany,Deutsche Telekom
125,USA,Intuit
126,USA,American Tower
127,USA,Gilead Sciences
128,UAE,TAQA
129,UK,BP
