,company_ceo,company_country,company_founded,company_industry,company_name,company_rank
2597,Not found,Australia,1997,"['Financial Services', 'Insurance']",MEDIBANK PRIVATE,2486
2598,Not found,South Africa,1988,"['Consumer Defensive', 'Food Chains / Distributor', 'Food Service']",BID CORPORATION,2487
2599,Not found,Japan,1979,"['Technology', 'Software and IT', 'Computers and Components', 'Computers Hardware', 'Network Hardware and Software', 'Networking Products / Solutions']",ITOCHU TECHNO-SOLUTIONS CORPORATION,2490
2600,Not found,Luxembourg,2004,"['Real Estate', 'Financial Services', 'Property Investments']",AROUNDTOWN SA,2497
2601,Not found,Indonesia,Not found,"['Consumer Defensive', 'Meat / Poultry / Fish / Chicken', 'Food Products', 'Farming / Seeds / Milling']",PT CHAROEN POKPHAND INDONESIA TBK,2503
2602,Not found,Australia,Not found,"['Real Estate', 'Retail', 'Property Investments', 'Commercial Properties']",SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP,2500
2603,Not found,China,2003,"['Healthcare', 'Biotechnology', 'Technology', 'HealthCare Products']",SINOPHARM GROUP,2498
2604,Not found,UK,2010,"['Telecom', 'Communication Services']",AIRTEL AFRICA,2496
2605,Not found,Thailand,1944,"['Financial Services', 'Banking Services']",BANGKOK BANK PUBLIC COMPANY,2504
2606,Not found,USA,1870,"['Industries', 'Aerospace and Defense', 'Aircraft Parts', 'Weapons']",WOODWARD,2501
2607,Not found,Australia,2014,"['Utilities', 'Energy', 'Gas Utilities', 'Electric Utilities']",AUSNET SERVICES LTD,2502
2608,Not found,Thailand,2013,"['Utilities', 'Electric Utilities', 'Power Generation', 'Electricity Generation']",GLOBAL POWER SYNERGY PUBLIC COMPANY,2499
2609,Not found,UK,1856,"['Real Estate', 'Property Investments', 'Commercial Properties']",BRITISH LAND COMPANY,2495
2610,Not found,Sweden,Not found,"['Healthcare', 'Biotechnology', 'Technology', 'HealthCare Products', 'Medical Equipment']",VITROLIFE AB (PUBL),2512
2611,Not found,China,1955,"['Technology', 'Electronics', 'Capital Goods']",XIAMEN FARATRONIC,2505
2612,Not found,Russia,1933,"['Basic Materials', 'Metals', 'Titanium', 'Aluminum', 'Magnesium', 'Mining']",VSMPO-AVISMA CORPORATION,2509
2613,Not found,Norway,1841,"['Energy', 'Oil and Gas']",AKER ASA,2508
2614,Not found,Brazil,2012,"['Financial Services', 'Insurance']",BB SEGURIDADE PARTICIPACOES,2511
2615,Not found,Israel,2010,"['Software and IT', 'Technology']",IRONSOURCE,2513
2616,Not found,UK,1516,"['Industries', 'Logistics', 'Courier']",ROYAL MAIL,2506
2617,Not found,China,Not found,"['Healthcare', 'Medical Equipment']",AUTEK CHINA,2514
2618,Not found,Mexico,2014,"['Rail Transport', 'Railway Operating Company', 'Transportation', 'Mining']",GMEXICO TRANSPORTES,2507
2619,Not found,Japan,1897,"['Utilities', 'Oil and Gas', 'Gas Utilities']",OSAKA GAS,2510
2620,Not found,India,1999,"['Financial Services', 'Asset Management', 'Investments']",HDFC ASSET MANAGEMENT COMPANY LIMITED,2519
2621,Not found,Thailand,1980,"['Real Estate', 'Property Investments', 'Construction', 'Commercial Properties', 'Investments', 'Hotels']",CENTRAL PATTANA PUBLIC COMPANY,2515
2622,Not found,USA,1954,"['Consumer Cyclical', 'Bikes', 'Cars', 'Heavy Vehicles', 'Automobile', 'Boats', 'Commercial Vehicles', 'Recreational Vehicles']",POLARIS,2520
2623,Not found,USA,1985,"['Industries', 'Aviation', 'Airlines', 'Transportation']",ALASKA AIR GROUP,2516
2624,Not found,Switzerland,1995,"['Basic Materials', 'Chemicals']",CLARIANT AG,2521
2625,Not found,USA,1994,"['Industries', 'Utilities', 'Construction', 'Infrastructure']",MASTEC,2518
2626,Not found,India,1964,"['Financial Services', 'Banking Services']",IDBI BANK,2517
2627,Not found,USA,1983,"['Technology', 'Business Services', 'Software and IT Infrastructure']",WEX Inc,2522
2628,Not found,Sweden,2005,"['Technology', 'Financial Services', 'Banking Services']",KLARNA,2520
2629,Not found,India,2015,"['Digital Payment Solution Services', 'Internet or Mobile App Based Business', 'Technology']",PhonePe,2518
2630,Not found,China,1998,"['Technology', 'Electronics', 'Metal Products Manufacturing', 'Capital Goods']",SUZHOU DONGSHAN PRECISION MANUFACTURING,2532
2631,Not found,China,2002,"['Basic Materials', 'Chemicals', 'Electronics']",SHENZHEN CAPCHEM TECHNOLOGY,2525
2632,Not found,USA,1946,"['Consumer Defensive', 'Meat / Poultry / Fish / Chicken', 'Food Products', 'Consumer Non Durables', 'FMCG', 'Package Foods']",PILGRIM'S PRIDE CORPORATION,2524
2633,Not found,Russia,1993,"['Communication Services', 'Telecom', 'Utilities', 'Mobile Services', 'Telecom Equipment', 'Television Services']",MOBILE TELESYSTEMS,2530
2634,Not found,China,1997,"['Industries', 'Home Cleaning Accessories', 'Pollution Control Equipment']",SUZHOU TA&A ULTRA CLEAN TECHNOLOGY,2526
2635,Not found,Japan,2005,"['Real Estate', 'Property Investments']",DAIWA HOUSE REIT INVESTMENT CORPORATION,2531
2636,Not found,Japan,2006,"['Financial Services', 'Insurance']",JAPAN POST INSURANCE,2527
2637,Not found,Japan,1988,"['Industries', 'Networking Products / Solutions', 'Network Hardware and Software', 'Business Services', 'Office Equipment', 'Conglomerate']",HIKARI TSUSHIN,2529
2638,Not found,USA,1995,"['Industries', 'Capital Goods', 'Industry Machinery']",COLFAX CORPORATION,2528
2639,Not found,Australia,1932,"['Basic Materials', 'Mining', 'Gold Mining', 'Metals', 'Copper Mining']",OZ MINERALS,2523
2640,Not found,Australia,2000,"['Energy', 'Utilities', 'Gas Utilities', 'Electric Utilities', 'Electricity Generation', 'Power Generation', 'Oil and Gas']",ORIGIN ENERGY,2540
2641,Not found,USA,2010,"['Technology', 'Software and IT', 'Software Products']",CORELOGIC,2537
2642,Not found,China,1993,"['Financial Services', 'Stock Markets, Trading, Capital Markets']",SOOCHOW SECURITIES,2538
2643,Not found,China,2003,"['Basic Materials', 'Chemicals']","INNER MONGOLIA JUNZHENG ENERGY & CHEMICAL GROUP CO.,LTD.",2537
2644,Not found,China,1988,"['Industries', 'Industry Machinery', 'Rent / Lease Services']",AVIC AVIATION HIGH-TECHNOLOGY,2534
2645,Not found,Saudi Arabia,2007,"['Basic Materials', 'Chemicals', 'Petrochemicals']",SAUDI KAYAN PETROCHEMICAL COMPANY,2539
2646,Not found,China,1997,"['Healthcare', 'Pharmaceutical', 'HealthCare Products']",KANGMEI PHARMACEUTICAL,2541
2647,Not found,Israel,2010,"['Video Games / Mobile Games / Tech Games / Casino Games', 'Gaming', 'Software and IT', 'Technology', 'Leisure', 'Entertainment']",PLAYTIKA HOLDING CORP.,2535
2648,Not found,China,2009,"['Basic Materials', 'Chemicals']",LEVIMA ADVANCED MATERIALS CORPORATION,2536
2649,Not found,India,1996,"['Communication Services', 'Telecom']",TATA TELESERVICES (MAHARASHTRA),2533
2650,Not found,UK,2000,"['Healthcare', 'Medical Equipment', 'HealthCare Products']",NOVOCURE,2542
2651,Not found,USA,1901,"['Basic Materials', 'Iron and Steel', 'Metals', 'Mining']",UNITED STATES STEEL CORPORATION,2546
2652,Not found,Canada,1993,"['Basic Materials', 'Mining', 'Gold Mining', 'Metals', 'Precious Metals', 'Silver Mining']",KINROSS GOLD CORPORATION,2551
2653,Not found,Austria,1938,"['Basic Materials', 'Iron and Steel', 'Capital Goods', 'Engineering Products']",VOESTALPINE AG,2545
2654,Not found,China,2003,"['Real Estate', 'Construction', 'Property Investments', 'Infrastructure', 'Construction', 'Investments']",SUNAC CHINA HOLDINGS,2544
2655,Not found,China,2011,"['Industries', 'Engineering Services']",CHINA ENERGY ENGINEERING CORPORATION LIMITED,2549
2656,Not found,China,1994,"['Utilities', 'Electricity Generation', 'Power Generation']",DATANG INTERNATIONAL POWER GENERATION,2550
2657,Not found,Singapore,1984,"['Consumer Cyclical', 'Casinos', 'Resorts', 'Entertainment', 'Hotels', 'Restaurants']",GENTING SINGAPORE,2548
2658,Not found,Singapore,1968,"['Industries', 'Infrastructure', 'Conglomerate']",KEPPEL CORPORATION,2547
2659,Not found,USA,1912,"['Financial Services', 'Banking Services', 'Insurance']",ONEMAIN HOLDINGS,2543
2660,Not found,Japan,2008,"['Technology', 'Software and IT']",TIS,2552
2661,Not found,Canada,1996,"['Energy', 'Oil and Gas']",ARC RESOURCES,2558
2662,Not found,UK,1884,"['Consumer Cyclical', 'Retail']",MARKS AND SPENCER GROUP,2554
2663,Not found,Brazil,1979,"['Healthcare', 'Healthcare Service', 'Hospitals']",HAPVIDA PARTICIPACOES E INVESTIMENTOS,2559
2664,Not found,Australia,1920,"['Industries', 'Airlines', 'Aviation', 'Transportation']",QANTAS AIRWAYS,2561
2665,Not found,Italy,1996,"['Technology', 'Software and IT']",REPLY,2560
2666,Not found,China,2001,"['Industries', 'Waste and Trash Management']",ZHEJIANG WEIMING ENVIRONMENT PROTECTION,2557
2667,Not found,Sweden,1919,"['Technology', 'Consumer Electronics', 'Electronics', 'Home Appliances', 'Refrigerators', 'Air Conditioners', 'Heating Equipment']",AB ELECTROLUX (PUBL),2555
2668,Not found,USA,2014,"['Biopharmaceutical', 'Biotechnology', 'Healthcare']",LEGEND BIOTECH CORP,2553
2669,Not found,China,Not found,"['Basic Materials', 'Wood Products']",GUANGDONG WEIHUA CORPORATION,2556
2670,Not found,China,1989,"['Healthcare', 'Medical Equipment']",JAFRON BIOMEDICAL,2562
2671,Not found,Canada,1984,"['Industries', 'Asset Management']",ONEX CORPORATION,2570
2672,Not found,China,1994,"['Energy', 'Oil and Gas']",GUANGHUI ENERGY,2567
2673,Not found,India,1954,"['Industries', 'Electronics', 'Aerospace and Defense', 'Weapons', 'Defense Products', 'Communications Equipment']",BHARAT ELECTRONICS,2564
2674,Not found,India,1994,"['Utilities', 'Electricity Generation', 'Power Generation']",JSW ENERGY,2568
2675,Not found,Japan,2013,"['Real Estate', 'Construction']",IIDA GROUP HOLDINGS,2563
2676,Not found,India,1964,"['Consumer Defensive', 'FMCG']",PROCTER & GAMBLE HYGIENE AND HEALTH CARE,2566
2677,Not found,Netherlands,1919,"['Consumer Cyclical', 'Furniture', 'Home Furnishing', 'Home Improvement']",HUNTER DOUGLAS,2569
2678,Not found,Canada,2003,"['Consumer Cyclical', 'Automobile', 'Bikes', 'Boats', 'Commercial Vehicles', 'Entertainment', 'Marine Systems', 'Recreational Vehicles']",BRP,2565
2679,Not found,USA,2015,"['Technology', 'Internet of Things', 'Technology Hardware and Instruments']",SAMSARA NETWORKS,2562
2680,Not found,USA,1992,"['Healthcare', 'Biotechnology', 'Technology', 'HealthCare Products', 'Health Care Diagnostics']",MEDPACE HOLDINGS,2575
2681,Not found,Egypt,1994,"['Financial Services', 'Banking Services']",COMMERCIAL INTERNATIONAL BANK -EGYPT,2571
2682,Not found,USA,1969,"['Consumer Cyclical', 'Apparels and Accessories', 'Textile', 'Consumer Services', 'Retail']",GAP,2572
2683,Not found,Japan,1907,"['Industries', 'Conglomerate', 'Railway', 'Real Estate', 'Hotels', 'Transportation']",HANKYU HANSHIN HOLDINGS,2574
2684,Not found,Taiwan,1992,"['Financial Services', 'Banking Services']",SINOPAC FINANCIAL HOLDINGS COMPANY,2579
2685,Not found,France,1997,"['Consumer Cyclical', 'Automobile', 'Automobile Parts']",FAURECIA S.E,2578
2686,Not found,India,1886,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Electronics', 'Engineering Products', 'Security Systems and Solutions', 'Sensors']",BOSCH,2577
2687,Not found,Taiwan,1905,"['Financial Services', 'Banking Services']",CHANG HWA COMMERCIAL BANK,2580
2688,Not found,Australia,2000,"['Real Estate', 'Property Investments']",NATIONAL STORAGE REIT,2576
2689,Not found,Mexico,1980,"['Industries', 'Conglomerate', 'Infrastructure', 'Construction', 'Energy', 'Retail', 'Restaurants', 'Oil and Gas']",GRUPO CARSO,2573
2690,Not found,China,1999,"['Industries', 'Aerospace and Defense']",AVICOPTER,2585
2691,Not found,Taiwan,2012,"['Technology', 'Computers Hardware', 'Technology Hardware and Instruments', 'Cloud Services', 'Data Centers']",WIWYNN CORPORATION,2581
2692,Not found,USA,2007,"['Consumer Cyclical', 'Automobile Parts', 'Recreational Vehicles']",FOX FACTORY HOLDING,2582
2693,Not found,Israel,1945,['Shipping'],ZIM INTEGRATED SHIPPING SERVICES LTD.,2590
2694,Not found,UK,1978,"['Healthcare', 'Pharmaceutical', 'HealthCare Products']",HIKMA PHARMACEUTICALS,2587
2695,Not found,USA,1962,"['Consumer Cyclical', 'Retail', 'Consumer Services']",KOHL'S CORPORATION,2586
2696,Not found,USA,2007,"['Communication Services', 'Technology', 'Gaming']",ZYNGA,2584
2697,Not found,USA,1947,"['Kitchen Appliances', 'Packaging Materials', 'Packaging']",REYNOLDS CONSUMER PRODUCTS INC.,2583
2698,Not found,Canada,1984,"['Financial Services', 'Asset Management']",ONEX CORPORATION,2589
2699,Not found,France,1969,"['Consumer Cyclical', 'Home & Furniture', 'Building Automation', 'Home Furnishing']",SOMFY SA,2588
2700,Not found,China,1987,"['Technology', 'Computers and Components', 'Computers Hardware', 'Technology Hardware and Instruments']",CHINA GREATWALL TECHNOLOGY GROUP,2597
2701,Not found,USA,1994,"['Industries', 'Capital Goods', 'Engineering Products', 'Construction']",EMCOR GROUP,2591
2702,Not found,Switzerland,1845,"['Financial Services', 'Banking Services']",BANQUE CANTONALE VAUDOISE,2593
2703,Not found,USA,1982,"['Industries', 'Business Services']",IAA,2599
2704,Not found,Luxembourg,1991,"['Real Estate', 'Financial Services']",CPI PROPERTY GROUP,2596
2705,Not found,Taiwan,2008,"['Technology', 'Electronics', 'Computers Hardware']",PEGATRON CORPORATION,2598
2706,Not found,China,Not found,"['Healthcare', 'Medical Laboratory', 'Health Care Diagnostics']",GUANGZHOU KINGMED DIAGNOSTICS GROUP,2595
2707,Not found,India,1984,"['Consumer Cyclical', 'Bikes', 'Automobile', 'Scooters']",HERO MOTOCORP,2594
2708,Not found,Switzerland,1898,"['Utilities', 'Electric Utilities', 'Gas Utilities', 'Renewable Energy']",BKW AG,2592
2709,Not found,USA,1993,"['Financial Services', 'Asset Management', 'Investments']",AFFILIATED MANAGERS GROUP,2600
2710,Not found,UK,2014,"['Consumer Defensive', 'Retail']",PEPCO GROUP N.V.,2610
2711,Not found,India,1995,"['Consumer Cyclical', 'Restaurants']",JUBILANT FOODWORKS,2606
2712,Not found,Japan,1948,"['Industries', 'Railway']",ODAKYU ELECTRIC RAILWAY,2609
2713,Not found,France,2001,"['Financial Services', 'Investments', 'Asset Management']",EURAZEO SE,2605
2714,Not found,Denmark,2006,"['Healthcare', 'HealthCare Products', 'Biopharmaceutical', 'Biotechnology']",ASCENDIS PHARMA A/S,2604
2715,Not found,China,Not found,"['Industries', 'Electrical Products']",SHANGHAI ZHIXIN ELECTRIC,2603
2716,Not found,South Korea,1970,"['Technology', 'Electronics', 'Semiconductors', 'Electrical Products', 'Processors / Chips', 'Capital Goods', 'Lighting Products', 'Sensors']",LG INNOTEK,2607
2717,Not found,USA,2008,"['Technology', 'Software and IT', 'Software Products', 'Software and IT Infrastructure']",NEW RELIC,2602
2718,Not found,China,2002,"['Industries', 'Industry Machinery', 'Solar Power Devices', 'Semiconductors']",WUXI SHANGJI AUTOMATION,2608
2719,Not found,Japan,1876,"['Industries', 'Printing', 'News Papers / Magazines', 'Books', 'Education', 'Business Services']",DAI NIPPON PRINTING,2601
2720,Not found,Brazil,1973,"['Industries', 'Cars', 'Rent / Lease Services', 'Consumer Services', 'Business Services']",LOCALIZA RENT A CAR,2618
2721,Not found,Mexico,1847,"['Consumer Cyclical', 'Retail']",EL PUERTO DE LIVERPOOL,2613
2722,Not found,China,2007,"['Basic Materials', 'Chemicals']",SHENZHEN DYNANONIC CO. LTD,2620
2723,Not found,Australia,1969,"['Consumer Defensive', 'Consumer Durables', 'Education']",IDP EDUCATION,2617
2724,Not found,Canada,1958,"['Industries', 'Business Services']",RITCHIE BROS. AUCTIONEERS,2616
2725,Not found,USA,1906,"['Consumer Defensive', 'FMCG', 'Food Products', 'Consumer Non Durables', 'Package Foods']",INGREDION,2615
2726,Not found,USA,2009,"['Technology', 'Software and IT', 'Cloud Services', 'Software Products', 'Software and IT Infrastructure']",NUTANIX,2614
2727,Not found,USA,1996,"['Technology', 'Business Services', 'Software and IT']",STAMPS.COM,2619
2728,Not found,South Korea,1976,"['Basic Materials', 'Chemicals']",LOTTE CHEMICAL CORPORATION,2611
2729,Not found,USA,2014,"['Utilities', 'Electric Utilities', 'Renewable Energy']",NEXTERA ENERGY PARTNERS LP,2612
2730,Not found,China,1988,"['Financial Services', 'Asset Management', 'Stock Markets, Trading, Capital Markets']",CHANGJIANG SECURITIES COMPANY,2621
2731,Not found,China,1970,"['Basic Materials', 'Chemicals']",ZHEJIANG LONGSHENG GROUP,2629
2732,Not found,USA,2013,"['Healthcare', 'Pharmaceutical', 'Biopharmaceutical', 'HealthCare Products', 'Biotechnology']",EIDOS THERAPEUTICS,2624
2733,Not found,USA,2005,"['Healthcare', 'Software and IT', 'Healthcare Technology and Information']",CHANGE HEALTHCARE,2628
2734,Not found,China,2003,"['Industries', 'Consulting Services']",CENTRE TESTING INTERNATIONAL GROUP,2627
2735,Not found,USA,2007,"['Technology', 'Capital Goods', 'Solar Power Devices']",SUNRUN,2626
2736,Not found,USA,1990,"['Financial Services', 'Banking Services']",GLACIER BANCORP,2625
2737,Not found,Switzerland,1980,"['Healthcare', 'Medical Equipment']",TECAN GROUP,2624
2738,Not found,UK,1997,"['Healthcare', 'Pharmaceutical', 'HealthCare Products', 'Animal Healthcare Companies', 'Animal Health Medicine']",DECHRA PHARMACEUTICALS,2623
2739,Not found,India,1994,"['Consumer Cyclical', 'Apparels and Accessories']",PAGE INDUSTRIES,2622
2740,Not found,Japan,Not found,['Real Estate'],OPEN HOUSE,2630
2741,Not found,France,1946,"['Industries', 'Cars', 'Rent / Lease Services']",ALD SA,2632
2742,Not found,China,1998,"['Basic Materials', 'Iron and Steel']","SHANXI TAIGANG STAINLESS STEEL CO., LTD.",2639
2743,Not found,China,1992,"['Industries', 'Infrastructure', 'Construction']",JIANGSU EXPRESSWAY COMPANY,2631
2744,Not found,India,1996,"['Industries', 'Building Products and Equipment', 'Plumbing Materials']",ASTRAL LIMITED,2638
2745,Not found,USA,1874,"['Industries', 'Consumer Services', 'Electronics']",ADT,2633
2746,Not found,Canada,1892,"['Financial Services', 'Insurance']",IA FINANCIAL CORPORATION,2637
2747,Not found,USA,1966,"['Technology', 'Biotechnology', 'Medical Equipment', 'Capital Goods', 'Technology Hardware and Instruments']",COHERENT,2635
2748,Not found,China,Not found,"['Industries', 'Industry Machinery']",CHINA SHIPBUILDING INDUSTRY GROUP POWER,2634
2749,Not found,Switzerland,1858,"['Financial Services', 'Insurance']",HELVETIA HOLDING AG,2636
2750,Not found,USA,1978,"['Technology', 'Electronics', 'Cameras & Accessories', 'Capital Goods']",FLIR SYSTEMS,2647
2751,Not found,UK,1868,"['Investments', 'Asset Management']",F&C INVESTMENT TRUST,2645
2752,Not found,Spain,1933,"['Financial Services', 'Insurance']",MAPFRE,2644
2753,Not found,China,1994,"['Utilities', 'Energy', 'Power Generation', 'Electric Utilities']",HUADIAN POWER INTERNATIONAL CORPORATION,2643
2754,Not found,China,Not found,"['Basic Materials', 'Iron and Steel']","FUSHUN SPECIAL STEEL CO.,LTD.",2640
2755,Not found,USA,1963,"['Basic Materials', 'Construction Materials', 'Capital Goods']",EAGLE MATERIALS,2641
2756,Not found,USA,1998,"['Industries', 'Construction']",KBR,2642
2757,Not found,UK,Not found,"['Industries', 'Aerospace and Defense', 'Electronics']",COBHAM,2645
2758,Not found,France,1967,"['Industries', 'Electrical Products']",REXEL,2646
2759,Not found,Germany,1924,"['Industries', 'Transportation', 'Aviation', 'Airports Operating']",FRAPORT AG,2647
2760,Not found,China,1997,"['Basic Materials', 'Chemicals']",SHANGHAI BAIRUN INVESTMENT HOLDING GROUP,2654
2761,Not found,Canada,1936,"['Industries', 'Aviation', 'Airlines', 'Transportation']",AIR CANADA,2657
2762,Not found,USA,1986,"['Basic Materials', 'Mining', 'Metals', 'Precious Metals', 'Gold Mining']",ROYAL GOLD,2655
2763,Not found,Japan,2015,"['Real Estate', 'Property Investments', 'Investments', 'Retail', 'Commercial Properties']",NOMURA REAL ESTATE MASTER FUND,2651
2764,Not found,USA,2006,"['Technology', 'Software and IT', 'Software Products', 'Cloud Services', 'Software and IT Infrastructure']",ANAPLAN,2650
2765,Not found,USA,1994,"['Technology', 'Financial Services', 'Investments', 'Digital Payment Solution Services', 'Software and IT Infrastructure']",EURONET WORLDWIDE,2656
2766,Not found,USA,1903,"['Financial Services', 'Banking Services']",BANK OZK,2649
2767,Not found,Japan,1999,"['Financial Services', 'Asset Management']",SBI HOLDINGS,2652
2768,Not found,China,1999,"['Energy', 'Oil and Gas', 'Oil Field Services']",YANTAI JEREH OILFIELD SERVICES GROUP,2648
2769,Not found,India,1974,"['Energy', 'Chemicals', 'Oil and Gas', 'Petrochemicals', 'Retail', 'Natural Gas Generation', 'Oil Refining', 'Petroleum']",HINDUSTAN PETROLEUM CORPORATION,2653
2770,Not found,China,2010,"['Utilities', 'Gas Utilities', 'Electric Utilities', 'Power Generation', 'Electricity Generation']",CHINA SUNTIEN GREEN ENERGY CORPORATION,2666
2771,Not found,Belgium,1876,"['Industries', 'Construction', 'Investments']",ACKERMANS & VAN HAAREN NV,2663
2772,Not found,USA,2006,"['Consumer Cyclical', 'Kitchen Appliances', 'Home Appliances', 'Leisure']",YETI HOLDINGS,2658
2773,Not found,China,2006,"['Technology', 'Electronics', 'Semiconductors']",CHANGSHA JINGJIA MICROELECTRONICS,2664
2774,Not found,USA,1922,"['Industries', 'Telecom', 'Consumer Non Durables', 'Telecom Equipment']",WESCO INTERNATIONAL,2665
2775,Not found,USA,1992,"['Consumer Cyclical', 'Hotels', 'Consumer Services']",HILTON GRAND VACATIONS,2660
2776,Not found,China,2005,"['Technology', 'Semiconductors', 'Electronics']",HUA HONG SEMICONDUCTOR,2661
2777,Not found,Netherlands,2000,"['Financial Services', 'Insurance']",ASR NEDERLAND,2659
2778,Not found,Turkey,1959,"['Consumer Cyclical', 'Automobile', 'Commercial Vehicles']",FORD OTOMOTIV SANAYI,2662
2779,Not found,USA,1974,"['Technology', 'Retail']",TECH DATA CORPORATION,2661
2780,Not found,USA,2003,"['Healthcare', 'Consumer Services', 'Healthcare Technology and Information']",R1 RCM,2667
2781,Not found,China,1999,['Basic Materials'],"BEIJING SHOUGANG CO., LTD.",2673
2782,Not found,USA,1923,"['Financial Services', 'Banking Services']",TCF FINANCIAL CORPORATION,2677
2783,Not found,Canada,1987,"['Utilities', 'Energy', 'Electricity Generation', 'Power Generation', 'Electric Utilities', 'Renewable Energy']",NORTHLAND POWER,2670
2784,Not found,China,1996,"['Technology', 'Computers Hardware']",DAWNING INFORMATION INDUSTRY,2669
2785,Not found,USA,1973,"['Industries', 'Forest Products', 'Building Products and Equipment']",LOUISIANA-PACIFIC CORPORATION,2672
2786,Not found,China,1999,"['Healthcare', 'Medical Equipment', 'HealthCare Products']",LEPU MEDICAL TECHNOLOGY (BEIJING),2671
2787,Not found,Israel,2002,"['Industries', 'Industry Machinery', 'Technology', 'Capital Goods']",KORNIT DIGITAL,2676
2788,Not found,China,1992,"['Consumer Cyclical', 'Automobile', 'Cars']",BAIC BLUEPARK NEW ENERGY TECHNOLOGY,2674
2789,Not found,South Africa,1850,"['Healthcare', 'Pharmaceutical']",ASPEN PHARMACARE HOLDINGS,2668
2790,Not found,USA,1885,"['Financial Services', 'Banking Services']",CADENCE BANCORPORATION,2677
2791,Not found,China,1993,"['Consumer Defensive', 'Animal Feed', 'Animal Health Medicine', 'Animal Healthcare Companies', 'Farming / Seeds / Milling']",BEIJING DABEINONG TECHNOLOGY GROUP,2680
2792,Not found,New Zealand,1978,"['Industries', 'Logistics']",MAINFREIGHT,2686
2793,Not found,Thailand,1978,"['Consumer Defensive', 'Food Products', 'Meat / Poultry / Fish / Chicken', 'Farming / Seeds / Milling']",CHAROEN POKPHAND FOODS PUBLIC COMPANY,2687
2794,Not found,China,1998,"['Industries', 'Electrical Products', 'Chemicals', 'Batteries']",BEIJING EASPRING MATERIAL TECHNOLOGY,2685
2795,Not found,Netherlands,1891,"['Industries', 'Lighting Products', 'Electrical Products']",SIGNIFY,2683
2796,Not found,UK,1995,"['Industries', 'Airlines', 'Aviation']",EASYJET,2684
2797,Not found,USA,1984,"['Healthcare', 'Hospitals', 'HealthCare Products']",ENCOMPASS HEALTH CORPORATION,2682
2798,Not found,Australia,2011,"['Consumer Defensive', 'Beverages', 'Wine', 'Consumer Non Durables', 'Alcoholic Beverages']",TREASURY WINE ESTATES,2679
2799,Not found,South Korea,1961,"['Financial Services', 'Banking Services']",INDUSTRIAL BANK OF KOREA,2678
2800,Not found,UAE,2004,"['Communication Services', 'Telecom', 'Mobile Services', 'Fixed Line Service', 'Internet Providers', 'Television Services']",ETIHAD ETISALAT COMPANY,2688
2801,Not found,Australia,Not found,"['Basic Materials', 'Mining']",IGO LIMITED,2696
2802,Not found,Switzerland,2000,"['Communication Services', 'Telecom', 'Mobile Services', 'Television Services', 'Fixed Line Service']",SUNRISE COMMUNICATIONS GROUP AG,2695
2803,Not found,Japan,1970,"['Industries', 'Machinery Manufacturing', 'Construction Equipment', 'Rent / Lease Services', 'Heavy Machinery']",HITACHI CONSTRUCTION MACHINERY,2695
2804,Not found,Japan,1969,"['Communication Services', 'Software and IT', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Consumer Goods', 'Entertainment', 'Software Products', 'Gaming']",KONAMI HOLDINGS CORPORATION,2693
2805,Not found,France,1989,"['Healthcare', 'Hospitals', 'HealthCare Products', 'Healthcare Service']",ORPEA SA,2694
2806,Not found,USA,2001,"['Technology', 'Software and IT']",MEDALLIA,2692
2807,Not found,China,2005,"['Industries', 'Heavy Machinery', 'Machinery Manufacturing']",ZHEJIANG DINGLI MACHINERY,2691
2808,Not found,USA,1971,"['Real Estate', 'Consumer Services', 'Property Investments', 'Commercial Properties']",DOUGLAS EMMETT,2690
2809,Not found,USA,1924,"['Basic Materials', 'Utilities', 'Mining', 'Electric Utilities', 'Metals', 'Construction Materials']",MDU RESOURCES GROUP,2689
2810,Not found,India,1990,['Real Estate'],GODREJ PROPERTIES,2697
2811,Not found,USA,1996,"['Gaming', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Technology', 'Software and IT', 'Software Products', 'Electronics', 'Consumer Electronics']",VALVE CORPORATION,2704
2812,Not found,China,1951,"['Financial Services', 'Banking Services']",CHONGQING RURAL COMMERCIAL BANK,2704
2813,Not found,USA,Not found,"['Technology', 'Software and IT']",SWITCH,2702
2814,Not found,Finland,2013,"['Industries', 'Machinery Manufacturing', 'Heavy Machinery', 'Industry Machinery']",VALMET OYJ,2701
2815,Not found,USA,1962,"['Technology', 'Software and IT', 'Software Products', 'Security Systems and Solutions']",CACI INTERNATIONAL,2705
2816,Not found,Canada,1981,"['Technology', 'Software and IT', 'Software Products', 'Logistics']",DESCARTES SYSTEMS GROUP,2703
2817,Not found,USA,1968,"['Industries', 'Transportation', 'Freight Transport', 'Logistics']",LANDSTAR SYSTEM,2700
2818,Not found,China,1986,"['Consumer Cyclical', 'Automobile Parts']","TIANNENG BATTERY GROUP CO., LTD.",2699
2819,Not found,Saudi Arabia,2006,"['Real Estate', 'Construction', 'Property Investments', 'Hotels', 'Commercial Properties']",JABAL OMAR DEVELOPMENT COMPANY,2698
2820,Not found,Mexico,1998,"['Industries', 'Infrastructure', 'Transportation', 'Airports Operating']",GRUPO AEROPORTUARIO DEL SURESTE S. A. B. DE C. V,2706
