,company_ipo_year,company_country,company_ceo,company_founded,company_revenue,company_name
958,1993.0,USA,Gary A. Shiffman,1975.0,22.76 Billion USD,SUN COMMUNITIES
959,,USA,Warner L Baxter,1997.0,22.73 Billion USD,AMEREN CORPORATION
960,,USA,Steve Cahillane,1906.0,22.72 Billion USD,KELLOGG COMPANY
961,,USA,Lorenzo Simonelli,1907.0,22.72 Billion USD,BAKER HUGHES COMPANY
962,,USA,Vincent Sorgi,1920.0,22.71 Billion USD,PPL CORPORATION
963,,Canada,,1925.0,22.68 Billion USD,POWER CORPORATION OF CANADA
964,,South Africa,Alan Pullinger,1998.0,22.66 Billion USD,FIRSTRAND
965,,Hong Kong,Francis Lui,1988.0,22.55 Billion USD,GALAXY ENTERTAINMENT GROUP
966,,Sweden,Magnus Groth,2017.0,22.55 Billion USD,ESSITY AB (PUBL)
967,,USA,Leo P. Denault,1913.0,22.54 Billion USD,ENTERGY CORPORATION
968,,USA,Paul Reilly,1962.0,22.49 Billion USD,RAYMOND JAMES FINANCIAL
969,1994.0,USA,Michael J Schall,1971.0,22.41 Billion USD,ESSEX PROPERTY TRUST
970,,China,,2003.0,22.40 Billion USD,SHANGHAI INTERNATIONAL PORT (GROUP)
971,,USA,,,,EPIC Games
972,2021.0,USA,Max Levchin,2012.0,22.37 Billion USD,"AFFIRM HOLDINGS, INC."
973,1998.0,Ireland,Steve Cutler,1990.0,22.37 Billion USD,ICON PUBLIC COMPANY
974,,USA,Michael Stubblefield,2017.0,22.31 Billion USD,AVANTOR
975,,China,,2007.0,22.30 Billion USD,CHINA RAILWAY GROUP
976,,Japan,,1959.0,22.29 Billion USD,KYOCERA CORPORATION
977,2004.0,USA,,1985.0,16.90 Billion USD,WELLCARE HEALTH PLANS
978,,Japan,Tetsuro Tomita,1987.0,22.27 Billion USD,EAST JAPAN RAILWAY COMPANY
979,,Ireland,Timothy P Walbert,2005.0,22.27 Billion USD,HORIZON THERAPEUTICS PUBLIC COMPANY
980,,Saudi Arabia,Tareq A. Al-Sadhan,1957.0,22.20 Billion USD,RIYAD BANK
981,2004.0,USA,Joseph J. DePaolo,2001.0,22.17 Billion USD,SIGNATURE BANK
982,2015.0,USA,Antonio Neri,2015.0,22.16 Billion USD,HEWLETT PACKARD ENTERPRISE COMPANY
983,,Japan,Shingo Konomoto,1965.0,22.12 Billion USD,NOMURA RESEARCH INSTITUTE
984,,UK,Amanda Blanc,2000.0,22.11 Billion USD,AVIVA
985,,USA,Linda Rendle,1913.0,22.10 Billion USD,THE CLOROX COMPANY
986,,Sweden,Carina Akerstrom,1871.0,22.07 Billion USD,SVENSKA HANDELSBANKEN AB (PUBL)
987,,UK,George G. Weston,1935.0,22.07 Billion USD,ASSOCIATED BRITISH FOODS
988,,India,C. P. Gurnani,1986.0,22.06 Billion USD,TECH MAHINDRA
989,2012.0,USA,Travis D. Stice,2007.0,22.02 Billion USD,DIAMONDBACK ENERGY
990,2016.0,Canada,Ashutosh Raghuvanshi,1987.0,22.01 Billion USD,FORTIS
991,,China,,1991.0,22.00 Billion USD,CHINA MERCHANTS SECURITIES
992,,Germany,,1871.0,21.98 Billion USD,CONTINENTAL AG
993,,Russia,Pavel Sergeevich Grachev,1921.0,21.98 Billion USD,PJSC POLYUS
994,,Japan,Masahiko Uotani,1872.0,21.97 Billion USD,SHISEIDO COMPANY
995,,Norway,Sigve Brekke,1855.0,21.97 Billion USD,TELENOR ASA
996,,UK,,1920.0,21.95 Billion USD,SEGRO
997,,Spain,Ignacio Madridejos Fernandez,1952.0,21.93 Billion USD,FERROVIAL
998,,Denmark,Ester Baiget,2000.0,21.91 Billion USD,NOVOZYMES A/S
999,,Brazil,Harry Schmelzer Jr.,1961.0,21.89 Billion USD,WEG
