,company_ipo_year,company_country,company_ceo,company_founded,company_revenue,company_name
722,,Sweden,Johan Torgeby,1972.0,30.55 Billion USD,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL.)
723,,Germany,Theodor Weimer,1992.0,30.35 Billion USD,DEUTSCHE BORSE
724,,USA,John McAvoy,1823.0,30.31 Billion USD,CONSOLIDATED EDISON
725,,China,,1992.0,30.29 Billion USD,POLY DEVELOPMENTS AND HOLDINGS GROUP
726,,USA,Devin W. Stockfish,1900.0,30.22 Billion USD,WEYERHAEUSER COMPANY
727,,Japan,Shigetaka Komoris,1934.0,30.15 Billion USD,FUJIFILM HOLDINGS CORPORATION
728,,UK,Ken Murphy,1919.0,30.12 Billion USD,TESCO
729,,USA,Adam Foroughi,2012.0,30.11 Billion USD,APPLOVIN CORP
730,,China,,2000.0,29.96 Billion USD,SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION
731,,India,Amitabh Chaudhry,1993.0,29.96 Billion USD,AXIS BANK
732,,Japan,Aki Tomaru,2000.0,29.93 Billion USD,M3 Inc
733,,China,,1997.0,29.86 Billion USD,SUNGROW POWER SUPPLY
734,,India,Vneet S Jaain,2015.0,29.83 Billion USD,ADANI GREEN ENERGY
735,,Sweden,Gerteric Lindquist,1949.0,29.79 Billion USD,NIBE INDUSTRIER AB (PUBL)
736,,Japan,Yoshihiko Hatanaka,2005.0,29.74 Billion USD,ASTELLAS PHARMA
737,,China,,1995.0,29.70 Billion USD,TONGWEI
738,,Kazakhstan,Mikhail Lomtadze,1991.0,29.70 Billion USD,KASPI BANK JOINT STOCK COMPANY
739,,Switzerland,Christian Mumenthaler,1863.0,29.68 Billion USD,SWISS RE
740,,Taiwan,,2001.0,29.56 Billion USD,CATHAY FINANCIAL HOLDING
741,,Germany,Christian Sewing,1870.0,29.52 Billion USD,DEUTSCHE BANK
742,,China,,1995.0,29.42 Billion USD,RONGSHENG PETROCHEMICAL
743,,USA,Thomas E. Long,1995.0,29.40 Billion USD,ENERGY TRANSFER LP
744,,China,Jianjun Zhang,1949.0,29.37 Billion USD,PICC GROUP (PEOPLE'S INSURANCE COMPANY (GROUP) OF CHINA)
745,,USA,John A Hayes,1880.0,29.32 Billion USD,BALL CORPORATION
746,,Japan,,1921.0,29.18 Billion USD,TERUMO CORPORATION
747,,India,Ashish Dwivedi,1983.0,29.17 Billion USD,ULTRATECH CEMENT
748,,South Korea,Song Ho-Sung,1944.0,29.02 Billion USD,KIA MOTORS CORPORATION
749,,Sweden,Helena Hedblom,2018.0,29.02 Billion USD,EPIROC AB (PUBL)
