categories,change(1day),change(1year),code,country,marketcap,name,rank,sharePrice
[],0.56%,-26.10%,2382.TW,Taiwan,$9.04 B,Quanta Computer,1550,$2.35
[],-0.17%,-28.50%,AOS,USA,$9.05 B,A. O. Smith,1548,$59.27
[],0.38%,-6.54%,STOR,USA,$9.04 B,STORE Capital,1549,$32.00
['Consumergoods'],0.61%,-3.27%,TATACONSUM.NS,India,$9.06 B,Tata Consumer Products,1547,$9.76
"['Semiconductors', 'Tech']",-2.17%,-37.07%,688012.SS,China,$9.06 B,AMEC,1546,$14.72
"['Pulpandpaper', 'Manufacturing']",-0.85%,-27.75%,MNDI.L,UK,$9.09 B,Mondi,1545,$17.81
"['Energy', 'Electricity', 'Utilitycompanies']",1.29%,51.14%,ORG.AX,Australia,$9.11 B,Origin Energy,1543,$5.29
"['Banks', 'Financialservices']",-1.33%,-18.89%,2885.TW,Taiwan,$9.09 B,Yuanta Financial Holding,1544,$0.73
[],0.35%,23.03%,CPN.BK,Thailand,$9.12 B,Central Pattana,1542,$2.03
['Packaging'],-1.40%,-20.47%,WRK,USA,$9.14 B,Westrock,1541,$35.94
['Healthcare'],0.13%,-0.23%,UHS,USA,$9.14 B,Universal Health Services,1540,$128.12
['Food'],3.27%,-31.74%,JBSS3.SA,Brazil,$9.15 B,JBS,1539,$4.13
[],0.89%,-21.21%,LII,USA,$9.15 B,Lennox,1538,$258.29
[],7.39%,22.73%,CASY,USA,$9.20 B,Casey's General Stores,1534,$246.95
"['Banks', 'Financialservices']",0.66%,,MZTF.TA,Israel,$9.17 B,Mizrahi-Tefahot,1536,$35.67
"['Clothing', 'Retail']",-0.99%,-36.27%,NXT.L,UK,$9.15 B,Next plc,1537,$70.84
"['Electronics', 'Tech']",-0.64%,-28.07%,6701.T,Japan,$9.21 B,NEC Corp,1533,$34.23
['Financialservices'],-0.35%,-21.62%,BKI,USA,$9.21 B,Black Knight,1532,$59.08
[],-0.82%,-11.86%,SNX,USA,$9.23 B,Synnex,1529,$96.60
"['Pharmaceuticals', 'Biotech']",1.74%,11.16%,LEGN,USA,$9.19 B,Legend Biotech,1535,$54.90
['HomeKitchenAppliances'],0.56%,-21.33%,HAVELLS.NS,India,$9.22 B,Havells India,1531,$14.72
[],-0.13%,-37.14%,RR.L,UK,$9.22 B,Rolls-Royce Holdings,1530,$1.10
['Medicaldevices'],-0.99%,-7.90%,COH.AX,Australia,$9.23 B,Cochlear,1528,$140.40
['Telecommunication'],3.38%,-29.82%,LBTYB,UK,$9.26 B,Liberty Global,1527,$19.65
['Telecommunication'],0.32%,-10.95%,6823.HK,Hong Kong,$9.27 B,Hong Kong Telecom,1523,$1.22
"['Airlines', 'Travel', 'Transportation']",-0.36%,16.67%,900945.SS,China,$9.26 B,Hainan Airlines,1526,$0.28
"['Banks', 'Financialservices']",1.25%,-17.01%,EWBC,USA,$9.27 B,East West Bancorp,1525,$65.78
['Financialservices'],-2.13%,-44.73%,XP,Brazil,$9.28 B,XP Inc.,1522,$16.58
