categories,change(1day),change(1year),code,country,marketcap,name,rank,sharePrice
"['Tech', 'Software', 'Dowjones', 'TechHardware', 'Electronics']",-1.38%,-17.67%,AAPL,USA,$2.242 T,Apple,1,$140.94
"['Restaurantchains', 'Dowjones', 'Food']",-0.53%,4.01%,MCD,USA,$198.00 B,McDonald,46,$270.34
['Telecommunication'],-0.40%,27.01%,TMUS,USA,$185.11 B,T-Mobile US,51,$148.79
"['Automakers', 'Manufacturing']",0.55%,-24.32%,TM,Japan,$195.66 B,Toyota,49,$141.86
"['Tech', 'Electronics', 'Networkinghardware', 'Dowjones', 'Telecommunicationsequipment', 'TechHardware']",-0.84%,-17.05%,CSCO,USA,$197.92 B,Cisco,47,$48.18
['Conglomerate'],1.09%,-14.40%,DHR,USA,$195.26 B,Danaher,50,$268.24
"['Pharmaceuticals', 'Biotech']",1.09%,13.70%,NVS,Switzerland,$197.31 B,Novartis,48,$91.73
['Medicaldevices'],0.91%,-20.85%,ABT,USA,$182.74 B,Abbott Laboratories,52,$104.81
"['Consumergoods', 'CAC40', 'CosmeticsandBeauty']",-0.35%,-22.15%,OR.PA,France,$199.76 B,L'Oréal,45,$373.27
"['Banks', 'Financialservices']",1.05%,-12.50%,1398.HK,China,$211.55 B,ICBC,42,$0.49
"['Semiconductors', 'Tech']",-1.39%,-12.18%,AVGO,USA,$209.99 B,Broadcom,43,$518.50
"['Retail', 'SupermarketChains']",0.17%,-11.08%,COST,USA,$213.32 B,Costco,40,$481.97
"['Tech', 'Software']",-0.16%,-12.52%,ORCL,USA,$212.40 B,Oracle,41,$78.78
"['Pharmaceuticals', 'Biotech']",0.42%,25.73%,AZN,UK,$213.37 B,Astrazeneca,39,$68.85
"['OilGas', 'Energy']",-0.58%,26.80%,SHEL,UK,$204.68 B,Shell,44,$56.35
['Conglomerate'],-0.05%,1.80%,RELIANCE.NS,India,$217.56 B,Reliance Industries,38,$32.16
['Retail'],2.47%,-19.47%,LOW,USA,$125.10 B,Lowe's Companies,100,$206.89
"['Banks', 'Financialservices']",-0.95%,0.40%,HDB,India,$125.58 B,HDFC Bank,99,$67.57
"['Aerospace', 'Defensecontractors', 'Aircraftmanufacturers', 'Manufacturing']",-0.58%,41.88%,LMT,USA,$126.11 B,Lockheed Martin,98,$481.20
['Insurance'],4.95%,2.28%,1299.HK,Hong Kong,$126.63 B,AIA,97,$10.76
"['OilGas', 'Energy']",-0.77%,-5.13%,601857.SS,China,$129.07 B,PetroChina,95,$0.74
"['Healthcare', 'Insurance']",0.28%,28.85%,ELV,USA,$127.17 B,Elevance Health,96,$529.90
"['Food', 'Consumergoods']",-0.68%,-2.92%,UL,UK,$129.33 B,Unilever,94,$50.82
"['Tech', 'Software', 'DAX']",0.09%,-19.80%,SAP,Germany,$129.89 B,SAP,93,$107.87
"['Railways', 'Transportation', 'Infrastructure']",0.51%,-14.24%,UNP,USA,$130.47 B,Union Pacific Corporation,92,$212.22
"['Software', 'Dowjones', 'Tech']",-2.09%,-51.13%,CRM,USA,$130.47 B,Salesforce,91,$130.48
"['Banks', 'Financialservices']",2.94%,-37.89%,3968.HK,China,$130.68 B,CM Bank,90,$5.18
"['Tech', 'Software', 'Dowjones']",-0.16%,21.13%,IBM,USA,$132.00 B,IBM,89,$147.27
"['Tech', 'Semiconductors', 'TechHardware']",-1.31%,-35.66%,QCOM,USA,$132.51 B,QUALCOMM,88,$118.21
"['Machinerymanufacturing', 'Manufacturing']",0.55%,21.95%,DE,USA,$132.99 B,Deere & Company,87,$440.65
"['Banks', 'Financialservices']",-0.23%,-6.27%,RY,Canada,$134.26 B,Royal Bank Of Canada,86,$96.63
['Investment'],1.97%,-21.86%,PRX.AS,Netherlands,$134.29 B,Prosus,85,$66.99
"['Internet', 'Tech', 'ECommerce']",6.45%,-27.32%,3690.HK,China,$141.73 B,Meituan,80,$22.90
"['Healthcare', 'Pharmaceuticals', 'Drugstore', 'Retail']",1.08%,10.06%,CVS,USA,$134.39 B,CVS Health,84,$102.28
"['Entertainment', 'Internet', 'Tech']",0.94%,-50.70%,NFLX,USA,$137.25 B,Netflix,82,$308.42
['Telecommunication'],0.68%,-16.38%,T,USA,$137.55 B,AT&T,81,$19.30
"['Luxurygoods', 'Clothing']",-0.07%,-5.63%,CDI.PA,France,$134.89 B,Dior,83,$747.69
"['OilGas', 'Energy']",-0.63%,54.06%,COP,USA,$143.14 B,ConocoPhillips,78,$114.88
"['Banks', 'Financialservices']",0.69%,-8.70%,601288.SS,China,$142.89 B,Agricultural Bank of China,79,$0.42
['Insurance'],0.96%,-14.43%,601318.SS,China,$120.97 B,Ping An Insurance,105,$6.76
"['Dowjones', 'GlovesPPE']",1.42%,-28.43%,MMM,USA,$69.83 B,3M,196,$126.35
"['Electricity', 'Utilitycompanies']",-0.10%,-1.96%,600900.SS,China,$68.17 B,China Yangtze Power,200,$3.00
['Insurance'],0.52%,26.83%,HUM,USA,$69.52 B,Humana,198,$549.18
"['Electricity', 'Energy']",-0.50%,0.62%,IBE.MC,Spain,$69.79 B,Iberdrola,197,$11.42
"['Pharmaceuticals', 'mRNAtherapeutics', 'Biotech']",3.15%,-36.60%,MRNA,USA,$68.76 B,Moderna,199,$179.00
['Chemicals'],1.12%,6.64%,APD,USA,$70.01 B,Air Products and Chemicals,194,$315.58
"['Automakers', 'Manufacturing', 'DAX', 'Autonomousdriving']",-0.55%,-19.06%,MBG.DE,Germany,$70.56 B,Mercedes-Benz,192,$65.96
['Medicaldevices'],0.86%,-1.55%,BDX,USA,$69.84 B,Becton Dickinson,195,$246.48
"['Pharmaceuticals', 'Biotech']",-1.83%,-33.43%,ZTS,USA,$70.02 B,Zoetis,193,$150.25
['Insurance'],0.09%,12.48%,ZURN.SW,Switzerland,$70.97 B,Zurich Insurance Group,189,$478.59
"['Retail', 'SupermarketChains']",-0.83%,-37.40%,TGT,USA,$70.77 B,Target,190,$153.76
"['OilGas', 'Energy']",-2.12%,61.90%,SLB,USA,$70.61 B,Schlumberger,191,$49.80
"['Banks', 'Financialservices']",0.93%,-3.37%,MUFG,Japan,$71.08 B,Mitsubishi UFJ Financial,188,$5.45
"['OilGas', 'Energy']",-0.06%,-0.63%,PBR,Brazil,$72.26 B,Petrobras,187,$11.08
"['OilGas', 'Energy']",-1.31%,-1.52%,600028.SS,China,$73.63 B,Sinopec,184,$0.65
"['Railways', 'Transportation', 'Infrastructure']",0.05%,8.30%,CP,Canada,$73.45 B,Canadian Pacific Railway,185,$78.96
"['OilGas', 'Energy']",0.04%,-32.02%,GAZP.ME,Russia,$73.26 B,Gazprom,186,$3.10
['Luxurygoods'],1.15%,-16.48%,CFR.SW,Switzerland,$74.11 B,Compagnie Financière Richemont,182,$130.62
"['Energy', 'OilGas', 'Electricity', 'Utilitycompanies']",0.03%,6.25%,SO,USA,$74.57 B,Southern Company,181,$68.50
"['Biotech', 'Pharmaceuticals']",-2.74%,-12.98%,GSK,UK,$75.49 B,GlaxoSmithKline,180,$36.88
"['Internet', 'Travel', 'OnlineTravel', 'Tech']",-4.24%,-12.89%,BKNG,USA,$75.85 B,Booking Holdings (Booking.com),179,"$1,956"
"['Energy', 'OilGas']",-1.28%,39.31%,EOG,USA,$74.10 B,EOG Resources,183,$126.16
"['CAC40', 'Chemicals']",-0.28%,-17.43%,AI.PA,France,$75.98 B,Air Liquide,178,$144.75
"['Energy', 'Electricity', 'OilGas', 'Utilitycompanies']",-0.93%,-1.57%,DUK,USA,$76.68 B,Duke Energy,176,$99.58
['Insurance'],-0.37%,34.78%,PGR,USA,$76.33 B,Progressive,177,$130.48
"['Pharmaceuticals', 'Chemicals', 'DAX', 'Biotech']",0.63%,8.92%,BAYZF,Germany,$55.33 B,Bayer,267,$55.95
[],-0.27%,69.70%,MPC,USA,$51.08 B,Marathon Petroleum,298,$109.00
['Tobacco'],-0.50%,40.27%,ITC.NS,India,$50.96 B,ITC,300,$4.11
['Food'],2.55%,45.22%,ADM,USA,$51.18 B,Archer Daniels Midland (ADM),297,$93.17
"['Energy', 'OilGas', 'Electricity', 'Infrastructure']",-1.77%,27.98%,SRE,USA,$51.05 B,Sempra Energy,299,$162.42
['Food'],2.16%,35.08%,GIS,USA,$51.76 B,General Mills,296,$87.22
"['OilGas', 'Energy']",-3.77%,-30.20%,ROSN.ME,Russia,$52.21 B,Rosneft,292,$5.50
"['OilGas', 'Energy']",-1.49%,13.46%,EPD,USA,$51.90 B,Enterprise Products,294,$23.86
['Consumergoods'],-0.61%,-12.37%,RKT.L,UK,$52.26 B,Reckitt Benckiser,291,$71.51
"['HomeKitchenAppliances', 'Manufacturing']",0.98%,-32.67%,000333.SZ,China,$51.92 B,Midea,293,$7.42
[],-0.10%,23.19%,ORLY,USA,$51.86 B,O'Reilly Automotive,295,$828.79
"['Realestate', 'Investment', 'REITs']",2.71%,-12.77%,PSA,USA,$52.27 B,Public Storage,290,$296.82
"['CAC40', 'Aerospace', 'Defensecontractors']",0.72%,2.51%,SAF.PA,France,$52.56 B,Safran,289,$122.72
"['Ridesharing', 'Internet', 'Tech', 'Transportation']",-1.93%,-30.67%,UBER,USA,$52.65 B,Uber,288,$26.40
"['Automakers', 'Manufacturing']",-1.36%,-34.37%,F,USA,$52.66 B,Ford,287,$13.10
['Investment'],-3.47%,-39.06%,KKR,USA,$53.14 B,KKR & Co.,284,$47.35
"['Banks', 'Financialservices']",0.91%,-15.61%,601166.SS,China,$52.86 B,Industrial Bank,285,$2.54
['Beverages'],-0.21%,14.55%,MNST,USA,$52.85 B,Monster Beverage,286,$101.23
"['Financialservices', 'Stockexchanges', 'StockCryptoexchanges']",0.55%,9.86%,LS4C.F,UK,$53.40 B,London Stock Exchange,281,$96.15
['Financialservices'],-0.66%,-27.04%,MCO,USA,$53.25 B,Moody's,282,$290.68
['Food'],-2.20%,-35.07%,603288.SS,China,$53.17 B,Foshan Haitian Flavouring and Food,283,$11.48
"['Machinerymanufacturing', 'Manufacturing']",-1.34%,-11.95%,OMZZP.ME,Russia,$53.58 B,United Heavy Machinery,280,$63.30
['Mining'],0.00%,0.15%,AAL.L,UK,$53.73 B,Anglo American,278,$39.79
['Telecommunication'],-0.63%,28.13%,0728.HK,China,$53.92 B,China Telecom,277,$0.41
['Beverages'],0.72%,8.62%,KDP,USA,$53.73 B,Keurig Dr Pepper,279,$37.94
"['Automakers', 'Manufacturing']",-0.16%,-38.31%,GM,USA,$53.92 B,General Motors,276,$37.96
['Mining'],3.17%,-5.46%,1211.SR,Saudi Arabia,$44.77 B,Maaden,369,$18.19
"['Biotech', 'Manufacturing']",-0.48%,-15.60%,207940.KS,South Korea,$44.62 B,Samsung Biologics,370,$626.95
"['OilGas', 'Energy']",-0.62%,68.53%,HES,USA,$41.55 B,Hess,400,$134.77
"['Software', 'Tech']",-0.65%,-30.13%,ADSK,USA,$41.71 B,Autodesk,398,$193.34
['Chemicals'],-0.21%,-15.05%,600309.SS,China,$41.63 B,Wanhua Chemical,399,$13.26
"['OilGas', 'Energy']",0.32%,40.01%,CQP,USA,$27.67 B,Cheniere Energy,627,$57.18
[],0.19%,42.40%,DVN,USA,$42.00 B,Devon Energy,395,$64.25
['Electricity'],-1.31%,-21.53%,EXC,USA,$42.04 B,Exelon Corporation,394,$42.31
"['Restaurantchains', 'Food']",0.07%,-11.82%,CMG,USA,$41.84 B,Chipotle Mexican Grill,397,"$1,509"
"['Pharmaceuticals', 'Biotech']",0.23%,28.80%,BIIB,USA,$42.06 B,Biogen,393,$292.15
"['Semiconductors', 'Tech', 'DAX', 'TechHardware']",0.52%,-32.64%,IFX.DE,Germany,$42.45 B,Infineon,390,$32.60
"['Semiconductors', 'Tech', 'TechHardware']",0.53%,-31.37%,NXPI,Netherlands,$42.48 B,NXP Semiconductors,389,$163.95
"['Software', 'Tech']",2.08%,-41.22%,WDAY,USA,$42.33 B,Workday,391,$164.72
"['Telecommunication', 'MediaPress']",-0.15%,-10.88%,BCE,Canada,$42.68 B,BCE,387,$46.62
[],-0.08%,15.46%,SYY,USA,$42.66 B,Sysco,388,$84.19
['WasteRecycling'],-0.97%,-0.02%,RSG,USA,$42.84 B,Republic Services,385,$135.57
[],-0.31%,-35.88%,ECL,USA,$42.14 B,Ecolab,392,$147.97
"['OilGas', 'Transportation', 'Energy', 'Infrastructure']",-0.09%,-9.82%,TRP,Canada,$42.69 B,TC Energy,386,$42.52
"['Pharmaceuticals', 'Biotech']",-1.18%,-17.60%,4519.T,Japan,$43.33 B,Chugai Pharmaceutical,382,$26.35
"['ECommerce', 'Internet', 'Tech']",0.08%,-26.69%,MELI,Argentina,$43.44 B,MercadoLibre,380,$863.81
"['Software', 'Tech', 'Electronics']",2.36%,42.46%,ENPH,USA,$43.09 B,Enphase Energy,384,$317.05
['Mining'],-1.75%,10.76%,FMG.AX,Australia,$43.11 B,Fortescue,383,$14.00
"['Dowjones', 'Insurance']",-0.24%,22.84%,TRV,USA,$44.06 B,The Travelers Companies,377,$188.05
"['Banks', 'Financialservices']",-0.08%,-16.91%,ING,Netherlands,$43.92 B,ING,379,$11.79
"['Software', 'Tech', 'Electronics', 'TechHardware']",-1.88%,-12.14%,CDNS,USA,$44.05 B,Cadence Design Systems,378,$160.59
['Professionalservices'],-0.16%,-2.18%,PAYX,USA,$43.40 B,Paychex,381,$120.44
"['Electricity', 'Energy']",-0.99%,18.43%,ED,USA,$34.27 B,Consolidated Edison,500,$96.59
"['Tech', 'Semiconductors', 'TechHardware', 'Manufacturing']",-1.65%,-55.84%,MRVL,USA,$34.47 B,Marvell Technology Group,496,$40.41
"['Electronics', 'Tech', 'TechHardware']",-3.51%,-43.55%,XIACF,China,$34.29 B,Xiaomi,499,$1.40
"['Machinerymanufacturing', 'Manufacturing']",-0.75%,11.00%,CMI,USA,$34.40 B,Cummins,498,$243.94
['Transportation'],0.48%,-28.10%,DSV.VI,Denmark,$34.50 B,DSV,494,$154.79
['Insurance'],-0.15%,18.02%,ALL,USA,$34.50 B,Allstate,495,$130.11
['Healthcare'],0.57%,42.48%,ABC,USA,$34.47 B,AmerisourceBergen,497,$170.29
"['Pharmaceuticals', 'Medicaldevices', 'Biotech']",6.11%,-50.51%,2359.HK,China,$34.62 B,WuXi AppTec,493,$10.15
['Chemicals'],-0.39%,-10.11%,DD,USA,$34.62 B,Dupont De Nemours,492,$69.70
"['Transportation', 'Containershipping', 'Maritimetransportation']",-0.64%,-22.12%,HLAG.DE,Germany,$34.66 B,Hapag-Lloyd,491,$197.25
[],1.13%,-31.29%,IDXX,USA,$34.79 B,IDEXX Laboratories,489,$420.10
"['CAC40', 'Semiconductors', 'Tech', 'TechHardware', 'Manufacturing']",-0.19%,-24.82%,STM,Switzerland,$34.86 B,STMicroelectronics,488,$37.69
"['Glassesandcontactlenses', 'Manufacturing']",-0.48%,-38.05%,7741.T,Japan,$34.89 B,Hoya,486,$97.90
"['Banks', 'Financialservices']",2.71%,25.00%,AXISBANK.BO,India,$34.89 B,Axis Bank,487,$11.40
"['Videogames', 'Esports', 'Entertainment', 'Tech']",-1.10%,-0.11%,EA,USA,$34.78 B,Electronic Arts,490,$126.01
"['Banks', 'Financialservices']",0.00%,0.52%,BBVA,Spain,$35.08 B,Banco Bilbao Vizcaya Argentaria,485,$5.76
"['Dowjones', 'Retail', 'Drugstore', 'Pharmaceuticals']",0.15%,-15.72%,WBA,USA,$35.15 B,Walgreens Boots Alliance,484,$40.65
"['SupermarketChains', 'Retail']",0.15%,-6.25%,3382.T,Japan,$35.48 B,7-Eleven,481,$40.18
"['Conglomerate', 'Investment']",1.71%,-9.83%,J36.SI,Hong Kong,$35.50 B,Jardine Matheson,479,$49.25
"['OilGas', 'Energy']",-0.76%,42.56%,CVE,Canada,$35.21 B,Cenovus Energy,483,$18.29
"['Electricity', 'Batteries']",-0.63%,-17.15%,006405.KS,South Korea,$35.24 B,Samsung SDI,482,$240.70
"['Construction', 'Engineering']",0.34%,10.39%,601668.SS,China,$35.48 B,China State Construction Engineering,480,$0.85
"['Pharmaceuticals', 'Biotech']",-4.21%,-29.10%,600276.SS,China,$35.56 B,Jiangsu Hengrui Medicine,478,$5.58
['Sportsgoods'],1.30%,-23.79%,AS7.F,China,$33.97 B,Anta Sports,503,$12.30
"['Banks', 'Financialservices']",-0.85%,-37.25%,COF,USA,$35.58 B,Capital One,477,$93.23
"['Retail', 'Food', 'SupermarketChains']",-0.74%,-13.98%,AD.AS,Netherlands,$29.20 B,Ahold Delhaize,598,$29.53
[],0.94%,16.53%,L.TO,Canada,$28.99 B,Loblaw Companies,600,$89.52
"['Energy', 'Utilitycompanies', 'Electricity']",-0.71%,-4.05%,ES,USA,$29.17 B,Eversource Energy,599,$83.76
[],-0.78%,-27.37%,ROK,USA,$29.25 B,Rockwell Automation,597,$254.77
[],0.65%,-32.80%,6273.T,Japan,$29.45 B,SMC corp,596,$450.86
"['Cement', 'Buildingmaterials']",-0.23%,-23.21%,CRH,Ireland,$29.50 B,Cement Roadstone Holding,594,$39.54
"['DAX', 'Chemicals', 'Consumergoods']",-0.06%,-12.74%,HEN3.DE,Germany,$29.48 B,Henkel,595,$70.79
"['Financialservices', 'Banks']",8.19%,-15.23%,STT,USA,$29.52 B,State Street Corporation,593,$80.45
"['FlavorsFragrances', 'CosmeticsandBeauty']",-1.15%,-37.43%,GIVN.SW,Switzerland,$29.57 B,Givaudan,592,"$3,205"
[],1.05%,15.50%,GWW,USA,$29.63 B,W. W. Grainger,591,$586.41
"['Banks', 'Financialservices', 'CAC40']",-0.37%,-30.42%,ACA.PA,France,$29.81 B,Crédit Agricole,586,$9.79
['Telecommunication'],-0.48%,-11.60%,TU,Canada,$29.66 B,Telus,590,$20.88
['Construction'],2.81%,-18.74%,DHI,USA,$29.70 B,D. R. Horton,589,$86.27
"['Restaurantchains', 'Food']",0.66%,9.83%,QSR,Canada,$29.72 B,Restaurant Brands International,588,$65.93
"['Electricity', 'DAX', 'Energy']",-0.88%,11.03%,RWE.DE,Germany,$29.74 B,RWE,587,$43.99
[],-0.87%,2.44%,WEC,USA,$29.83 B,WEC Energy Group,585,$94.59
"['Healthcare', 'MedicalCareFacilities']",-0.24%,-38.13%,300015.SZ,China,$29.90 B,AIER Eye Hospital,583,$4.17
"['Tech', 'TechHardware', 'Electronics']",-1.30%,-28.84%,DELL,USA,$30.02 B,Dell,580,$41.92
"['Energy', 'Electricity', 'Utilitycompanies']",1.31%,,CEG,USA,$30.07 B,Constellation Energy,578,$91.97
[],1.48%,-9.02%,0066.HK,Hong Kong,$29.99 B,MTR Corporation,581,$4.84
"['Electricity', 'Energy']",-1.07%,-7.23%,PEG,USA,$29.91 B,PSEG,582,$59.95
"['Mining', 'Goldmining']",2.49%,-9.16%,GOLD,Canada,$29.85 B,Barrick Gold,584,$16.86
[],-1.19%,17.76%,WEGE3.SA,Brazil,$30.05 B,WEG ON,579,$7.16
['Telecommunication'],-1.66%,-28.32%,VOD,UK,$30.16 B,Vodafone,577,$10.68
['Chemicals'],-0.15%,-0.74%,ALB,USA,$30.17 B,Albemarle,576,$257.61
['Dairycompanies'],-1.11%,-28.55%,600887.SS,China,$28.66 B,Yili Group,605,$4.48
"['Electricity', 'Energy']",0.00%,5.52%,EBK.DE,Germany,$24.19 B,EnBW Energie,700,$89.32
['Realestate'],0.42%,-28.08%,EQR,USA,$24.28 B,Equity Residential,698,$61.96
['Beverages'],-0.32%,-4.60%,CCEP,UK,$24.20 B,Coca-Cola European Partners,699,$52.32
[],-1.29%,-24.19%,SEBA.F,Sweden,$24.29 B,Skandinaviska Enskilda Banken,697,$11.22
['RentalLeasingServices'],1.22%,-1.47%,URI,USA,$24.36 B,United Rentals,696,$351.52
"['Retail', 'CosmeticsandBeauty']",3.11%,17.75%,ULTA,USA,$24.42 B,ULTA Beauty,695,$480.05
['CAC40'],-0.95%,-30.38%,SGO.PA,France,$24.45 B,Compagnie de Saint-Gobain,694,$47.73
[],-0.45%,-10.37%,7733.T,Japan,$24.55 B,Olympus,691,$19.28
"['Automakers', 'Manufacturing', 'ElectricVehicles']",0.18%,-75.95%,RIVN,USA,$24.68 B,Rivian,689,$27.94
[],-0.50%,-30.38%,KBCSF,Belgium,$24.88 B,KBC,687,$59.70
[],-1.86%,15.18%,RJF,USA,$24.49 B,Raymond James,692,$113.91
"['Utilitycompanies', 'Energy', 'Electricity']",-0.92%,10.63%,ETR,USA,$24.47 B,Entergy,693,$116.00
['Banks'],1.32%,12.97%,1010.SR,Saudi Arabia,$24.57 B,Riyad Bank,690,$8.19
"['Electricity', 'DAX', 'Energy', 'Utilitycompanies']",-1.00%,-23.64%,EOAN.DE,Germany,$24.93 B,E.ON,686,$9.56
"['Energy', 'OilGas']",-1.19%,18.14%,FANG,USA,$24.84 B,Diamondback Energy,688,$136.56
[],-0.98%,-2.81%,EIX,USA,$24.96 B,Edison International,685,$65.37
['Retail'],0.06%,-6.74%,CDW,USA,$25.02 B,CDW Corporation,684,$184.85
['Tires'],-0.12%,-15.89%,5108.T,Japan,$25.07 B,Bridgestone,683,$36.57
"['OilGas', 'Energy']",-1.33%,-24.93%,6505.TW,Taiwan,$25.27 B,Formosa Petrochemical,680,$2.65
['Food'],1.12%,17.14%,K,USA,$25.21 B,Kellogg's,681,$73.89
[],-2.39%,-26.34%,ASAZF,Sweden,$25.28 B,Assa Abloy,679,$21.93
[],0.24%,-10.01%,ULTRACEMCO.NS,India,$25.12 B,UltraTech Cement,682,$87.13
"['DAX', 'Consumergoods']",1.00%,9.44%,BEI.DE,Germany,$25.37 B,Beiersdorf,677,$111.86
['Construction'],3.61%,-22.49%,LEN,USA,$25.35 B,Lennar,678,$89.00
['Financialservices'],-0.11%,-33.58%,EFX,USA,$23.73 B,Equifax,712,$193.84
"['Pharmaceuticals', 'Biotech']",-0.20%,-21.08%,LH,USA,$20.70 B,LabCorp,800,$233.68
['Internet'],-0.74%,-19.77%,VRSN,USA,$20.77 B,VeriSign,799,$195.99
"['Cement', 'Buildingmaterials']",-3.27%,-26.95%,AHCHF,China,$20.78 B,Anhui Conch Cement,798,$3.55
"['FoodDelivery', 'Internet', 'Food', 'Tech']",1.73%,-67.20%,DASH,USA,$20.81 B,DoorDash,797,$53.62
[],2.89%,-10.87%,1766.HK,China,$20.88 B,CRRC,795,$0.41
['Construction'],2.28%,13.73%,0390.HK,China,$20.87 B,China Railway Group,796,$0.58
"['Banks', 'Financialservices']",0.99%,23.37%,STAN.L,UK,$20.88 B,Standard Chartered,794,$7.18
['Conglomerate'],-0.45%,-32.59%,4901.T,Japan,$20.88 B,Fujifilm,793,$51.32
"['Electronics', 'Tech', 'TechHardware']",-1.01%,-20.00%,6752.T,Japan,$20.90 B,Panasonic,792,$8.96
[],0.00%,-16.39%,600016.SS,China,$20.95 B,China Minsheng Bank,791,$0.51
[],-1.62%,-11.81%,ARES,USA,$20.99 B,Ares Management,790,$71.08
['Healthcare'],0.94%,66.63%,CAH,USA,$21.01 B,Cardinal Health,789,$80.15
"['Travel', 'Internet', 'OnlineTravel', 'Tech']",-2.54%,15.79%,TCOM,China,$21.04 B,Trip.com,788,$32.27
[],-1.12%,-23.86%,GWO.TO,Canada,$21.07 B,Great-West Lifeco,787,$22.62
"['Internet', 'Tech']",1.09%,-57.54%,035420.KS,South Korea,$21.08 B,Naver,786,$140.63
['Realestate'],0.55%,-0.68%,1113.HK,Hong Kong,$21.12 B,CK Asset Holdings,785,$5.88
"['Software', 'Tech']",-0.40%,-39.81%,ANSS,USA,$21.16 B,Ansys,784,$242.92
"['Banks', 'Financialservices']",-0.07%,-5.29%,HBAN,USA,$21.16 B,Huntington Bancshares,783,$14.67
['Engineering'],-0.86%,26.76%,PWR,USA,$21.19 B,Quanta Services,781,$148.31
['Medicaldevices'],1.64%,11.89%,PODD,USA,$21.17 B,Insulet,782,$304.89
['Financialservices'],-1.45%,19.77%,GFNORTEO.MX,Mexico,$21.30 B,Banorte,779,$7.39
"['Automakers', 'ElectricVehicles']",-4.98%,-62.02%,NIO,China,$21.23 B,NIO,780,$12.58
"['Tech', 'Internet', 'Software']",-2.24%,-63.04%,ZM,USA,$20.42 B,Zoom,806,$69.87
"['Manufacturing', 'Machinerymanufacturing']",0.06%,-8.63%,6301.T,Japan,$21.31 B,Komatsu,778,$22.55
"['Manufacturing', 'Steelindustry']",-1.10%,54.85%,TS,Luxembourg,$19.46 B,Tenaris,848,$32.24
['Financialservices'],-0.96%,-27.00%,NTRS,USA,$18.28 B,Northern Trust,900,$87.72
"['Manufacturing', 'Renewableenergy', 'Energy']",2.17%,-26.25%,688599.SS,China,$18.29 B,Trina Solar,899,$8.43
['Food'],1.78%,20.22%,CAG,USA,$18.32 B,Conagra Brands,898,$38.23
"['CosmeticsandBeauty', 'Consumergoods']",0.29%,-25.76%,4452.T,Japan,$18.33 B,Kaō,897,$40.15
"['Internet', 'Tech']",0.00%,-58.78%,035720.KS,South Korea,$18.36 B,Kakao,894,$42.07
['Consumergoods'],1.61%,-9.65%,CLX,USA,$18.42 B,Clorox,892,$149.32
[],0.48%,10.31%,WAB,USA,$18.35 B,Wabtec,895,$100.91
"['Consumergoods', 'CosmeticsandBeauty']",-1.04%,-23.61%,4911.T,Japan,$18.37 B,Shiseido,893,$46.00
"['AssetManagement', 'Investment']",0.04%,-20.62%,LGEN.L,UK,$18.42 B,Legal & General,891,$3.08
"['OilGas', 'Energy']",-0.43%,62.99%,TOU.TO,Canada,$18.34 B,Tourmaline Oil,896,$54.26
"['Videogames', 'Entertainment']",0.39%,-73.47%,RBLX,USA,$18.48 B,Roblox,889,$30.77
['Food'],-0.74%,-2.95%,F34.SI,Singapore,$18.52 B,Wilmar International,887,$2.96
['Pharmaceuticals'],1.15%,-22.37%,068270.KS,South Korea,$18.50 B,Celltrion,888,$133.81
"['Electricity', 'Infrastructure']",-1.47%,-3.30%,POWERGRID.NS,India,$18.43 B,Powergrid Corporation of India,890,$2.64
[],1.08%,-18.73%,STE,Ireland,$18.52 B,Steris,886,$185.56
"['Pharmaceuticals', 'Biotech']",0.48%,9.29%,RPRX,UK,$18.58 B,Royalty Pharma,884,$42.13
"['Alcoholicbeverages', 'Beverages']",0.97%,-1.19%,CBGA.F,Denmark,$18.60 B,Carlsberg,882,$163.93
"['Software', 'Tech']",-1.18%,-29.04%,PAYC,USA,$18.54 B,Paycom,885,$308.97
"['Banks', 'Financialservices']",-2.22%,,NU,Brazil,$18.60 B,Nu Holdings,883,$3.97
['Mining'],-1.17%,30.91%,TECK,Canada,$18.68 B,Teck Resources,880,$36.30
"['Electricity', 'Energy']",-0.53%,12.73%,AES,USA,$18.68 B,AES,879,$27.98
[],1.81%,25.93%,INCY,USA,$18.69 B,Incyte,878,$84.03
"['Banks', 'Financialservices']",0.62%,-21.24%,SWED-A.ST,Sweden,$18.68 B,Swedbank,881,$16.28
"['Realestate', 'Investment', 'REITs']",0.46%,-28.71%,SUI,USA,$17.91 B,Sun Communities,914,$141.86
"['Pharmaceuticals', 'Biotech']",-0.18%,-9.40%,4578.T,Japan,$17.93 B,Otsuka Holdings,913,$33.07
"['Banks', 'Financialservices']",-0.36%,28.08%,SBK.JO,South Africa,$16.61 B,Standard Bank Group,978,$10.08
[],0.68%,-17.91%,HINDZINC.NS,India,$16.26 B,Hindustan Zinc,1000,$3.85
"['Automakers', 'Manufacturing']",3.95%,-45.64%,0175.HK,China,$16.30 B,Geely,999,$1.62
[],-1.13%,4.34%,BOP.F,France,$16.31 B,Bolloré,998,$5.53
[],-1.48%,-40.76%,GEBN.SW,Switzerland,$16.31 B,Geberit,997,$472.54
"['ECommerce', 'Internet', 'Tech']",-3.61%,-45.20%,ETSY,USA,$16.35 B,Etsy,995,$130.13
