Founded,Headquarters,Industry,Name,Sector
1991,Lisbon,Industrials,Semapa,Building materials & fixtures
1959,Oliveira de Azeméis,Industrials,Simoldes,Diversified industrials
1918,Porto,Industrials,Soares da Costa,Heavy construction
1992,Lisbon,Consumer services,SIC,Broadcasting & entertainment
1959,Maia,Industrials,Sonae Indústria,Diversified industrials
1959,Maia,Conglomerates,Sonae,-
1956,Oeiras,Consumer goods,Sovena Group,Farming & fishing
2008,Oeiras,Consumer goods,Sumol + Compal,Food products
1927,Lisbon,Consumer goods,Tabaqueira,Tobacco
1945,Lisbon,Consumer services,TAP Air Portugal,Airlines
1993,Oeiras,Consumer services,Televisão Independente,Broadcasting & entertainment
2001,Setúbal,Basic materials,The Navigator Company,Paper
1871,Lisbon,Financials,Tranquilidade,Full line insurance
1977,Lisbon,Consumer services,Tupam editores,Publishing
1977,Lisbon,Industrials,UMM,Diversified industrials
1890,Matosinhos,Consumer goods,Unicer Brewery,Brewers
2012,Lisbon,Technology,Uniplaces,Internet
1980,Viseu,Conglomerates,Visabeira,-
1824,Ílhavo,Consumer goods,Vista Alegre,Durable household products
2010,Warsaw,Technology,11 bit studios,Software
1979,Turek,Basic materials,Adamów Coal Mine,Coal
2008,Warsaw,Financials,Alior Bank,Banks
1945,Wronki,Consumer goods,Amica,Durable household products
1991,Rzeszów,Technology,Asseco,Software
1989,Warsaw,Financials,Bank Millennium,Banks
1929,Warsaw,Financials,Bank Pekao,Banks
1955,Bełchatów,Basic materials,Bełchatów Coal Mine,Coal
1995,Kostrzyn,Consumer services,Biedronka,Food retailers & wholesalers
1248,Bochnia,Basic materials,Bochnia Salt Mine,General mining
1975,Lublin Voivodeship,Basic materials,Bogdanka Coal Mine,Coal
2009,Kraków,Technology,Brainly,Software
1968,Łomża,Consumer goods,Browar Łomża,Brewers
2004,Warsaw,Consumer goods,Carlsberg Polska,Brewers
1994,Warsaw,Technology,CD Projekt,Software
1993,Kraków,Technology,Comarch,Software
1998,Elbląg,Consumer goods,Elbrewery,Brewers
1992,Warsaw,Industrials,Elektrim,Diversified industrials
2003,Poznań,Utilities,Enea SA,Conventional Electricity
1991,Łódź,Technology,Ericpol,Software
1919,Chrzanów,Industrials,Fablok,Commercial vehicles & trucks
1948,Bielsko-Biała,Consumer goods,Fabryka Samochodów Małolitrażowych,Automobiles
1948,Warszawa,Consumer goods,Fabryka Samochodów Osobowych,Automobiles
1938,Kraśnik,Industrials,FŁT-Kraśnik,Diversified industrials
1913,Katowice,Industrials,FASING S.A.,Diversified industrials
2004,Gaworzyce,Basic materials,Gaworzyce mine,Nonferrous metals
2004,Warsaw,Utilities,Gaz-System,Gas distribution
2004,Polkowice,Basic materials,Głogów Głęboki-Przemysłowy mine,Nonferrous metals
1927,Tarnów,Chemical industry,Grupa Azoty,Specialty chemicals
2003,Gdańsk,Oil & gas,Grupa Lotos,Exploration & production
1955,Gubin,Basic materials,Gubin Coal Mine,Coal
1897,Ruda Śląska,Basic materials,Halemba Coal Mine,Coal
1958,Warsaw,Consumer goods,Hortex,Food products
1988,Katowice,Financials,ING Bank Śląski,Banks
1984,Warsaw,Consumer services,ITI Group,Broadcasting & entertainment
1884,Warsaw,Consumer services,Jabłkowski Brothers,Retail
1993,Jastrzębie-Zdrój,Basic materials,JSW,Coal
1961,Lubin,Basic materials,KGHM Polska Miedź,Nonferrous metals
2003,Warsaw,Consumer services,Kino Polska,Broadcasting & entertainment
1950,Kłodawa,Basic materials,Kłodawa Salt Mine,General mining
1999,Poznań,Consumer goods,Kompania Piwowarska,Brewers
2003,Katowice,Basic materials,Kompania Węglowa,Coal
1975,Poznań,Consumer goods,Lech Browary Wielkopolski,Brewers
2002,Wrocław,Technology,Livechat Software,Software
1929,Warsaw,Consumer services,LOT Polish Airlines,Airlines
1991,Gdańsk,Consumer services,LPP,Apparel retailers
1990,Wadowice,Food,Maspex,Food concern
1998,Warsaw,Consumer services,Multikino,Recreational services
1990,Warsaw,Telecommunications,Netia,Fixed line telecommunications
1845,Brzesko,Consumer goods,Okocim Brewery,Brewers
1988,Warsaw,Technology,Optimus S.A.,Computer hardware
1991,Warsaw,Telecommunications,Orange Polska,Mobile telecommunications
1851,Bydgoszcz,Industrials,Pesa SA,Commercial vehicles & trucks
1976,Warsaw,Oil & gas,PGNiG,Exploration & production
1999,Płock,Oil & gas,PKN Orlen,Exploration & production
2007,Warsaw,Telecommunications,Play,Mobile telecommunications
1995,Warsaw,Telecommunications,Plus,Mobile telecommunications
1558,Warsaw,Consumer services,Poczta Polska,Delivery services
2006,Warsaw,Consumer services,Polcast Television,Broadcasting & entertainment
1926,Warsaw,Industrials,Polish State Railways,Railroads
1992,Warsaw,Consumer services,Polsat,Broadcasting & entertainment
1990,Warsaw,Utilities,Polska Grupa Energetyczna,Conventional electricity
1951,Szczecin,Industrials,Polsteam,Delivery services
1948,Warsaw,Financials,Powszechna Kasa Oszczędności Bank Polski,Banks
1803,Warsaw,Financials,Powszechny Zakład Ubezpieczeń,Full line insurance
1988,Narew,Consumer goods,Pronar,Machinery
1945,Białystok,Consumer services,Przedsiębiorstwo Komunikacji Samochodowej,Travel & tourism
2001,Warsaw,Consumer services,Przewozy Regionalne,Travel & tourism
2004,Konstancin-Jeziorna,Utilities,PSE (Polskie Sieci Elektroenergetyczne),Conventional electricity
1847,Pudliszki,Food Products,Pudliszki,Fruit and vegetable processing
1985,Warsaw,Technology,Qumak,Software
2000,Warszawa,Consumer services,Smyk Department Store,General retailers
2001,Bolechowo,Industrials,Solaris Bus & Coach,Commercial vehicles & trucks
1920,Bydgoszcz,Industrials,Tele-Fonika Kable,Diversified industrials
1952,Warsaw,Consumer services,Telewizja Polska,Broadcasting & entertainment
1996,Warsaw,Telecommunications,T-Mobile Polska,Mobile telecommunications
2001,Warsaw,Consumer services,TVN24,Broadcasting & entertainment
2002,Warsaw,Consumer services,TVN 7,Broadcasting & entertainment
1995,Warsaw,Consumer services,TVN Group,Broadcasting & entertainment
1936,Tymbark,Consumer goods,Tymbark,Soft drinks
1989,Rakszawa,Consumer goods,Van Pur,Brewers
1252,Wieliczka,Consumer services,Wieliczka Salt Mine,Recreational services
1998,Poznań,Consumer services,Żabka,Food retailers & wholesalers
1917,Tarnów,Industrials,ZMT SA,Defense
1981,Utrecht,Industrials,Aalberts,Electrical components & equipment
2001,Utrecht,Transport,Abellio,"Bus, ferry and train services"
