country,employees,founded,industry,link,name,revenue
UK,101,2011,Health,https://www.huma.com,Huma Therapeutics,"6,177,442"
France,5,2011,Food & Beverage,https://www.kupela.fr,KUPELA,7.4
France,2,2015,Energy,https://www.enens.fr/,Enens,100.98
Singapore,353,2015,Fintech,https://fundingsocieties.com/,Funding Societies,16.29
Taiwan,Not found,2013,Pharmaceuticals,https://www.foreseepharma.com/,Foresee Pharmaceuticals ,7.79
Hong Kong,54,2014,Ecommerce,https://missamara.com/,Miss Amara,11.26
Australia,33,2015,Technology,https://playground.xyz/,PLAYGROUND XYZ,18.21
Singapore,334,2014,Fintech,https://www.nium.com/,Nium,7.32
UK,26,2011,Support Services,https://www.bold.co.uk/,Bold Security Group,"6,238,378"
Norway,140,2013,Games industry,https://www.playmagnusgroup.com/,Play Magnus Group,"6,461,790"
Netherlands,400,2012,Technology,https://www.mews.com,Mews Systems,"22,386,000"
United Kingdom,110,2014,Media,https://www.junglecreations.com,Jungle Creations,11.7
Sweden,26,2015,Fintech,https://qred.com/en-se/,Qred Företagslån*,13.65
India,309,2016,Property,https://www.smartworksoffice.com/,Smartworks Coworking Spaces,42.93
Singapore,37,2016,Fintech,https://incomlend.com/,Incomlend,2.73
Japan,90,2012,Property,https://gatestokyo.co.jp/,GATES,88.58
Australia,75,2016,Education,https://www.curio.co/,Curio Group,4.55
India,206,1983,Industrial Goods,http://apollotricoat.com/,Apollo Tricoat Tubes,94.35
Singapore,101,2010,Technology,https://www.sqreemtech.com/,SQREEM Technologies,5.57
UK,7,2016,Financial Services,https://bluewhale.co.uk/,Blue Whale Growth Fund,"5,189,391"
Belgium,65,2016,Ecommerce,https://www.kazidomi.com/en/,Kazidomi,"8,042,499"
Germany,4,2015,Retail,https://www.bonmea.com,BONMEA,"7,700,000"
France,8,2013,Property,https://www.fiducim.fr,FIDUCIM,8.3
Italy,19,2014,Ecommerce,https://it.mukako.com/,Mamma 2.0,7.21
United Kingdom,114,2013,Technology,https://intouchnetworks.com/,In Touch Networks,8.40
Japan,9,2016,Telecoms,https://glocalnet.jp/,GLOCAL NET,24.79
South Korea,11,2017,Media,http://www.wafour.com/,Wafour Corporation,2.87
South Korea,20,2017,Advertising,https://www.bomsen.co.kr/,Bomsen,2.66
Japan,18,2016,Technology,https://www.sbworks.jp/,SBWorks,4.26
India,40,2012,Cyber Security,https://instasafe.com/,InstaSafe,1.88
Japan,30,2014,Financial Services,https://crowdbank.jp/,Crowd Bank,27.96
Latvia,800,2012,Fintech,https://sunfinance.group/,Sun Finance,"121,306,296"
UK,595,2015,Energy,https://octopus.energy,Octopus Energy,"1,376,444,096"
Germany,22,2014,Support Services,https://www.instaff.jobs%20,InStaff & Jobs,5.1
Germany,34,2014,Industrial Goods,https://www.farmermobil.de/,farmermobil,7.47
South Korea,8,2017,Chemicals,http://www.2017ad.co.kr/,AD Corp.,1.36
South Korea,65,2015,Technology,https://www.42maru.ai/,42Maru,2.55
India,"2,217",2016,Fintech,https://vyaparapp.in/,Vyapar,1.46
Japan,15,2011,Construction,https://www.kimura-gumi.jp/,KiMURA,7.32
Japan,70,2013,Fintech,https://www.crowdcredit.jp/,Crowd Credit,4.43
Singapore,465,2014,Ecommerce,https://www.shopback.sg/,Ecommerce Enablers,28.30
Italy,56,2015,Financial Services,https://www.credimi.com/,Credimi,"11,301,520"
Germany,133,2017,Retail,https://www.sirplus.de/,SIRPLUS,"4,540,000"
France,90,2016,Technology,https://www.kickmaker.fr,Kickmaker,"8,809,760"
France,60,2010,Support Services,https://www.eskimoz.fr,Eskimoz,6.0
Germany,100,2014,Technology,https://www.holidu.de/,Holidu,13.12
Germany,6,2014, Sales & Marketing ,https://www.feiniko.de/,Feiniko Handelsgesellschaft,25.60
South Korea,29,2010,Technology,https://corp.siksinhot.com/,SIKSIN,2.84
South Korea,53,2012,Law,https://www.lawtalk.co.kr/,LawTalk,2.62
South Korea,40,2010,Ecommerce,https://www.imweb.me/,I’MWEB,6.68
Japan,108,1994,Education,https://mothergoose.jp/,mothergoose,2.99
Australia,19,2013,Education,https://www.classe365.com/,Classe365,1.84
The Netherlands,31,2016,Education,https://www.aihr.com/,AIHR | Academy to Innovate HR,"3,584,553"
UK,122,2014,Technology,https://www.privitar.com,Privitar,"7,004,555"
Germany,45,2003,Ecommerce,https://www.talea-naturkosmetik.de,Tantal,11.8
Germany,180,2014,Food & Beverage,https://gustavo-gusto.de/,Franco Fresco,15.42
Australia,16,2013,Ecommerce,https://www.solbari.com/,Solbari,3.51
India,40,2012,Technology,https://instasafe.com/,InstaSafe,2.12
Singapore,50,2015,Telecoms,https://www.bluewireless.com/,Blue Wireless,4.38
South Korea,9,2010,Support Services,http://www.archisound.co.kr/,Archisound,3.46
Taiwan,270,2001,Technology,http://www.hlj.com.tw/,HLJ Technology,22.76
Australia,24,2015,Technology,https://maxkelsen.com/,Max Kelsen,3.51
Luxembourg,27,2015,Property,https://www.logisticscapitalpartners.com/,Logistics Capital Partners (LCP),"210,563,743"
Germany,10,2017,Property,https://suedwest-invest.de/,Südwest Invest,"5,820,402"
Bulgaria,15,2011,Retail,https://www.amco-shop.com,Amco-Bulgaria,"6,729,216"
Italy,65,2013,Media,https://www.buzzoole.com,Buzzoole,4.4
Finland,129,2010,Interiors,https://www.frameryacoustics.com,Framery,39.9
Germany,68,2015,Technology,https://www.messengerpeople.com/,MessengerPeople,6.72
Spain,18,2012,Ecommerce,https://footdistrict.com/,Foot District,5.37
Singapore,21,2016,Ecommerce,https://www.jcojewellery.com/,JCO Jewelry,6.13
Japan,160,2015,Education,https://torana.co.jp/,Torana (Toysub!),1.16
South Korea,271,2012,Fintech,https://www.wadiz.kr/,wadiz,19.12
South Korea,21,2013,Support Services,http://www.goodmonitoring.com/,GoodMonitoring,1.57
Singapore,75,2014,Advertising,https://redhill.world/,Redhill Communications,3.19
South Korea,25,2013,Travel & Leisure,http://www.jejuangeltour.com/,Jeju Angel Car,4.49
France,7,2000,Property,https://www.plurimmo.com/,CORADE (Plurimmo),"56,018,731"
Spain,5,2006,Food & Beverage,https://www.carrancosl.com/,Carranco,"4,176,440"
UK,50,2015,Technology,https://www.eocharging.com,EO Charging,"5,327,671"
Germany,52,2008,Advertising,https://www.metacrew.de,Metacrew Group,14.0
Netherlands,21,2014,Travel & Leisure,https://www.camptoo.com/,Deelit Ventures,7.06
Singapore,18,2016,Cyber Security,https://www.pragmastrategy.com/,Pragma,1.09
Japan,40,2016,Management Consulting,https://projectcompany.co.jp/,ProjectCompany,10.35
India,42,2017,Financial Services,https://www.safegold.com/,SafeGold,56.10
Australia,70,2015,Technology,https://rxmxcorp.com/,RxMx,10.66
Australia,40,2013,Education,https://tutor2you.com.au/,Tutor2You,1.73
Malaysia,26,2016,Technology,https://www.supplycart.my/,Supplycart,1.86
Poland,50,2014,Health,https://telemedi.com/pl/,Telemedi,"4,452,513"
Germany,56,2014,Technology,https://www.inkitt.com/,Inkitt,"5,926,970"
Netherlands,47,2012,Technology,https://fastnedcharging.com,Fastned,"6,398,000"
United Kingdom,43,2014,Energy,https://www.greenfroggenovate.co.uk,GF Genovate*,20.3
Spain,399,2015,Fintech,https://idfinance.com/,ID Finance Investments,41.00
Germany,Not found,2014,Industrial Goods,https://www.getair.eu/,getAir,5.30
India,250,2010,Technology,https://www.minfytech.com/,Minfy Technologies,13.83
India,330,2014,Fintech,https://m2pfintech.com/,M2P Fintech,5.15
South Korea,67,2014,Technology,https://www.cardoc.co.kr/,Cardoc,14.42
Japan,9,2016,Management Consulting,https://www.northstar.co.jp/,North Star Management,2.76
South Korea,62,2015,Financial Services,http://www.agilesoda.ai/,Agilesoda,3.63
Japan,167,2005,Support Services,https://www.zaigenkakuho.com/,Hope,132.43
Italy,2,2016,Retail,https://www.kadamanitrading.it/,H.K.Trading,"5,721,590"
Spain,40,2012,Ecommerce,https://footdistrict.com,Foot District,"10,393,000"
Poland,200,2010,Technology,https://www.tenderhut.com,TenderHut,3.7
Netherlands,15,2012,Ecommerce,https://www.pastbook.com/,PastBook,9.16
Italy,80,2014,Ecommerce,https://www.supermercato24.it/,Supermercato24,14.00
South Korea,14,2017,Advertising,http://www.motnt.kr/,GGDP,1.71
India,12,2016,Ecommerce,https://www.excess2sell.com/,excess2sell,13.39
Australia,10,2017,Technology,https://www.joinreflow.com/,Reflow Hub,25.46
Japan,9,2014,Advertising,https://www.ryukyustyle.co.jp/,Ryukyu Style,11.79
India,Not found,2010,Ecommerce,https://www.zomato.com/,Zomato,5.60
UK,124,2015,Technology,https://www.askattest.com/,Attest,"4,864,178"
Spain,400,2015,Fintech,https://www.idfinance.com,ID Finance Investments,"81,424,000"
United Kingdom,234,2013,Technology,https://and.digital,AND Digital,20.9
Germany,10,2014,Food & Beverage,https://www.donatella.de/,Donatella,8.50
Finland,26,2015,Games industry,http://www.futureplaygames.com/,Futureplay*,10.36
Singapore,49,2016,Fintech,https://www.sparksystems.sg/,Spark Systems,1.27
India,37,2012,Technology,https://www.e42.ai/,E42 (formerly NLPBOTS),1.48
Japan,9,2015,Aerospace & Defence,https://airx.co.jp/,AirX,1.44
Singapore,8,2008,Education,https://www.facebook.com/princeducation/,Prince Education,1.47
Australia,33,2015,Technology,https://www.hivery.com/,Hivery,3.59
Japan,7,2015,Restaurants,https://www.333sanmishopping.com/,Sanmi,2.91
France,11,2016,Property,https://www.lgm-immobilier.fr/,LGM IMMOBILIER,"2,549,778"
The Netherlands,29,2017,Management Consulting,https://www.wolframchain.nl/,Wolfram Chain*,"2,431,371"
Germany,220,2015,Construction,http://www.nisa.services,NISA Gebäudeservice,"4,329,710"
UK,52,2014,Technology,https://www.velocity.black,Velocity Mobile,"8,214,698"
United Kingdom,161,2010,Technology,https://www.perkbox.com,Perkbox,40.7
Spain,302,2008,Technology,https://www.jobandtalent.com/,Jobandtalent ,137.60
United Kingdom,135,2014,Media,https://junglecreations.com/,Jungle Creations,18.08
Singapore,175,2010,Technology,https://sqreemtech.com/,Sqreem Technologies,5.85
Taiwan,296,1992,Energy,http://www.cogen.com.tw/,Taiwan Cogeneration Corporation,314.83
Taiwan,170,1989,Games industry,http://www.astrocorp.com.tw/,Astro Group,11.99
Japan,70,2011,Property,https://www.partners-re.co.jp/,Partners,40.40
Japan,48,2007,Chemicals,https://www.mwcc.jp/,Microwave Chemical,9.67
Australia,21,2015,Technology,https://techforceservices.com.au/,TechForce Services,2.53
Germany,38,2017,Technology,https://www.rightnow.de/,RightNow,"8,951,132"
UK,63,2014,Technology,https://www.eocharging.com/,EO Charging,"17,158,962"
Italy,5,2015,Transport,http://www.lmmlogistics.com,LMM Logistics,"11,509,009"
Italy,22,2013,Pharmaceuticals,https://www.kolinpharma.com,Kolinpharma,4.1
Germany,14,2015,Retail,https://www.sinob.de/,#sinob,4.95
South Korea,11,2017,Industrial Goods,http://www.arconkor.com/,"Arcontek Co., Ltd.",1.28
South Korea,25,2015,Advertising,https://www.ad-i.com/,AD Intelligence,1.75
Japan,50,2015,Management Consulting,https://so-labo.co.jp/,SoLabo,4.80
Malaysia,26,2016,Construction,https://coringmalaysia.com/,SONICON CONSTRUCTION,1.28
Japan,140,2005,Ecommerce,https://www.inglewood.co.jp/,inglewood,102.55
Japan,131,2008,Fintech,https://www.paidy.com/,Paidy,12.88
Italy,9,2013,Support Services,https://chetariffa.it/,CheTariffa.it,"2,495,860"
Germany,202,2016,Food & Beverage,http://www.gustavogusto.com,Franco Fresco,"31,334,340"
Spain,190,2014,Technology,https://www.anytech365.com,Anteco Systems,5.0
United Kingdom,179,2013,Ecommerce,https://www.global-e.com/,Global-e Online,37.22
South Korea,78,2009,Support Services,http://www.artience.co.kr/,Artience,12.22
India,400,2015,Food & Beverage,https://www.vahdamteas.com/,Vahdam India,21.46
India,113,2016,Technology,https://www.increff.com/,Increff,4.68
Japan,30,2010,Cyber Security,https://www.cscloud.co.jp/,Cyber Security Cloud,7.51
Japan,314,2013,Property,https://www.ga-tech.co.jp/en/,GA technologies,355.88
Japan,18,2011,Industrial Goods,http://www.superoxjapan.com/,SuperOx Japan,4.66
UK,90,2017,Financial Services,https://simply.finance/,Simply,"16,483,836"
UK,187,2015,Fintech,https://www.salaryfinance.com/uk/,Salary Finance,"8,593,220"
Italy,41,2016,Technology,https://www.gellify.com,Gellify,"3,548,132"
Germany,70,2016,Technology,https://www.kavera.de,Kavera Elektrotechnik,"3,374,120"
Poland,104,2012,Technology,https://www.tooploox.com,Tooploox,4.7
Italy,5,2015,Retail,https://www.danjohn.it/,Rinah,19.51
Australia,60,2015,Advertising,https://www.zealdigital.com.au/,Zeal Digital,2.09
Singapore,120,2016,Health,https://www.homage.sg/,Homage Co,5.07
South Korea,19,2016,Media,https://www.postype.com/,Postype,2.94
India,100,1983,Energy,https://www.hoec.com/,HOEC,25.53
India,116,2016,Construction,https://www.isprava.com/,Isprava,7.30
Sweden,10,2017,Fintech,https://www.dbt.se/,DBT,"3,837,994"
Italy,34,2016,Telecoms,https://www.mg-project.com,Mg Project,"8,036,749"
Italy,67,2013,Travel & Leisure,https://www.musement.com/it,Musement**,8.9
Poland,40,2004,Personal & Household Goods,https://www.domator24.com/,Domator24.com,18.79
Japan,40,2016,Support Services,https://company.shuuumatu-worker.jp/,Shuumatsu Worker,8.72
Australia,11,2000,Technology,https://www.myrewardsinternational.com/,My Rewards,10.11
Japan,45,2015,Retail,https://nj-enex.co.jp/,NJ-ENEX,18.62
Singapore,155,2014,Food & Beverage,https://grain.com.sg/,Grain,9.96
India,Not found,1995,Financial Services,https://www.indiabullsventures.com/,Indiabulls Ventures,413.91
India,19,2008,Construction,https://www.dipongroup.com/,Dipon Group,2.39
Poland,140,2016,Education,https://pl.tutlo.com/,Tutlo,"7,778,203"
France,27,2013,Ecommerce,https://www.ponera.fr/,Ponera,"25,901,607"
Germany,103,2015,Ecommerce,https://www.grover.com,Grover Group,"14,934,485"
Greece,86,2015,Automobiles,https://www.spotawheel.com,Spotawheel,"10,335,899"
Germany,18,2013,Media,https://www.druck-media-service.com,DMS,14.4
Germany,29,2013,Telecoms,https://www.uplink-network.de/,UPLINK Network,20.53
United Kingdom,80,2015,Technology,https://www.trouva.com/,Trouva,11.67
South Korea,85,2016,Transport,https://www.logi-spot.com/,Logispot,32.75
