"Rank","Name","in 2021 ranking","in 2020 ranking","Country","Sector","Absolute Growth Rate %","Compound Annual Growth Rate (CAGR) %","Revenue 2020 (€)","Revenue 2017 (€)","Number of employees 2020","Number of employees 2017","Founding Year"
"432","Wolf & Badger","Yes","No","UK","Ecommerce","365.87","67.01","11,604,670","2,508,842","62","32","2009"
"433","Eco CO2","Yes","Yes","France","Support Services","365.14","66.93","9,220,216","1,982,251","94","28","2009"
"434","Lakógép Kft.","No","No","Hungary","Construction","364.94","66.90","25,335,854","6,328,462","20","3","2011"
"435","Beyer Betonwaren","No","No","Germany","Construction","364.90","66.90","2,062,749","443,694","20","9","2017"
"436","Fill Up Média","Yes","Yes","France","Media","362.48","66.61","4,999,802","1,081,079","42","12","2011"
"437","Zara Imballaggi Fabriano","Yes","No","Italy","Industrial Goods","362.41","66.60","2,297,210","496,790","6","4","1984"
"438","CD Projekt","No","No","Poland","Games industry","361.78","66.52","468,257,487","110,835,763","1177","744","1994"
"439","VPACE Bikes","No","No","Germany","Retail","361.24","66.46","2,643,580","573,145","10","1","2015"
"440","Tooltester","Yes","No","Spain","Sales & Marketing","361.17","66.45","3,646,507","790,712","6","0","2014"
"441","Bunker Partner","Yes","Yes","Estonia","Energy","361.12","66.45","101,726,265","22,060,642","7","2","2015"
"442","Tikamoon","No","No","France","Ecommerce","360.01","66.31","56,122,322","12,200,275","130","40","2006"
"443","S.T.A.R. Digital","No","No","Croatia","Advertising","359.98","66.31","3,211,868","699,907","8","10","2013"
"444","Funding Options","Yes","No","UK","Fintech","359.62","66.26","5,922,043","1,297,717","62","29","2011"
"445","Isimed","No","No","Italy","Health","359.61","66.26","4,828,920","1,050,660","14","8","2014"
"446","Sonar, SonarQube, SonarCloud, SonarLint","No","No","Switzerland","Technology","358.59","66.14","83,632,640","16,861,349","195","50","2008"
"447","Scherer","No","No","Germany","Support Services","358.37","66.11","4,285,766","934,994","30","4","2016"
"448","Mycroclean Italia","No","No","Italy","Support Services","357.44","66.00","3,366,730","736,000","24","14","2002"
"449","Piscor","No","No","Italy","Ecommerce","356.25","65.86","4,842,410","1,061,360","16","8","2015"
"450","Marwincar","Yes","No","Italy","Automobiles","356.21","65.85","5,083,140","1,114,200","3","1","2016"
"451","Brighton & Hove Albion Football Club","No","No","UK","Travel & Leisure","355.67","65.79","148,505,285","32,824,451","1038","288","1993"
"452","INPE Transport","No","No","Bulgaria","Transport","355.58","65.78","1,816,274","398,676","60","5","2015"
"453","RTB House","Yes","Yes","Poland","Technology","355.45","65.76","191,601,076","45,981,552","773","266","2013"
"454","Obiz","Yes","Yes","France","Media","353.69","65.55","15,377,000","3,389,300","38","27","2010"
"455","VmWay","Yes","Yes","Italy","Technology","351.01","65.22","15,901,220","3,525,720","70","33","2012"
"456","Legimi","No","No","Poland","Media","350.96","65.21","7,007,093","1,698,358","12","8","2009"
"457","MSG Beauty","No","No","Germany","Retail","350.83","65.20","2,910,737","645,633","11","5","2011"
"458","Leogra Trading","No","No","Germany","Retail","350.12","65.11","5,078,464","1,128,243","11","4","2014"
"459","Benefind","No","No","Italy","Technology","347.56","64.80","2,262,490","505,520","32","10","2012"
"460","AB Oil & Gas Service","No","No","Italy","Support Services","347.12","64.74","2,310,000","516,640","13","5","2017"
"461","Mailtrack","Yes","No","Spain","Technology","344.41","64.41","3,445,698","775,341","23","14","2013"
"462","Bumper","Yes","No","UK","Fintech","343.11","64.25","3,394,214","771,504","33","15","2013"
"463","OTL - Online Trainer","No","No","Germany","Health","342.81","64.21","6,607,564","1,492,190","46","22","2015"
"464","Macingo Technologies","No","No","Italy","Support Services","342.52","64.18","1,601,000","361,790","17","9","2014"
"465","MYCS","No","No","Germany","Retail","340.45","63.92","39,355,846","8,935,361","210","120","2014"
"466","Audience Serv","No","No","Germany","Advertising","339.50","63.80","6,107,018","1,389,534","92","23","2008"
"467","Start","No","No","Italy","Telecoms","339.50","63.80","3,769,100","857,590","8","4","2012"
"468","MvH Media","No","No","The Netherlands","Sales & Marketing","338.88","63.73","2,391,654","544,943","29","8","2010"
"469","PURE GAMING","Yes","Yes","France","Ecommerce","338.29","63.65","6,984,956","1,593,667","2","1","2010"
"470","Parcel Compare","No","No","UK","Transport","337.44","63.55","9,085,936","2,091,995","8","4","1998"
"471","Ames Centro Polidiagnostico Strumentale","Yes","Yes","Italy","Health","337.37","63.54","40,391,360","9,235,130","81","71","1979"
"472","Arcadia Italia","No","No","Italy","Energy","337.22","63.52","3,249,140","743,130","6","1","2016"
"473","Zia Lucia","Yes","No","UK","Restaurants","336.69","63.45","4,853,930","1,119,494","43","16","2016"
"474","Travaglini Costruzioni","No","No","Italy","Construction","333.49","63.05","4,603,740","1,062,010","37","16","1952"
"475","Versa Design Zycle","No","No","Spain","Technology","331.97","62.86","9,501,888","2,199,640","81","10","2008"
"476","MAUCHER CONSULT","No","No","Germany","Construction","331.77","62.84","1,952,000","452,091","15","5","2016"
"477","Ayes","Yes","No","Italy","Technology","331.20","62.76","10,827,070","2,510,930","137","51","2015"
"478","BrandUp Group","Yes","No","Italy","Advertising","331.08","62.75","2,718,640","630,660","5","1","2016"
"479","Opyn","No","No","Italy","Financial Services","329.74","62.58","4,168,220","969,930","19","11","2012"
"480","VAR Capital","No","No","UK","Financial Services","329.62","62.57","2,132,001","499,815","8","4","2014"
"481","StoryTerrace","No","No","UK","Technology","329.00","62.49","2,843,048","667,467","25","9","2017"
"482","Blubit","No","No","Slovenia","Technology","328.98","62.48","2,964,852","691,140","22","8","2009"
"483","ZEN’UP","No","No","France","Insurance","328.62","62.44","1,891,361","441,271","9","9","2014"
"484","Lörcher Bauunternehmen","No","No","Germany","Construction","328.53","62.43","3,932,792","917,735","25","17","2001"
