,company_rank,company_name,company_industry,company_location
136,137,Puma,Sporting Equipment/Apparel,Regional
137,138,Jetstar,Budget Airlines,"Australia, Southeast Asia"
138,139,Thai Airways,Full-service Airlines,Regional
139,140,Asus,Computer,Regional
140,141,JVC,Camcorder,Regional
141,142,Prudential (UK),Insurance,Regional
142,143,Maxims,Coffee,"Hong Kong, Japan, Korea"
143,144,Lion,Toothpaste,Regional
144,145,BlackBerry,Mobile Phone,Regional
145,146,Olympus,Camera,Regional
146,147,Extra,Chewing/Bubble Gum,Regional
147,148,Suntory,Spirits/Beer,"China, Japan, Korea, Taiwan"
148,149,Garnier,Skincare Product,"Australia, India, Southeast Asia"
149,150,Rejoice,Shampoo,Regional
150,151,Virgin,Full-service Airlines,Regional
151,152,Doublemint,Chewing/Bubble Gum,Regional
152,153,Palmolive,Shower Gel/Soap,Regional
153,154,IBM,Computer,Regional
154,155,Mamy Poko,Diaper,"China, Japan, Southeast Asia"
155,156,Dettol,Shower Gel/Soap,"Australia, China"
156,157,EstÃ©e Lauder,Cosmetics,Regional
157,158,Clinique,Female Skincare Product/Cosmetics,Regional
158,159,Mengniu,Milk,China
159,160,Lindt,Chocolate,Regional
160,161,Hersheyâs,Chocolate,Regional
161,162,Cartier,Jewellery,Regional
162,163,Malaysia Airlines,Full-service Airlines,Regional
163,164,Tropicana,Fruit Juice,Regional
164,165,Baidu,Internet Search Engine,China
165,166,Pondâs,Female Skincare Product,Regional
166,167,Dutch Lady,Milk,Regional
167,168,Bank of China,Bank,"China, Hong Kong"
168,169,BATA,Shoes,"India, Singapore"
169,170,Carrefour,Supermarket,"China, Japan, Southeast Asia"
170,171,Tsingtao,Beer,"China, Singapore"
171,172,Maybank,Bank,"Malaysia, Singapore"
172,173,Kirin,Beer,"China, Japan, Korea"
173,174,Kookmin Bank (KB),Bank,Korea
174,175,Dunlop,Tyre,Regional
175,176,Red Bull,Sports Drink,Regional
176,177,UPS,Courier Company,Regional
177,178,Tiger Airways,Budget Airlines,Regional
178,179,Swensenâs,Ice-cream,Singapore
179,180,Pedigree,Pet Food,Regional
180,181,Naver,Internet Search Engine,Korea
181,182,Wei Chuan,Food and Beverage,"China, Taiwan"
182,183,China Mobile,Mobile Service Provider,China
183,184,Big Bazaar,Supermarket,India
184,185,Dove (Chocolate),Chocolate,"China, Taiwan"
185,186,Mama,Instant Noodles,"Hong Kong, Thailand"
186,187,CPC (Taiwan),Petrol/Gas Station,Taiwan
187,188,Bing,Internet Search Engine,Regional
188,189,Standard Chartered,Bank,"Hong Kong, Southeast Asia"
189,190,Siemens,Consumer Electronics,Regional
190,191,ANA,Full-service Airlines,Regional
191,192,Tiffany & Co.,Jewellery,Regional
192,193,Minute Maid,Fruit Juice,China
193,194,Burger King,Fast-Food,Regional
194,195,Tiger Beer,Beer,Southeast Asia
