,company_name,company_location
113,DEMEX LIMITED,UNITED KINGDOM
114,4WARD SRL,ITALY
115,MAKSEKESKUS AS,ESTONIA
116,"ISS CORPORATE SOLUTIONS, INC.",UNITED STATES
117,GENERAL MEDITERRANEAN HOLDING (UK) LIMITED,UNITED KINGDOM
118,AGCO ITALIA SPA,ITALY
119,ELECTROAIR OU,ESTONIA
120,"POUDRE VALLEY HEALTH CARE, INC.",UNITED STATES
121,MOMENTUM GLOBAL INVESTMENT MANAGEMENT LIMITED,UNITED KINGDOM
122,LAVERDA AGCO SPA,ITALY
123,MEDIABRANDS DIGITAL OU,ESTONIA
124,"EXPERIAN INFORMATION SOLUTIONS, INC.",UNITED STATES
125,PARITY GROUP PUBLIC LIMITED COMPANY,UNITED KINGDOM
126,VETROELITE SRL,ITALY
127,TALLINNA LINNATRANSPORT AS,ESTONIA
128,TIMBERLAND LLC,UNITED STATES
129,CSO OIL & GAS TECHNOLOGY (WEST AFRICA) LIMITED,UNITED KINGDOM
130,VETROELITE PACKAGING SRL,ITALY
131,ADMIRAL MARKETS AS,ESTONIA
132,"MERCK, SHARP & DOHME (EUROPE) INC.",UNITED STATES
133,LINKLATERS LLP,UNITED KINGDOM
134,TUA ASSICURAZIONI SPA,ITALY
135,ADMIRALS GROUP AS,ESTONIA
136,"PENTAX OF AMERICA, INC.",UNITED STATES
137,LINKLATERS BUSINESS SERVICES,UNITED KINGDOM
138,GRANITIFIANDRE SPA,ITALY
139,FIBENOL OU,ESTONIA
140,"EATELCORP, L.L.C.",UNITED STATES
141,SOPHEON PLC,UNITED KINGDOM
142,GENERALI ITALIA SPA,ITALY
143,COMBIWOOD OU,ESTONIA
144,MARTIN TOOL WORKS INC,UNITED STATES
145,VAUXHALL MOTORS LIMITED,UNITED KINGDOM
146,EZ SERVICE SRL,ITALY
147,ELECTROAIR GROUP AS,ESTONIA
148,HLT PROPERTY ACQUISITION LLC,UNITED STATES
149,VML 2017 PENSION TRUSTEES LIMITED,UNITED KINGDOM
150,INVESTIS INSURANCE BROKER SPA O IN BREVE INVESTIS BROKER SPA,ITALY
151,ELECTROAIR TECHNOLOGIES OU,ESTONIA
152,"WALT DISNEY PARKS AND RESORTS U.S., INC.",UNITED STATES
153,CENTRESOFT LIMITED,UNITED KINGDOM
