,company_name,company_location
424,NIPPON LIFE INSURANCE COMPANY OF AMERICA,UNITED STATES
425,ABSA SECURITIES UNITED KINGDOM LIMITED,UNITED KINGDOM
426,APEIRON SOCIETA' BENEFIT SPA,ITALY
427,CORTINA INVEST OU,ESTONIA
428,"IPSOS-ASI, LLC",UNITED STATES
429,HAVAS ENTERTAINMENT LIMITED,UNITED KINGDOM
430,COGENINFRA SPA,ITALY
431,AGRITERA OU,ESTONIA
432,"IPSOS-INSIGHT, LLC",UNITED STATES
433,ABSA MANX HOLDINGS LIMITED,UNITED KINGDOM
434,ALERION CLEAN POWER SPA,ITALY
435,MM GRUPP OU,ESTONIA
436,SANFORD HEALTH,UNITED STATES
437,MARSH LIMITED,UNITED KINGDOM
438,LORO PIANA SPA,ITALY
439,HARJU ELEKTER AS,ESTONIA
440,WINDWAY CAPITAL CORP.,UNITED STATES
441,TELOR INTERNATIONAL LIMITED,UNITED KINGDOM
442,FARMACIA SAN DAMIANO MERANO SRL,ITALY
443,SKYPE TECHNOLOGIES OU,ESTONIA
444,NOKIA SOLUTIONS AND NETWORKS US LLC,UNITED STATES
445,THALES UK LIMITED,UNITED KINGDOM
446,STELLANTIS &YOU ITALIA SPA,ITALY
447,THERMORY AS,ESTONIA
448,DOTDASH MEDIA INC.,UNITED STATES
449,BRITISH BROADCASTING CORPORATION,UNITED KINGDOM
450,STELLANTIS N.V.,ITALY
451,TECHNOMAR & ADREM AS,ESTONIA
452,"EVEREDE TOOL COMPANY, LLC",UNITED STATES
453,BBC GLOBAL NEWS LIMITED,UNITED KINGDOM
454,NEWTON COMPTON EDITORI SRL,ITALY
455,FRIENDLY FINANCE OU,ESTONIA
456,FREEPORT MINERALS CORPORATION,UNITED STATES
457,BBC WORLD SERVICE HOLDINGS LTD,UNITED KINGDOM
458,LA FORTEZZA SPA,ITALY
459,NORDIC CONTRACTORS AS,ESTONIA
460,CONCENTRIX CVG CORPORATION,UNITED STATES
461,DAIWA CAPITAL MARKETS EUROPE LIMITED,UNITED KINGDOM
462,HERMES ITALIE SPA,ITALY
463,HERO CAPITAL OU,ESTONIA
464,CONCENTRIX CVG CUSTOMER MANAGEMENT INTERNATIONAL INC.,UNITED STATES
465,SMBC BANK INTERNATIONAL PLC,UNITED KINGDOM
466,GROUPAMA ASSET MANAGEMENT SOCIETA' DI GESTIONE DEL RISPARMIO SPA,ITALY
467,BALTIC INTERNATIONAL TRADING OU,ESTONIA
468,CVG MANAGEMENT CORPORATION,UNITED STATES
469,HILTON INTERNATIONAL HOTELS (UK) LIMITED,UNITED KINGDOM
470,GROUPAMA ASSET MANAGEMENT SA SUCCURSALE ITALIANA,ITALY
471,E-ADVISORS OU,ESTONIA
472,LOOP GLOBAL HOLDINGS LLC,UNITED STATES
473,ADDA HOTELS,UNITED KINGDOM
474,WEG AUTOMATION EUROPE SRL,ITALY
475,ADVENDOR NETWORK OU,ESTONIA
476,"HARTFORD FINANCIAL SERVICES GROUP, INC., THE",UNITED STATES
477,BAE SYSTEMS (INTERNATIONAL) LIMITED,UNITED KINGDOM
478,LIMONTA SPA,ITALY
479,BTCWHALE OU,ESTONIA
480,KRONOS INCORPORATED,UNITED STATES
481,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,UNITED KINGDOM
482,COMITALIA COMPAGNIA FIDUCIARIA SRL IN FORMA ABBREVIATO COMITALIA SRL,ITALY
483,COCA-COLA HBC EESTI AS,ESTONIA
484,UNIPHORE TECHNOLOGIES INC.,UNITED STATES
485,JURASSIC FIBRE LIMITED,UNITED KINGDOM
486,HEARST MAGAZINES ITALIA SPA,ITALY
487,TAVID AS,ESTONIA
488,INTERNATIONAL FLAVORS & FRAGRANCES INC.,UNITED STATES
489,BADOO LIMITED,UNITED KINGDOM
490,LAFELTRINELLI INTERNET BOOKSHOP SRL,ITALY
491,BPEF III SUPPLEMENTARY INVESTMENT FACILITY USALDUSFOND,ESTONIA
492,TRUNKLINE LNG HOLDINGS LLC,UNITED STATES
493,CITIGROUP CAPITAL INVESTMENTS UK LIMITED,UNITED KINGDOM
494,CASEIFICI GRANTERRE SPA,ITALY
495,FUNDERBEAM MARKETS OU,ESTONIA
496,"AJ PERRI HOLDCO, LLC",UNITED STATES
497,CITIBANK UK LIMITED,UNITED KINGDOM
498,COHOTEL SRL,ITALY
499,JOHNSON & JOHNSON AB EESTI FILIAAL,ESTONIA
500,TIKTOK INC.,UNITED STATES
