Company,Facebook,Twitter,Instagram,Pinterest
Nutrien,13.875 persone seguono questa Pagina,6.617,"2,932 follower",0 follower
Investor AB,-,13,20 follower,-
KIA,-,15.849,62.1K follower,-
Saint-Gobain,386.291 persone seguono questa Pagina,23.774,27.1K follower,473 follower
Novo Nordisk,722.006 persone seguono questa Pagina,43.785,84.4K follower,-
Posco,-,-,30.8K follower,30 follower
Diageo,-,46.457,"4,969 follower",-
Royal Ahold Delhaize N.V.,-,3.007,"2,082 follower",-
PICC,-,-,"7,966 follower",-
Dominion Energy,-,64.955,10.7K follower,-
Kroger,1.673.484 persone seguono questa Pagina,165.587,182K follower,"82,7mila follower"
Baoshan Iron & Steel,-,-,-,-
Kweichow Moutai,2.169.673 persone seguono questa Pagina,385.779,67K follower,-
Xiaomi,670.284 persone seguono questa Pagina,"4,3 Mln",307K follower,-
Bank of Ningbo,-,-,-,-
Ecopetrol,437.589 persone seguono questa Pagina,252.113,43.6K follower,4 follower
LyondellBasell Industries,-,11.423,"1,977 follower",-
Contemporary Amperex Technology,-,2.632,-,-
UniCredit,-,41.407,"7,370 follower",-
AmerisourceBergen,11.003 persone seguono questa Pagina,5.831,"2,978 follower",-
EssilorLuxottica,-,532,"7,295 follower",-
Inditex,-,237,"5,464 follower",550 follower
Starbucks,35.136.241 persone seguono questa Pagina,"11,1 Mln",17.9M follower,-
Nucor,10.456 persone seguono questa Pagina,3.301,"4,669 follower",-
IntercontinentalExchange,-,57.343,26.2K follower,-
TJX Cos,14.908 persone seguono questa Pagina,1.515,"7,368 follower","121,6mila follower"
KBC Group,-,5.781,264 follower,-
Tesco,-,660.678,523K follower,"122,8mila follower"
BOE Technology Group,-,140,"8,939 follower",-
Blackstone,32.470 persone seguono questa Pagina,124.939,58.5K follower,-
American Electric,41.924 persone seguono questa Pagina,17.745,88 follower,-
Macquarie Group,18.543 persone seguono questa Pagina,14.707,"7,041 follower",-
Marubeni,-,-,-,-
Swiss Re,-,38.695,"6,058 follower",-
EOG Resources,-,347,-,-
CNP Assurances,-,11.401,"1,469 follower",-
Automatic Data Processing,-,48.959,-,45 follower
Phillips 66,25.569 persone seguono questa Pagina,10.465,"7,835 follower",-
Tyson Foods,293.529 persone seguono questa Pagina,58.808,14.4K follower,"2,7mila follower"
Repsol,205.352 persone seguono questa Pagina,463.679,59.2K follower,-
Sumitomo,-,1.403,591 follower,-
Holcim,108.619 persone seguono questa Pagina,42.937,21.1K follower,-
Altria Group,-,9.897,-,-
Applied Materials,12.008 persone seguono questa Pagina,12.692,"2,178 follower",-
Daimler Truck Holding,17.576 persone seguono questa Pagina,75.160,342K follower,-
Zijin Mining Group,-,-,10.2K follower,-
The Saudi National Bank,461.034 persone seguono questa Pagina,14,315K follower,-
Richemont,-,-,294 follower,154 follower
Kering,58.405 persone seguono questa Pagina,33.574,169K follower,-
Saudi Electricity,-,922,-,-
Danone,1.396.066 persone seguono questa Pagina,62.998,365 follower,86 follower
Nippon Steel,-,528,-,-
LG Chem,184.437 persone seguono questa Pagina,3.356,101 follower,-
Discover Financial Services,1.611.333 persone seguono questa Pagina,104.450,58.2K follower,-
Couche Tard,184.779 persone seguono questa Pagina,2.522,16.9K follower,-
Huaxia Bank,-,43,-,-
NN Group,644.593 persone seguono questa Pagina,1.515,64.7K follower,-
Fannie Mae,110.232 persone seguono questa Pagina,61.742,15.6K follower,519 follower
Fresenius,-,15.626,"7,731 follower","2,2mila follower"
Marsh & McLennan,-,-,-,-
Ameriprise Financial,134.052 persone seguono questa Pagina,6.995,"2,281 follower",-
Becton Dickinson,34.873 persone seguono questa Pagina,13.558,-,-
Panasonic,95.775 persone seguono questa Pagina,145.080,35.5K follower,25 follower
MS&AD Insurance,-,-,-,-
Orix,-,391.098,"5,311 follower",-
Citic Securities,-,48,-,-
First Abu Dhabi Bank,2.672.573 persone seguono questa Pagina,132.423,40.8K follower,11 follower
BCE,-,719.669,47.7K follower,-
Schlumberger,-,-,72.9K follower,-
Texas Instruments,267.558 persone seguono questa Pagina,92.895,29.4K follower,"6,8mila follower"
Bank Rakyat Indonesia (BRI),888.054 persone seguono questa Pagina,220.504,939K follower,-
Standard Chartered,503.909 persone seguono questa Pagina,97.229,62.2K follower,-
CRH,11.092 persone seguono questa Pagina,1.760,"1,840 follower",-
Bank of Beijing,-,-,-,-
Paramount,11.666.991 persone seguono questa Pagina,"3,5 Mln",576K follower,"32,9mila follower"
Bank Of Jiangsu,-,-,-,-
DuPont de Nemours,-,67.520,-,-
Gree Electric Appliances,193.449 persone seguono questa Pagina,24.430,"1,145 follower",-
Indian Oil,1.279.097 persone seguono questa Pagina,381.231,121K follower,-
Dollar General,3.300.736 persone seguono questa Pagina,88.658,256K follower,"33,8mila follower"
Kraft Heinz Company,-,21.776,"7,213 follower",11 follower
Wilmar International,-,11,154 follower,4 follower
Freddie Mac,-,79.087,"9,245 follower",-
Hewlett Packard Enterprise,310.314 persone seguono questa Pagina,79.792,48.3K follower,-
Japan Tobacco,-,6.956,-,-
Poste Italiane,-,85.786,52.5K follower,"1,3mila follower"
United Overseas Bank,2.339.583 persone seguono questa Pagina,29,30.8K follower,-
China Unicom,76.817 persone seguono questa Pagina,6.379,-,-
Valero Energy,45.495 persone seguono questa Pagina,9.268,"6,166 follower",210 follower
CSX,169.554 persone seguono questa Pagina,47.644,"9,469 follower",-
Danske Bank,104.909 persone seguono questa Pagina,8.118,"6,188 follower",-
Fortescue Metals Group,-,20.811,494 follower,-
China Railway Construction,253.566 persone seguono questa Pagina,71.465,"2,625 follower",-
Moderna,28.638 persone seguono questa Pagina,149.754,"7,797 follower",-
Woolworths,1.218.563 persone seguono questa Pagina,38.754,239K follower,"43,9mila follower"
Anhui Conch Cement,-,-,-,-
Adobe,1.479.840 persone seguono questa Pagina,837.356,1.4M follower,202mila follower
Hartford Financial Services,145.482 persone seguono questa Pagina,39.645,"8,307 follower",471 follower
State Street,-,54.189,-,-
Al Rajhi Bank,664.264 persone seguono questa Pagina,32.599,430K follower,-
Power Construction Corporation of China,-,1.635,"2,469 follower",-
Shin-Etsu Chemical,-,76,-,-
Fiserv,24.950 persone seguono questa Pagina,24.109,"8,190 follower",-
Regeneron Pharmaceuticals,18.790 persone seguono questa Pagina,31.979,"9,510 follower",-
ENEOS Holdings,-,-,"3,713 follower",-
Tata Consultancy Services,783.087 persone seguono questa Pagina,547.526,255K follower,76 follower
Sompo,-,1.850,9 follower,-
OMV Group,20.717 persone seguono questa Pagina,8.087,12.3K follower,-
Swiss Life Holding,508 persone seguono questa Pagina,1.998,"7,890 follower",-
Bank Of Shanghai,-,-,-,-
American Tower,-,664,-,-
Pioneer Natural Resources,7365 persone seguono questa Pagina,1.686,"1,867 follower",-
Sun Hung Kai Properties,-,-,13K follower,-
Wanhua Chemical Group,-,-,-,-
Sampo,-,2.237,"1,038 follower",-
China Merchants Shekou Industrial Zone Holdings,-,-,-,-
Haier Smart Home,14.244 persone seguono questa Pagina,4.642,33 follower,-
Eaton,101.111 persone seguono questa Pagina,34.699,108 follower,316 follower
SK,-,300.711,360K follower,-
Johnson Controls International,-,29.639,18.7K follower,-
JBS,1.460.481 persone seguono questa Pagina,53.452,49.7K follower,-
Saudi Telecom,-,"4,4 Mln",-,-
Jardine Matheson,-,77,-,-
Canadian National Railway,87.146 persone seguono questa Pagina,20.618,10.9K follower,-
Stryker,23.964 persone seguono questa Pagina,903,17.5K follower,-
Nokia,12.757.344 persone seguono questa Pagina,"2,1 Mln",968K follower,-
Mitsubishi Electric,1.069.062 persone seguono questa Pagina,4.768,44 follower,-
Nissan Motor,22.018.035 persone seguono questa Pagina,215.403,6.6M follower,14 follower
Tata Steel,295.721 persone seguono questa Pagina,113.655,60.9K follower,-
Heineken,-,172.234,"4,067 follower",-
BAE Systems,84.555 persone seguono questa Pagina,108.541,29K follower,-
Etisalat,2.548.780 persone seguono questa Pagina,0,382K follower,-
BT Group,-,50.352,"2,015 follower",-
CTBC Financial,-,17,435 follower,-
Novatek,-,-,255 follower,-
Greenland Holdings Group,-,265,"2,509 follower",-
RWE Group,-,22.683,311 follower,-
Daikin Industries,108.908 persone seguono questa Pagina,-,-,-
Aegon,11.033 persone seguono questa Pagina,14.550,"3,106 follower",-
Baidu,61.351 persone seguono questa Pagina,105.546,641 follower,2 follower
Ericsson,1.773.565 persone seguono questa Pagina,273.220,51.3K follower,-
Canon,285.599 persone seguono questa Pagina,17.184,125K follower,-
Lennar,1.282.132 persone seguono questa Pagina,244.073,156K follower,"57,7mila follower"
Bank of Nanjing,-,-,-,-
Philips,-,3.054,24.2K follower,"11,8mila follower"
Keurig Dr Pepper,12.936.627 persone seguono questa Pagina,408,22 follower,-
China Yangtze Power,-,-,-,-
DNB Bank,431.279 persone seguono questa Pagina,6.817,25.1K follower,-
Emerson Electric,-,20.423,291 follower,-
Imperial Brands,-,7.119,579 follower,-
Boeing,1.556.548 persone seguono questa Pagina,655.776,1.6M follower,-
General Mills,109.607 persone seguono questa Pagina,104.828,75.1K follower,"5,7mila follower"
Axis Bank,3.649.613 persone seguono questa Pagina,428.290,216K follower,8 follower
National Bank of Canada,76.149 persone seguono questa Pagina,9.166,"9,560 follower",-
The Estée Lauder Companies,92.013 persone seguono questa Pagina,-,277K follower,"69,1mila follower"
CNH Industrial,121.362 persone seguono questa Pagina,12.364,169 follower,-
Fairfax Financial,-,933,328 follower,-
Adidas,41.104.718 persone seguono questa Pagina,"4,2 Mln",26.6M follower,686mila follower
Michelin Group,5.800.363 persone seguono questa Pagina,71.262,311 follower,"1,3mila follower"
Norfolk Southern,-,45.063,47.1K follower,663 follower
Principal Financial Group,70.033 persone seguono questa Pagina,16.242,"3,591 follower",-
