"Industry","Founded","Revenue","Name","Location"
"IT, Internet, Software & Services","1982","$16.1B","Adobe","San Jose, California"
"Insurance","1810","$22.4B","Hartford Financial Services","Hartford, Connecticut"
"Diversified Financials","1792","$11.5B","State Street","Boston, Massachusetts"
"Banking","1957","$6.7B","Al Rajhi Bank","Riyadh, Saudi Arabia"
"Construction","2009","$70.3B","Power Construction Corporation of China","Beijing, China"
"Chemicals","1926","$17.2B","Shin-Etsu Chemical","Tokyo, Japan"
"Business Services & Supplies","1984","$16.2B","Fiserv","Brookfield, Wisconsin"
"Drugs & Biotechnology","1988","$16.1B","Regeneron Pharmaceuticals","Tarrytown, New York"
"Oil & Gas Operations","2010","$90.3B","ENEOS Holdings","Tokyo, Japan"
"IT Software & Services","1968","$25.7B","Tata Consultancy Services","Mumbai, India"
"Insurance","2010","$35.7B","Sompo","Tokyo, Japan"
"Oil & Gas Operations","1956","$42B","OMV Group","Vienna, Austria"
"Insurance","1857","$23.5B","Swiss Life Holding","Zürich, Switzerland"
"Banking","1995","$15.9B","Bank Of Shanghai","Shanghai, China"
"Telecommunications Services, Cable Supplier","1995","$9.4B","American Tower","Boston, Massachusetts"
"Oil & Gas Operations","1997","$17.9B","Pioneer Natural Resources","Irving, Texas"
"Construction","1963","$10.3B","Sun Hung Kai Properties","Hong Kong, Hong Kong"
"Chemicals","1998","$22.4B","Wanhua Chemical Group","Yantai, China"
"Insurance","1909","$15.9B","Sampo","Helsinki, Finland"
"Construction","","$23.4B","China Merchants Shekou Industrial Zone Holdings","Shenzhen, China"
"Consumer Durables","1984","$35.2B","Haier Smart Home","Shangdong, China"
"Capital Goods","1911","$19.6B","Eaton","Dublin, Ireland"
"Oil & Gas Operations","1962","$85.9B","SK","Seoul, South Korea"
"Business Services & Supplies","1885","$24.2B","Johnson Controls International","Cork, Ireland"
"Food, Drink & Tobacco","1953","$65B","JBS","Vila Jaguara, Brazil"
"Telecommunications Services","1998","$16.9B","Saudi Telecom","Riyadh, Saudi Arabia"
"Conglomerates","1832","$35.9B","Jardine Matheson","Hamilton, Bermuda"
"Transportation","1832","$11.5B","Canadian National Railway","Montreal, Canada"
"Health Care Equipment & Services","1941","$17.1B","Stryker","Kalamazoo, Michigan"
"Telecommunications Services, Cable Supplier","1865","$26.2B","Nokia","Espoo, Finland"
"Capital Goods","1921","$40.3B","Mitsubishi Electric","Tokyo, Japan"
"Consumer Durables","1933","$79.2B","Nissan Motor","Yokohama, Japan"
"Materials","1907","$31.1B","Tata Steel","Mumbai, India"
"Food, Drink & Tobacco","1864","$25.9B","Heineken","Amsterdam, Netherlands"
"Aerospace & Defense","1999","$26.8B","BAE Systems","Farnborough, United Kingdom"
"Telecommunications Services","2004","$14.5B","Etisalat","Abu Dhabi, United Arab Emirates"
"Telecommunications Services, Cable Supplier","1980","$28.8B","BT Group","London, United Kingdom"
"Banking","1966","$14.9B","CTBC Financial","Taipei, Taiwan"
"Oil & Gas Operations","1994","$15.4B","Novatek","Moscow, Russia"
"Construction","","$84.5B","Greenland Holdings Group","Shanghai, China"
"Utilities","1898","$29B","RWE Group","Essen, Germany"
"Engineering, Manufacturing","1924","$26.9B","Daikin Industries","Osaka, Japan"
"Insurance","1844","$26.3B","Aegon","The Hague, Netherlands"
"IT Software & Services","2000","$19.3B","Baidu","Beijing, China"
"Technology Hardware & Equipment","1876","$27B","Ericsson","Stockholm, Sweden"
"Business Services & Supplies","1937","$32B","Canon","Tokyo, Japan"
"Construction","1954","$28.4B","Lennar","Miami, Florida"
"Banking","1996","$12.2B","Bank of Nanjing","Nanjing, China"
"Health Care Equipment & Services","1891","$20.3B","Philips","Amsterdam, Netherlands"
"Food, Drink & Tobacco","2018","$12.7B","Keurig Dr Pepper","Plano, Texas"
"Utilities","2002","$8.5B","China Yangtze Power","Beijing, China"
"Banking","2003","$7.8B","DNB Bank","Oslo, Norway"
"Capital Goods","1890","$18.5B","Emerson Electric","St. Louis, Missouri"
"Food, Drink & Tobacco","1901","$22.7B","Imperial Brands","Bristol, United Kingdom"
"Aerospace & Defense","1916","$62.3B","Boeing","Arlington, Virginia"
"Food, Soft Beverages, Alcohol & Tobacco","1866","$18.6B","General Mills","Minneapolis, Minnesota"
"Banking","1993","$11.4B","Axis Bank","Mumbai, India"
"Banking and Financial Services","1979","$9B","National Bank of Canada","Montreal, Canada"
"Media & Advertising","1946","$17.8B","The Estée Lauder Companies","New York, New York"
"Capital Goods","1996","$33.4B","CNH Industrial","London, United Kingdom"
"Insurance","1951","$23.6B","Fairfax Financial","Toronto, Canada"
"Clothing, Shoes, Sports Equipment","1949","$25.1B","Adidas","Herzogenaurach, Germany"
"Automotive (Automotive and Suppliers)","1889","$28.1B","Michelin Group","Clermont-Ferrand, France"
"Transportation","1883","$11.1B","Norfolk Southern","Atlanta, Georgia"
"Banking and Financial Services","1879","$14.3B","Principal Financial Group","Des Moines, Iowa"
"Oil & Gas Operations","1998","$13.1B","Sempra","San Diego, California"
"Utilities","1998","$132.9B","Fortum","Espoo, Finland"
"Materials","1942","$14.8B","Grupo Mexico","Mexico City, Mexico"
"Construction","1978","$28.9B","D.R. Horton","Arlington, Texas"
"Aerospace & Defense","2019","$17.8B","L3Harris Technologies","Melbourne, Florida"
"Media","1915","$7B","Naspers","Cape Town, South Africa"
"Banking","1862","$15.9B","Standard Bank Group","Johannesburg, South Africa"
"Oil & Gas Operations","1951","$10.5B","TC Energy","Calgary, Canada"
"Materials","1993","$17.8B","Norilsk Nickel","Moscow, Russia"
"Oil & Gas Operations","1843","$26.2B","Naturgy Energy Group","Barcelona, Spain"
"Household & Personal Products","1876","$23.7B","Henkel","Düsseldorf, Germany"
"Semiconductors","1997","$17.7B","MediaTek","Hsinchu, Taiwan"
"Business Services & Supplies","1960","$24.8B","Recruit Holdings","Tokyo, Japan"
"Capital Goods","1999","$30.2B","Hengli Petrochemical","Dalian, China"
"Utilities","1909","$13.4B","Xcel Energy","Minneapolis, Minnesota"
"Chemicals","2019","$15.7B","Corteva","Wilmington, Delaware"
"Business Services & Supplies","2003","$11.4B","Synchrony Financial","Stamford, Connecticut"
"Trading Companies","1948","$69.5B","Toyota Tsusho","Nagoya, Japan"
"Consumer Durables","1926","$23.3B","Toyota Industries","Kariya, Japan"
"Drugs & Biotechnology","1999","$38.7B","AstraZeneca","Cambridge, United Kingdom"
"Construction","2003","$38.5B","Sunac China Holdings","Tianjin, China"
"Construction","2006","$70.4B","China Evergrande Group","Shenzhen, China"
"Consumer Durables","1931","$29.5B","Bridgestone","Tokyo, Japan"
"Banking","1963","$8.6B","Emirates NBD","Dubai, United Arab Emirates"
"Construction","1947","$38.9B","Daiwa House Industry","Osaka, Japan"
"Retailing","1998","$147.6B","JD.com","Beijing, China"
"Construction, Oil & Gas Operations, Mining and Chemicals","1997","$16.6B","Kinder Morgan","Houston, Texas"
"Construction","2005","$42.6B","China National Building","Beijing, China"
"Diversified Financials","1966","$10.2B","FirstRand","Johannesburg, South Africa"
"Retail and Wholesale","1959","$87.8B","Carrefour","Massy, France"
"Technology Hardware & Equipment","1935","$32.8B","Fujitsu","Tokyo, Japan"
"Banking","1972","$7.6B","SEB AB","Stockholm, Sweden"
"Oil & Gas Operations","1990","$19.3B","Surgutneftegas","Surgut, Russia"
"Insurance","1996","$34.4B","New China Life Insurance","Beijing, China"
"Materials","1983","$11.9B","Barrick Gold","Toronto, Canada"
"Transportation","1976","$29B","DSV Panalpina","Hedehusene, Denmark"
"Insurance","1990","$51.7B","Talanx","Hannover, Germany"
"Telecommunications Services, Cable Supplier","1984","$53.6B","Vodafone","Berkshire, United Kingdom"
"Consumer Durables","1889","$15.2B","Nintendo","Kyoto, Japan"
"Banking","2005","$13.7B","Hana Financial Group","Seoul, South Korea"
"Capital Goods","1977","$36.4B","Hyundai Mobis","Seoul, South Korea"
"Utilities","1975","$17B","NTPC","New Delhi, India"
"Banking and Financial Services","1960","$9.2B","Maybank","Kuala Lumpur, Malaysia"
"Diversified Financials","1898","$4.7B","CME Group","Chicago, Illinois"
"Utilities","2005","$12.4B","TAQA","Abu Dhabi, United Arab Emirates"
"Food, Soft Beverages, Alcohol & Tobacco","1975","$11.6B","Pernod Ricard","Paris, France"
"Banking","1824","$9.5B","Bank Mandiri","Jakarta, Indonesia"
"Food, Drink & Tobacco","1890","$27.4B","Femsa","Monterrey , Mexico"
"Automotive (Automotive and Suppliers)","1972","$23.5B","Paccar","Bellevue, Washington"
"Utilities","1823","$13.7B","Consolidated Edison","New York, New York"
"Construction","1941","$18.3B","Mitsui Fudosan","Tokyo, Japan"
"Transportation","","$17.5B","Evergreen Marine Corp. (Taiwan)","Taipei, Taiwan"
"Capital Goods","1921","$24.5B","Komatsu","Tokyo, Japan"
"Materials","2008","$22.3B","Shaanxi Coal Industry","Xi'an, China"
"Technology Hardware & Equipment","1984","$70.6B","Lenovo Group","Quarry Bay, Hong Kong"
"Retailing","1963","$19.3B","Fast Retailing","Yamaguchi, Japan"
"Diversified Financials","1802","$9.3B","London Stock Exchange","London, United Kingdom"
"Construction","1998","$6.6B","Vonovia","Bochum, Germany"
"Insurance","2000","$45.1B","Aviva","London, United Kingdom"
"Construction, Oil & Gas Operations, Mining and Chemicals","1866","$19.9B","Sherwin-Williams","Cleveland, Ohio"
"Consumer Durables","1934","$22.6B","Fujifilm Holdings","Tokyo, Japan"
"IT Software & Services","1983","$11.4B","Intuit","Mountain View, California"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1980","$16.7B","Lam Research","Fremont, California"
"Banking and Financial Services","2008","$11.4B","Erste Group Bank","Vienna, Austria"
"Insurance","1968","$19.2B","Lincoln National","Radnor, Pennsylvania"
"Capital Goods","1915","$20.6B","Carrier Global","Palm Beach Gardens, Florida"
"Media","1980","$17.9B","DISH Network","Englewood, Colorado"
"Materials","2006","$35.9B","China Coal Energy","Beijing, China"
"Automotive (Automotive and Suppliers)","1871","$39.9B","Continental","Hanover, Germany"
"Banking","1990","$21.3B","VTB Bank","Moscow, Russia"
"Technology Hardware & Equipment","1944","$16.3B","Murata Manufacturing","Nagaokakyo, Japan"
"Construction","1938","$20.5B","Larsen & Toubro","Mumbai, India"
"Banking and Financial Services","1919","$10.8B","Ally Financial","Detroit, Michigan"
"IT Software & Services","1997","$13.6B","NetEase","Hangzhou, China"
"Banking","1955","$6.1B","Bank Central Asia","Jakarta, Indonesia"
"Consumer Durables","2010","$32.9B","Volvo Car","Gothenburg, Sweden"
"Insurance","1809","$14.6B","Intact Financial","Toronto, Canada"
"Oil & Gas Operations","1972","$11B","Orsted","Fredericia, Denmark"
"Engineering, Manufacturing","1919","$24B","Cummins","Columbus, Ohio"
"Oil & Gas Operations","1908","$10.6B","Williams","Tulsa, Oklahoma"
"IT Software & Services","1967","$21.5B","Capgemini","Paris, France"
"Real Estate","1993","$4.8B","Prologis","Denver, Colorado"
"Aerospace & Defense","1949","$19.1B","Thales","Paris, France"
"Construction","1952","$44.4B","Bouygues","Paris, France"
"Banking","1899","$10.6B","Banorte","San Pedro Garza García, Mexico"
"Construction","2015","$8.3B","CK Asset Holdings","Hong Kong, Hong Kong"
"Telecommunications Services","1988","$50.3B","Orange","Paris, France"
"Transportation","1890","$35.9B","Kuehne & Nagel International","Schindellegi, Switzerland"
"Food, Drink & Tobacco","1818","$59.2B","Bunge","St. Louis, Missouri"
"Insurance","1957","$25.4B","Samsung Life Insurance","Seoul, South Korea"
"IT Software & Services","1998","$12.9B","VMware","Palo Alto, California"
"Food Markets","1939","$71.9B","Albertsons","Boise, Idaho"
"Capital Goods","2007","$34.8B","CRRC","Beijing, China"
"Construction","1906","$27.7B","CBRE Group","Dallas, Texas"
"Conglomerate","1875","$30.1B","Toshiba","Tokyo, Japan"
"Trading Companies","1963","$30.1B","Samsung C&T","Seoul, South Korea"
"IT Software & Services","1981","$16.3B","Infosys","Bangalore, India"
"Banking and Financial Services","1848","$26.5B","Prudential","Hong Kong, London, United Kingdom"
"Materials","1997","$16.9B","Yankuang Energy Group","Zoucheng, China"
"Transportation","1881","$6.4B","Canadian Pacific Railway","Calgary, Canada"
"Insurance","1954","$14.7B","Loews","New York, New York"
"Semiconductors","1963","$17.1B","Tokyo Electron","Tokyo, Japan"
"Consumer Durables","1958","$66.1B","LG Electronics","Seoul, South Korea"
"Drugs & Biotechnology","1916","$10.6B","CSL","Parkville, Australia"
"Consumer Durables","1957","$36.2B","Magna International","Aurora, Canada"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1965","$8.4B","Analog Devices","Wilmington, Massachusetts"
"Capital Goods","1890","$20B","Kubota","Osaka, Japan"
"Chemicals","1940","$10.9B","Air Products & Chemicals","Allentown, Pennsylvania"
"Materials","1921","$12.2B","Newmont Mining","Denver, Colorado"
"Technology Hardware & Equipment","2007","$15.2B","TE Connectivity","Schaffhausen, Switzerland"
"Insurance","1982","$12.2B","Aon","Dublin, Ireland"
"Business Services & Supplies","1990","$13.4B","TELUS","Vancouver, Canada"
"Retailing","1986","$26.3B","Dollar Tree","Chesapeake, Virginia"
"Banking","1958","$7.4B","KeyCorp","Cleveland, Ohio"
"Insurance","1828","$9.6B","WTW","London, United Kingdom"
"Banking","1993","$16B","China Zheshang Bank","Hangzhou, China"
"Food Markets","1914","$25.4B","Wesfarmers","Perth, Australia"
"Consumer Durables","1909","$32.6B","Suzuki Motor","Hamamatsu, Japan"
"Retail and Wholesale","1966","$51.8B","Best Buy","Richfield, Minnesota"
"Banking","1983","$6.1B","SVB Financial Group","Santa Clara, California"
"Semiconductors","1969","$16.4B","Advanced Micro Devices","Santa Clara, California"
"Banking and Financial Services","1930","$12.8B","Markel","Glen Allen, Virginia"
"Food, Drink & Tobacco","2000","$11.3B","Muyuan Foodstuff","Nanyang, China"
"Packaged Goods","1872","$19.8B","Kimberly-Clark","Irving, Texas"
"Banking","1991","$6.7B","Swedbank","Sundbyberg, Sweden"
"IT Software & Services","1994","$18.5B","Cognizant","Teaneck, New Jersey"
"Engineering, Manufacturing","1851","$14.1B","Corning","Corning, New York"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1999","$13.7B","Infineon Technologies","Neubiberg, Germany"
"Banking","1828","$6.9B","Citizens Financial Group","Providence, Rhode Island"
"Oil & Gas Operations","1971","$13.7B","Devon Energy","Oklahoma City, Oklahoma"
"Food, Drink & Tobacco","1949","$20.4B","Asahi Group Holdings","Tokyo, Japan"
"Materials","1994","$17.1B","JSW Steel","Mumbai, India"
"Telecommunications Services, Cable Supplier","1968","$19.7B","Lumen Technologies","Monroe, Louisiana"
"Banking and Financial Services","1971","$6.6B","Regions Financial","Birmingham, Alabama"
"Banking and Financial Services","1871","$6.3B","Svenska Handelsbanken","Stockholm, Sweden"
"Diversified Financials","1962","$10.4B","Raymond James Financial","Saint Petersburg, Florida"
"Consumer Durables","1995","$32.8B","BYD","Shenzhen, China"
"Capital Goods","1912","$14.5B","Illinois Tool Works","Glenview, Illinois"
"Retailing","","$14.6B","Pinduoduo","Shanghai, China"
"Consumer Durables","2008","$8.8B","Activision Blizzard","Santa Monica, California"
"Media","2005","$10.5B","Liberty Global","London, United Kingdom"
"Household & Personal Products","1806","$17.4B","Colgate-Palmolive","New York, New York"
"Utilities","1989","$10.3B","SSE","Perth, United Kingdom"
"Chemicals","1958","$14.7B","Nan Ya Plastics","Kaohsiung City, Taiwan"
"Telecommunications Services","1853","$11.3B","Vivendi","Paris, France"
"Health Care Equipment & Services","1931","$12.8B","Baxter International","Deerfield, Illinois"
"Insurance","1992","$25B","Fosun International","Shanghai, China"
"Capital Goods","2002","$31.4B","Weichai Power","Weifang, China"
"Insurance","1847","$15.6B","Fidelity National Financial","Jacksonville, Florida"
"Capital Goods","1918","$15.3B","Parker-Hannifin","Cleveland, Ohio"
"Materials","1976","$16.4B","Vedanta Limited","Mumbai, India"
"Diversified Financials","2001","$11.5B","Woori Financial Group","Seoul, South Korea"
"Food Markets","1969","$60.7B","Sysco","Houston, Texas"
"Telecommunications Services","1975","$15.8B","Telstra","Melbourne, Australia"
"Banking","1856","$30.1B","Credit Suisse Group","Zurich, Switzerland"
"Telecommunications Services","1960","$11.8B","Rogers Communications","Toronto, Canada"
"Banking","1856","$5.9B","M&T Bank","Buffalo, New York"
"Health Care Equipment & Services","1979","$11.9B","Boston Scientific","Marlborough, Massachusetts"
"Utilities","1886","$14.9B","Edison International","Rosemead, California"
"Transportation","1929","$23.4B","Financiere de l'Odet","Paris, France"
"Banking","2002","$10.7B","Sumitomo Mitsui Trust","Tokyo, Japan"
"Utilities","1913","$11.7B","Entergy","New Orleans, Louisiana"
"Telecommunications Services","1998","$12.2B","Swisscom","Worblaufen, Switzerland"
"Utilities","1997","$38B","EnBW-Energie Baden","Karlsruhe, Germany"
"Technology Hardware & Equipment","2001","$13B","Hikvision","Hangzhou, China"
"Transportation","1885","$19.5B","Nippon Yusen","Tokyo, Japan"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1843","$16.8B","Stanley Black & Decker","New Britain, Connecticut"
"Oil & Gas Operations","1906","$17.3B","Oneok","Tulsa, Oklahoma"
"Travel & Leisure","1927","$13.9B","Marriott International","Bethesda, Maryland"
"Media","2022","$12.2B","Warner Bros. Discovery","New York, New York"
"Business Services & Supplies","1993","$32.1B","S.F. Holding","Shenzhen, China"
"Transportation and Logistics","1924","$35.1B","Delta Air Lines","Atlanta, Georgia"
"Oil & Gas Operations","1928","$43.2B","Bharat Petroleum","Mumbai, India"
"Oil & Gas Operations","1919","$16.1B","Halliburton","Houston, Texas"
"Construction","2008","$77.3B","Metallurgical Corp of China","Beijing, China"
"Banking","1889","$6.6B","Northern Trust","Chicago, Illinois"
"Construction","1874","$22.1B","HeidelbergCement","Heidelberg, Germany"
"Materials","1971","$16.8B","China Steel","Kaohsiung City, Taiwan"
"Utilities","1996","$9.9B","Eversource Energy","Hartford, Connecticut"
"Capital Goods","1994","$17.6B","Sany Heavy Industry","Beijing, China"
"Retail and Wholesale","1837","$10.6B","Hermès International","Paris, France"
"Materials","1898","$21.8B","International Paper","Memphis, Tennessee"
"Oil & Gas Operations","1963","$38.8B","Koç Holding","Istanbul, Turkey"
"Capital Goods","1973","$17.1B","Nidec","Kyoto, Japan"
"IT Software & Services","2010","$27.8B","Meituan","Beijing, China"
"Diversified Financials","1985","$7.9B","Kotak Mahindra Bank","Mumbai, India"
"Materials","1906","$10.8B","Teck Resources","Vancouver, Canada"
"Transportation and Logistics","1967","$15.8B","Southwest Airlines","Dallas, Texas"
"Diversified Financials","1990","$5.3B","Deutsche Boerse","Eschborn, Germany"
"Health Care Equipment & Services","1978","$16.1B","Labcorp","Burlington, North Carolina"
"Telecommunications Services","2014","$13.4B","China Tower Corp.","Beijing, China"
"Oil & Gas Operations","2006","$11.3B","Inpex","Tokyo, Japan"
"Food, Soft Beverages, Alcohol & Tobacco","2016","$16.2B","Coca-Cola European Partners","Uxbridge, United Kingdom"
"Food, Drink & Tobacco","1998","$8.5B","Wuliangye Yibin","Yibin, China"
"Construction","2004","$21.8B","Shimao Property Holdings","Hong Kong, Hong Kong"
"Oil & Gas Operations","1911","$54.5B","Idemitsu Kosan","Tokyo, Japan"
"Oil & Gas Operations","1992","$22.2B","Formosa Petrochemical","Taipei, Taiwan"
"Diversified Financials","1994","$6.6B","Crown Castle International","Houston, Texas"
"Utilities","1997","$11.4B","FirstEnergy","Akron, Ohio"
"Household & Personal Products","1995","$27.2B","Rongsheng Petrochemical","Hangzhou, China"
"Materials","1958","$24.3B","Hindalco Industries","Mumbai, India"
"Banking","1996","$8.7B","Bank Of Hangzhou","Hangzhou, China"
"Consumer Durables","1898","$54.6B","Renault","Boulogne-Billancourt, France"
"Food, Drink & Tobacco","1998","$7.7B","International Holding Company","Abu Dhabi, United Arab Emirates"
"Insurance","1950","$9.6B","Cincinnati Financial","Fairfield, Ohio"
"Construction","1937","$12.1B","Mitsubishi Estate","Tokyo, Japan"
"Construction, Oil & Gas Operations, Mining and Chemicals","1847","$22.4B","Cleveland-Cliffs","Cleveland, Ohio"
"Construction","1997","$32.9B","Grupo ACS","Madrid, Spain"
"Utilities","2014","$12.5B","CGN Power","Shenzhen, China"
"Semiconductors","1984","$21.3B","ASE Technology Holding","Kaohsiung City, Taiwan"
"Materials","2002","$36.5B","JFE Holdings","Tokyo, Japan"
"Utilities","1996","$15.5B","DTE Energy","Detroit, Michigan"
"Materials","1994","$17.8B","China Hongqiao Group","Binzhou, China"
"Semiconductors","2006","$11.1B","NXP Semiconductors","Eindhoven, Netherlands"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1970","$18.9B","Western Digital","San José, California"
"Business Services & Supplies","1996","$11B","Booking Holdings","Norwalk, Connecticut"
"Food Markets","1926","$78.2B","Aeon","Chiba, Japan"
"Banking","1985","$5.5B","First Republic Bank","San Francisco, California"
"IT Software & Services","2005","$9.7B","Lufax Holding","Shanghai, China"
"Engineering, Manufacturing","1873","$12.9B","Atlas Copco","Nacka, Sweden"
"IT, Internet, Software & Services","2006","$13.9B","Fidelity National Information (FIS)","Jacksonville, Florida"
"Chemicals","2005","$34.6B","Mitsubishi Chemical","Tokyo, Japan"
"Utilities","1976","$17.9B","Edp-energias De Portugal","Lisbon, Portugal"
"Technology Hardware & Equipment","1959","$16.2B","Kyocera","Kyoto, Japan"
"Trading Companies","1998","$109.6B","Xiamen C&D","Xiamen, China"
"Retailing","1979","$15.6B","AutoZone","Memphis, Tennessee"
"Insurance","1931","$40.9B","China Taiping Insurance","Hong Kong, Hong Kong"
"Oil & Gas Operations","1881","$37B","Cenovus Energy","Calgary, Canada"
"Oil & Gas Operations","1948","$17.9B","Neste","Espoo, Finland"
"Consumer Durables","1930","$151M","Porsche Automobil Holding","Stuttgart, Germany"
"Clothing, Shoes, Sports Equipment","1947","$23.8B","H&M - Hennes & Mauritz","Stockholm, Sweden"
"Business Services & Supplies","1903","$10B","RELX","London, United Kingdom"
"Utilities","1995","$20.6B","PG&E","San Francisco, California"
"Business Services & Supplies","1998","$11.3B","Republic Services","Phoenix, Arizona"
"Retailing","1982","$18.9B","Ross Stores","Dublin, California"
"Utilities","1981","$8.3B","WEC Energy Group","Milwaukee, Wisconsin"
"Retail and Wholesale","1971","$171.3B","Cardinal Health","Dublin, Delaware"
"Retailing","1993","$31.9B","CarMax","Richmond, Virginia"
"Banking","2001","$12.8B","China Development Financial","Taipei, Taiwan"
"Banking","1983","$3.2B","Riyad Bank","Riyadh, Saudi Arabia"
"Media & Advertising","2008","$6.3B","Thomson Reuters","Eagan, Minnesota"
"Oil & Gas Operations","1993","$14.1B","Transneft","Moscow, Russia"
"Trading Companies","1887","$22.7B","Ferguson","Wokingham, United Kingdom"
"Drugs & Biotechnology","1982","$13.9B","IQVIA","Durham, North Carolina"
"Diversified Financials","2000","$2.7B","Hong Kong Exchanges","Hong Kong, Hong Kong"
"Construction, Oil & Gas Operations, Mining and Chemicals","1883","$17.2B","PPG","Pittsburgh, Pennsylvania"
"Technology Hardware & Equipment","1984","$76B","Legend Holding","Beijing, China"
"Business Services & Supplies","1923","$12.7B","Ecolab","Saint Paul, Minnesota"
"Drugs & Biotechnology","2003","$80.8B","Sinopharm Group","Shanghai, China"
"Technology Hardware & Equipment","2004","$23.9B","Luxshare Precision Industry","Dongguan, China"
"Construction","1996","$26.4B","Seazen Group","Shanghai, China"
"Business Services & Supplies","2000","$8.5B","Global Payments","Atlanta, Georgia"
"Construction","2014","$49.8B","China Energy Engineering","Beijing, China"
"Aerospace & Defense","1984","$17.9B","Safran","Paris, France"
"Business Services & Supplies","1888","$8.3B","S&P Global","New York, New York"
"Banking","1866","$6.4B","Huntington Bank","Columbus, Ohio"
"Insurance","1995","$8.9B","Arch Capital Group","Pembroke, Bermuda"
"Diversified Financials","","$8.8B","Jackson Financial","Lansing, Michigan"
"Banking","1902","$5.8B","Bank Leumi","Tel Aviv, Israel"
"Conglomerates","1885","$14.1B","Trane Technologies","Dublin, Ireland"
"Utilities","1853","$33.7B","Veolia Environnement","Paris, France"
"Retailing","1957","$13.3B","O'Reilly Automotive","Springfield, Missouri"
"Drugs & Biotechnology","1978","$10.4B","Biogen","Cambridge, Massachusetts"
"Media","1926","$13.9B","Publicis Groupe","Paris, France"
"Trading Companies","1952","$46.1B","Hanwha","Seoul, South Korea"
"Construction, Oil & Gas Operations, Mining and Chemicals","2004","$12.4B","The Mosaic Company","Tampa, Florida"
"Telecommunications Services","1995","$15B","Bharti Airtel","New Delhi, India"
"Transportation","2004","$11.8B","Daqin Railway","Datong, China"
"IT Software & Services","2009","$17.5B","Uber","San Francisco, California"
"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","1987","$12.8B","STMicroelectronics","Geneva, Switzerland"
"Construction","1988","$14.3B","Gemdale","Shenzhen, China"
"Insurance","1824","$14.4B","Ageas","Brussels, Belgium"
"Technology Hardware & Equipment","1988","$40.4B","Quanta Computer","Taoyuan, Taiwan"
"Food Markets","1882","$43.4B","George Weston","Toronto, Canada"
"Diversified Financials","1900","$10.2B","Weyerhaeuser","Federal Way, Washington"
"Utilities","1915","$52.9B","Korea Electric Power","Naju, South Korea"
"Media","2015","$13.6B","Fox","New York, New York"
"Capital Goods","1934","$34.1B","Mitsubishi Heavy Industries","Tokyo, Japan"
"Engineering, Manufacturing","1993","$20.4B","Steel Dynamics","Fort Wayne, Indiana"
"Technology Hardware & Equipment","1972","$6.4B","Keyence","Osaka, Japan"
"Semiconductors","2000","$11.8B","Longi Green Energy Technology","Xi'an, China"
"Household & Personal Products","1823","$18.2B","Reckitt Benckiser Group","Slough, United Kingdom"
"Materials","1973","$14B","Coal India","Kolkata, India"
"Consumer Durables","1949","$35.4B","Aisin Seiki","Kariya, Japan"
"Diversified Financials","2004","$4.8B","Digital Realty Trust","Austin, Texas"
"Consumer Durables","1945","$39B","Tata Motors","Mumbai, India"
"Banking","2001","$7.5B","Resona Holdings","Tokyo, Japan"
"Diversified Financials","1993","$5.1B","Simon Property Group","Indianapolis, Indiana"
"Banking","1961","$9.4B","Industrial Bank of Korea","Seoul, South Korea"
"Utilities","1901","$10.8B","CLP Holdings","Hong Kong, Hong Kong"
"Banking","1952","$3.8B","National Bank of Kuwait","Kuwait City, Kuwait"
"Telecommunications Services","1879","$11.8B","SingTel","Singapore, Singapore"
"IT Software & Services","2012","$7.8B","Coinbase","San Francisco, California"
"Utilities","1882","$8.4B","CenterPoint Energy","Houston, Texas"
"Materials","1997","$7.1B","Saudi Arabian Mining","Riyadh, Saudi Arabia"
"Diversified Financials","1999","$10.3B","China Cinda Asset Management","Beijing, China"
"Chemicals","1931","$21.8B","Asahi Kasei","Tokyo, Japan"
"Technology Hardware & Equipment","1899","$27.7B","NEC","Tokyo, Japan"
"Transportation","1968","$29B","United Airlines Holdings","Chicago, Illinois"
"Hotels, Restaurants & Leisure","1986","$9.7B","MGM Resorts","Las Vegas, Nevada"
"Materials","1902","$10.9B","DSM","Heerlen, Netherlands"
"Telecommunications Services","1965","$10B","Telkom Indonesia","Jakarta, Indonesia"
"Oil & Gas Operations","1999","$34.1B","PKN Orlen","P?ock, Poland"
"Diversified Financials","1999","$6.7B","Guotai Junan Securities","Wanchai, China"
"Materials","1905","$16.9B","Norsk Hydro","Oslo, Norway"
"Chemicals","1954","$9.8B","Formosa Plastics","Kaohsiung City, Taiwan"
"Utilities","1989","$26.9B","NRG Energy","Houston, Texas"
"Banking","1966","$4.5B","Public Bank","Kuala Lumpur, Malaysia"
"Technology Hardware & Equipment","1981","$25.3B","TCL","Huizhou, China"
"Diversified Financials","1990","$6B","Huatai Securities","Nanjing, China"
