"Industry","Founded","Revenue","Name","Location"
"Drugs & Biotechnology","1891","$50.4B","Merck & Co.","Kenilworth, New Jersey"
"Drugs & Biotechnology","2004","$144.3B","Elevance Health","Indianapolis, Indiana"
"Banking","1832","$30.4B","Bank of Nova Scotia","Toronto, Canada"
"Insurance","1919","$52.1B","American International Group","New York, New York"
"Materials","1974","$203.4B","Glencore International","Baar, Switzerland"
"IT, Internet, Software & Services","1984","$51.5B","Cisco Systems","San Jose, California"
"Food, Soft Beverages, Alcohol & Tobacco","2008","$54.3B","Anheuser-Busch InBev","Leuven, Belgium"
"Media & Advertising","1923","$73B","Walt Disney","Burbank, California"
"Insurance","1985","$41B","Chubb","Zurich, Switzerland"
"Trading Companies","1979","$91.2B","CITIC","Hong Kong, Hong Kong"
"Banking","2009","$58.5B","Lloyds Banking Group","London, United Kingdom"
"IT, Internet, Software & Services","1911","$67.3B","IBM","Armonk, New York"
"Drugs & Biotechnology","2004","$44.6B","Sanofi","Paris, France"
"Transportation and Logistics","1907","$97.2B","United Parcel Service","Atlanta, Georgia"
"Food, Drink & Tobacco","1902","$35.3B","British American Tobacco","London, United Kingdom"
"Banking","1862","$35.2B","UBS","Zurich, Switzerland"
"Automotive (Automotive and Suppliers)","1959","$130.2B","Honda Motor","Tokyo, Japan"
"Trading Companies","1870","$146.9B","Mitsubishi","Tokyo, Japan"
"Construction","1982","$205.8B","China State Construction Engineering","Beijing, China"
"Banking","1955","$54.4B","State Bank of India","Mumbai, India"
"Banking","1911","$21.9B","Commonwealth Bank","Sydney, Australia"
"Banking","1992","$54.8B","Shanghai Pudong Development","Shanghai, China"
"Aerospace & Defense","1922","$64.4B","Raytheon Technologies","Waltham, Massachusetts"
"Utilities","1962","$99.4B","Enel","Rome, Italy"
"Oil & Gas Operations","1953","$90.5B","Eni","Rome, Italy"
"Banking and Financial Services","1994","$32.1B","Capital One","McLean, Virginia"
"Drugs & Biotechnology","1933","$46.4B","Bristol Myers Squibb","New York, New York"
"Food, Soft Beverages, Alcohol & Tobacco","1892","$38.7B","Coca-Cola","Atlanta, Georgia"
"IT, Internet, Software & Services","1977","$41.8B","Oracle","Redwood Shores, California"
"Banking","1841","$57.4B","Sberbank","Moscow, Russia"
