"Rank","Company","Revenues 2018 $m","Employees","Family ownership","Founded","Public/Private","Generation","Family executive","Woman in leadership","Sector","Headquarters","State (abbreviation)","Website"
"445","Witron Logistik + Informatik GmbH","626.8","3,500","Winkler","1971","Private","1","No","No","Industrial Manufacturing","Parkstein","BY","www.witron.de"
"446","Hama Hamaphot Hanke & Thomas GmbH & Co.","626.4","2,330","Hanke, Thomas","1923","Private","4","Yes","No","Consumer Products","Monheim","BY","www.hama.de"
"447","F. Volckmar GmbH & Co. KG","625.7","1,900","Thurmann, Voerster","1829","Private","6","Yes","No","Retail","Stuttgart","BW","www.knv.de"
"448","Brillux GmbH & Co. KG","625.5","2,500","König","1889","Private","4","Yes","No","Industrial Manufacturing","Münster","NW","www.brillux.de"
"449","Bahlsen GmbH & Co. KG","624.1","2,880","Bahlsen","1889","Private","4","Yes","Yes","Foods and Beverages","Hannover","NI","www.thebahlsenfamily.com"
"450","Nolte GmbH & Co.KGaA","623.1","2,082","Nolte","1921","Private","4","No","No","Consumer Products","Germersheim","RP","www.nolte.de"
"451","Fuchs Group","622.7","3,000","Fuchs","1952","Private","2","Yes","No","Foods and Beverages","Di en","NI","www.fuchsgruppe.com"
"452","Kötter GmbH & Co. KG Verwaltungsdienstleistungen","619.9","18,500","Kötter","1934","Private","3","Yes","Yes","Profe ional Services","E en","NW","www.koetter.de"
"453","Kraiburg Holding GmbH & Co. KG","616.2","2,200","Schmidt, Westhoff","1947","Private","3","Yes","Yes","Industrial Manufacturing","Waldkraiburg","BY","www.kraiburg.de"
"454","Joh. Berenberg, Go ler & Co. KG","614.2","1,640","Berenberg","1590","Private","13","No","No","Financial Services","Hamburg","HH","www.berenberg.de"
"455","Stern-Wywiol Gruppe GmbH & Co. KG","613.4","1,500","Wywiol","1980","Private","2","Yes","No","Foods and Beverages","Hamburg","HH","www.stern-wywiol-gruppe.de"
"456","Josef Marschall GmbH","612.9","29","Geiger","1982","Private","3","No","No","Foods and Beverages","Schwaig bei Nürnberg","BY","www.marschall-schwaig.de"
