"Rank","Company","Revenues 2018 $m","Employees","Family ownership","Founded","Public/Private","Generation","Family executive","Woman in leadership","Sector","Headquarters","State (abbreviation)","Website"
"70","SEW-Eurodrive","3,663.8","17,500","Blickle","1931","Private","3","Yes","No","Industrial Manufacturing","Bruchsal","BW","www.sew-eurodrive.de"
"71","FTI Group","3,643.5","10,000","Gunz","1983","Private","1","Yes","No","Profe ional Services","München","BY","www.fti.de"
"72","Axel Springer SE","3,562.7","16,282","Springer, Döpfner","1946","Public","4","Yes","No","Media and Entertainment","Berlin","BE","www.axelspringer.de"
"73","Sixt SE","3,407.9","7,540","Sixt","1912","Public","4","Yes","No","Transportation and Logistics","Pullach","BY","www.sixt.de"
"74","SMS Group","3,220.1","13,872","Wei ","1871","Private","4","Yes","Yes","Industrial Manufacturing","Dü eldorf","NW","www.sms-group.com"
"75","Aunde Group SE","3,205.9","24,500","Bolten and Königs","1899","Private","4","Yes","Yes","Automotive","Mönchengladbach","NW","www.aunde.com"
"76","Zech Group GmbH","3,205.9","10,700","Zech","1909","Private","3","Yes","No","Industrial Manufacturing","Bremen","HB","www.zech-group.com"
"77","Goldbeck GmbH","3,165.0","5,500","Goldbeck","1969","Private","2","Yes","No","Industrial Manufacturing","Bielefeld","NW","www.goldbeck.de"
"78","Otto Fuchs KG","3,134.5","9,359","Fuchs","1910","Private","4","No","No","Industrial Manufacturing","Meinerzhagen","NW","www.otto-fuchs.com"
"79","Vorwerk & Co. KG","3,127.9","13,000","Mittelsten-Scheid","1883","Private","5","No","No","Consumer Products","Wuppertal","NW","www.vorwerk.de"
"80","August Storck KG","3,091.4","6,050","Oberwelland","1903","Private","4","Yes","No","Foods and Beverages","Berlin","BE","www.storck.com"
"81","Hubert Burda Media Holding KG","3,058.8","12,135","Burda","1903","Private","4","Yes","No","Media and Entertainment","München","BY","www.burda.com"
"82","Dräger Group","3,027.1","14,603","Dräger","1889","Public","5","Yes","No","Healthcare","Lübeck","SH","www.draeger.de"
"83","Peter Cremer Holding GmbH & Co. KG","2,976.9","2,000","Cremer","1946","Private","2","Yes","No","Industrial Manufacturing","Hamburg","HH","www.cremer.de"
"84","PHW Group","2,954.0","6,979","Wesjohann","1932","Private","3","Yes","Yes","Foods and Beverages","Visbek","NI","www.phw-gruppe.de"
"85","Leopold Kostal GmbH & Co. KG","2,935.7","17,946","Kostal","1912","Private","4","Yes","No","Technology","Lüdenscheid","NW","www.kostal.com"
"86","Hellmann Worldwide Logistics GmbH & Co. KG","2,918.4","13,034","Hellmann","1871","Private","4","Yes","No","Transportation and Logistics","Osnabrück","NI","www.hellmann.net"
"87","Fuchs Petrolub SE","2,876.8","5,456","Fuchs","1931","Public","3","Yes","Yes","Industrial Manufacturing","Mannheim","BW","www.fuchs-oil.de"
"88","Alfred Kärcher SE & Co. KG","2,862.8","12,300","Kärcher","1935","Private","2","No","No","Industrial Manufacturing","Winnenden","BW","www.kaercher.de"
"89","Vaillant Group","2,782.6","12,070","Vaillant","1874","Private","5","No","No","Industrial Manufacturing","Remscheid","NW","www.vaillant-group.com"
"90","Bauer Media Group","2,776.1","11,500","Bauer","1875","Private","5","Yes","Yes","Media and Entertainment","Hamburg","HH","www.bauermedia.com"
"91","Aton GmbH","2,758.7","18,678","Helmig","1969","Private","2","No","No","Financial Services","München","BY","www.aton.de"
"92","Neumann Group","2,700.0","2,000","Neumann","1934","Private","4","Yes","No","Foods and Beverages","Hamburg","HH","www.nkg.net"
"93","Friedhelm Loh Stiftung & Co. KG","2,667.0","11,500","Loh","1961","Private","2","Yes","No","Industrial Manufacturing","Haiger","HE","www.friedhelm-loh-gruppe.de"
"94","AVAG Holding SE","2,640.4","5,200","Still","1915","Private","4","Yes","No","Retail","Augsburg","BY","www.avag.eu"
"95","Skion GmbH (aka Altana, …)","2,585.9","6,323","Klatten","1873","Private","5","No","No","Industrial Manufacturing","Wesel","NW","www.altana.com"
"96","Muhr und Bender KG","2,565.5","13,000","Muhr","1916","Private","3","Yes","No","Automotive","Attendorn","NW","www.mubea.com"
"97","Phoenix Contact GmbH & Co. KG","2,554.4","16,500","Eisert","1923","Private","3","No","No","Industrial Manufacturing","Blomberg","NW","www.phoenixcontact.de"
"98","EBM-Papst Group","2,538.3","15,000","Sturm, Philippiak, Ziehl","1963","Private","2","No","No","Profe ional Services","Mulfingen","BW","www.ebmpapst.com"
"99","Cronimet Holding GmbH","2,527.1","1,578","Pillarsky","1980","Private","2","Yes","Yes","Industrial Manufacturing","Karlsruhe","BW","www.cronimet.de"
"100","EW Group GmbH","2,526.0","10,373","Wesjohann","1932","Private","3","Yes","No","Pharmaceuticals and Life Sciences","Visbek","NI","www.ew-group.de"
"101","KSB SE & Co. KGaA","2,525.2","15,713","Kühborth","1871","Public","5","No","No","Industrial Manufacturing","Frankenthal","RP","www.ksb.com"
"102","Vie mann Werke GmbH & Co. KG","2,520.9","12,100","Vie mann","1917","Private","4","Yes","No","Industrial Manufacturing","Allendorf","HE","www.vie mann.com"
"103","Giesecke & Devrient GmbH","2,517.1","11,389","von Mitschke-Collande","1852","Private","6","No","No","Profe ional Services","München","BY","www.gi-de.com"
"104","Bernard Krone Holding GmbH & Co. KG","2,495.0","4,558","Krone","1906","Private","4","Yes","No","Industrial Manufacturing","Spelle","NI","www.krone.de"
"105","Schmitz Cargobull AG","2,491.2","6,400","Schmitz, Hoffmann","1892","Private","7","Yes","No","Industrial Manufacturing","Horstmar","NW","www.cargobull.com"
"106","Haribo Holding GmbH & Co. KG","2,461.6","7,000","Riegel","1920","Private","3","Yes","No","Foods and Beverages","Grafschaft","RP","www.haribo.com"
"107","Röchling SE & Co. KG","2,450.8","10,929","Röchling","1822","Private","6","No","No","Industrial Manufacturing","Mannheim","BW","www.roechling.com"
"108","Hartmann Group","2,427.5","10,616","Schleicher, Hartmann","1818","Public","7","No","No","Healthcare","Heidenheim","BW","www.hartmann.info"
"109","Allegro Invest SE (aka Fre napf, …)","2,403.3","12,300","Toeller","1990","Private","1","No","No","Financial Services","Krefeld","NW","www.fre napf.com"
"110","Aveco Holding AG (aka Wisag Facility Service Holding GmbH)","2,339.1","49,703","Wi er","1965","Private","2","Yes","No","Profe ional Services","Frankfurt am Main","HE","www.aveco.de"
"111","Rohde & Schwarz GmbH & Co. KG","2,335.7","11,500","Rohde, Schwarz","1933","Private","3","Yes","No","Technology","München","BY","www.rohde-schwarz.de"
"112","Georgsmarienhütte Holding GmbH","2,324.8","6,830","Gro mann","1856","Private","1","No","No","Industrial Manufacturing","Georgsmarienhütte","NI","www.gmh.de"
"113","Hager SE","2,296.0","11,500","Hager","1955","Private","3","Yes","No","Industrial Manufacturing","Blieskastel","SL","www.hagergroup.com"
"114","Nagel Logistik-Holding GmbH & Co. KG","2,289.9","12,600","Nagel","1935","Private","3","Yes","Yes","Transportation and Logistics","Versmold","NW","www.nagel-group.com"
"115","Diersch & Schröder GmbH & Co. KG","2,273.7","400","Karstedt","1920","Private","4","No","No","Industrial Manufacturing","Bremen","HB","www.ds-bremen.de"
"116","Krüger GmbH & Co. KG","2,267.0","4,800","Krüger, Pfeifer and Langen","1971","Private","2","Yes","No","Foods and Beverages","Bergisch Gladbach","NW","www.krueger.de"
"117","JM Holding GmbH & Co. KGaA (aka Jakob Muller Gmbh & Co. KG, Renolit, ...)","2,262.7","7,500","Müller","1946","Private","3","No","No","Industrial Manufacturing","Worms","RP","www.renolit.com"
"118","Du mann Stiftung & Co. KG Auf Aktien","2,243.9","64,500","Du mann","1963","Private","2","No","Yes","Profe ional Services","Berlin","BE","www.du mann.com"
"119","New Yorker SE","2,228.2","10,761","Knapp","1971","Private","2","Yes","No","Retail","Braunschweig","NI","www.newyorker.de"
"120","Alltours Flugreisen GmbH","2,118.8","3,700","Verhuven","1974","Private","1","Yes","Yes","Profe ional Services","Dü eldorf","NW","www.alltours.de"
"121","Alba Plc & Co. KGaA","2,118.2","7,800","Schweitzer","1968","Private","2","Yes","Yes","Profe ional Services","Berlin","BE","www.alba.info"
"122","Meyer Neptun Group","2,042.7","3,713","Meyer","1795","Private","7","Yes","No","Industrial Manufacturing","Papenburg","NI","www.meyerwerft.de"
"123","Westfalen AG","2,017.6","1,600","Fritsch-Albert","1923","Private","4","Yes","Yes","Energy and Utilities","Münster","NW","westfalen.com"
"124","Wacker Neuson SE","1,984.3","5,370","Wacker, Neunteufel","1848","Public","6","No","No","Industrial Manufacturing","München","BY","www.wackerneusongroup.com"
"125","Kaefer Isoliertechnik GmbH & Co. KG","1,980.9","27,000","Koch","1918","Private","3","No","No","Industrial Manufacturing","Bremen","HB","www.kaefer.com"
"126","Schütz-Werke GmbH & Co. KG","1,979.7","4,473","Schütz","1958","Private","2","Yes","No","Industrial Manufacturing","Selters","RP","www.schuetz.net"
"127","Krau -Maffei Wegmann GmbH & Co. KG","1,978.4","4,985","Bode, Braunbehrens, vonMaydell, Sethe","1930","Private","4","Yes","No","Industrial Manufacturing","München","BY","www.kmweg.de"
"128","Gottfried Schultz GmbH & Co. KG","1,977.3","1,954","Rademacher","1924","Private","3","No","No","Retail","Ratingen","NW","www.gottfried-schultz.de"
"129","Max Bögl Stiftung & Co. KG","1,951.6","6,500","Bögl","1929","Private","3","Yes","No","Industrial Manufacturing","Sengenthal","BY","www.max-boegl.de"
"130","Elringklinger AG","1,950.5","10,429","Lechler","1879","Public","4","Yes","No","Automotive","Dettingen an der Erms","BW","www.elringklinger.de"
"131","Haubrich Zentrale GmbH & Co. KG (aka ElectronicPartner)","1,940.7","3,200","Haubrich","1937","Private","3","Yes","No","Financial Services","Dü eldorf","NW","www.electronicpartner.com"
"132","Karl Storz SE & Co. KG","1,937.7","6,716","Storz","1945","Private","2","Yes","Yes","Healthcare","Tuttlingen","BW","www.karlstorz.de"
"133","J. Bünting Beteiligungs AG","1,891.5","14,275","Klopp","1806","Private","5","No","No","Consumer Products","Leer","NI","www.buenting.de"
"134","Fielmann AG","1,889.2","19,379","Fielmann","1972","Public","2","Yes","No","Retail","Hamburg","HH","www.fielmann.de"
"135","Sick AG","1,874.1","9,737","Sick, Glaser","1946","Private","3","No","No","Technology","Waldkirch","BW","www.sick.de"
"136","Te ner Holding KG","1,854.8","8,000","Te ner","1969","Private","2","Yes","Yes","Retail","Goslar","NI","www.te ner.de"
"137","Sartorius AG","1,834.4","8,500","Sartorius-Herbst, Franken, Baro, Sartorius","1870","Public","5","No","No","Healthcare","Göttingen","NI","www.sartorius.de"
"138","Palm Papier GmbH & Co. KG","1,831.9","4,000","Palm","1872","Private","4","Yes","No","Financial Services","Aalen","BW","www.palm.info"
"139","Kromberg & Schubert GmbH","1,827.8","42,567","Kromberg","1902","Private","3","Yes","No","Automotive","Renningen","BW","www.kromberg-schubert.com"
"140","Ströer SE & Co. KGaA","1,823.7","12,514","Ströer, Müller","1990","Public","1","Yes","No","Media and Entertainment","Köln","NW","www.stroeer.de"
"141","Melitta Unternehmensgruppe Bentz KG","1,819.1","4,550","Bentz","1908","Private","4","Yes","No","Consumer Products","Minden","NW","www.melitta-group.com"
"142","Bauer AG","1,817.2","11,797","Bauer, Teschemacher","1790","Public","7","Yes","No","Industrial Manufacturing","Schrobenhausen","BY","www.bauer.de"
"143","Döhler Group SE","1,813.3","6,000","Gemmer, Klein","1838","Private","4","Yes","No","Foods and Beverages","Darmstadt","HE","www.doehler.com"
"144","Fritz Schäfer GmbH & Co KG, Einrichtung ysteme","1,807.8","9,195","Schäfer","1937","Private","4","Yes","No","Profe ional Services","Neunkirchen","NW","www. i-schaefer.com"
"145","Kirchhoff Automotive Holding GmbH & Co. KG","1,806.3","8,584","Kichhoff","1785","Private","4","Yes","Yes","Financial Services","Iserlohn","NW","www.kirchhoff-gruppe.de"
"146","Peri-Werk Artur Schwörer GmbH & Co. KG","1,790.9","9,500","Schwörer","1969","Private","2","Yes","No","Industrial Manufacturing","Weißenhorn","BY","www.peri.de"
"147","Bpw Bergische Achsen KG","1,754.5","7,196","Kotz","1898","Private","5","Yes","No","Automotive","Wiehl","NW","www.bpw.de"
"148","Lür en Maritime Beteiligungen GmbH & Co. KG","1,729.5","2,676","Lürßen","1875","Private","4","Yes","No","Industrial Manufacturing","Bremen","HB","www.luer en.de"
"149","Grob-Werke Burkhart Grob E.K.","1,717.4","6,600","Grob","1926","Private","4","No","No","Industrial Manufacturing","Mindelheim","BY","www.grobgroup.com"
"150","Hochland Holding GmbH & Co. KG","1,705.0","4,521","Wagner-Summer, Reich","1927","Private","4","Yes","No","Foods and Beverages","Heimenkirch","BY","www.hochland.de"
"151","Zollner Elektronik AG","1,665.6","11,000","Zollner","1965","Private","2","Yes","No","Technology","Zandt","BY","www.zollner.de"
"152","Dohle Handelsgruppe Holding GmbH & Co. KG","1,664.6","6,100","Dohle","1972","Private","3","Yes","No","Consumer Products","Siegburg","NW","www.dohle.com"
"153","Heristo Holding GmbH","1,647.8","2,894","Risken","1913","Private","3","Yes","No","Foods and Beverages","Bad Rothenfelde","NI","www.heristo.de"
"154","Friedrich Boysen Holding GmbH","1,634.1","1,667","Boysen","1945","Private","2","No","No","Automotive","Altensteig","BW","www.boysen-online.de"
"155","Wilo SE","1,596.7","7,802","Opländer","1872","Private","5","No","No","Industrial Manufacturing","Dortmund","NW","www.wilo.com"
"156","Peek & Cloppenburg KG","1,596.1","12,300","Cloppenburg","1901","Private","5","Yes","Yes","Retail","Dü eldorf","NW","www.peek-cloppenburg.de"
"157","Krieger Group","1,594.1","6,041","Krieger","1874","Private","4","Yes","Yes","Retail","Schönefeld","BB","www.hoeffner.de"
"158","Deutsche Vermögensberatung Holding GmbH","1,587.3","3,400","Pohl","1975","Private","2","Yes","Yes","Financial Services","Marburg","HE","dvag.de"
"159","Fiege Logistik Holding Stiftung & Co. KG","1,585.6","12,952","Fiege","1873","Private","5","Yes","No","Transportation and Logistics","Greven","NW","www.fiege.com"
"160","S.Oliver Bernd Freier GmbH & Co. KG","1,582.1","7,120","Freier","1969","Private","2","Yes","Yes","Consumer Products","Rottendorf","BY","www.soliver.com"
"161","Schauinsland-Reisen GmbH","1,581.4","430","Ka ner","1918","Private","3","Yes","No","Profe ional Services","Duisburg","NW","www.schauinsland-reisen.de"
"162","Senger Group GmbH","1,575.5","2,700","Senger","1953","Private","4","Yes","Yes","Retail","Rheine","NW","www.auto-senger.de"
"163","Grünenthal Pharma GmbH & Co. KG","1,573.0","5,471","Wirtz","1946","Private","2","No","No","Pharmaceuticals and Life Sciences","Aachen","NW","www.grunenthal.com"
"164","Verlagsgruppe Georg von Holtzbrinck GmbH","1,568.9","4,816","Schoeller, von Holtzbrinck","1931","Private","2","Yes","No","Media and Entertainment","Stuttgart","BW","www.holtzbrinck.com"
"165","Häfele GmbH & Co. KG","1,567.7","7,600","Häfele, Thierer","1923","Private","3","Yes","Yes","Industrial Manufacturing","Nagold","BW","www.haefele.de"
"166","Leonhard Wei  GmbH & Co. KG","1,559.1","5,107","Wei , Schmidt-Wei ","1900","Private","4","Yes","No","Industrial Manufacturing","Satteldorf","BW","www.leonhard-wei .de"
"167","Trimet SE","1,555.7","1,619","Schlüter","1985","Private","2","No","No","Industrial Manufacturing","E en","NW","www.trimet.eu"
"168","C. Thywi en GmbH","1,551.8","120","Thywi en, Baum","1839","Private","6","Yes","No","Foods and Beverages","Neu ","NW","www.c-thywi en.de"
"169","Me er Industrie GmbH","1,549.8","5,805","Me er","1897","Private","3","Yes","No","Industrial Manufacturing","Bad Soden","HE","www.me ergroup.com"
"170","Bitburger Holding GmbH","1,533.2","4,346","Simon, Niewodniczanski","1817","Private","7","Yes","No","Foods and Beverages","Bitburg","RP","www.bitburger-holding.de"
"171","BMV Mineralöl Versorgungsgesellschaft mbH","1,529.8","130","Schönherr, El Obeid","1986","Private","2","Yes","Yes","Energy and Utilities","Berlin","BE","www.bmv-mineraloel.de"
"172","Delton AG","1,523.2","5,383","Quandt","1989","Private","4","No","No","Transportation and Logistics","Bad Homburg vor der Höhe","HE","www.delton.de"
"173","Sto SE & Co. KGaA","1,493.3","5,333","Stotmeister","1955","Public","4","No","No","Industrial Manufacturing","Stühlingen","BW","www.sto.de"
"174","Otto Krahn (GmbH & Co.) KG","1,492.1","1,381","Krahn","1909","Private","3","Yes","Yes","Industrial Manufacturing","Hamburg","HH","www.krahn.eu; albis.com"
"175","Richter + Frenzel GmbH + Co. KG","1,488.4","3,600","Stahl","1895","Private","4","No","No","Industrial Manufacturing","Würzburg","BY","www.richter-frenzel.de"
"176","Marquardt GmbH","1,488.4","11,226","Marquardt","1925","Private","3","Yes","No","Industrial Manufacturing","Rietheim-Weilheim","BW","www.marquardt.de"
"177","Stulz GmbH","1,483.4","7,182","Stulz","1947","Private","2","Yes","No","Industrial Manufacturing","Hamburg","HH","www.stulz.de"
"178","Röhlig Logistics GmbH & Co. KG","1,481.3","2,200","Herwig, Belz","1852","Private","6","Yes","Yes","Transportation and Logistics","Bremen","HB","www.rohlig.com"
"179","DAW SE","1,476.5","5,688","Murjahn","1895","Private","5","Yes","No","Industrial Manufacturing","Ober-Ramstadt","HE","www.daw.de"
"180","Herrenknecht Group","1,470.8","5,426","Herrenknecht","1977","Private","2","Yes","No","Industrial Manufacturing","Schwanau","BW","www.herrenknecht.de"
"181","Rosenberger GmbH & Co. KG","1,462.6","11,000","Rosenberger","1958","Private","2","Yes","No","Financial Services","Fridolfing","BY","www.rosenberger.de"
"182","Bofrost Stiftung","1,450.7","11,019","Boquoi","1966","Private","2","No","No","Foods and Beverages","Straelen","NW","www.bofrost.de"
"183","Auktion & Markt AG","1,443.8","281","Muth","1988","Private","1","Yes","No","Retail","Wiesbaden","HE","www.auktion-markt.de"
"184","Depenbrock Group","1,431.2","560","Depenbrock","1928","Private","4","Yes","No","Industrial Manufacturing","Stemwede","NW","www.depenbrock.de"
"185","Hoffmann Group","1,431.2","3,300","Bleicher, Januschke","1919","Private","4","No","No","Financial Services","München","BY","www.hoffmann-group.com"
"186","Papier - Mettler Inhaber Michael Mettler","1,431.2","3,900","Mettler","1957","Private","2","Yes","Yes","Industrial Manufacturing","Morbach","RP","www.papier-mettler.com"
"187","Dr. Johannes Heidenhain GmbH","1,429.3","7,915","Heidenhain","1889","Private","3","No","No","Technology","Traunreut","BY","www.heidenhain.de"
"188","Hoyer GmbH Internationale Fachspedition","1,418.5","6,032","Hoyer","1946","Private","3","No","No","Transportation and Logistics","Hamburg","HH","www.hoyer-group.com"
"189","Beiselen Holding GmbH","1,407.0","700","Schuler","1890","Private","4","Yes","No","Financial Services","Ulm","BW","www.beiselen.de"
"190","E.G.O. Blanc und Fischer & Co. GmbH","1,405.1","6,000","Blanc, Fischer","1925","Private","3","No","No","Technology","Oberderdingen","BW","www.blanc-fischer.com"
"191","Cts Eventim AG & Co. KGaA","1,400.7","2,945","Schulenberg","1989","Public","1","Yes","No","Media and Entertainment","Bremen","HB","www.eventim.de"
"192","Biesterfeld AG","1,397.4","800","Biesterfeld","1906","Private","4","Yes","Yes","Industrial Manufacturing","Hamburg","HH","www.biesterfeld.com"
"193","Borbet GmbH","1,383.1","4,800","Borbet","1881","Private","4","Yes","No","Automotive","Hallenberg-Hesborn","NW","www.borbet.de"
"194","Hirschvogel Holding GmbH","1,375.7","5,481","Hirschvogel, Britzger","1938","Private","3","No","No","Automotive","Denklingen","BY","www.hirschvogel.com"
"195","Südwest Beteiligungen GmbH","1,349.1","1,700","Seizinger, Weitzmann","1900","Private","3","Yes","Yes","Industrial Manufacturing","Eberbach","BW","www.sws-ag.com"
"196","Wernsing Food Family GmbH & Co. KG","1,349.1","3,550","Wernsing","1962","Private","2","Yes","No","Foods and Beverages","Addrup-E en","NI","www.wernsing.de"
"197","Gühring KG","1,321.8","8,000","Gühring","1898","Private","4","Yes","No","Industrial Manufacturing","Albstadt","BW","www.guehring.de"
"198","EHG Service GmbH","1,320.2","12,000","Ernsting","1968","Private","2","No","Yes","Retail","Coesfeld","NW","www.ernstings-family.de"
"199","Berner SE","1,300.1","8,500","Berner","1957","Private","2","Yes","Yes","Industrial Manufacturing","Künzelsau","BW","www.berner-group.com"
"200","Köster Group","1,295.0","1,663","Köster","1938","Private","2","No","No","Industrial Manufacturing","Osnabrück","NI","www.koester-bau.de"
"201","Otto Bock Holding GmbH & Co.KG","1,294.5","7,819","Näder","1919","Private","3","Yes","Yes","Industrial Manufacturing","Duderstadt","NI","www.ottobock.de"
"202","Katag AG","1,293.8","300","Terberger","1923","Private","3","Yes","Yes","Consumer Products","Bielefeld","NW","www.katag.net"
"203","Merz Holding GmbH & Co.KG","1,293.4","3,300","Baatz, Hückmann, Meyer, Nick","1908","Private","4","No","Yes","Pharmaceuticals and Life Sciences","Frankfurt am Main","HE","www.merz.com"
"204","Hansen & Rosenthal KG","1,272.9","1,634","Hansen","1919","Public","4","Yes","No","Industrial Manufacturing","Hamburg","HH","www.hur.com"
"205","Siegwerk GmbH & Co. KG","1,272.6","4,991","Keller","1830","Private","6","No","No","Industrial Manufacturing","Siegburg","NW","www.siegwerk.com"
"206","Schnellecke Group AG & Co. KG","1,268.1","16,112","Schnellecke","1939","Private","3","Yes","Yes","Transportation and Logistics","Wolfsburg","NI","www.schnellecke.com"
"207","Conrad Holding SE","1,265.6","2,314","Conrad","1923","Private","3","Yes","No","Retail","Hirschau","BY","www.conrad.de"
"208","Wellergruppe GmbH & Co. KG","1,261.0","2,353","Weller, Hellmann","1979","Private","1","Yes","No","Retail","Berlin","BE","www.wellergruppe.de"
"209","Porta Holding GmbH & Co. KG","1,260.5","7,175","Gärtner, Fahrenkamp","1965","Private","2","Yes","Yes","Retail","Porta Westfalica","NW","www.porta.de"
"210","Hörmann KG Verkaufsgesellschaft","1,259.4","6,000","Hörmann","1935","Private","4","Yes","No","Industrial Manufacturing","Steinhagen","NW","www.hoermann.de"
"211","Prettl Produktions Holding GmbH","1,248.0","12,800","Prettl","1953","Private","2","Yes","No","Automotive","Pfullingen","BW","www.prettl.com"
"212","Jakob Funke Medien Beteiligungs GmbH & Co. KG","1,247.0","7,009","Schubries, Holthoff-Pförtner, Becker, Marx, Wilcke","1948","Private","3","No","No","Media and Entertainment","E en","NW","www.funkemedien.de"
"213","Robert Klingel Ohg","1,231.0","2,928","Kohm","1920","Private","3","Yes","No","Financial Services","Pforzheim","BW","www.klingel.de"
"214","Veka AG","1,229.2","5,595","Hartleif, Laumann","1969","Private","2","Yes","Yes","Industrial Manufacturing","Sendenhorst","NW","www.veka.com"
"215","Multivac SEpp Haggenmüller SE & Co. KG","1,228.5","5,731","Haggenmüller, Vetter, Brenne","1961","Private","2","No","No","Industrial Manufacturing","Wolfertschwenden","BY","www.multivac.de"
"216","Serviceplan Gruppe für Innovative Kommunikation GmbH & Co. KG","1,226.5","1,917","Haller","1970","Private","2","Yes","No","Media and Entertainment","München","BY","www.serviceplan.com"
"217","KWS Saat SE","1,222.8","5,147","Büchting, Oetker, Giesecke","1856","Public","6","No","Yes","Foods and Beverages","Einbeck","NI","www.kws.de"
"218","Schoeller Holding SE & Co. KGaA","1,222.8","4,200","Schoeller","1880","Private","7","Yes","No","Industrial Manufacturing","Pullach","BY","www.schoeller.org"
"219","Viega Holding GmbH & Co. KG","1,220.8","4,000","Viegener","1899","Private","5","Yes","No","Industrial Manufacturing","Attendorn","NW","www.viega.de"
"220","Hettich Holding GmbH & Co. Ohg","1,212.5","6,700","Hettich","1888","Private","4","Yes","Yes","Industrial Manufacturing","Kirchlengern","NW","www.hettich.com"
"221","Huf Hülsbeck & Fürst GmbH & Co. KG","1,212.3","7,500","Hülsbeck","1908","Private","3","Yes","No","Automotive","Velbert","NW","www.huf-group.com"
"222","Lapp Holding AG","1,208.0","3,770","Lapp","1959","Private","2","Yes","No","Industrial Manufacturing","Stuttgart","BW","www.lappgroup.com"
"223","Rutronik Elektronische Bauelemente GmbH","1,205.4","1,700","Rudel","1973","Private","2","Yes","No","Technology","Ispringen","BW","www.rutronik.com"
"224","Alois Dallmayr KG","1,203.8","4,122","Wille, Randlkofer","1700","Private","5","Yes","No","Foods and Beverages","München","BY","www.dallmayr.de"
"225","Wortmann Schuh-Holding KG","1,203.8","1,154","Wortmann","1967","Private","2","Yes","No","Consumer Products","Detmold","NW","www.wortmann.com"
"226","Pfeifer & Langen Group","1,202.4","2,400","Pfeifer and Langen","1962","Private","5","No","No","Foods and Beverages","Köln","NW","www.pfeifer-langen.com"
"227","Engelbert Strau  GmbH & Co KG","1,202.2","1,300","Strau ","1948","Private","3","Yes","No","Profe ional Services","Biebergemünd","HE","www.engelbert-strau .de"
"228","Zott SE & Co. KG","1,180.8","2,983","Weber","1926","Private","3","Yes","Yes","Foods and Beverages","Mertingen","BY","www.zott.de"
"229","Dalli-Werke GmbH & Co. KG","1,166.0","1,897","Wirtz","1851","Private","5","Yes","No","Consumer Products","Stolberg","NW","www.dalli-group.com"
"230","Wepa Industrieholding SE","1,158.6","2,900","Krengel","1948","Private","2","Yes","No","Consumer Products","Arnsberg","NW","www.wepa.de"
"231","Dr. Willmar Schwabe GmbH & Co. KG","1,156.4","3,600","Schwabe","1866","Private","5","Yes","No","Pharmaceuticals and Life Sciences","Karlsruhe","BW","www.schwabe.de"
"232","Harry-Brot GmbH","1,154.6","5,500","Holthausen","1688","Private","1","Yes","No","Foods and Beverages","Schenefeld","SH","www.harry-brot.de"
"233","Franz-Josef Rothkotter GmbH & Co. KG","1,149.1","2,473","Rothkötter","1959","Private","2","Yes","No","Foods and Beverages","Meppen","NI","www.rothkoetter.de"
"234","Eckes AG","1,148.1","1,747","Eckes-Chantré","1857","Private","6","No","Yes","Foods and Beverages","Nieder-Olm","RP","www.eckes-granini.com"
"235","Max Aicher Group","1,148.0","4,000","Aicher","1924","Private","3","Yes","No","Industrial Manufacturing","Freila ing","BY","www.max-aicher.de"
"236","Wika Alexander Wiegand SE & Co. KG","1,145.0","10,000","Wiegand","1946","Private","4","Yes","No","Technology","Klingenberg","BY","www.wika.de"
"237","Nobilia Holding GmbH","1,144.6","2,914","Stickling","1945","Private","3","No","No","Consumer Products","Verl","NW","www.nobilia.de"
"238","Dennree GmbH","1,142.5","5,530","Greim","1974","Private","2","Yes","No","Consumer Products","Töpen","BY","www.dennree.de"
"239","Kaeser Kompre oren SE","1,139.2","6,000","Kaeser","1919","Private","3","Yes","Yes","Industrial Manufacturing","Coburg","BY","www.kaeser.de"
"240","Meggle AG","1,129.7","2,383","Meggle","1887","Private","3","No","No","Foods and Beverages","Wa erburg am Inn","BY","www.meggle-group.com"
"241","Getreide AG","1,098.1","376","Rothe","1882","Private","2","Yes","No","Consumer Products","Hamburg","SH","www.getreide-ag.de"
"242","Wolff & Müller Holding GmbH & Co. KG","1,090.6","2,000","Dürr","1936","Private","3","Yes","No","Industrial Manufacturing","Stuttgart","BW","www.wolff-mueller.de"
"243","Hall Tabakwaren E.K.","1,086.3","451","Hall, Reisen-Hall","1903","Private","3","Yes","No","Retail","Mönchengladbach","NW","www.halltabakwaren.de"
"244","Wago Holding GmbH","1,069.9","8,649","Hohorst","1951","Private","3","Yes","No","Technology","Minden","NW","www.wago.com"
"245","I. K. Hofmann GmbH","1,068.3","25,000","Hofmann","1985","Private","1","Yes","Yes","Profe ional Services","Nürnberg","BY","www.hofmann.info"
"246","Borgers Group","1,063.3","7,200","Borgers","1866","Private","5","Yes","No","Automotive","Bocholt","NW","www.borgers-group.com"
"247","BEUMER Group GmbH & Co. KG","1,062.2","4,500","Beumer","1935","Private","3","Yes","No","Industrial Manufacturing","Beckum","NW","www.beumer.com"
"248","Hellweg Die Profi-Baumärkte GmbH & Co. KG","1,059.4","4,600","Semer","1971","Private","2","Yes","Yes","Retail","Dortmund","NW","www.hellweg.de"
