categories,change_1_day,change_1_year,country,id,market_cap,name,rank,share_price
"['Video games', 'Entertainment']",3.92%,0.00%,China,c6b459d5edcc486cb6e4bb7768dbb860,$0.19 B,Baioo Family Interactive,6240,$0.07000
"['Banks', 'Financial services']",2.24%,30.34%,USA,b16e72dd83a44876b6b4703619f7d0af,$0.19 B,Limestone Bancorp,6239,$25.13
['Healthcare'],-1.27%,-39.73%,USA,c158be798d5542bb8cece85e0ca7d925,$0.19 B,Infusystem,6238,$9.30
"['Oil&Gas', 'Energy']",6.28%,-14.45%,USA,e8a90f7c2a5b4127970ebd257b7ed5ad,$0.19 B,Battalion Oil,6237,$11.84
['Pharmaceuticals'],7.51%,94.66%,USA,e0fe4f865a374324b7f6abafc48d4ff6,$0.19 B,Assertio Therapeutics,6236,$4.01
"['Pharmaceuticals', 'Biotech']",1.45%,10.38%,USA,193fab28c03141b0a5435e39a9eb0284,$0.19 B,Urogen Pharma,6235,$8.40
"['Pharmaceuticals', 'Biotech']",6.27%,,USA,a8b7d2a59a964313ac1f62e595b5f042,$0.19 B,An2 Therapeutics,6234,$10.00
"['Video games', 'Entertainment', 'Tech']",-4.67%,23.88%,Japan,ab7d5679af304a9892eb1b8407b640f7,$0.19 B,Gumi,6233,$6.64
"['Professional services', 'Construction']",0.00%,76.17%,USA,3edfff0a4a7b4c628c5b13879d8b24aa,$0.19 B,Hill International,6232,$3.40
"['Banks', 'Financial services']",1.33%,-0.92%,USA,bd78c7a6a65346a1997265003bd3c081,$0.19 B,Virginia National Bankshares,6231,$36.46
"['Oil&Gas', 'Energy']",0.19%,-34.95%,India,1e836b4207dc43e5bbcb51b4ab773755,$0.19 B,I.g. Petrochemicals,6230,$6.31
"['Used car retailer', 'Car retail', 'Retail']",0.13%,-60.00%,Finland,50eb38d09d6d4f4a907c33e18e737c39,$0.19 B,Kamux,6229,$4.86
['Pharmaceuticals'],-1.54%,-56.26%,USA,c629291a4cc345f9b749f3deefabaa0a,$0.19 B,Y-mabs Therapeutics,6228,$4.47
"['Uranium', 'Energy', 'Mining']",1.36%,,Australia,a389fcdba13b47d49cb44491ca7dda0b,$0.19 B,Bannerman Energy,6227,$1.30
"['REITs', 'Real estate', 'Investment']",3.43%,-53.63%,USA,b6d81af611eb4bd08b344d48e62fc16d,$0.19 B,Angel Oak Reit,6226,$7.85
"['Lidar', 'Tech', 'Tech Hardware', 'Software', 'Autonomous driving']",5.93%,-87.45%,USA,6ddacaf91107461dae0c462739d27222,$0.19 B,Cepton,6225,$1.25
"['Oil&Gas', 'Chemicals', 'Fertilizer companies']",2.49%,23.08%,India,3f0143dffd644de1a4160bc35d59fe3e,$0.19 B,Southern Petrochemical Industries Corp,6224,$0.96
"['Banks', 'Financial services']",0.69%,15.66%,USA,cb7de5128026440fbeef02f30723c036,$0.19 B,Penns Woods Bancorp,6223,$27.77
"['Banks', 'Financial services']",0.17%,10.11%,USA,57e338df872541bd8b651543286e2009,$0.19 B,California Bancorp,6222,$23.53
"['Hydrogen fuel cell', 'Renewable energy', 'Energy']",-4.11%,-50.00%,UK,cb79f26da59b46278acc7b17e429dca4,$0.19 B,Afc Energy,6221,$0.25
,-3.57%,-15.15%,India,6c6c3dffe1ed4c1193882b02c1428c68,$0.19 B,Kingfa Science & Technology,6220,$16.24
"['Engineering', 'Professional services']",-9.06%,-33.92%,USA,247ee692906e4c20a52632c69d11ba88,$0.19 B,Atlas Technical Consultants,6219,$5.22
