ceo,country,founded,industry,link,name,rank,revenue
Mark Parker,USA,1964,"['Consumer Cyclical', 'Shoes', 'Footwear', 'Sports Goods', 'Consumer Non Durables']",https://www.value.today/company/nike,NIKE,38,"46,710 Million USD"
Reed Hastings,USA,1997,"['Communication Services', 'Electronics', 'Internet or Mobile App Based Business', 'Media', 'Advertising', 'Television Services', ""TV's"", 'Entertainment', 'Artificial Intelligence']",https://www.value.today/company/netflix,NETFLIX,44,"29,697 Million USD"
Larry Ellison,USA,1977,"['Technology', 'Software and IT', 'Software Products', 'Cloud Services', 'Software and IT Infrastructure']",https://www.value.today/company/oracle-corporation,ORACLE CORPORATION,49,"42,440 Million USD"
Marc N. Casper,USA,2006,"['Healthcare', 'Medical Equipment', 'Pharmaceutical', 'Technology Hardware and Instruments', 'Electronics', 'Software Products', 'Biotechnology', 'Capital Goods', 'Machinery Manufacturing', 'Software and IT', 'Technology', 'Manufacturing', 'Health Care Diagnostics']",https://www.value.today/company/thermo-fisher-scientific,THERMO FISHER SCIENTIFIC,45,"39,211 Million USD"
Robert Ford,USA,1888,"['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology', 'Medical Equipment']",https://www.value.today/company/abbott-laboratories,ABBOTT LABORATORIES,43,"43,075 Million USD"
Ratan N Tata,India,Not found,Not found,https://www.value.today/company/tata-group,TATA GROUP,44,"103,000 Million USD"
Ramon L. Laguarta,USA,1898,"['Consumer Defensive', 'Beverages', 'Food Products', 'FMCG', 'Consumer Non Durables', 'Food and Beverage', 'Non-Alcoholic Beverages']",https://www.value.today/company/pepsico,PEPSICO,42,"79,470 Million USD"
Pierre Nanterme,Ireland,1989,"['Technology', 'Software and IT', 'Software Products', 'Software Consulting Services', 'Software Outsourcing Services', 'Business Services', 'Consulting Services', 'Outsourcing and Staffing', 'Artificial Intelligence']",https://www.value.today/company/accenture,ACCENTURE,48,"50,533 Million USD"
mike wirth,USA,1879,"['Energy', 'Oil and Gas', 'Chemicals', 'Natural Gas Generation', 'Petrochemicals', 'Electricity Generation']",https://www.value.today/company/chevron-corporation,CHEVRON CORPORATION,41,"155,600 Million USD"
Hamilton E. James,USA,1983,"['Consumer Defensive', 'Retail', 'eCommerce', 'Food Service', 'Hypermarkets', 'Consumer Services', 'Travel and Transport']",https://www.value.today/company/costco-wholesale-corporation,COSTCO WHOLESALE CORPORATION,47,"195,920 Million USD"
Richard A. Gonzalez,USA,2013,"['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology']",https://www.value.today/company/abbvie,ABBVIE,46,"56,197 Million USD"
Helge Lund,Denmark,1923,"['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology']",https://www.value.today/company/novo-nordisk,NOVO NORDISK A/S,50,"20,838 Million USD"
Rainer M. Blair,USA,1969,"['Healthcare', 'Medical Equipment', 'HealthCare Products', 'Machinery Manufacturing', 'Capital Goods', 'Technology', 'Manufacturing', 'Health Care Diagnostics']",https://www.value.today/company/danaher-corporation,DANAHER CORPORATION,58,"29,453 Million USD"
Brian L. Roberts,USA,1963,"['Communication Services', 'Television Services', 'Broadcasting', 'Telecom', 'Internet Providers', 'Media', 'Advertising', 'Consumer Services', 'Entertainment', 'Cable Operator']",https://www.value.today/company/comcast-corporation,COMCAST CORPORATION,51,"116,380 Million USD"
Steven Black,USA,1852,"['Financial Services', 'Banking Services', 'Insurance', 'Credit Cards', 'Asset Management']",https://www.value.today/company/wells-fargo-company,WELLS FARGO & COMPANY,56,"78,492 Million USD"
Kenneth C. Frazier,USA,1970,"['Healthcare', 'Pharmaceutical', 'Animal Healthcare Companies', 'Animal Health Medicine', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology']",https://www.value.today/company/merck-company,MERCK & CO,59,"48,700 Million USD"
Mukesh Ambani,India,1973,"['Energy', 'Conglomerate', 'Oil and Gas', 'Chemicals', 'Telecom', 'Retail', 'Petrochemicals', 'Textile', 'eCommerce', 'Super Markets', 'Technology']",https://www.value.today/company/reliance-industries,RELIANCE INDUSTRIES,54,"87,614 Million USD"
John J. Donahoe,USA,1998,"['Financial Services', 'Digital Payment Solution Services', 'Internet or Mobile App Based Business', 'Software Products', 'Business Services', 'Software and IT']",https://www.value.today/company/paypal-holdings,PAYPAL HOLDINGS,55,"25,371 Million USD"
Hans Vestberg,USA,1983,"['Communication Services', 'Telecom', 'Fixed Line Service', 'Mobile Services', 'Internet Providers', 'Television Services', 'Media', 'Advertising', 'Utilities', 'Telecom Equipment']",https://www.value.today/company/verizon-communications,VERIZON COMMUNICATIONS,52,"133,610 Million USD"
Marc Benioff,USA,1999,"['Technology', 'Cloud Services', 'Artificial Intelligence', 'Software Products', 'Software and IT']",https://www.value.today/company/salesforce.com,SALESFORCE.COM,53,"26,492 Million USD"
Patrick P. Gelsinger,USA,1968,"['Technology', 'Software and IT', 'Technology Hardware and Instruments', 'Processors / Chips', 'Computers Hardware', 'Semiconductors', 'Mobiles & Accessories', 'Memory Products', 'Artificial Intelligence', 'Internet of Things', 'Electronics', 'Consumer Electronics', 'Software Products']",https://www.value.today/company/intel-corporation,INTEL CORPORATION,57,"79,020 Million USD"
Ying Ming Wu,China,2011,"['Industries', 'Batteries', 'Automobile Parts', 'Electronics', 'Technology', 'Electric Vehicles', 'Electrical Products']",https://www.value.today/company/contemporary-amperex-technology,CONTEMPORARY AMPEREX TECHNOLOGY,64,"18,970 Million USD"
MIAO Jianmin,China,1987,"['Financial Services', 'Banking Services', 'Asset Management', 'Credit Cards']",https://www.value.today/company/china-merchants-bank,CHINA MERCHANTS BANK,62,"48,553 Million USD"
William R. Johnson,USA,1907,"['Industries', 'Courier', 'Logistics', 'Transportation', 'Freight Transport']",https://www.value.today/company/united-parcel-service,UNITED PARCEL SERVICE (UPS),66,"97,287 Million USD"
Joerg Reinhardt,Switzerland,1996,"['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Healthcare Service', 'Technology']",https://www.value.today/company/novartis-ag,NOVARTIS AG,61,"52,877 Million USD"
Enrique Hernandez,USA,1940,"['Consumer Cyclical', 'Restaurants', 'Food Products', 'Non-Alcoholic Beverages', 'Consumer Services', 'Entertainment', 'Beverages']",https://www.value.today/company/mcdonalds-corporation,MCDONALD'S CORPORATION,63,"23,222 Million USD"
Tian Guoli,China,1954,"['Financial Services', 'Banking Services']",https://www.value.today/company/china-construction-bank-corporation,CHINA CONSTRUCTION BANK CORPORATION,69,"120,930 Million USD"
James P. Gorman,USA,1931,"['Financial Services', 'Banking Services', 'Trading', 'Brokerage Services', 'Wealth Management', 'Investments', 'Asset Management', 'Stock Markets, Trading, Capital Markets']",https://www.value.today/company/morgan-stanley,MORGAN STANLEY,68,"56,414 Million USD"
N. Chandrasekaran,India,1968,"['Technology', 'Software and IT', 'Software Consulting Services', 'Software Outsourcing Services', 'Software Products', 'Consulting Services', 'Outsourcing and Staffing']",https://www.value.today/company/tata-consultancy-services-tcs,TATA CONSULTANCY SERVICES (TCS),65,"24,002 Million USD"
Paul E. Jacobs,USA,1985,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments', 'Telecom Equipment', 'Processors / Chips', 'Connectivity Technology', 'Artificial Intelligence', 'Internet of Things', 'Software Products', 'Software and IT']",https://www.value.today/company/qualcomm,QUALCOMM,60,"33,560 Million USD"
Edward Whitacre Jr.,USA,1983,"['Telecom', 'Communication Services', 'Internet Providers', 'Mobile Services', 'Fixed Line Service', 'Television Services', 'Media', 'Advertising', 'Utilities', 'Telecom Equipment']",https://www.value.today/company/att,AT&T,67,"168,860 Million USD"
Ken MacKenzie,Australia,1885,"['Basic Materials', 'Metals', 'Mining', 'Iron and Steel', 'Oil and Gas', 'Coal Mining', 'Copper Mining', 'Nickel', 'Natural Gas Generation', 'Precious Metals']",https://www.value.today/company/bhp-group,BHP GROUP,79,"45,066 Million USD"
Charles R. Schwab,USA,1971,"['Financial Services', 'Banking Services', 'Brokerage Services', 'Asset Management', 'Investments', 'Stock Markets, Trading, Capital Markets']",https://www.value.today/company/charles-schwab-corporation,THE CHARLES SCHWAB CORPORATION,72,"18,996 Million USD"
Steve Angel,UK,1879,"['Basic Materials', 'Chemicals', 'Industrial Gases']",https://www.value.today/company/linde-ag,LINDE AG,74,"30,793 Million USD"
Leif Johansson,UK,1999,"['Healthcare', 'Pharmaceutical', 'Biopharmaceutical', 'Biotechnology', 'HealthCare Products', 'Technology']",https://www.value.today/company/astrazeneca,ASTRAZENECA,71,"37,417 Million USD"
Axel Dumas,France,1837,"['Consumer Cyclical', 'Luxury Goods', 'Retail', 'Fashion and Luxury Goods', 'Beauty and Personal Care', 'Home & Furniture', 'Home Furnishing', 'Shoes', 'Jewellery', 'Watches', 'Leather Products', 'FMCG', 'Consumer Goods']",https://www.value.today/company/hermes-international,HERMES INTERNATIONAL,73,"9,898 Million USD"
James L Robo,USA,1984,"['Utilities', 'Electricity Generation', 'Electric Utilities', 'Utilities', 'Renewable Energy', 'Solar Power', 'Wind Power', 'Power Generation', 'Energy']",https://www.value.today/company/nextera-energy,NEXTERA ENERGY,75,"17,069 Million USD"
Andrew Mackenzie,Netherlands,1907,"['Energy', 'Oil and Gas', 'Chemicals', 'Natural Gas Generation', 'Electricity Generation', 'Petrochemicals', 'Electric Vehicle Charging Station']",https://www.value.today/company/royal-dutch-shell,ROYAL DUTCH SHELL,70,"180,640 Million USD"
Lance M. Fritz,USA,1862,"['Industries', 'Freight Transport', 'Transportation', 'Railway', 'Railway Vehicles and Railway Components', 'Infrastructure']",https://www.value.today/company/union-pacific-corporation,UNION PACIFIC CORPORATION,78,"21,804 Million USD"
Thomas J Engibous,USA,1951,"['Technology', 'Semiconductors', 'Electronics', 'Processors / Chips', 'Sensors']",https://www.value.today/company/texas-instruments,TEXAS INSTRUMENTS,77,"18,344 Million USD"
Marvin Ellison,USA,1921,"['Consumer Cyclical', 'Retail', 'Home Furnishing', 'Home & Furniture', 'Consumer Services']",https://www.value.today/company/lowes-companies,LOWE'S COMPANIES,76,"96,250 Million USD"
Wang Xing,China,2010,"['Consumer Cyclical', 'Internet or Mobile App Based Business', 'Software and IT', 'Retail', 'eCommerce']",https://www.value.today/company/meituan-dianping,MEITUAN DIANPING,83,"28,141 Million USD"
Kenichiro Yoshida,Japan,1946,"['Technology', 'Electronics', 'Mobiles', 'Gaming', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Cameras & Accessories', 'Technology Hardware and Instruments', ""TV's"", 'Consumer Electronics', 'Mobiles & Accessories']",https://www.value.today/company/sony-corporation,SONY CORPORATION,86,"72,397 Million USD"
Hector de J. Ruiz,USA,1969,"['Technology', 'Technology Hardware and Instruments', 'Processors / Chips', 'Semiconductors', 'Electronics']",https://www.value.today/company/advanced-micro-devices,ADVANCED MICRO DEVICES (AMD),85,"16,434 Million USD"
Darius Adamczyk,USA,1906,"['Industries', 'Software Products', 'Technology Hardware and Instruments', 'Aerospace Products', 'Building Automation', 'Engineering Products', 'Automobile Parts', 'Electronics', 'Robotics', 'Automation', 'Automobile', 'Software and IT', 'Aerospace and Defense', 'Technology', 'Space Products']",https://www.value.today/company/honeywell-international,HONEYWELL INTERNATIONAL,89,"34,392 Million USD"
Peter Ma,China,1988,"['Financial Services', 'Banking Services', 'Insurance']",https://www.value.today/company/ping-insurance-group-company-china,PING AN INSURANCE (GROUP) COMPANY OF CHINA,88,"202,290 Million USD"
David I. McKay,Canada,1864,"['Financial Services', 'Banking Services', 'Wealth Management', 'Asset Management', 'Credit Cards', 'Mortgage', 'Insurance']",https://www.value.today/company/royal-bank-canada,ROYAL BANK OF CANADA,84,"35,376 Million USD"
Jacek Olczak,USA,1847,"['Consumer Defensive', 'Tobacco Products', 'Cigarettes', 'Agriculture Products', 'FMCG', 'Consumer Non Durables', 'Tobacco and Cigarette']",https://www.value.today/company/philip-morris-international,PHILIP MORRIS INTERNATIONAL,87,"31,405 Million USD"
Gu Shu,China,1979,"['Financial Services', 'Banking Services']",https://www.value.today/company/agricultural-bank-china,AGRICULTURAL BANK OF CHINA,81,"104,700 Million USD"
Hasso Plattner,Germany,1972,"['Technology', 'Software and IT', 'Software Products', 'Internet of Things', 'Cloud Services']",https://www.value.today/company/sap-se,SAP SE,80,"30,682 Million USD"
Suzanne Nora Johnson,USA,1983,"['Technology', 'Software and IT', 'Software Products']",https://www.value.today/company/intuit,INTUIT,82,"12,726 Million USD"
Tobias Albin Lutke,Canada,2004,"['Technology', 'Software and IT', 'Software Products', 'Cloud Services', 'eCommerce', 'Internet or Mobile App Based Business']",https://www.value.today/company/shopify,SHOPIFY,93,"4,611 Million USD"
Yu Nakata,Japan,1974,"['Technology', 'Sensors', 'Machinery Manufacturing', 'Technology Hardware and Instruments', 'Electronics', 'Manufacturing']",https://www.value.today/company/keyence-corporation,KEYENCE CORPORATION,94,"5,511 Million USD"
Dai Houliang,China,1999,"['Energy', 'Oil and Gas', 'Petrochemicals', 'Natural Gas Generation', 'Chemicals']",https://www.value.today/company/petrochina-company,PETROCHINA COMPANY,91,"380,440 Million USD"
Pietro Beccari,France,1946,"['Consumer Cyclical', 'Retail', 'Luxury Goods', 'Fashion and Luxury Goods', 'Watches', 'Beauty and Personal Care', 'Leather Products', 'Jewellery', 'FMCG', 'Consumer Non Durables', 'Consumer Goods']",https://www.value.today/company/christian-dior,CHRISTIAN DIOR,92,"70,765 Million USD"
Mr. Pouyanne,France,1924,"['Energy', 'Oil and Gas', 'Chemicals', 'Natural Gas Generation', 'Power Generation', 'Electricity Generation', 'Oil Refining']",https://www.value.today/company/total,TOTALENERGIES SE,98,"184,630 Million USD"
Dr. Caforio,USA,1887,"['Healthcare', 'Pharmaceutical', 'Biopharmaceutical', 'Biotechnology', 'HealthCare Products', 'Technology']",https://www.value.today/company/bristol-myers-squibb-company,BRISTOL-MYERS SQUIBB COMPANY,96,"46,385 Million USD"
David W. Dorman,USA,1996,"['Healthcare', 'Pharmacy', 'Healthcare Service', 'Retail', 'HealthCare Products', 'Insurance']",https://www.value.today/company/cvs-health-corporation,CVS HEALTH CORPORATION,99,"292,110 Million USD"
Geoff Martha,Ireland,1949,"['Healthcare', 'Medical Equipment', 'Biotechnology', 'Electronics', 'HealthCare Products', 'Healthcare Service', 'Technology']",https://www.value.today/company/medtronic,MEDTRONIC,95,"31,677 Million USD"
Brian M. Levitt,Canada,1955,"['Financial Services', 'Banking Services', 'Insurance']",https://www.value.today/company/toronto-dominion-bank,TORONTO-DOMINION BANK,90,"32,501 Million USD"
Jim Hagemann Snabe,Germany,1847,"['Industries', 'Infrastructure', 'Technology Hardware and Instruments', 'Software and IT', 'Railway Vehicles and Railway Components', 'Engineering Products', 'Medical Equipment', 'Software Products', 'Security Systems and Solutions', 'Artificial Intelligence', 'Machinery Manufacturing', 'Conglomerate', 'Railway', 'Technology', 'Electric Vehicle Charging Station']",https://www.value.today/company/siemens,SIEMENS,97,"68,616 Million USD"
Liu Liange,China,1912,"['Financial Services', 'Banking Services', 'Insurance', 'Asset Management']",https://www.value.today/company/bank-china,BANK OF CHINA,102,"76,991 Million USD"
Hans Dieter Potsch,Germany,1937,"['Consumer Cyclical', 'Automobile', 'Cars', 'Commercial Vehicles', 'Sports Vehicles', 'Passenger Vehicles']",https://www.value.today/company/volkswagen,VOLKSWAGEN,106,"250,120 Million USD"
Stephen J. Squeri,USA,1850,"['Financial Services', 'Banking Services', 'Credit Cards', 'Technology', 'Digital Payment Solution Services']",https://www.value.today/company/american-express-company,AMERICAN EXPRESS COMPANY,105,"42,838 Million USD"
Noel Quinn,UK,1865,"['Financial Services', 'Banking Services', 'Insurance', 'Asset Management']",https://www.value.today/company/hsbc-holdings,HSBC HOLDINGS,108,"63,644 Million USD"
Dieter Schwarz,Germany,Not found,"['Retail', 'Super Markets', 'Hypermarkets']",https://www.value.today/company/schwarz-group,SCHWARZ GROUP,103,"123,070 Million USD"
Timotheus Hottges,USA,1994,"['Communication Services', 'Telecom', 'Mobile Services', 'Internet Providers', 'Utilities', 'Telecom Equipment']",https://www.value.today/company/t-mobile-us,T-MOBILE US,101,"80,118 Million USD"
Sanjiv Mehta,Netherlands,1929,"['Consumer Defensive', 'FMCG', 'Beauty and Personal Care', 'Food Products', 'Home Care Products', 'Consumer Non Durables']",https://www.value.today/company/unilever-group,UNILEVER GROUP,100,"57,793 Million USD"
Thomas J. Iannotti,USA,1967,"['Power Equipment', 'Mobiles & Accessories', 'Semiconductors']",https://www.value.today/company/applied-materials,APPLIED MATERIALS,107,"23,063 Million USD"
Gregory J. Hayes,USA,1934,"['Industries', 'Aerospace and Defense', 'Aerospace Products', 'Aircraft Parts', 'Defense Products', 'Elevators', 'Escalators', 'Building Automation', 'Security Systems and Solutions', 'Capital Goods', 'Automation', 'Space Products']",https://www.value.today/company/united-technologies-corporation,RAYTHEON TECHNOLOGIES CORPORATION,104,"64,388 Million USD"
Laurence D,USA,1988,"['Financial Services', 'Asset Management', 'Investments']",https://www.value.today/company/blackrock,BLACKROCK,103,"19,374 Million USD"
David Solomon,USA,1869,"['Financial Services', 'Banking Services', 'Asset Management', 'Investments', 'Brokerage Services', 'Securities', 'Stock Markets, Trading, Capital Markets']",https://www.value.today/company/goldman-sachs-group,THE GOLDMAN SACHS GROUP,109,"64,989 Million USD"
Zeng Congqin,China,1998,"['Consumer Defensive', 'Alcoholic Beverages', 'Beverages']",https://www.value.today/company/wuliangye-yibin,WULIANGYE YIBIN,110,"9,635 Million USD"
Robert A. Bradway,USA,1980,"['Healthcare', 'Pharmaceutical', 'Biopharmaceutical', 'Biotechnology', 'HealthCare Products', 'Technology']",https://www.value.today/company/amgen,AMGEN,113,"25,979 Million USD"
John C. Dugan,USA,1998,"['Financial Services', 'Banking Services', 'Asset Management']",https://www.value.today/company/citigroup,CITI GROUP,111,"71,887 Million USD"
