ceo,country,employees,founded,industry,link,name,revenue
Warren Edward Buffett,United States,"372,000",1939,Diversified Financials,https://www.forbes.com/companies/berkshire-hathaway,Berkshire Hathaway,$276.1B
Shu Gu,China,"434,089",1984,Banking,https://www.forbes.com/companies/icbc,ICBC,$208.1B
Amin bin Hasan Al-Nasser,Saudi Arabia,"68,493",1933,Oil & Gas Operations,https://www.forbes.com/companies/saudi-arabian-oil-company-saudi-aramco,Saudi Arabian Oil Company (Saudi Aramco),$400.4B
Jamie Dimon,United States,"270,000",2000,Banking and Financial Services,https://www.forbes.com/companies/jpmorgan-chase,JPMorgan Chase,$124.5B
Wang Zuji,China,"349,671",2014,Banking,https://www.forbes.com/companies/china-construction-bank,China Construction Bank,$202.1B
Andy Jassy,United States,"1,608,000",1994,Retail and Wholesale,https://www.forbes.com/companies/amazon,Amazon,$469.8B
Tim Cook,United States,"154,000",1976,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/apple,Apple,$378.7B
Not found,China,"455,174",1979,Banking,https://www.forbes.com/companies/agricultural-bank-of-china,Agricultural Bank of China,$181.4B
Brian Moynihan,United States,"166,400",1904,Banking and Financial Services,https://www.forbes.com/companies/bank-of-america,Bank of America,$96.8B
Akio Toyoda,Japan,"366,283",1937,Consumer Durables,https://www.forbes.com/companies/toyota-motor,Toyota Motor,$281.7B
Sundar Pichai,United States,"156,500",1998,"IT, Internet, Software & Services",https://www.forbes.com/companies/alphabet,Alphabet,$257.5B
Satya Nadella,United States,"103,000",1975,"IT, Internet, Software & Services",https://www.forbes.com/companies/microsoft,Microsoft,$184.9B
Wang Jiang,China,"306,322",1929,Banking,https://www.forbes.com/companies/bank-of-china,Bank of China,$152.4B
Jay Y. Lee,South Korea,"266,673",1969,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/samsung-electronics,Samsung Group,$244.2B
Darren W. Woods,United States,"63,000",1999,Oil & Gas Operations,https://www.forbes.com/companies/exxon-mobil,ExxonMobil,$280.5B
Bernardus van Beurden,United Kingdom,"82,000",1907,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/shell,Shell,$261.8B
Yonglin Xie Sin Yin Tan,China,"355,982",1988,Insurance,https://www.forbes.com/companies/ping-an-insurance,Ping An Insurance Group,$181.4B
Charles William Scharf,United States,"247,848",1852,Banking,https://www.forbes.com/companies/wells-fargo,Wells Fargo,$84.1B
Hans Vestberg,United States,"118,400",1983,"Telecommunications Services, Cable Supplier",https://www.forbes.com/companies/verizon-communications,Verizon Communications,$134.3B
John Stankey,United States,"203,000",1876,Telecommunications Services,https://www.forbes.com/companies/att,AT&T,$163B
Yi Lin Wang,China,"476,223",1999,Oil & Gas Operations,https://www.forbes.com/companies/petrochina,PetroChina,$380.3B
Andrew Witty,United States,"360,000",1977,Insurance,https://www.forbes.com/companies/unitedhealth-group,UnitedHealth Group,$297.6B
C. Douglas McMillon,United States,"2,300,000",1962,Retailing,https://www.forbes.com/companies/walmart,Walmart,$572.8B
Miao Jianmin,China,"103,669",1987,Banking,https://www.forbes.com/companies/china-merchants-bank,China Merchants Bank,$71.1B
Herbert Diess,Germany,"672,789",1937,Consumer Durables,https://www.forbes.com/companies/volkswagen-group,Volkswagen Group,$295.7B
Michael K. Wirth,United States,"23,729",1879,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/chevron,Chevron,$156.3B
Jane Fraser,United States,"223,400",1812,Banking and Financial Services,https://www.forbes.com/companies/citigroup,Citigroup,$79.9B
Hua Teng Ma,China,"112,771",1998,IT Software & Services,https://www.forbes.com/companies/tencent-holdings,Tencent Holdings,$86.9B
Patrick Pouyanné,France,"101,309",1924,Oil & Gas Operations,https://www.forbes.com/companies/total,Total,$185.1B
Xue Wen Zhang,China,"193,946",1919,Banking,https://www.forbes.com/companies/postal-savings-bank-of-china,Postal Savings Bank Of China (PSBC),$77.6B
Xin Dong,Hong Kong,"449,934",1997,Telecommunications Services,https://www.forbes.com/companies/china-mobile,China Mobile,$131.5B
Brian L. Roberts,United States,"132,300",1963,Media & Advertising,https://www.forbes.com/companies/comcast,Comcast,$116.4B
Yong Zhang,China,"251,462",1999,Retailing,https://www.forbes.com/companies/alibaba-group,Alibaba Group,$129.8B
Mark Elliot Zuckerberg,United States,"71,970",2004,"IT, Internet, Software & Services",https://www.forbes.com/companies/meta-platforms,Meta Platforms,$117.9B
Oliver Bäte,Germany,"155,411",1890,Insurance,https://www.forbes.com/companies/allianz,Allianz,$138.6B
James P. Gorman,United States,"74,814",1924,Diversified Financials,https://www.forbes.com/companies/morgan-stanley,Morgan Stanley,$60.2B
David Michael Solomon,United States,"43,900",1869,Diversified Financials,https://www.forbes.com/companies/goldman-sachs-group,Goldman Sachs Group,$62.8B
Noel Paul Quinn,United Kingdom,"220,000",1865,Banking,https://www.forbes.com/companies/hsbc-holdings,HSBC Holdings,$59.3B
Jean-Laurent Bonnafé,France,"205,771",1953,Banking,https://www.forbes.com/companies/bnp-paribas,BNP Paribas,$127.4B
Joaquin Duato,United States,"130,000",1886,Drugs & Biotechnology,https://www.forbes.com/companies/johnson-johnson,Johnson & Johnson,$94.9B
Ola Källenius,Germany,"172,425",1883,Consumer Durables,https://www.forbes.com/companies/mercedes-benz-group,Mercedes-Benz Group,$178.9B
Karen S. Lynch,United States,"300,000",1963,Retailing,https://www.forbes.com/companies/cvs-health,CVS Health,$292B
Albert Bourla,United States,"29,000",1849,Drugs & Biotechnology,https://www.forbes.com/companies/pfizer,Pfizer,$81.5B
Masayoshi Son,Japan,"58,786",1981,Telecommunications Services,https://www.forbes.com/companies/softbank,Softbank,$96.9B
Fu Chengyu,China,"385,691",2000,Oil & Gas Operations,https://www.forbes.com/companies/sinopec,Sinopec,$384.8B
David Ian McKay,Canada,"89,000",1864,Banking and Financial Services,https://www.forbes.com/companies/rbc,RBC,$45.2B
Ulf Mark Schneider,Switzerland,"276,000",1866,"Food, Drink & Tobacco",https://www.forbes.com/companies/nestle,Nestlé,$95.3B
Thomas Buberl,France,"110,477",1816,Insurance,https://www.forbes.com/companies/axa-group,AXA Group,$145.2B
Alexei Borisovich Miller,Russia,"477,600",1989,Oil & Gas Operations,https://www.forbes.com/companies/gazprom,Gazprom,$117.3B
Bernard Looney,United Kingdom,"65,900",1909,Oil & Gas Operations,https://www.forbes.com/companies/bp,BP,$158B
Patrick Gelsinger,United States,"121,100",1968,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/intel,Intel,$79B
Bharat B. Masrani,Canada,"90,000",1855,Banking and Financial Services,https://www.forbes.com/companies/td-bank-group,TD Bank Group,$38.5B
Jun Sawada,Japan,"324,667",1952,Telecommunications Services,https://www.forbes.com/companies/nippon-tel-tel,Nippon Telegraph & Tel,$110.4B
Mukesh Dhirubhai Ambani,India,"236,334",1973,Oil & Gas Operations,https://www.forbes.com/companies/reliance-industries,Reliance Industries,$86.9B
Yiping Tao,China,"62,537",1988,Banking,https://www.forbes.com/companies/industrial-bank,Industrial Bank ,$60.5B
Kenichiro Yoshida,Japan,"109,700",1960,Consumer Durables,https://www.forbes.com/companies/sony,Sony,$89.9B
José Antonio Álvarez,Spain,"200,651",1857,Banking and Financial Services,https://www.forbes.com/companies/santander,Santander,$78.2B
Hironori Kamezawa,Japan,"138,161",2005,Banking,https://www.forbes.com/companies/mitsubishi-ufj-financial,Mitsubishi UFJ Financial,$48.3B
Che Chia Wei,Taiwan,"65,152",1987,Semiconductors,https://www.forbes.com/companies/taiwan-semiconductor,Taiwan Semiconductor,$61.5B
James D. Farley Jr.,Canada,"183,000",1903,Automotive (Automotive and Suppliers),https://www.forbes.com/companies/ford-motor,Ford Motor,$136.3B
Bernard Arnault,France,"175,000",1987,"Clothing, Shoes, Sports Equipment",https://www.forbes.com/companies/lvmh-moet-hennessy-louis-vuitton,LVMH Moët Hennessy Louis Vuitton,$75.9B
Ren Deqi,China,"90,238",1908,Banking,https://www.forbes.com/companies/bank-of-communications,Bank of Communications,$76B
Jon R. Moeller,United States,"26,000",1837,Packaged Goods,https://www.forbes.com/companies/procter-gamble,Procter & Gamble,$79.6B
Oliver Zipse,Germany,"118,909",1916,Consumer Durables,https://www.forbes.com/companies/bmw-group,BMW Group,$131.5B
José Mauro Ferreira,Brazil,"45,532",1953,Oil & Gas Operations,https://www.forbes.com/companies/petrobras,Petrobras,$83.9B
Timotheus Höttges,Germany,"217,000",1995,"Telecommunications Services, Cable Supplier",https://www.forbes.com/companies/deutsche-telekom,Deutsche Telekom,$128.6B
