ceo,country,employees,founded,industry,link,name,revenue
Prashant Jasvantrai Mehta,India,181,Not found,Consumer Durables,https://www.forbes.com/companies/rajesh-exports,Rajesh Exports,$30B
Anas Abuzaakouk,Austria,"3,716",2005,Banking,https://www.forbes.com/companies/bawag-group,Bawag Group,$2B
Rong Song,China,"33,794",2002,Transportation,https://www.forbes.com/companies/sinotrans,Sinotrans Ltd.,$19.2B
Jian Qiu Ma,China,"4,493",2007,Semiconductors,https://www.forbes.com/companies/will-semiconductor,Will Semiconductor,$3.7B
Kevin Ronald Sayer,United States,"6,300",1999,Health Care Equipment & Services,https://www.forbes.com/companies/dexcom,DexCom,$2.4B
Martin Nemecek,Luxembourg,"3,485",2004,Construction,https://www.forbes.com/companies/cpi-property-group,CPI Property Group,$792M
Zhi Wen Guo,China,"6,910",1997,Banking,https://www.forbes.com/companies/harbin-bank,Harbin Bank,$4.4B
Wing Yiu Chang,Hong Kong,"36,000",1988,Chemicals,https://www.forbes.com/companies/kingboard-holdings,Kingboard Holdings,$7.3B
Andrew Anagnost,United States,"12,600",1982,"IT, Internet, Software & Services",https://www.forbes.com/companies/autodesk,Autodesk,$4.4B
Liang Wang,China,"33,141",2008,Capital Goods,https://www.forbes.com/companies/china-shipbuilding-industry,China Shipbuilding Industry,$5.3B
Karsten Wildberger,Germany,"52,000",2017,Retail and Wholesale,https://www.forbes.com/companies/ceconomy,Ceconomy,$24.5B
Not found,Japan,"3,813",Not found,Banking,https://www.forbes.com/companies/hirogin-holdings,Hirogin Holdings,$1.2B
Jack Patrick Dorsey,United States,"7,500",2006,IT Software & Services,https://www.forbes.com/companies/twitter,Twitter,$5.1B
Anders Christian Dam,Denmark,"3,242",1967,Banking,https://www.forbes.com/companies/jyske-bank,Jyske Bank,$2.1B
Yi Bo Qiu,China,"18,154",Not found,Chemicals,https://www.forbes.com/companies/hengyi-petrochemical,Hengyi Petrochemical ,$18.7B
David T. Feinberg,United States,"25,150",1979,Health Care Equipment & Services,https://www.forbes.com/companies/cerner,Cerner,$5.8B
Kazuo Saito,Japan,"3,175",1932,Banking,https://www.forbes.com/companies/gunma-bank,Gunma Bank,$1.3B
Abdullah Saif Al-Saadoon,Saudi Arabia,Not found,1999,Chemicals,https://www.forbes.com/companies/sahara-international-petrochemical,Sahara International Petrochemical,$2.8B
Xue Qing Shen,China,"5,526",1996,Banking,https://www.forbes.com/companies/bank-of-zhengzhou,Bank of Zhengzhou,$4.4B
Xiu Feng Wang,Hong Kong,"8,495",1872,Transportation,https://www.forbes.com/companies/china-merchants-port-holdings,China Merchants Port Holdings,$1.5B
Fu Hai Yeh,Taiwan,Not found,2005,Trading Companies,https://www.forbes.com/companies/wpg-holdings,WPG Holdings,$27.9B
Yang Sun,China,"24,664",1984,Technology Hardware & Equipment,https://www.forbes.com/companies/sunny-optical-technology-group,Sunny Optical Technology Group,$5.8B
Duan Qing Zhang,China,"1,865",Not found,Construction,https://www.forbes.com/companies/zheshang-development-group,Zheshang Development Group,$27.8B
Leszek Skiba,Poland,"14,702",1929,Banking,https://www.forbes.com/companies/bank-pekao,Bank Pekao,$2.4B
Choon Phong Goh,Singapore,"25,547",1971,Transportation,https://www.forbes.com/companies/singapore-airlines,Singapore Airlines,$3.7B
J. Alexander M.,United States,"28,300",1976,Food Markets,https://www.forbes.com/companies/united-natural-foods,United Natural Foods,$27.8B
Andreas Brandstetter,Austria,"12,818",1922,Insurance,https://www.forbes.com/companies/uniqa,Uniqa,$8.2B
Simon Adam Wolfson,United Kingdom,"44,626",1864,"Clothing, Shoes, Sports Equipment",https://www.forbes.com/companies/next,Next,$6.4B
Xiao Hai Hou,Hong Kong,"25,000",1992,Food Markets,https://www.forbes.com/companies/china-resources-beer-holdings,China Resources Beer (Holdings),$5.2B
Thomas Birtel,Austria,"73,606",1835,Construction,https://www.forbes.com/companies/strabag,STRABAG,$17.8B
Amit Syngle,India,"23,514",1945,Chemicals,https://www.forbes.com/companies/asian-paints,Asian Paints,$3.8B
Chao-Chung Chou,Taiwan,Not found,1905,Banking,https://www.forbes.com/companies/chang-hwa-bank,Chang Hwa Bank,$1.3B
Peter R. Huntsman,United States,"9,000",1970,Chemicals,https://www.forbes.com/companies/huntsman,Huntsman,$8.5B
"Hyeon-Su Dong, Min-Cheol Kim",South Korea,"2,034",1896,Trading Companies,https://www.forbes.com/companies/doosan,Doosan,$12.6B
Jeffrey A. Stoops,United States,"1,596",1989,Diversified Financials,https://www.forbes.com/companies/sba-communications,SBA Communications,$2.3B
Olivier Pomel,United States,"3,200",2010,IT Software & Services,https://www.forbes.com/companies/datadog,Datadog,$1B
Hyun-He Ha,South Korea,"10,187",1996,Telecommunications Services,https://www.forbes.com/companies/lg-uplus,LG Uplus,$12.1B
Kevin Ali,United States,"9,300",Not found,Drugs & Biotechnology,https://www.forbes.com/companies/organon,Organon,$6.5B
Thomas J. Nimbley,United States,"3,418",2008,Oil & Gas Operations,https://www.forbes.com/companies/pbf-energy,PBF Energy,$27.3B
Gerrit Andreas Marx,Italy,3,Not found,Consumer Durables,https://www.forbes.com/companies/iveco-group,Iveco Group,$15B
Arturo Gutiérrez Hernández,Mexico,"62,857",2001,"Food, Drink & Tobacco",https://www.forbes.com/companies/arca-continental,Arca Continental,$9B
Shan Chung Chen,Taiwan,Not found,Not found,Banking,https://www.forbes.com/companies/shanghai-commercial-savings-bank,Shanghai Commercial & Savings Bank,$1.7B
Christos Ioanni Megalou,Greece,"9,493",1916,Banking,https://www.forbes.com/companies/piraeus-financial-holdings,Piraeus Financial Holdings,$3.3B
Not found,Japan,"3,774",Not found,Banking,https://www.forbes.com/companies/daishi-hokuetsu-financial-group,Daishi Hokuetsu Financial Group,$1.2B
Michael J. Farrell,United States,"7,970",1989,Health Care Equipment & Services,https://www.forbes.com/companies/resmed,ResMed,$3.4B
Robert W. Eddy,United States,"34,000",1984,Retailing,https://www.forbes.com/companies/bjs-wholesale-club,BJ's Wholesale Club,$16.7B
Stefan Larsson,United States,"31,000",1881,Household & Personal Products,https://www.forbes.com/companies/pvh,PVH,$9.2B
Hidefumi Kobayashi,Japan,"2,812",1878,Banking,https://www.forbes.com/companies/77-bank,77 Bank,$967M
Othman bin Ali Al Ghamdi,Saudi Arabia,Not found,2005,Oil & Gas Operations,https://www.forbes.com/companies/petro-rabigh,Petro Rabigh,$12.2B
Anil Kumar Sardana,India,"11,922",2013,Utilities,https://www.forbes.com/companies/adani-transmission,Adani Transmission,$1.5B
Robert Gentz David Schneider,Germany,"17,000",2008,"Clothing, Shoes, Sports Equipment",https://www.forbes.com/companies/zalando,Zalando,$12.2B
Fokion C. Karavias,Greece,"8,617",Not found,Banking,https://www.forbes.com/companies/eurobank-ergasias,Eurobank Ergasias,$2.9B
Peter D. Arvan,United States,"5,500",1993,Trading Companies,https://www.forbes.com/companies/pool,Pool,$5.6B
Masato Miyanaga,Japan,"3,171",1930,Banking,https://www.forbes.com/companies/chugoku-bank,Chugoku Bank,$1.1B
Itaru Tanimura,Japan,"8,249",2000,Health Care Equipment & Services,https://www.forbes.com/companies/m3,M3,$1.8B
Wei Lin Zhao,China,"22,609",Not found,Conglomerates,https://www.forbes.com/companies/sumec,Sumec Corporation,$26.1B
